spacer,spacer
0.00024, -0.00000
0.00189, 0.00002
0.00612, 0.00004
0.00989, 0.00007
0.01412, 0.00010
0.01624, 0.00012
0.02024, 0.00014
0.02377, 0.00016
0.02754, 0.00018
0.03154, 0.00021
0.03483, 0.00022
0.03837, 0.00025
0.04331, 0.00027
0.04731, 0.00030
0.05037, 0.00033
0.05602, 0.00035
0.06025, 0.00038
0.06519, 0.00040
0.07084, 0.00043
0.07484, 0.00046
0.07979, 0.00049
0.08755, 0.00054
0.09179, 0.00057
0.09815, 0.00061
0.10450, 0.00064
0.11085, 0.00068
0.11603, 0.00072
0.12521, 0.00077
0.13227, 0.00080
0.14121, 0.00084
0.15250, 0.00090
0.15251, 0.00093
