k_ep,k_run,t,NN_flip,NN_policy,mu,sigma,policy,x,y,z,vx,vy,vz,qx,qy,qz,qw,wx,wy,wz,eul_x,eul_y,eul_z,flip_flag,impact_flag,Tau,OF_x,OF_y,RREV,d_ceil,F_thrust[N],Mx[Nmm],My[Nmm],Mz[Nmm],M1_pwm,M2_pwm,M3_pwm,M4_pwm,x_d.x,x_d.y,x_d.z,v_d.x,v_d.y,v_d.z,a_d.x,a_d.y,a_d.z,Volts,Error
0,0,14.7407,0.0,0.0,,,,-1.129,0.028,-1.184,-4.722,0.139,-4.771,-0.046,0.101,-0.019,0.994,-0.554,0.591,-0.102,-4.987,11.49,-2.735,False,False,0.0,-0.043,1.437,nan,3.237,4.162,1.288,0.039,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,3.826,
0,0,14.7597,0.0,0.0,,,,-1.225,0.031,-1.281,-4.918,0.149,-4.947,-0.051,0.107,-0.019,0.993,-0.575,0.565,-0.094,-5.604,12.113,-2.83,False,False,0.0,-0.045,1.454,nan,3.332,4.364,1.359,0.048,0.284,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,3.826,
0,0,14.7997,0.0,0.0,,,,-1.43,0.037,-1.486,-5.308,0.17,-5.293,-0.062,0.116,-0.021,0.991,-0.609,0.528,-0.081,-6.822,13.189,-3.188,False,False,0.0,-0.048,1.479,nan,3.534,4.778,1.51,0.051,0.296,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,3.826,
0,0,14.8077,0.0,0.0,,,,-1.483,0.039,-1.539,-5.405,0.176,-5.378,-0.065,0.119,-0.021,0.991,-0.61,0.515,-0.08,-7.129,13.499,-3.245,False,False,0.0,-0.049,1.484,nan,3.586,4.883,1.533,0.057,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,3.826,
0,0,14.8287,0.0,0.0,,,,-1.593,0.042,-1.649,-5.598,0.188,-5.548,-0.072,0.125,-0.021,0.989,-0.626,0.491,-0.076,-7.901,14.115,-3.382,False,False,0.0,-0.051,1.492,nan,3.694,5.095,1.61,0.071,0.308,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,3.826,
0,0,14.8707,0.0,0.0,,,,-1.825,0.05,-1.877,-5.981,0.213,-5.883,-0.083,0.133,-0.021,0.987,-0.639,0.429,-0.067,-9.135,15.035,-3.615,False,False,0.0,-0.054,1.503,nan,3.977,5.636,1.753,0.133,0.326,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,3.826,
0,0,14.9077,0.0,0.0,,,,-2.072,0.06,-2.119,-6.359,0.24,-6.215,-0.095,0.14,-0.021,0.985,-0.65,0.349,-0.065,-10.532,15.788,-3.876,False,False,0.0,-0.057,1.506,nan,4.219,6.076,1.872,0.23,0.344,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,3.826,
0,0,14.9878,0.0,0.0,,,,-2.61,0.081,-2.643,-7.105,0.3,-6.871,-0.12,0.149,-0.021,0.981,-0.644,0.129,-0.068,-13.34,16.806,-4.4,False,False,0.0,-0.064,1.497,nan,4.674,6.857,2.031,0.506,0.381,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,3.826,
0,0,15.0518,0.0,0.0,,,,-3.053,0.101,-3.07,-7.659,0.35,-7.362,-0.138,0.149,-0.021,0.979,-0.621,-0.041,-0.085,-15.402,16.726,-4.703,False,False,0.0,-0.068,1.481,nan,5.096,7.529,2.139,0.79,0.423,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,3.826,
0,0,15.0647,0.0,0.0,,,,-3.13,0.104,-3.144,-7.751,0.359,-7.445,-0.141,0.149,-0.021,0.978,-0.618,-0.069,-0.091,-15.719,16.713,-4.75,False,False,0.0,-0.069,1.478,nan,5.244,7.753,2.156,0.888,0.436,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,3.826,
