k_ep,k_run,t,NN_flip,NN_policy,mu,sigma,policy,x,y,z,vx,vy,vz,qx,qy,qz,qw,wx,wy,wz,eul_x,eul_y,eul_z,flip_flag,impact_flag,Tau,OF_x,OF_y,RREV,d_ceil,F_thrust[N],Mx[Nmm],My[Nmm],Mz[Nmm],M1_pwm,M2_pwm,M3_pwm,M4_pwm,x_d.x,x_d.y,x_d.z,v_d.x,v_d.y,v_d.z,a_d.x,a_d.y,a_d.z,Volts,Error
0,0,107.0008,0.0,0.0,,,,-2.125,-0.099,-2.421,-6.432,-0.267,-7.328,-0.231,-0.011,-0.028,0.972,-0.598,-0.046,-0.072,-26.783,-1.969,-2.792,False,False,0.0,0.058,1.422,nan,4.449,5.598,2.594,1.772,0.499,57770.0,53690.0,51456.0,28094.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,4.001,
0,0,107.0199,0.0,0.0,,,,-2.256,-0.104,-2.57,-6.627,-0.27,-7.55,-0.237,-0.011,-0.029,0.971,-0.561,-0.039,-0.064,-27.44,-2.023,-2.935,False,False,0.0,0.057,1.418,nan,4.67,5.893,2.557,1.754,0.505,57802.0,53382.0,51626.0,28166.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,4.001,
0,0,107.0279,0.0,0.0,,,,-2.323,-0.107,-2.646,-6.724,-0.272,-7.661,-0.239,-0.012,-0.029,0.97,-0.542,-0.033,-0.064,-27.771,-2.185,-2.891,False,False,0.0,0.057,1.416,nan,4.67,5.893,2.557,1.754,0.505,57802.0,53382.0,51626.0,28166.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,4.001,
0,0,107.0788,0.0,0.0,,,,-2.671,-0.121,-3.043,-7.211,-0.278,-8.215,-0.25,-0.012,-0.03,0.968,-0.444,-0.013,-0.054,-29.085,-2.258,-3.019,False,False,0.0,0.053,1.401,nan,5.143,6.514,2.45,1.705,0.521,57860.0,52552.0,52080.0,28396.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,4.001,
0,0,107.1078,0.0,0.0,,,,-2.892,-0.129,-3.295,-7.504,-0.281,-8.547,-0.255,-0.012,-0.03,0.966,-0.381,0.003,-0.044,-29.577,-2.271,-3.01,False,False,0.0,0.051,1.39,nan,5.31,6.731,2.404,1.683,0.518,57696.0,52354.0,52116.0,28620.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,4.001,
0,0,107.1298,0.0,0.0,,,,-3.044,-0.135,-3.468,-7.698,-0.282,-8.769,-0.259,-0.012,-0.032,0.965,-0.341,0.001,-0.038,-30.076,-2.326,-3.153,False,False,0.0,0.05,1.382,nan,5.481,6.954,2.355,1.689,0.517,57466.0,52204.0,52306.0,28740.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,4.001,
0,0,107.1428,0.0,0.0,,,,-3.121,-0.137,-3.556,-7.796,-0.282,-8.88,-0.26,-0.012,-0.032,0.965,-0.317,-0.003,-0.036,-30.24,-2.33,-3.15,False,False,0.0,0.049,1.378,nan,5.568,7.068,2.323,1.689,0.518,57350.0,52072.0,52440.0,28814.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,4.001,
0,0,107.1889,0.0,0.0,,,,-3.523,-0.152,-4.014,-8.283,-0.283,-9.433,-0.264,-0.012,-0.032,0.964,-0.196,-0.011,-0.022,-30.733,-2.344,-3.14,False,False,0.0,0.046,1.354,nan,6.02,7.661,2.161,1.685,0.514,56626.0,51548.0,52952.0,29306.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,4.001,
0,0,107.2269,0.0,0.0,,,,-3.862,-0.163,-4.4,-8.673,-0.282,-9.876,-0.267,-0.012,-0.032,0.963,-0.109,-0.017,-0.01,-31.063,-2.353,-3.133,False,False,0.0,0.043,1.334,nan,6.402,8.166,2.034,1.699,0.507,55926.0,51262.0,53352.0,29700.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,4.001,
0,0,107.2888,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.043,-0.016,0.002,-0.0,-0.0,0.0,False,False,0.0,0.0,0.0,nan,7.008,8.984,1.781,1.694,0.494,54714.0,50580.0,54054.0,30554.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,4.001,
