k_ep,k_run,t,NN_flip,NN_policy,mu,sigma,policy,x,y,z,vx,vy,vz,qx,qy,qz,qw,wx,wy,wz,eul_x,eul_y,eul_z,flip_flag,impact_flag,Tau,OF_x,OF_y,RREV,d_ceil,F_thrust[N],Mx[Nmm],My[Nmm],Mz[Nmm],M1_pwm,M2_pwm,M3_pwm,M4_pwm,x_d.x,x_d.y,x_d.z,v_d.x,v_d.y,v_d.z,a_d.x,a_d.y,a_d.z,Volts,Error
0,0,482.0292,0.0,0.0,,,,-0.047,1.483,-1.603,-0.143,5.396,-5.836,-0.007,0.185,-0.014,0.983,0.015,0.287,-0.012,-0.485,21.367,-1.705,False,False,0.0,-1.457,0.038,nan,3.703,4.514,1.71,-1.803,0.338,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,3.9,
0,0,482.1202,0.0,0.0,,,,-0.06,2.009,-2.172,-0.148,6.28,-6.788,-0.006,0.192,-0.014,0.981,0.022,0.077,0.004,-0.317,22.177,-1.678,False,False,0.0,-1.471,0.034,nan,4.34,5.549,1.708,-1.447,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,3.9,
0,0,482.3044,0.0,0.0,,,,-0.003,0.125,-0.135,-0.037,1.57,-1.688,0.001,-0.012,0.001,1.0,0.041,-0.35,0.029,0.161,-1.427,0.157,False,False,0.0,-0.703,0.016,nan,2.235,1.628,1.161,0.721,-0.048,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,3.9,
0,0,482.3493,0.0,0.0,,,,-0.006,0.218,-0.234,-0.048,2.071,-2.226,0.003,-0.024,0.003,1.0,0.04,-0.461,0.036,0.325,-2.697,0.31,False,False,0.0,-0.887,0.02,nan,2.334,1.936,1.322,0.99,-0.071,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,3.9,
0,0,482.3982,0.0,0.0,,,,-0.008,0.334,-0.359,-0.06,2.562,-2.753,0.004,-0.036,0.003,0.999,0.031,-0.561,0.047,0.487,-4.125,0.3,False,False,0.0,-1.042,0.024,nan,2.487,2.338,1.467,1.302,-0.109,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,3.9,
0,0,482.5262,0.0,0.0,,,,-0.018,0.75,-0.806,-0.089,3.838,-4.121,0.006,-0.077,0.007,0.997,0.025,-0.753,0.056,0.694,-8.894,0.741,False,False,0.0,-1.321,0.03,nan,2.948,3.338,1.593,1.944,-0.193,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,3.9,
0,0,482.5833,0.0,0.0,,,,-0.024,0.998,-1.072,-0.106,4.426,-4.752,0.006,-0.101,0.008,0.995,0.031,-0.812,0.061,0.727,-11.601,0.882,False,False,0.0,-1.396,0.033,nan,3.172,3.763,1.61,2.164,-0.232,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,3.9,
0,0,482.6023,0.0,0.0,,,,-0.026,1.088,-1.169,-0.111,4.622,-4.963,0.007,-0.108,0.008,0.994,0.027,-0.824,0.054,0.891,-12.4,0.86,False,False,0.0,-1.414,0.033,nan,3.269,3.938,1.62,2.243,-0.239,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,3.9,
0,0,482.6226,0.0,0.0,,,,-0.028,1.183,-1.271,-0.117,4.819,-5.174,0.007,-0.116,0.01,0.993,0.024,-0.832,0.062,0.917,-13.359,1.01,False,False,0.0,-1.43,0.034,nan,3.371,4.115,1.628,2.315,-0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,3.9,
0,0,482.6432,0.0,0.0,,,,-0.031,1.281,-1.376,-0.123,5.015,-5.385,0.007,-0.125,0.01,0.992,0.019,-0.843,0.058,0.925,-14.317,1.003,False,False,0.0,-1.443,0.035,nan,3.476,4.295,1.639,2.393,-0.271,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,3.9,
0,0,482.6652,0.0,0.0,,,,-0.033,1.383,-1.486,-0.129,5.212,-5.595,0.007,-0.133,0.011,0.991,0.012,-0.846,0.065,0.955,-15.279,1.152,False,False,0.0,-1.454,0.035,nan,3.586,4.476,1.653,2.457,-0.292,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,3.9,
0,0,482.6873,0.0,0.0,,,,-0.036,1.49,-1.6,-0.135,5.408,-5.806,0.007,-0.141,0.011,0.99,0.01,-0.845,0.061,0.964,-16.239,1.144,False,False,0.0,-1.462,0.036,nan,3.759,4.751,1.665,2.548,-0.308,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,3.9,
0,0,482.7622,0.0,0.0,,,,-0.047,1.954,-2.098,-0.164,6.192,-6.649,0.007,-0.173,0.014,0.985,0.003,-0.828,0.061,1.055,-19.937,1.425,False,False,0.0,-1.475,0.038,nan,4.198,5.406,1.666,2.715,-0.356,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,3.9,
0,0,482.8416,0.0,0.0,,,,-0.062,2.48,-2.664,-0.2,6.977,-7.493,0.007,-0.202,0.015,0.979,0.007,-0.764,0.059,1.129,-23.33,1.548,False,False,0.0,-1.465,0.041,nan,4.764,6.177,1.644,2.818,-0.402,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,3.9,
0,0,482.8543,0.0,0.0,,,,-0.064,2.551,-2.739,-0.205,7.075,-7.599,0.007,-0.206,0.015,0.978,0.01,-0.748,0.057,1.136,-23.816,1.543,False,False,0.0,-1.462,0.042,nan,4.839,6.275,1.638,2.815,-0.406,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,3.9,
0,0,482.8862,0.0,0.0,,,,-0.07,2.767,-2.972,-0.22,7.368,-7.916,0.007,-0.216,0.017,0.976,0.004,-0.712,0.051,1.185,-24.954,1.687,False,False,0.0,-1.453,0.043,nan,5.152,6.672,1.642,2.829,-0.421,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,3.9,
0,0,482.9163,0.0,0.0,,,,-0.077,2.993,-3.214,-0.236,7.663,-8.233,0.007,-0.226,0.017,0.974,-0.003,-0.672,0.052,1.202,-26.093,1.675,False,False,0.0,-1.442,0.044,nan,5.314,6.874,1.645,2.823,-0.432,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,3.9,
0,0,482.9923,0.0,0.0,,,,-0.098,3.637,-3.907,-0.284,8.449,-9.079,0.007,-0.248,0.018,0.969,-0.016,-0.532,0.04,1.279,-28.708,1.801,False,False,0.0,-1.407,0.047,nan,6.007,7.705,1.651,2.737,-0.454,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,3.9,
0,0,483.0213,0.0,0.0,,,,-0.106,3.895,-4.184,-0.303,8.742,-9.396,0.007,-0.255,0.019,0.967,-0.011,-0.474,0.038,1.333,-29.53,1.945,False,False,0.0,-1.392,0.048,nan,6.284,8.031,1.638,2.684,-0.461,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,3.9,
0,0,483.0343,0.0,0.0,,,,-0.109,3.983,-4.278,-0.31,8.84,-9.501,0.007,-0.256,0.019,0.966,-0.004,-0.455,0.038,1.335,-29.694,1.943,False,False,0.0,-1.386,0.048,nan,6.378,8.142,1.623,2.665,-0.464,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,3.9,
0,0,483.0423,0.0,0.0,,,,-0.112,4.072,-4.374,-0.317,8.938,-9.607,0.007,-0.257,0.019,0.966,-0.008,-0.433,0.038,1.338,-29.859,1.941,False,False,0.0,-1.381,0.048,nan,6.474,8.255,1.629,2.641,-0.467,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,3.9,
0,0,483.0743,0.0,0.0,,,,-0.122,4.344,-4.667,-0.338,9.231,-9.924,0.007,-0.263,0.019,0.965,-0.009,-0.373,0.032,1.349,-30.516,1.933,False,False,0.0,-1.365,0.049,nan,6.867,8.72,1.62,2.531,-0.471,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,3.9,
0,0,483.0853,0.0,0.0,,,,-0.126,4.437,-4.767,-0.345,9.33,-10.03,0.007,-0.264,0.019,0.964,-0.007,-0.341,0.028,1.352,-30.68,1.931,False,False,0.0,-1.359,0.05,nan,6.967,8.841,1.611,2.506,-0.469,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,3.9,
0,0,483.1043,0.0,0.0,,,,-0.133,4.626,-4.969,-0.359,9.525,-10.242,0.007,-0.267,0.019,0.963,-0.005,-0.299,0.024,1.358,-31.009,1.927,False,False,0.0,-1.348,0.05,nan,7.069,8.963,1.613,2.477,-0.466,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,3.9,
