k_ep,k_run,t,NN_flip,NN_policy,mu,sigma,policy,x,y,z,vx,vy,vz,qx,qy,qz,qw,wx,wy,wz,eul_x,eul_y,eul_z,flip_flag,impact_flag,Tau,OF_x,OF_y,RREV,d_ceil,F_thrust[N],Mx[Nmm],My[Nmm],Mz[Nmm],M1_pwm,M2_pwm,M3_pwm,M4_pwm,x_d.x,x_d.y,x_d.z,v_d.x,v_d.y,v_d.z,a_d.x,a_d.y,a_d.z,Volts,Error
0,0,417.0123,0.0,0.0,,,,0.022,-0.014,-1.497,0.116,-0.07,-7.681,0.004,-0.001,-0.105,0.994,0.018,-0.016,-0.463,0.467,-0.11,-12.074,False,False,0.0,0.019,-0.033,nan,3.675,5.522,-0.069,-0.005,1.106,60000.0,32156.0,60000.0,32546.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,3.964,
0,0,417.0202,0.0,0.0,,,,0.024,-0.015,-1.575,0.118,-0.071,-7.878,0.004,-0.001,-0.108,0.994,0.012,-0.015,-0.457,0.467,-0.109,-12.393,False,False,0.0,0.019,-0.033,nan,3.755,5.686,-0.082,0.003,1.113,60000.0,32056.0,60000.0,32476.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,3.964,
0,0,417.0312,0.0,0.0,,,,0.025,-0.015,-1.655,0.121,-0.073,-8.075,0.004,-0.001,-0.109,0.994,0.019,-0.019,-0.45,0.467,-0.108,-12.553,False,False,0.0,0.019,-0.033,nan,3.837,5.853,-0.078,-0.02,1.118,60000.0,31946.0,60000.0,32462.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,3.964,
0,0,417.0393,0.0,0.0,,,,0.026,-0.016,-1.737,0.124,-0.075,-8.273,0.004,-0.001,-0.112,0.994,0.016,-0.005,-0.443,0.467,-0.107,-12.872,False,False,0.0,0.019,-0.033,nan,3.92,6.023,-0.073,-0.018,1.124,60000.0,31898.0,60000.0,32374.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,3.964,
0,0,417.0691,0.0,0.0,,,,0.03,-0.019,-1.994,0.132,-0.08,-8.863,0.004,-0.001,-0.119,0.993,0.017,0.004,-0.431,0.467,-0.104,-13.67,False,False,0.0,0.019,-0.033,nan,4.094,6.368,-0.08,-0.035,1.137,60000.0,31676.0,60000.0,32284.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,3.964,
0,0,417.1372,0.0,0.0,,,,0.0,-0.001,0.0,0.003,-0.003,-0.197,0.0,0.0,-0.001,1.0,0.015,0.008,-0.368,0.0,0.0,-0.159,False,False,0.0,0.0,-0.002,nan,2.1,0.944,-0.03,-0.019,0.38,52394.0,41270.0,52478.0,41546.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,3.964,
0,0,417.1502,0.0,0.0,,,,0.0,-0.001,-0.003,0.006,-0.005,-0.393,0.0,0.0,-0.004,1.0,0.011,0.003,-0.352,0.0,0.0,-0.476,False,False,0.0,0.001,-0.003,nan,2.108,1.091,-0.03,-0.031,0.386,52544.0,41156.0,52536.0,41496.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,3.964,
0,0,417.2422,0.0,0.0,,,,0.001,-0.002,-0.119,0.033,-0.022,-2.167,0.0,0.0,-0.018,1.0,0.011,-0.002,-0.275,0.0,0.0,-2.062,False,False,0.0,0.009,-0.016,nan,2.219,1.775,-0.041,-0.027,0.386,52492.0,41136.0,52588.0,41518.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,3.964,
0,0,417.3591,0.0,0.0,,,,0.008,-0.006,-0.521,0.07,-0.046,-4.53,0.001,-0.0,-0.032,0.999,0.006,-0.011,-0.152,0.159,0.005,-3.648,False,False,0.0,0.017,-0.027,nan,2.621,3.084,-0.041,-0.016,0.341,51712.0,41754.0,51890.0,42076.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,3.964,
0,0,417.4372,0.0,0.0,,,,0.014,-0.01,-0.946,0.094,-0.062,-6.106,0.001,-0.0,-0.036,0.999,0.002,-0.011,-0.061,0.159,0.006,-4.124,False,False,0.0,0.02,-0.032,nan,3.046,4.146,-0.037,-0.014,0.276,50680.0,42626.0,50840.0,42920.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,3.964,
