k_ep,k_run,t,NN_flip,NN_policy,mu,sigma,policy,x,y,z,vx,vy,vz,qx,qy,qz,qw,wx,wy,wz,eul_x,eul_y,eul_z,flip_flag,impact_flag,Tau,OF_x,OF_y,RREV,d_ceil,F_thrust[N],Mx[Nmm],My[Nmm],Mz[Nmm],M1_pwm,M2_pwm,M3_pwm,M4_pwm,x_d.x,x_d.y,x_d.z,v_d.x,v_d.y,v_d.z,a_d.x,a_d.y,a_d.z,Volts,Error
0,0,0.764,0.0,0.0,,,,0.0,-0.0,0.335,0.0,-0.0,-0.069,0.0,0.0,-0.0,1.0,0.0,0.0,-0.0,0.0,0.0,-0.0,False,False,nan,-0.0,0.0,-0.052,1.753,0.471,-0.0,-0.0,0.0,42591.0,42591.0,42591.0,42591.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,0,0.774,0.0,0.0,,,,0.0,-0.0,0.334,0.0,-0.0,-0.03,0.0,0.0,-0.0,1.0,0.0,0.0,-0.0,0.0,0.0,-0.0,False,False,nan,-0.0,0.0,-0.028,1.753,0.458,-0.0,-0.0,0.0,41522.0,41522.0,41522.0,41522.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,0,0.814,0.0,0.0,,,,0.0,-0.0,0.336,0.0,-0.0,0.091,0.0,0.0,-0.0,1.0,0.0,0.0,-0.0,0.0,0.0,-0.0,False,False,nan,-0.0,0.0,0.045,1.752,0.414,-0.0,-0.0,0.0,38053.0,38053.0,38053.0,38053.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,0,0.824,0.0,0.0,,,,0.0,-0.0,0.337,0.0,-0.0,0.113,0.0,0.0,-0.0,1.0,0.0,0.0,-0.0,0.0,0.0,-0.0,False,False,17.147,-0.0,0.0,0.058,1.752,0.405,-0.0,-0.0,0.0,37353.0,37353.0,37353.0,37353.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,0,0.835,0.0,0.0,,,,0.0,-0.0,0.338,0.0,-0.0,0.133,0.0,0.0,-0.0,1.0,0.0,0.0,-0.0,0.0,0.0,-0.0,False,False,14.206,-0.0,0.0,0.07,1.75,0.396,-0.0,-0.0,0.0,36709.0,36709.0,36709.0,36709.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,0,0.864,0.0,0.0,,,,0.0,-0.0,0.343,0.0,-0.0,0.178,0.0,0.0,-0.0,1.0,0.0,0.0,-0.0,0.0,0.0,-0.0,False,False,10.16,-0.0,0.0,0.098,1.746,0.375,-0.0,-0.0,0.0,35072.0,35072.0,35072.0,35072.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,0,0.875,0.0,0.0,,,,0.0,-0.0,0.345,0.0,-0.0,0.189,0.0,0.0,-0.0,1.0,0.0,0.0,-0.0,0.0,0.0,-0.0,False,False,9.49,-0.0,0.0,0.105,1.744,0.369,-0.0,-0.0,0.0,34614.0,34614.0,34614.0,34614.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,0,0.885,0.0,0.0,,,,0.0,-0.0,0.347,0.0,-0.0,0.198,0.0,0.0,-0.0,1.0,0.0,0.0,-0.0,0.0,0.0,-0.0,False,False,8.986,-0.0,0.0,0.111,1.742,0.363,-0.0,-0.0,0.0,34194.0,34194.0,34194.0,34194.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,0,0.894,0.0,0.0,,,,0.0,-0.0,0.349,0.0,-0.0,0.206,0.0,0.0,-0.0,1.0,0.0,0.0,-0.0,0.0,0.0,-0.0,False,False,8.603,-0.0,0.0,0.116,1.74,0.358,-0.0,-0.0,0.0,33810.0,33810.0,33810.0,33810.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,0,0.915,0.0,0.0,,,,0.0,-0.0,0.353,0.0,-0.0,0.217,0.0,0.0,-0.0,1.0,0.0,0.0,-0.0,0.0,0.0,-0.0,False,False,8.093,-0.0,0.0,0.124,1.736,0.349,-0.0,-0.0,0.0,33140.0,33140.0,33140.0,33140.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,0,0.955,0.0,0.0,,,,0.0,-0.0,0.362,0.0,-0.0,0.224,0.0,0.0,-0.0,1.0,0.0,0.0,-0.0,0.0,0.0,-0.0,False,False,7.701,-0.0,0.0,0.13,1.727,0.336,-0.0,-0.0,0.0,32137.0,32137.0,32137.0,32137.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,0,0.964,0.0,0.0,,,,0.0,-0.0,0.364,0.0,-0.0,0.224,0.0,0.0,-0.0,1.0,0.0,0.0,-0.0,0.0,0.0,-0.0,False,False,7.691,-0.0,0.0,0.13,1.725,0.333,-0.0,-0.0,0.0,31945.0,31945.0,31945.0,31945.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,0,0.975,0.0,0.0,,,,0.0,-0.0,0.366,0.0,-0.0,0.223,0.0,0.0,-0.0,1.0,0.0,0.0,-0.0,0.0,0.0,-0.0,False,False,7.709,-0.0,0.0,0.13,1.723,0.331,-0.0,-0.0,0.0,31774.0,31774.0,31774.0,31774.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,0,0.985,0.0,0.0,,,,0.0,-0.0,0.369,0.0,-0.0,0.221,0.0,0.0,-0.0,1.0,0.0,0.0,-0.0,0.0,0.0,-0.0,False,False,7.751,-0.0,0.0,0.129,1.721,0.329,-0.0,-0.0,0.0,31621.0,31621.0,31621.0,31621.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,0,1.004,0.0,0.0,,,,0.0,-0.0,0.373,0.0,-0.0,0.216,0.0,0.0,-0.0,1.0,0.0,0.0,-0.0,0.0,0.0,-0.0,False,False,7.903,-0.0,0.0,0.127,1.716,0.326,-0.0,-0.0,0.0,31368.0,31368.0,31368.0,31368.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,0,1.054,0.0,0.0,,,,0.0,-0.0,0.383,0.0,-0.0,0.195,0.0,0.0,-0.0,1.0,0.0,0.0,-0.0,0.0,0.0,-0.0,False,False,8.639,-0.0,0.0,0.116,1.706,0.321,-0.0,-0.0,0.0,30980.0,30980.0,30980.0,30980.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,0,1.064,0.0,0.0,,,,0.0,-0.0,0.385,0.0,-0.0,0.19,0.0,0.0,-0.0,1.0,0.0,0.0,-0.0,0.0,0.0,-0.0,False,False,8.846,-0.0,0.0,0.113,1.704,0.32,-0.0,-0.0,0.0,30936.0,30936.0,30936.0,30936.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,0,1.074,0.0,0.0,,,,0.0,-0.0,0.387,0.0,-0.0,0.185,0.0,0.0,-0.0,1.0,0.0,0.0,-0.0,0.0,0.0,-0.0,False,False,9.072,-0.0,0.0,0.11,1.702,0.32,-0.0,-0.0,0.0,30901.0,30901.0,30901.0,30901.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,0,1.104,0.0,0.0,,,,0.0,-0.0,0.392,0.0,-0.0,0.169,0.0,0.0,-0.0,1.0,0.0,0.0,-0.0,0.0,0.0,-0.0,False,False,9.879,-0.0,0.0,0.101,1.697,0.319,-0.0,-0.0,0.0,30844.0,30844.0,30844.0,30844.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,0,1.114,0.0,0.0,,,,0.0,-0.0,0.394,0.0,-0.0,0.164,0.0,0.0,-0.0,1.0,0.0,0.0,-0.0,0.0,0.0,-0.0,False,False,10.16,-0.0,0.0,0.098,1.695,0.319,-0.0,-0.0,0.0,30838.0,30838.0,30838.0,30838.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,0,1.135,0.0,0.0,,,,0.0,-0.0,0.397,0.0,-0.0,0.153,0.0,0.0,-0.0,1.0,0.0,0.0,-0.0,0.0,0.0,-0.0,False,False,10.893,-0.0,0.0,0.092,1.692,0.319,-0.0,-0.0,0.0,30843.0,30843.0,30843.0,30843.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,0,1.175,0.0,0.0,,,,0.0,-0.0,0.403,0.0,-0.0,0.131,0.0,0.0,-0.0,1.0,0.0,0.0,-0.0,0.0,0.0,-0.0,False,False,12.624,-0.0,0.0,0.079,1.686,0.32,-0.0,-0.0,0.0,30903.0,30903.0,30903.0,30903.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,0,1.185,0.0,0.0,,,,0.0,-0.0,0.404,0.0,-0.0,0.126,0.0,0.0,-0.0,1.0,0.0,0.0,-0.0,0.0,0.0,-0.0,False,False,13.082,-0.0,0.0,0.076,1.685,0.32,-0.0,-0.0,0.0,30926.0,30926.0,30926.0,30926.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,0,1.194,0.0,0.0,,,,0.0,-0.0,0.405,0.0,-0.0,0.12,0.0,0.0,-0.0,1.0,0.0,0.0,-0.0,0.0,0.0,-0.0,False,False,13.681,-0.0,0.0,0.073,1.683,0.32,-0.0,-0.0,0.0,30951.0,30951.0,30951.0,30951.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,0,1.205,0.0,0.0,,,,0.0,-0.0,0.407,0.0,-0.0,0.115,0.0,0.0,-0.0,1.0,0.0,0.0,-0.0,0.0,0.0,-0.0,False,False,14.265,-0.0,0.0,0.07,1.682,0.321,-0.0,-0.0,0.0,30979.0,30979.0,30979.0,30979.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,0,1.254,0.0,0.0,,,,0.0,-0.0,0.412,0.0,-0.0,0.092,-0.0,-0.0,-0.0,1.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,False,False,17.853,-0.0,0.0,0.056,1.677,0.323,-0.0,-0.0,-0.0,31138.0,31138.0,31138.0,31138.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,0,1.325,0.0,0.0,,,,0.0,-0.0,0.417,0.0,-0.0,0.064,0.0,0.0,0.0,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,False,False,nan,-0.0,0.0,0.039,1.671,0.326,0.0,0.0,0.0,31381.0,31381.0,31381.0,31381.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,0,1.335,0.0,0.0,,,,0.0,-0.0,0.418,0.0,-0.0,0.061,-0.0,-0.0,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,False,False,nan,-0.0,0.0,0.037,1.671,0.326,0.0,0.0,0.0,31415.0,31415.0,31415.0,31415.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,0,1.344,0.0,0.0,,,,0.0,-0.0,0.418,0.0,-0.0,0.057,-0.0,-0.0,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,False,False,nan,-0.0,0.0,0.035,1.67,0.327,0.0,0.0,0.0,31449.0,31449.0,31449.0,31449.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,0,1.354,0.0,0.0,,,,0.0,-0.0,0.419,0.0,-0.0,0.054,-0.0,-0.0,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,False,False,nan,-0.0,0.0,0.033,1.669,0.327,0.0,0.0,0.0,31482.0,31482.0,31482.0,31482.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,0,1.365,0.0,0.0,,,,0.0,-0.0,0.419,-0.0,-0.0,0.051,-0.0,-0.0,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,False,False,nan,-0.0,0.0,0.032,1.669,0.328,0.0,0.0,0.0,31515.0,31515.0,31515.0,31514.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,0,1.394,0.0,0.0,,,,0.0,-0.0,0.421,-0.0,0.0,0.043,-0.0,-0.0,-0.0,1.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,False,False,nan,-0.0,0.0,0.026,1.667,0.329,0.0,0.0,-0.0,31609.0,31609.0,31609.0,31609.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,0,1.405,0.0,0.0,,,,0.0,-0.0,0.421,-0.0,0.0,0.04,-0.0,-0.0,-0.0,1.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,False,False,nan,-0.0,0.0,0.025,1.667,0.329,0.0,0.0,-0.0,31638.0,31638.0,31638.0,31638.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,0,1.435,0.0,0.0,,,,0.0,-0.0,0.422,-0.0,0.0,0.033,-0.0,-0.0,-0.0,1.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,False,False,nan,-0.0,0.0,0.021,1.666,0.331,0.0,0.0,-0.0,31723.0,31723.0,31723.0,31723.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,0,1.485,0.0,0.0,,,,-0.0,0.0,0.424,-0.0,0.0,0.024,-0.0,-0.0,-0.0,1.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,False,False,nan,-0.0,0.0,0.015,1.664,0.332,-0.0,-0.0,-0.0,31847.0,31847.0,31847.0,31847.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,0,1.494,0.0,0.0,,,,-0.0,0.0,0.424,-0.0,0.0,0.022,-0.0,-0.0,-0.0,1.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,False,False,nan,-0.0,0.0,0.014,1.664,0.332,-0.0,-0.0,-0.0,31869.0,31869.0,31869.0,31869.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,0,1.514,0.0,0.0,,,,-0.0,0.0,0.424,-0.0,0.0,0.019,-0.0,-0.0,-0.0,1.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,False,False,nan,-0.0,0.0,0.012,1.664,0.333,-0.0,-0.0,-0.0,31911.0,31911.0,31911.0,31911.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,0,1.535,0.0,0.0,,,,-0.0,0.0,0.425,-0.0,0.0,0.016,0.0,0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,False,False,nan,-0.0,0.0,0.01,1.663,0.334,-0.0,-0.0,-0.0,31950.0,31950.0,31950.0,31950.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,0,1.545,0.0,0.0,,,,-0.0,0.0,0.425,-0.0,0.0,0.015,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,nan,-0.0,0.0,0.009,1.663,0.334,-0.0,-0.0,-0.0,31968.0,31968.0,31968.0,31968.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,0,1.555,0.0,0.0,,,,-0.0,0.0,0.425,-0.0,0.0,0.014,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,nan,-0.0,0.0,0.009,1.663,0.334,-0.0,-0.0,-0.0,31986.0,31986.0,31986.0,31986.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,0,1.605,0.0,0.0,,,,-0.0,0.0,0.426,-0.0,0.0,0.009,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,nan,-0.0,0.0,0.006,1.663,0.335,-0.0,-0.0,-0.0,32061.0,32061.0,32061.0,32061.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,0,1.614,0.0,0.0,,,,-0.0,0.0,0.426,-0.0,0.0,0.008,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,nan,-0.0,0.0,0.005,1.662,0.335,-0.0,-0.0,-0.0,32074.0,32074.0,32074.0,32075.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,0,1.624,0.0,0.0,,,,-0.0,0.0,0.426,-0.0,0.0,0.008,0.0,0.0,0.0,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,False,False,nan,-0.0,0.0,0.005,1.662,0.335,0.0,0.0,0.0,32087.0,32087.0,32087.0,32087.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,0,1.645,0.0,0.0,,,,-0.0,0.0,0.426,-0.0,0.0,0.006,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,nan,-0.0,0.0,0.004,1.662,0.336,-0.0,-0.0,-0.0,32110.0,32110.0,32110.0,32110.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,0,1.674,0.0,0.0,,,,-0.0,0.0,0.426,-0.0,0.0,0.005,0.0,0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,False,False,nan,-0.0,0.0,0.003,1.662,0.336,-0.0,-0.0,-0.0,32140.0,32140.0,32140.0,32140.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,0,1.685,0.0,0.0,,,,-0.0,0.0,0.426,-0.0,0.0,0.004,0.0,0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,False,False,nan,-0.0,0.0,0.003,1.662,0.336,-0.0,-0.0,-0.0,32149.0,32149.0,32149.0,32149.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,0,1.695,0.0,0.0,,,,-0.0,0.0,0.426,-0.0,0.0,0.004,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,nan,-0.0,0.0,0.002,1.662,0.336,-0.0,-0.0,-0.0,32158.0,32157.0,32158.0,32158.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,0,1.724,0.0,0.0,,,,-0.0,0.0,0.426,-0.0,0.0,0.002,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,nan,-0.0,0.0,0.002,1.662,0.337,-0.0,-0.0,-0.0,32180.0,32180.0,32180.0,32180.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,0,1.735,0.0,0.0,,,,-0.0,0.0,0.426,-0.0,0.0,0.002,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,nan,-0.0,0.0,0.001,1.662,0.337,-0.0,-0.0,-0.0,32187.0,32187.0,32187.0,32187.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,0,1.764,0.0,0.0,,,,-0.0,0.0,0.426,-0.0,0.0,0.001,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,nan,-0.0,0.0,0.001,1.662,0.337,-0.0,-0.0,-0.0,32205.0,32205.0,32205.0,32205.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,0,1.785,0.0,0.0,,,,-0.0,0.0,0.426,-0.0,0.0,0.001,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,nan,-0.0,0.0,0.001,1.662,0.337,-0.0,-0.0,-0.0,32215.0,32215.0,32215.0,32215.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
