k_ep,k_run,t,NN_flip,NN_policy,mu,sigma,policy,x,y,z,vx,vy,vz,qx,qy,qz,qw,wx,wy,wz,eul_x,eul_y,eul_z,flip_flag,impact_flag,Tau,OF_x,OF_y,RREV,d_ceil,F_thrust[N],Mx[Nmm],My[Nmm],Mz[Nmm],M1_pwm,M2_pwm,M3_pwm,M4_pwm,x_d.x,x_d.y,x_d.z,v_d.x,v_d.y,v_d.z,a_d.x,a_d.y,a_d.z,Volts,Error
0,0,246.5314,0.0,0.0,,,,0.024,0.044,1.01,-0.006,-0.033,0.001,0.011,0.017,0.011,1.0,-0.075,-0.022,-0.006,1.248,1.889,1.289,False,False,0.0,0.029,0.004,nan,1.089,0.326,0.15,-0.246,-0.057,31600.0,31924.0,29888.0,32330.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.441,
0,0,246.542,0.0,0.0,,,,0.024,0.043,1.01,-0.003,-0.034,-0.001,0.01,0.017,0.011,1.0,-0.075,-0.058,-0.009,1.089,1.891,1.287,False,False,0.0,0.031,0.002,nan,1.089,0.327,0.185,-0.218,-0.055,31718.0,32098.0,29976.0,32236.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.441,
0,0,246.5914,0.0,0.0,,,,0.023,0.042,1.009,0.004,-0.045,0.006,0.008,0.017,0.011,1.0,-0.041,0.004,0.028,0.93,1.893,1.284,False,False,0.0,0.04,-0.005,nan,1.09,0.325,0.151,-0.296,-0.092,31212.0,32176.0,29276.0,32794.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.436,
0,0,246.611,0.0,0.0,,,,0.023,0.042,1.009,0.011,-0.039,0.002,0.007,0.017,0.011,1.0,-0.165,0.022,0.034,0.772,1.894,1.282,False,False,0.0,0.035,-0.011,nan,1.09,0.327,0.359,-0.335,-0.102,31752.0,32778.0,28746.0,32672.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.436,
0,0,246.624,0.0,0.0,,,,0.023,0.041,1.009,0.016,-0.041,0.0,0.007,0.017,0.011,1.0,-0.138,-0.04,-0.053,0.772,1.894,1.282,False,False,0.0,0.036,-0.016,nan,1.09,0.328,0.18,-0.366,-0.015,32574.0,31360.0,30222.0,32156.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.436,
0,0,246.634,0.0,0.0,,,,0.023,0.041,1.008,0.023,-0.041,-0.002,0.006,0.017,0.011,1.0,-0.112,0.019,-0.014,0.613,1.896,1.279,False,False,0.0,0.036,-0.022,nan,0.0,0.329,0.272,-0.268,-0.053,32170.0,32292.0,29840.0,32270.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.436,
0,0,246.644,0.0,0.0,,,,0.023,0.041,1.008,0.026,-0.04,-0.001,0.006,0.017,0.011,1.0,-0.108,-0.026,-0.002,0.613,1.896,1.279,False,False,0.0,0.036,-0.025,nan,1.091,0.329,0.203,-0.356,-0.064,32038.0,32068.0,29626.0,32722.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.436,
0,0,246.654,0.0,0.0,,,,0.024,0.041,1.008,0.03,-0.042,0.001,0.006,0.017,0.011,1.0,-0.127,-0.028,0.014,0.613,1.896,1.279,False,False,0.0,0.037,-0.028,nan,1.091,0.328,0.274,-0.291,-0.082,31786.0,32518.0,29344.0,32590.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.436,
0,0,246.6824,0.0,0.0,,,,0.024,0.04,1.007,0.035,-0.047,0.007,0.004,0.015,0.011,1.0,-0.065,-0.156,0.029,0.456,1.739,1.276,False,False,0.0,0.042,-0.033,nan,1.092,0.326,0.184,-0.075,-0.098,30826.0,32876.0,29706.0,32400.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.436,
0,0,246.802,0.0,0.0,,,,0.029,0.035,0.998,0.054,-0.042,-0.207,0.004,0.087,0.011,0.996,0.293,4.623,0.003,0.363,9.999,1.305,False,False,0.0,0.037,-0.05,nan,1.101,0.0,0.0,6.0,0.0,0.0,19050.0,19050.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.753,
