k_ep,k_run,t,NN_flip,NN_policy,mu,sigma,policy,x,y,z,vx,vy,vz,qx,qy,qz,qw,wx,wy,wz,eul_x,eul_y,eul_z,flip_flag,impact_flag,Tau,OF_x,OF_y,RREV,d_ceil,F_thrust[N],Mx[Nmm],My[Nmm],Mz[Nmm],M1_pwm,M2_pwm,M3_pwm,M4_pwm,x_d.x,x_d.y,x_d.z,v_d.x,v_d.y,v_d.z,a_d.x,a_d.y,a_d.z,Volts,Error
0,0,382.5324,0.0,0.0,,,,-1.175,0.001,-1.087,-4.795,0.009,-4.441,-0.158,-0.001,0.014,0.987,-0.793,-0.029,0.064,-18.156,0.094,1.591,False,False,0.0,-0.004,1.504,nan,3.187,3.532,2.547,1.916,0.077,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,0,382.5434,0.0,0.0,,,,-1.223,0.001,-1.132,-4.892,0.01,-4.531,-0.162,-0.001,0.015,0.987,-0.782,-0.031,0.075,-18.639,0.126,1.747,False,False,0.0,-0.004,1.513,nan,3.232,3.603,2.555,1.923,0.071,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,0,382.6194,0.0,0.0,,,,-1.646,0.002,-1.523,-5.676,0.019,-5.258,-0.19,-0.003,0.018,0.982,-0.753,-0.023,0.065,-21.861,0.08,2.084,False,False,0.0,-0.006,1.566,nan,3.676,4.256,2.734,1.912,0.113,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,0,382.6595,0.0,0.0,,,,-1.881,0.003,-1.741,-6.068,0.026,-5.621,-0.203,-0.003,0.019,0.979,-0.721,-0.007,0.058,-23.481,0.141,2.238,False,False,0.0,-0.007,1.579,nan,3.898,4.556,2.782,1.886,0.134,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,0,382.6805,0.0,0.0,,,,-2.004,0.004,-1.855,-6.263,0.03,-5.803,-0.21,-0.003,0.019,0.977,-0.712,0.003,0.072,-24.292,0.157,2.237,False,False,0.0,-0.008,1.583,nan,4.014,4.709,2.799,1.878,0.126,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,3.863,
0,0,382.8144,0.0,0.0,,,,-2.901,0.009,-2.686,-7.536,0.063,-6.983,-0.249,-0.001,0.022,0.968,-0.577,0.015,0.051,-28.864,0.479,2.497,False,False,0.0,-0.014,1.574,nan,4.786,5.663,2.839,1.831,0.184,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,3.869,
0,0,382.8255,0.0,0.0,,,,-2.977,0.01,-2.757,-7.634,0.066,-7.073,-0.252,-0.001,0.024,0.967,-0.563,0.008,0.048,-29.194,0.526,2.649,False,False,0.0,-0.014,1.571,nan,4.928,5.829,2.837,1.843,0.192,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,3.869,
0,0,382.8914,0.0,0.0,,,,-3.535,0.015,-3.274,-8.32,0.091,-7.709,-0.268,-0.001,0.025,0.963,-0.465,-0.009,0.042,-31.169,0.614,2.792,False,False,0.0,-0.017,1.548,nan,5.374,6.339,2.78,1.854,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,3.863,
0,0,382.9455,0.0,0.0,,,,-3.963,0.02,-3.671,-8.81,0.112,-8.162,-0.277,-0.001,0.025,0.961,-0.392,-0.02,0.038,-32.159,0.638,2.787,False,False,0.0,-0.02,1.526,nan,5.771,6.782,2.719,1.866,0.223,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,3.863,
0,0,382.9534,0.0,0.0,,,,-4.052,0.021,-3.753,-8.908,0.117,-8.253,-0.278,-0.001,0.025,0.96,-0.374,-0.017,0.04,-32.324,0.642,2.786,False,False,0.0,-0.021,1.521,nan,5.853,6.873,2.706,1.863,0.221,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,3.863,
0,0,383.0105,0.0,0.0,,,,-4.604,0.029,-4.264,-9.495,0.147,-8.797,-0.286,-0.003,0.026,0.958,-0.275,-0.004,0.026,-33.316,0.56,2.978,False,False,0.0,-0.024,1.491,nan,6.364,7.446,2.592,1.836,0.241,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,3.863,
