k_ep,k_run,t,NN_flip,NN_policy,mu,sigma,policy,x,y,z,vx,vy,vz,qx,qy,qz,qw,wx,wy,wz,eul_x,eul_y,eul_z,flip_flag,impact_flag,Tau,OF_x,OF_y,RREV,d_ceil,F_thrust[N],Mx[Nmm],My[Nmm],Mz[Nmm],M1_pwm,M2_pwm,M3_pwm,M4_pwm,x_d.x,x_d.y,x_d.z,v_d.x,v_d.y,v_d.z,a_d.x,a_d.y,a_d.z,Volts,Error
0,0,278.4513,0.0,0.0,,,,0.001,0.031,-0.032,0.04,0.785,-0.802,0.001,0.014,-0.0,1.0,0.021,0.309,-0.001,0.159,1.586,0.002,False,False,0.0,-0.369,-0.019,nan,2.124,1.149,0.695,-0.677,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,0,278.4872,0.0,0.0,,,,0.003,0.07,-0.072,0.06,1.178,-1.205,0.001,0.019,-0.0,1.0,0.009,0.273,0.0,0.159,2.22,0.003,False,False,0.0,-0.543,-0.028,nan,2.172,1.381,1.043,-0.677,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,3.89,
0,0,278.5052,0.0,0.0,,,,0.004,0.096,-0.098,0.07,1.375,-1.406,0.001,0.022,-0.0,1.0,0.014,0.256,-0.004,0.159,2.537,0.004,False,False,0.0,-0.626,-0.033,nan,2.198,1.483,1.152,-0.664,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,3.895,
0,0,278.5361,0.0,0.0,,,,0.007,0.141,-0.145,0.085,1.67,-1.707,0.001,0.026,-0.0,1.0,0.008,0.23,0.0,0.159,3.013,0.004,False,False,0.0,-0.745,-0.039,nan,2.245,1.643,1.282,-0.649,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,3.89,
0,0,278.5841,0.0,0.0,,,,0.012,0.237,-0.242,0.111,2.162,-2.208,0.003,0.032,-0.0,0.999,0.014,0.178,0.0,0.317,3.648,0.01,False,False,0.0,-0.924,-0.048,nan,2.342,1.935,1.434,-0.615,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,3.895,
0,0,278.6231,0.0,0.0,,,,0.017,0.332,-0.339,0.132,2.555,-2.609,0.003,0.035,-0.0,0.999,0.021,0.133,0.003,0.317,3.965,0.011,False,False,0.0,-1.048,-0.055,nan,2.439,2.19,1.516,-0.56,0.026,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,3.895,
0,0,278.7245,0.0,0.0,,,,0.033,0.636,-0.65,0.187,3.539,-3.611,0.004,0.039,-0.0,0.999,0.017,0.023,0.002,0.475,4.441,0.018,False,False,0.0,-1.287,-0.069,nan,2.75,2.914,1.657,-0.408,0.032,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,3.895,
0,0,278.7352,0.0,0.0,,,,0.034,0.672,-0.687,0.192,3.637,-3.712,0.004,0.039,-0.0,0.999,0.012,0.018,0.002,0.475,4.441,0.018,False,False,0.0,-1.306,-0.07,nan,2.787,2.993,1.667,-0.394,0.032,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,3.89,
0,0,278.8322,0.0,0.0,,,,0.056,1.085,-1.108,0.248,4.619,-4.714,0.004,0.036,0.0,0.999,-0.011,-0.103,0.003,0.475,4.124,0.017,False,False,0.0,-1.44,-0.078,nan,3.116,3.669,1.76,-0.234,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,3.895,
0,0,278.8731,0.0,0.0,,,,0.067,1.278,-1.304,0.271,5.013,-5.114,0.004,0.033,0.0,0.999,-0.014,-0.142,0.003,0.475,3.806,0.016,False,False,0.0,-1.473,-0.08,nan,3.354,4.131,1.798,-0.121,0.026,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,3.89,
