k_ep,k_run,t,NN_flip,NN_policy,mu,sigma,policy,x,y,z,vx,vy,vz,qx,qy,qz,qw,wx,wy,wz,eul_x,eul_y,eul_z,flip_flag,impact_flag,Tau,OF_x,OF_y,RREV,d_ceil,F_thrust[N],Mx[Nmm],My[Nmm],Mz[Nmm],M1_pwm,M2_pwm,M3_pwm,M4_pwm,x_d.x,x_d.y,x_d.z,v_d.x,v_d.y,v_d.z,a_d.x,a_d.y,a_d.z,Volts,Error
0,0,221.6789,0.0,0.0,,,,0.044,0.017,-0.944,0.288,0.114,-6.093,-0.003,-0.003,0.032,0.999,-0.006,-0.001,0.062,-0.308,-0.308,3.649,False,False,0.0,-0.038,-0.095,nan,3.044,4.14,0.073,-0.082,-0.253,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,0,221.7558,0.0,0.0,,,,0.07,0.028,-1.494,0.363,0.143,-7.664,-0.003,-0.003,0.032,0.999,0.005,0.004,-0.02,-0.308,-0.308,3.649,False,False,0.0,-0.041,-0.102,nan,3.672,5.512,0.055,-0.101,-0.175,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,3.869,
0,0,221.798,0.0,0.0,,,,0.085,0.034,-1.817,0.4,0.158,-8.451,-0.003,-0.003,0.032,0.999,0.006,0.005,-0.049,-0.308,-0.308,3.649,False,False,0.0,-0.041,-0.103,nan,3.917,6.012,0.054,-0.097,-0.143,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,3.869,
0,0,221.85,0.0,0.0,,,,0.106,0.042,-2.264,0.447,0.175,-9.434,-0.003,-0.003,0.03,1.0,0.013,0.015,-0.106,-0.308,-0.308,3.49,False,False,0.0,-0.041,-0.103,nan,4.459,7.076,0.045,-0.117,-0.073,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,3.869,
0,0,221.897,0.0,0.0,,,,0.0,0.0,-0.003,0.018,0.007,-0.393,0.0,0.0,-0.001,1.0,0.019,0.018,-0.148,0.0,0.0,-0.159,False,False,0.0,-0.004,-0.009,nan,2.108,1.09,-0.022,-0.059,0.159,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,3.869,
0,0,221.9589,0.0,0.0,,,,0.002,0.001,-0.062,0.072,0.028,-1.571,0.001,0.0,-0.006,1.0,0.018,0.018,-0.194,0.159,0.001,-0.634,False,False,0.0,-0.014,-0.034,nan,2.162,1.499,-0.013,-0.098,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,3.874,
0,0,221.9792,0.0,0.0,,,,0.004,0.001,-0.098,0.09,0.036,-1.964,0.001,0.001,-0.008,1.0,0.024,0.02,-0.21,0.16,0.16,-0.951,False,False,0.0,-0.017,-0.042,nan,2.198,1.679,-0.02,-0.111,0.257,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,3.869,
0,0,222.052,0.0,0.0,,,,0.013,0.005,-0.284,0.153,0.062,-3.341,0.001,0.001,-0.017,1.0,0.025,0.025,-0.264,0.161,0.161,-1.903,False,False,0.0,-0.027,-0.065,nan,2.384,2.383,-0.021,-0.144,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,3.869,
0,0,222.0969,0.0,0.0,,,,0.021,0.008,-0.475,0.197,0.081,-4.325,0.003,0.003,-0.024,1.0,0.028,0.027,-0.313,0.325,0.325,-2.695,False,False,0.0,-0.032,-0.077,nan,2.619,3.08,-0.037,-0.155,0.459,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,3.869,
0,0,222.1588,0.0,0.0,,,,0.035,0.014,-0.77,0.25,0.105,-5.504,0.004,0.003,-0.032,0.999,0.035,0.025,-0.357,0.487,0.333,-3.646,False,False,0.0,-0.037,-0.088,nan,2.926,3.86,-0.049,-0.186,0.561,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,3.869,
0,0,222.1999,0.0,0.0,,,,0.046,0.019,-1.006,0.285,0.121,-6.29,0.004,0.004,-0.039,0.999,0.034,0.034,-0.374,0.495,0.495,-4.439,False,False,0.0,-0.039,-0.092,nan,3.106,4.282,-0.047,-0.187,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,3.869,
0,0,222.232,0.0,0.0,,,,0.055,0.022,-1.204,0.311,0.133,-6.88,0.004,0.004,-0.044,0.999,0.036,0.03,-0.391,0.498,0.498,-5.074,False,False,0.0,-0.041,-0.095,nan,3.304,4.725,-0.054,-0.186,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,3.869,
0,0,222.2779,0.0,0.0,,,,0.071,0.029,-1.572,0.355,0.152,-7.863,0.006,0.006,-0.055,0.998,0.038,0.026,-0.425,0.673,0.673,-6.342,False,False,0.0,-0.042,-0.097,nan,3.752,5.676,-0.069,-0.182,0.765,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,3.869,
0,0,222.3171,0.0,0.0,,,,0.086,0.036,-1.902,0.389,0.169,-8.65,0.007,0.006,-0.064,0.998,0.041,0.028,-0.44,0.838,0.689,-7.294,False,False,0.0,-0.043,-0.098,nan,4.002,6.183,-0.073,-0.193,0.817,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,3.869,
0,0,222.3669,0.0,0.0,,,,0.107,0.045,-2.359,0.432,0.189,-9.632,0.008,0.006,-0.073,0.997,0.048,0.024,-0.464,1.006,0.71,-8.406,False,False,0.0,-0.043,-0.098,nan,4.459,7.075,-0.092,-0.191,0.906,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,3.869,
0,0,222.389,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.043,0.023,-0.472,-0.0,-0.0,0.0,False,False,0.0,0.0,0.0,nan,0.0,0.873,-0.075,-0.04,0.472,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,3.869,
0,0,222.4699,0.0,0.0,,,,0.002,0.001,-0.062,0.073,0.032,-1.572,0.001,0.001,-0.019,1.0,0.049,0.013,-0.498,0.162,0.162,-2.22,False,False,0.0,-0.016,-0.035,nan,2.179,1.588,-0.062,-0.109,0.627,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,3.869,
0,0,222.497,0.0,0.0,,,,0.005,0.002,-0.118,0.101,0.045,-2.162,0.003,0.001,-0.026,1.0,0.049,0.014,-0.506,0.322,0.167,-3.013,False,False,0.0,-0.021,-0.046,nan,2.241,1.869,-0.07,-0.109,0.679,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,3.869,
0,0,222.516,0.0,0.0,,,,0.007,0.003,-0.166,0.12,0.053,-2.556,0.003,0.001,-0.032,0.999,0.046,0.007,-0.504,0.323,0.169,-3.647,False,False,0.0,-0.024,-0.054,nan,2.266,1.967,-0.066,-0.102,0.692,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,3.869,
0,0,222.6339,0.0,0.0,,,,0.026,0.011,-0.566,0.222,0.097,-4.717,0.006,0.001,-0.06,0.998,0.048,0.007,-0.51,0.647,0.197,-6.821,False,False,0.0,-0.037,-0.084,nan,2.666,3.204,-0.079,-0.122,0.864,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,3.869,
0,0,222.6423,0.0,0.0,,,,0.028,0.012,-0.614,0.231,0.102,-4.914,0.006,0.001,-0.061,0.998,0.054,0.003,-0.512,0.648,0.198,-6.98,False,False,0.0,-0.038,-0.086,nan,2.714,3.331,-0.09,-0.117,0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,3.869,
0,0,222.6719,0.0,0.0,,,,0.036,0.016,-0.77,0.259,0.114,-5.503,0.007,0.001,-0.069,0.998,0.052,0.001,-0.507,0.81,0.215,-7.933,False,False,0.0,-0.04,-0.091,nan,2.87,3.724,-0.091,-0.116,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,3.869,
0,0,222.691,0.0,0.0,,,,0.041,0.018,-0.884,0.278,0.122,-5.896,0.007,0.001,-0.073,0.997,0.051,0.002,-0.505,0.811,0.219,-8.41,False,False,0.0,-0.041,-0.094,nan,2.984,3.999,-0.092,-0.118,0.947,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,3.869,
