k_ep,k_run,alpha_mu,alpha_sig,mu,sigma,policy,t,x,y,z,qw,qx,qy,qz,vx,vy,vz,wx,wy,wz,reward,flip_flag,impact_flag,n_rollouts,RREV,OF_x,OF_y,MS1,MS2,MS3,MS4,F_thrust,Mx,My,Mz,Error
0,0,,,,,,4.703,0.0,0.0,0.405,1.0,-0.0,0.0,-0.0,0.03,0.0,2.496,-0.0,0.0,0.0,,False,False,8,-0.0,0.0,0.0,1956.0,1931.0,1930.0,1957.0,0.334,-0.001,-0.127,-0.0,
0,0,,,,,,4.73,0.0,0.0,0.405,1.0,-0.0,0.0,-0.0,0.03,0.0,2.496,-0.0,0.0,0.0,,False,False,8,-0.0,0.0,0.0,1956.0,1931.0,1930.0,1957.0,0.334,-0.001,-0.127,-0.0,
0,0,,,,,,4.752,0.001,-0.0,0.511,1.0,1e-05,-0.00142,5e-05,0.029,-0.0,2.515,-0.001,-0.078,0.001,,False,False,8,1.595,0.0,-0.019,1943.0,1945.0,1944.0,1944.0,0.334,0.0,0.004,0.0,
0,0,,,,,,4.766,0.002,-0.0,0.551,1.0,1e-05,-0.00203,6e-05,0.029,-0.0,2.515,-0.0,-0.075,0.0,,False,False,8,1.621,0.0,-0.019,1944.0,1945.0,1945.0,1944.0,0.334,0.0,0.005,0.0,
0,0,,,,,,4.768,0.002,-0.0,0.604,1.0,1e-05,-0.00278,6e-05,0.028,-0.0,2.515,-0.0,-0.069,-0.0,,False,False,8,1.621,0.0,-0.019,1945.0,1946.0,1946.0,1944.0,0.334,0.0,0.005,0.0,
0,0,,,,,,4.801,0.003,-0.0,0.644,0.99999,1e-05,-0.0033,5e-05,0.027,-0.0,2.514,-0.0,-0.064,-0.001,,False,False,8,1.621,0.0,-0.019,1945.0,1946.0,1946.0,1944.0,0.334,0.0,0.005,0.0,
0,0,,,,,,4.819,0.003,-0.0,0.649,0.99999,1e-05,-0.00337,5e-05,0.027,-0.0,2.514,-0.0,-0.063,-0.001,,False,False,8,1.621,0.0,-0.019,1945.0,1946.0,1946.0,1944.0,0.334,0.0,0.006,0.0,
0,0,,,,,,4.822,0.004,-0.0,0.722,0.99999,0.0,-0.00421,4e-05,0.025,-0.0,2.514,-0.0,-0.053,-0.001,,False,False,8,1.621,0.0,-0.019,1945.0,1946.0,1946.0,1944.0,0.334,0.0,0.006,0.0,
0,0,,,,,,4.838,0.004,-0.0,0.742,0.99999,0.0,-0.00441,4e-05,0.024,-0.0,2.514,-0.0,-0.05,-0.001,,False,False,8,1.621,0.0,-0.019,1945.0,1946.0,1946.0,1945.0,0.335,0.0,0.006,0.0,
0,0,,,,,,4.911,0.005,-0.0,0.913,0.99998,-1e-05,-0.0057,1e-05,0.017,-0.0,2.514,-0.0,-0.025,-0.001,,False,False,8,1.897,0.0,-0.017,1946.0,1946.0,1947.0,1945.0,0.335,0.0,0.006,0.0,
0,0,,,,,,4.917,0.005,-0.0,0.93,0.99998,-1e-05,-0.00578,1e-05,0.017,-0.0,2.514,-0.0,-0.023,-0.001,,False,False,8,1.897,0.0,-0.017,1946.0,1946.0,1947.0,1945.0,0.335,0.0,0.006,0.0,
