k_ep,k_run,alpha_mu,alpha_sig,mu,sigma,policy,t,x,y,z,qw,qx,qy,qz,vx,vy,vz,wx,wy,wz,reward,flip_flag,impact_flag,n_rollouts,RREV,OF_x,OF_y,MS1,MS2,MS3,MS4,F_thrust,Mx,My,Mz,Error
0,0,,,,,,1.912,0.0,-0.0,0.404,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,,False,False,8,0.0,0.0,0.0,2495.0,2495.0,2495.0,2495.0,0.55,0.0,0.0,0.0,
0,0,,,,,,1.916,0.0,-0.0,0.404,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,,False,False,8,0.0,0.0,0.0,1984.0,1955.0,1955.0,1984.0,0.343,0.0,-0.14,0.0,
0,0,,,,,,1.919,0.0,-0.0,0.404,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,,False,False,8,0.0,0.0,0.0,1963.0,1948.0,1947.0,1966.0,0.338,-0.003,-0.082,-0.001,
0,0,,,,,,1.951,0.001,-0.0,0.483,1.0,2e-05,-0.00097,4e-05,0.03,-0.0,2.506,0.0,-0.08,0.002,,False,False,8,1.506,0.0,-0.018,1952.0,1955.0,1953.0,1954.0,0.337,-0.0,0.003,-0.0,
0,0,,,,,,1.959,0.001,-0.0,0.503,1.0,2e-05,-0.00129,5e-05,0.03,-0.0,2.506,-0.0,-0.078,0.002,,False,False,8,1.579,0.0,-0.019,1952.0,1954.0,1952.0,1953.0,0.337,-0.0,0.004,-0.0,
0,0,,,,,,1.972,0.002,-0.0,0.548,1.0,1e-05,-0.00197,6e-05,0.029,-0.0,2.508,-0.0,-0.074,0.0,,False,False,8,1.605,0.0,-0.019,1951.0,1953.0,1952.0,1952.0,0.337,0.0,0.004,0.0,
0,0,,,,,,1.978,0.002,-0.0,0.55,1.0,1e-05,-0.00201,6e-05,0.029,-0.0,2.508,-0.0,-0.074,0.0,,False,False,8,1.605,0.0,-0.019,1951.0,1952.0,1952.0,1951.0,0.337,0.0,0.005,0.0,
0,0,,,,,,1.99,0.002,-0.0,0.595,1.0,1e-05,-0.00265,6e-05,0.028,-0.0,2.509,-0.0,-0.069,-0.0,,False,False,8,1.659,0.0,-0.019,1950.0,1952.0,1951.0,1951.0,0.336,0.0,0.005,0.0,
0,0,,,,,,1.998,0.002,-0.0,0.598,1.0,1e-05,-0.00269,6e-05,0.028,-0.0,2.509,-0.0,-0.069,-0.0,,False,False,8,1.659,0.0,-0.019,1950.0,1951.0,1951.0,1950.0,0.336,0.0,0.005,0.0,
0,0,,,,,,1.999,0.002,-0.0,0.598,1.0,1e-05,-0.00269,6e-05,0.028,-0.0,2.509,-0.0,-0.069,-0.0,,False,False,8,1.659,0.0,-0.019,1950.0,1951.0,1951.0,1950.0,0.336,0.0,0.005,0.0,
