k_ep,k_run,alpha_mu,alpha_sig,mu,sigma,policy,t,x,y,z,qw,qx,qy,qz,vx,vy,vz,wx,wy,wz,reward,flip_flag,impact_flag,n_rollouts,RREV,OF_x,OF_y,MS1,MS2,MS3,MS4,F_thrust,Mx,My,Mz,Error
0,0,,,,,,1.92,0.0,0.0,0.404,1.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,,False,False,8,0.0,-0.0,0.0,1974.0,1945.0,1945.0,1974.0,0.339,0.0,-0.141,0.0,
0,0,,,,,,1.923,0.0,0.0,0.404,1.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,,False,False,8,0.004,-0.0,0.0,1977.0,1949.0,1949.0,1977.0,0.341,0.0,-0.141,0.0,
0,0,,,,,,1.929,0.0,-0.0,0.42,1.0,0.0,-9e-05,1e-05,0.03,-0.0,2.498,0.002,-0.048,0.003,,False,False,8,0.004,-0.0,0.0,1966.0,1957.0,1955.0,1969.0,0.34,-0.003,-0.058,-0.001,
0,0,,,,,,1.935,0.0,-0.0,0.42,1.0,0.0,-9e-05,1e-05,0.03,-0.0,2.498,0.002,-0.048,0.003,,False,False,8,0.004,-0.0,0.0,1961.0,1960.0,1958.0,1965.0,0.34,-0.003,-0.02,-0.001,
0,0,,,,,,1.938,0.0,-0.0,0.42,1.0,0.0,-9e-05,1e-05,0.03,-0.0,2.498,0.002,-0.048,0.003,,False,False,8,0.004,-0.0,0.0,1960.0,1961.0,1958.0,1964.0,0.34,-0.003,-0.012,-0.001,
0,0,,,,,,1.944,0.0,-0.0,0.42,1.0,0.0,-9e-05,1e-05,0.03,-0.0,2.498,0.002,-0.048,0.003,,False,False,8,0.004,-0.0,0.0,1958.0,1961.0,1958.0,1961.0,0.339,-0.001,-0.0,-0.0,
0,0,,,,,,1.948,0.001,-0.0,0.465,1.0,2e-05,-0.00074,3e-05,0.03,-0.0,2.5,0.0,-0.079,0.003,,False,False,8,1.512,0.0,-0.018,1958.0,1961.0,1958.0,1961.0,0.339,-0.001,0.001,-0.0,
0,0,,,,,,1.949,0.001,-0.0,0.465,1.0,2e-05,-0.00074,3e-05,0.03,-0.0,2.5,0.0,-0.079,0.003,,False,False,8,1.512,0.0,-0.018,1958.0,1960.0,1958.0,1960.0,0.339,-0.001,0.001,-0.0,
0,0,,,,,,1.951,0.001,-0.0,0.465,1.0,2e-05,-0.00074,3e-05,0.03,-0.0,2.5,0.0,-0.079,0.003,,False,False,8,1.512,0.0,-0.018,1957.0,1960.0,1958.0,1960.0,0.339,-0.0,0.002,-0.0,
0,0,,,,,,1.962,0.001,-0.0,0.465,1.0,2e-05,-0.00074,3e-05,0.03,-0.0,2.5,0.0,-0.079,0.003,,False,False,8,1.512,0.0,-0.018,1956.0,1959.0,1957.0,1958.0,0.339,0.0,0.003,0.0,
0,0,,,,,,1.984,0.001,-0.0,0.507,1.0,2e-05,-0.00141,5e-05,0.029,-0.0,2.502,-0.0,-0.077,0.001,,False,False,8,1.587,0.0,-0.019,1954.0,1956.0,1955.0,1955.0,0.338,0.0,0.004,0.0,
0,0,,,,,,1.987,0.002,-0.0,0.563,1.0,1e-05,-0.00223,6e-05,0.029,-0.0,2.505,-0.0,-0.072,0.0,,False,False,8,1.587,0.0,-0.019,1954.0,1956.0,1955.0,1955.0,0.338,0.0,0.004,0.0,
0,0,,,,,,1.998,0.002,-0.0,0.563,1.0,1e-05,-0.00223,6e-05,0.029,-0.0,2.505,-0.0,-0.072,0.0,,False,False,8,1.668,0.0,-0.019,1953.0,1954.0,1954.0,1953.0,0.337,0.0,0.005,0.0,
0,0,,,,,,2.015,0.002,-0.0,0.61,1.0,1e-05,-0.00288,6e-05,0.028,-0.0,2.506,-0.0,-0.067,-0.0,,False,False,8,1.697,0.0,-0.019,1953.0,1954.0,1954.0,1953.0,0.337,0.0,0.005,0.0,
