k_ep,k_run,alpha_mu,alpha_sig,mu,sigma,policy,t,x,y,z,qw,qx,qy,qz,vx,vy,vz,wx,wy,wz,reward,flip_flag,impact_flag,n_rollouts,RREV,OF_x,OF_y,MS1,MS2,MS3,MS4,F_thrust,Mx,My,Mz,Error
0,0,,,,,,1.817,0.0,0.0,0.404,1.0,0.0,-0.0,0.0,0.0,0.0,0.001,-0.0,0.0,0.0,,False,False,8,0.0,-0.0,-0.0,2495.0,2495.0,2495.0,2495.0,0.55,0.0,0.0,0.0,
0,0,,,,,,1.819,0.0,0.0,0.404,1.0,0.0,-0.0,0.0,0.0,0.0,0.001,-0.0,0.0,0.0,,False,False,8,0.0,-0.0,-0.0,2495.0,2495.0,2495.0,2495.0,0.55,0.0,0.0,0.0,
0,0,,,,,,1.82,0.0,-0.0,0.405,1.0,-0.0,0.0,-0.0,0.03,-0.0,2.496,-0.0,0.0,-0.0,,False,False,8,0.0,-0.0,-0.0,1984.0,1955.0,1955.0,1984.0,0.343,0.0,-0.14,0.0,
0,0,,,,,,1.84,0.001,-0.0,0.453,1.0,1e-05,-0.0005,2e-05,0.03,-0.0,2.505,0.001,-0.078,0.003,,False,False,8,1.516,0.0,-0.018,1953.0,1956.0,1953.0,1957.0,0.338,-0.002,-0.004,-0.0,
0,0,,,,,,1.873,0.001,-0.0,0.503,1.0,2e-05,-0.00129,5e-05,0.03,-0.0,2.506,-0.0,-0.078,0.001,,False,False,8,1.589,0.0,-0.019,1952.0,1954.0,1952.0,1953.0,0.337,0.0,0.004,0.0,
0,0,,,,,,1.876,0.002,-0.0,0.548,1.0,1e-05,-0.00197,6e-05,0.029,-0.0,2.508,-0.0,-0.074,0.0,,False,False,8,1.616,0.0,-0.019,1951.0,1953.0,1952.0,1952.0,0.337,0.0,0.004,0.0,
0,0,,,,,,1.905,0.002,-0.0,0.595,1.0,1e-05,-0.00265,6e-05,0.028,-0.0,2.509,-0.0,-0.069,-0.0,,False,False,8,1.67,0.0,-0.019,1951.0,1952.0,1952.0,1951.0,0.337,0.0,0.005,0.0,
0,0,,,,,,1.96,0.004,-0.0,0.736,0.99999,1e-05,-0.00433,4e-05,0.024,-0.0,2.511,-0.0,-0.051,-0.001,,False,False,8,1.791,0.0,-0.018,1948.0,1949.0,1949.0,1948.0,0.336,0.0,0.006,0.0,
0,0,,,,,,1.982,0.005,-0.0,0.819,0.99999,0.0,-0.00507,3e-05,0.021,-0.0,2.512,-0.0,-0.039,-0.001,,False,False,8,1.858,0.0,-0.018,1948.0,1949.0,1949.0,1948.0,0.336,0.0,0.006,0.0,
0,0,,,,,,1.991,0.005,-0.0,0.824,0.99999,0.0,-0.00511,3e-05,0.021,-0.0,2.512,-0.0,-0.038,-0.001,,False,False,8,1.93,0.0,-0.017,1948.0,1948.0,1949.0,1947.0,0.335,0.0,0.006,0.0,
0,0,,,,,,1.996,0.005,-0.0,0.844,0.99999,-0.0,-0.00526,2e-05,0.02,-0.0,2.512,-0.0,-0.036,-0.001,,False,False,8,1.93,0.0,-0.017,1948.0,1948.0,1949.0,1947.0,0.335,0.0,0.006,0.0,
0,0,,,,,,1.998,0.005,-0.0,0.844,0.99999,-0.0,-0.00526,2e-05,0.02,-0.0,2.512,-0.0,-0.036,-0.001,,False,False,8,1.93,0.0,-0.017,1947.0,1948.0,1949.0,1947.0,0.335,0.0,0.006,0.0,
0,0,,,,,,2.008,0.005,-0.0,0.844,0.99999,-0.0,-0.00526,2e-05,0.02,-0.0,2.512,-0.0,-0.036,-0.001,,False,False,8,1.93,0.0,-0.017,1947.0,1948.0,1949.0,1947.0,0.335,0.0,0.006,0.0,
0,0,,,,,,2.016,0.005,-0.0,0.889,0.99998,-0.0,-0.00555,2e-05,0.018,-0.0,2.512,-0.0,-0.029,-0.001,,False,False,8,2.049,0.0,-0.015,1947.0,1948.0,1948.0,1946.0,0.335,0.0,0.006,0.0,
0,0,,,,,,2.036,0.005,-0.0,0.934,0.99998,-0.0,-0.00578,1e-05,0.016,-0.0,2.512,-0.0,-0.022,-0.001,,False,False,8,2.184,0.0,-0.014,1947.0,1947.0,1948.0,1946.0,0.335,0.0,0.006,0.0,
0,0,,,,,,2.042,0.006,-0.0,0.982,0.99998,-1e-05,-0.00595,0.0,0.014,-0.0,2.512,-0.0,-0.015,-0.001,,False,False,8,2.232,0.0,-0.013,1947.0,1947.0,1948.0,1946.0,0.335,0.0,0.006,0.0,
0,0,,,,,,2.057,0.006,-0.0,0.982,0.99998,-1e-05,-0.00595,0.0,0.014,-0.0,2.512,-0.0,-0.015,-0.001,,False,False,8,2.232,0.0,-0.013,1947.0,1947.0,1948.0,1946.0,0.335,0.0,0.006,0.0,
0,0,,,,,,2.067,0.006,-0.0,0.982,0.99998,-1e-05,-0.00595,0.0,0.014,-0.0,2.512,-0.0,-0.015,-0.001,,False,False,8,2.232,0.0,-0.013,1947.0,1947.0,1948.0,1946.0,0.335,0.0,0.006,0.0,
0,0,,,,,,2.069,0.006,-0.0,1.027,0.99998,-1e-05,-0.00606,-1e-05,0.012,-0.0,2.513,-0.0,-0.009,-0.001,,False,False,8,2.337,0.0,-0.011,1947.0,1947.0,1948.0,1946.0,0.335,0.0,0.006,0.0,
0,0,,,,,,2.07,0.006,-0.0,1.03,0.99998,-1e-05,-0.00606,-1e-05,0.012,-0.0,2.513,-0.0,-0.008,-0.001,,False,False,8,2.337,0.0,-0.011,1947.0,1947.0,1948.0,1946.0,0.335,0.0,0.006,0.0,
0,0,,,,,,2.108,0.006,-0.0,1.12,0.99998,-1e-05,-0.0061,-2e-05,0.008,-0.0,2.513,-0.0,0.004,-0.001,,False,False,8,2.452,0.0,-0.01,1947.0,1947.0,1948.0,1946.0,0.335,0.0,0.006,0.0,
0,0,,,,,,2.113,0.006,-0.0,1.138,0.99997,6e-05,-0.00732,5e-05,0.006,-0.0,2.503,0.07,-1.214,0.069,,False,False,8,2.452,0.0,-0.01,1946.0,1947.0,1948.0,1946.0,0.335,0.0,0.006,0.0,
0,0,,,,,,2.117,0.006,-0.0,1.143,0.99996,0.00016,-0.00907,0.00015,0.005,-0.0,2.497,0.108,-1.925,0.107,,False,False,8,2.578,0.0,-0.008,1946.0,1947.0,1948.0,1946.0,0.335,0.0,0.006,0.0,
0,0,,,,,,2.124,0.006,-0.0,1.143,0.99996,0.00016,-0.00907,0.00015,0.005,-0.0,2.497,0.108,-1.925,0.107,,True,False,8,2.578,0.0,-0.008,2252.0,62.0,62.0,2252.0,0.224,0.0,-6.336,0.0,
0,0,,,,,,2.144,0.006,-0.0,1.187,0.99832,0.00284,-0.05773,0.00289,-0.009,-0.001,2.436,0.461,-8.56,0.491,,True,False,8,2.653,0.001,0.004,2252.0,62.0,62.0,2252.0,0.224,0.0,-6.336,0.0,
0,0,,,,,,2.147,0.006,-0.0,1.231,0.98622,0.00832,-0.16495,0.00918,-0.038,-0.003,2.366,0.711,-15.012,0.893,,True,False,8,2.653,0.001,0.004,2252.0,62.0,62.0,2252.0,0.224,0.0,-6.336,0.0,
0,0,,,,,,2.154,0.006,-0.0,1.233,0.98492,0.00868,-0.17252,0.00963,-0.04,-0.003,2.362,0.72,-15.36,0.916,,True,False,8,2.653,0.001,0.004,2252.0,62.0,62.0,2252.0,0.224,0.0,-6.336,0.0,
0,0,,,,,,2.168,0.006,-0.0,1.233,0.98492,0.00868,-0.17252,0.00963,-0.04,-0.003,2.362,0.72,-15.36,0.916,,True,False,8,2.736,0.004,0.064,2252.0,62.0,62.0,2252.0,0.224,0.0,-6.336,0.0,
0,0,,,,,,2.17,0.005,-0.0,1.277,0.93858,0.01584,-0.34409,0.02031,-0.095,-0.007,2.263,0.778,-21.676,1.305,,True,False,8,2.736,0.004,0.064,2252.0,62.0,62.0,2252.0,0.224,0.0,-6.336,0.0,
0,0,,,,,,2.172,0.005,-0.0,1.277,0.93858,0.01584,-0.34409,0.02031,-0.095,-0.007,2.263,0.778,-21.676,1.305,,True,False,8,2.736,0.004,0.064,2252.0,62.0,62.0,2252.0,0.224,0.0,-6.336,0.0,
0,0,,,,,,2.175,0.005,-0.0,1.277,0.93858,0.01584,-0.34409,0.02031,-0.095,-0.007,2.263,0.778,-21.676,1.305,,True,False,8,2.746,0.011,0.15,2252.0,62.0,62.0,2252.0,0.224,0.0,-6.336,0.0,
0,0,,,,,,2.196,0.002,-0.0,1.318,0.83224,0.02169,-0.55294,0.03404,-0.168,-0.013,2.126,0.632,-27.362,1.544,,True,False,8,2.727,0.015,0.203,2252.0,62.0,62.0,2252.0,0.224,0.0,-6.336,0.0,
0,0,,,,,,2.197,0.002,-0.0,1.318,0.83224,0.02169,-0.55294,0.03404,-0.168,-0.013,2.126,0.632,-27.362,1.544,,True,False,8,2.687,0.021,0.26,2252.0,62.0,62.0,2252.0,0.224,0.0,-6.336,0.0,
0,0,,,,,,2.198,0.002,-0.0,1.318,0.83224,0.02169,-0.55294,0.03404,-0.168,-0.013,2.126,0.632,-27.362,1.544,,True,False,8,2.687,0.021,0.26,2252.0,62.0,62.0,2252.0,0.224,0.0,-6.336,0.0,
0,0,,,,,,2.199,-0.002,-0.001,1.357,0.64283,0.02317,-0.76412,0.04842,-0.226,-0.019,1.947,0.369,-31.55,1.428,,True,False,8,2.687,0.021,0.26,62.0,62.0,62.0,62.0,0.0,0.0,0.0,0.0,
0,0,,,,,,2.218,-0.006,-0.001,1.391,0.40191,0.0174,-0.9137,0.0577,-0.213,-0.019,1.778,0.209,-31.629,0.791,,True,False,8,2.565,0.026,0.302,62.0,62.0,62.0,62.0,0.0,0.0,0.0,0.0,
0,0,,,,,,2.232,-0.006,-0.001,1.391,0.40191,0.0174,-0.9137,0.0577,-0.213,-0.019,1.778,0.209,-31.629,0.791,,True,False,8,2.565,0.026,0.302,62.0,62.0,62.0,62.0,0.0,0.0,0.0,0.0,
0,0,,,,,,2.234,-0.01,-0.001,1.421,0.12877,0.00523,-0.98983,0.06029,-0.206,-0.018,1.614,0.292,-31.646,0.252,,True,False,8,2.429,0.027,0.301,62.0,62.0,62.0,62.0,0.0,0.0,0.0,0.0,
0,0,,,,,,2.246,-0.01,-0.001,1.421,0.12877,0.00523,-0.98983,0.06029,-0.206,-0.018,1.614,0.292,-31.646,0.252,,True,False,8,2.429,0.027,0.301,62.0,62.0,62.0,62.0,0.0,0.0,0.0,0.0,
0,0,,,,,,2.247,-0.01,-0.001,1.421,0.12877,0.00523,-0.98983,0.06029,-0.206,-0.018,1.614,0.292,-31.646,0.252,,True,False,8,2.429,0.027,0.301,62.0,62.0,62.0,62.0,0.0,0.0,0.0,0.0,
0,0,,,,,,2.249,-0.01,-0.001,1.421,0.12877,0.00523,-0.98983,0.06029,-0.206,-0.018,1.614,0.292,-31.646,0.252,,True,False,8,2.429,0.027,0.301,62.0,62.0,62.0,62.0,0.0,0.0,0.0,0.0,
0,0,,,,,,2.274,-0.013,-0.002,1.45,-0.17019,-0.01233,-0.98376,0.05565,-0.206,-0.019,1.443,0.505,-31.66,-0.168,,True,False,8,2.272,0.028,0.311,62.0,62.0,62.0,62.0,0.0,0.0,0.0,0.0,
0,0,,,,,,2.287,-0.017,-0.002,1.474,-0.43968,-0.03144,-0.89647,0.04505,-0.214,-0.02,1.279,0.756,-31.68,-0.473,,True,False,8,2.086,0.031,0.336,62.0,62.0,62.0,62.0,0.0,0.0,0.0,0.0,
0,0,,,,,,2.321,-0.026,-0.003,1.515,-0.86093,-0.07197,-0.5035,0.00986,-0.243,-0.023,0.919,1.513,-31.723,-0.954,,True,False,8,1.729,0.036,0.393,62.0,62.0,62.0,62.0,0.0,0.0,0.0,0.0,
0,0,,,,,,2.324,-0.027,-0.003,1.519,-0.89087,-0.07615,-0.44779,0.00536,-0.245,-0.023,0.879,1.628,-31.725,-0.983,,True,False,8,1.433,0.04,0.431,62.0,62.0,62.0,62.0,0.0,0.0,0.0,0.0,
0,0,,,,,,2.334,-0.03,-0.003,1.529,-0.96265,-0.08922,-0.25542,-0.00981,-0.252,-0.024,0.744,2.051,-31.73,-1.012,,True,False,8,1.269,0.042,0.445,62.0,62.0,62.0,62.0,0.0,0.0,0.0,0.0,
0,0,,,,,,2.345,-0.034,-0.004,1.54,-0.99397,-0.10472,0.01122,-0.03052,-0.256,-0.025,0.564,2.673,-31.725,-0.827,,True,False,8,1.096,0.044,0.454,62.0,62.0,62.0,62.0,0.0,0.0,0.0,0.0,
0,0,,,,,,2.365,-0.048,-0.005,1.555,-0.6176,-0.13382,0.76823,-0.10239,-0.223,-0.027,0.001,3.347,-31.717,1.751,,True,False,8,0.363,0.049,0.439,62.0,62.0,62.0,62.0,0.0,0.0,0.0,0.0,
0,0,,,,,,2.42,-0.049,-0.005,1.555,-0.5532,-0.13399,0.81489,-0.1094,-0.219,-0.027,-0.046,3.174,-31.725,2.036,,True,False,8,0.002,0.05,0.41,62.0,62.0,62.0,62.0,0.0,0.0,0.0,0.0,
0,0,,,,,,2.457,-0.058,-0.006,1.544,0.11367,-0.1052,0.97246,-0.17415,-0.203,-0.028,-0.444,0.117,-31.898,2.845,,True,False,8,-0.66,0.051,0.366,62.0,62.0,62.0,62.0,0.0,0.0,0.0,0.0,
0,0,,,,,,2.461,-0.058,-0.006,1.543,0.14512,-0.1023,0.96804,-0.1771,-0.204,-0.029,-0.462,-0.042,-31.908,2.774,,True,False,8,-0.66,0.051,0.366,62.0,62.0,62.0,62.0,0.0,0.0,0.0,0.0,
0,0,,,,,,2.482,-0.062,-0.007,1.533,0.41656,-0.06885,0.88359,-0.20248,-0.213,-0.03,-0.624,-1.255,-31.992,1.695,,True,False,8,-1.116,0.053,0.377,62.0,62.0,62.0,62.0,0.0,0.0,0.0,0.0,
0,0,,,,,,2.505,-0.066,-0.008,1.519,0.66243,-0.01838,0.71443,-0.22459,-0.23,-0.031,-0.804,-1.748,-32.043,-0.089,,True,False,8,-1.415,0.054,0.398,62.0,62.0,62.0,62.0,0.0,0.0,0.0,0.0,
0,0,,,,,,2.52,-0.071,-0.008,1.501,0.85063,0.05121,0.46609,-0.23785,-0.249,-0.033,-1.005,-1.052,-32.023,-2.059,,True,False,8,-1.708,0.055,0.416,62.0,62.0,62.0,62.0,0.0,0.0,0.0,0.0,
0,0,,,,,,2.541,-0.076,-0.009,1.481,0.94179,0.12587,0.20345,-0.2362,-0.259,-0.034,-1.196,0.557,-31.932,-3.245,,True,False,8,-1.987,0.055,0.418,62.0,62.0,62.0,62.0,0.0,0.0,0.0,0.0,
0,0,,,,,,2.544,-0.078,-0.009,1.47,0.95684,0.16616,0.0659,-0.22915,-0.261,-0.035,-1.293,1.581,-31.864,-3.465,,True,False,8,-1.987,0.055,0.418,62.0,62.0,62.0,62.0,0.0,0.0,0.0,0.0,
0,0,,,,,,2.566,-0.084,-0.01,1.439,0.90683,0.26727,-0.26409,-0.19101,-0.254,-0.035,-1.529,4.085,-31.668,-2.741,,True,False,8,-2.236,0.054,0.397,62.0,62.0,62.0,62.0,0.0,0.0,0.0,0.0,
0,0,,,,,,2.569,-0.084,-0.01,1.439,0.90683,0.26727,-0.26409,-0.19101,-0.254,-0.035,-1.529,4.085,-31.668,-2.741,,True,False,8,-2.236,0.054,0.397,62.0,62.0,62.0,62.0,0.0,0.0,0.0,0.0,
0,0,,,,,,2.57,-0.084,-0.01,1.439,0.90683,0.26727,-0.26409,-0.19101,-0.254,-0.035,-1.529,4.085,-31.668,-2.741,,True,False,8,-2.236,0.054,0.397,62.0,62.0,62.0,62.0,0.0,0.0,0.0,0.0,
0,0,,,,,,2.574,-0.084,-0.01,1.439,0.90683,0.26727,-0.26409,-0.19101,-0.254,-0.035,-1.529,4.085,-31.668,-2.741,,True,False,8,-2.236,0.054,0.397,62.0,62.0,62.0,62.0,0.0,0.0,0.0,0.0,
0,0,,,,,,2.584,-0.088,-0.011,1.41,0.78038,0.34521,-0.50346,-0.13556,-0.239,-0.034,-1.716,5.448,-31.516,-0.978,,True,False,8,-2.442,0.051,0.357,62.0,62.0,62.0,62.0,0.0,0.0,0.0,0.0,
0,0,,,,,,2.59,-0.088,-0.011,1.41,0.78038,0.34521,-0.50346,-0.13556,-0.239,-0.034,-1.716,5.448,-31.516,-0.978,,True,False,8,-2.442,0.051,0.357,62.0,62.0,62.0,62.0,0.0,0.0,0.0,0.0,
0,0,,,,,,2.591,-0.092,-0.011,1.377,0.59038,0.40973,-0.69296,-0.0581,-0.22,-0.034,-1.892,5.658,-31.415,1.293,,True,False,8,-2.442,0.051,0.357,62.0,62.0,62.0,62.0,0.0,0.0,0.0,0.0,
0,0,,,,,,2.607,-0.092,-0.011,1.375,0.57831,0.41274,-0.70169,-0.05319,-0.219,-0.034,-1.901,5.632,-31.412,1.419,,True,False,8,-2.597,0.047,0.311,62.0,62.0,62.0,62.0,0.0,0.0,0.0,0.0,
0,0,,,,,,2.608,-0.092,-0.011,1.375,0.57831,0.41274,-0.70169,-0.05319,-0.219,-0.034,-1.901,5.632,-31.412,1.419,,True,False,8,-2.597,0.047,0.311,62.0,62.0,62.0,62.0,0.0,0.0,0.0,0.0,
0,0,,,,,,2.61,-0.092,-0.011,1.375,0.57831,0.41274,-0.70169,-0.05319,-0.219,-0.034,-1.901,5.632,-31.412,1.419,,True,False,8,-2.597,0.047,0.311,62.0,62.0,62.0,62.0,0.0,0.0,0.0,0.0,
0,0,,,,,,2.618,-0.092,-0.011,1.375,0.57831,0.41274,-0.70169,-0.05319,-0.219,-0.034,-1.901,5.632,-31.412,1.419,,True,False,8,-2.597,0.047,0.311,62.0,62.0,62.0,62.0,0.0,0.0,0.0,0.0,
0,0,,,,,,2.62,-0.096,-0.012,1.337,0.32723,0.45513,-0.82658,0.05052,-0.203,-0.033,-2.075,4.428,-31.394,3.533,,True,False,8,-2.597,0.047,0.311,62.0,62.0,62.0,62.0,0.0,0.0,0.0,0.0,
0,0,,,,,,2.625,-0.096,-0.012,1.337,0.32723,0.45513,-0.82658,0.05052,-0.203,-0.033,-2.075,4.428,-31.394,3.533,,True,False,8,-2.597,0.047,0.311,62.0,62.0,62.0,62.0,0.0,0.0,0.0,0.0,
0,0,,,,,,2.628,-0.096,-0.012,1.337,0.32723,0.45513,-0.82658,0.05052,-0.203,-0.033,-2.075,4.428,-31.394,3.533,,True,False,8,-2.597,0.047,0.311,62.0,62.0,62.0,62.0,0.0,0.0,0.0,0.0,
0,0,,,,,,2.63,-0.096,-0.012,1.337,0.32723,0.45513,-0.82658,0.05052,-0.203,-0.033,-2.075,4.428,-31.394,3.533,,True,False,8,-2.597,0.047,0.311,62.0,62.0,62.0,62.0,0.0,0.0,0.0,0.0,
0,0,,,,,,2.632,-0.096,-0.012,1.337,0.32723,0.45513,-0.82658,0.05052,-0.203,-0.033,-2.075,4.428,-31.394,3.533,,True,False,8,-2.749,0.042,0.257,62.0,62.0,62.0,62.0,0.0,0.0,0.0,0.0,
0,0,,,,,,2.638,-0.1,-0.012,1.298,0.06761,0.46389,-0.86823,0.16249,-0.198,-0.033,-2.234,2.383,-31.457,4.589,,True,False,8,-2.749,0.042,0.257,62.0,62.0,62.0,62.0,0.0,0.0,0.0,0.0,
0,0,,,,,,2.64,-0.1,-0.012,1.296,0.05305,0.46335,-0.8683,0.16894,-0.198,-0.033,-2.243,2.257,-31.463,4.612,,True,False,8,-2.749,0.042,0.257,62.0,62.0,62.0,62.0,0.0,0.0,0.0,0.0,
0,0,,,,,,2.643,-0.1,-0.012,1.296,0.05305,0.46335,-0.8683,0.16894,-0.198,-0.033,-2.243,2.257,-31.463,4.612,,True,False,8,-2.749,0.042,0.257,62.0,62.0,62.0,62.0,0.0,0.0,0.0,0.0,
0,0,,,,,,2.65,-0.1,-0.012,1.296,0.05305,0.46335,-0.8683,0.16894,-0.198,-0.033,-2.243,2.257,-31.463,4.612,,True,False,8,-2.749,0.042,0.257,62.0,62.0,62.0,62.0,0.0,0.0,0.0,0.0,
0,0,,,,,,2.654,-0.1,-0.012,1.296,0.05305,0.46335,-0.8683,0.16894,-0.198,-0.033,-2.243,2.257,-31.463,4.612,,True,False,8,-2.814,0.04,0.242,62.0,62.0,62.0,62.0,0.0,0.0,0.0,0.0,
0,0,,,,,,2.671,-0.104,-0.013,1.257,-0.18952,0.43644,-0.83399,0.27938,-0.203,-0.034,-2.393,0.128,-31.577,4.399,,True,False,8,-2.865,0.039,0.241,62.0,62.0,62.0,62.0,0.0,0.0,0.0,0.0,
0,0,,,,,,2.7,-0.107,-0.014,1.212,-0.42196,0.37031,-0.72938,0.39093,-0.215,-0.035,-2.558,-1.63,-31.719,3.079,,True,False,8,-2.91,0.039,0.246,62.0,62.0,62.0,62.0,0.0,0.0,0.0,0.0,
0,0,,,,,,2.709,-0.111,-0.014,1.164,-0.6104,0.26678,-0.56585,0.48586,-0.231,-0.036,-2.733,-2.387,-31.848,1.11,,True,False,8,-2.91,0.039,0.246,62.0,62.0,62.0,62.0,0.0,0.0,0.0,0.0,
0,0,,,,,,2.716,-0.113,-0.015,1.142,-0.67595,0.21002,-0.47833,0.51979,-0.238,-0.037,-2.813,-2.351,-31.895,0.197,,True,False,8,-2.95,0.039,0.248,62.0,62.0,62.0,62.0,0.0,0.0,0.0,0.0,
0,0,,,,,,2.725,-0.118,-0.015,1.087,-0.77952,0.05422,-0.24621,0.57341,-0.249,-0.039,-3.009,-1.452,-31.974,-1.643,,True,False,8,-2.95,0.039,0.248,62.0,62.0,62.0,62.0,0.0,0.0,0.0,0.0,
0,0,,,,,,2.735,-0.122,-0.016,1.04,-0.80587,-0.08275,-0.05125,0.58404,-0.252,-0.041,-3.167,-0.188,-32.005,-2.488,,True,False,8,-2.981,0.038,0.242,62.0,62.0,62.0,62.0,0.0,0.0,0.0,0.0,
0,0,,,,,,2.737,-0.122,-0.016,1.037,-0.80585,-0.09211,-0.03821,0.58365,-0.252,-0.041,-3.178,-0.095,-32.007,-2.521,,True,False,8,-2.981,0.038,0.242,62.0,62.0,62.0,62.0,0.0,0.0,0.0,0.0,
