Vel_d,Phi_d,Trial_num,--,Pad_Connections,Body_Contact,Vel_flip,Phi_flip,Tau_tr,Theta_x_tr,D_perp_tr,Policy_tr,Policy_action,Vx_tr,Vz_tr,reward,reward_vals,Leg_4_NBC,Leg_4_BC,Leg_2_NBC,Leg_2_BC,Leg_0_NBC,Leg_0_BC
0.5,-75,0,--,2,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[0. 0. 0. 0. 0.],False,False,False,True,False,False
0.5,-75,1,--,2,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[0. 0. 0. 0. 0.],False,False,False,True,False,False
0.5,-75,2,--,2,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[0. 0. 0. 0. 0.],False,False,False,True,False,False
0.5,-75,3,--,2,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[0. 0. 0. 0. 0.],False,False,False,True,False,False
0.5,-75,4,--,2,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[0. 0. 0. 0. 0.],False,False,False,True,False,False
0.5,-70,0,--,4,True,0.5,-69.86,0.247,11.011,0.043,3.167,5.36,0.172,-0.469,0.421,[0.1   0.05  0.071 0.2   0.   ],False,True,False,False,False,False
0.5,-70,1,--,4,True,0.5,-69.54,0.24,11.177,0.042,1.965,2.592,0.175,-0.469,0.509,[0.1   0.05  0.159 0.2   0.   ],False,True,False,False,False,False
0.5,-70,2,--,4,True,0.5,-69.82,0.246,11.125,0.042,1.525,0.447,0.172,-0.468,0.482,[0.1   0.05  0.132 0.2   0.   ],False,True,False,False,False,False
0.5,-70,3,--,4,True,0.5,-70.04,0.233,11.783,0.04,1.545,2.59,0.17,-0.468,0.452,[0.1   0.05  0.102 0.2   0.   ],False,True,False,False,False,False
0.5,-70,4,--,0,True,0.5,-70.04,0.0,0.0,0.0,0.0,0.0,0.17,-0.468,0.0,[0.1   0.05  0.102 0.2   0.   ],False,False,False,False,False,True
0.5,-65,0,--,4,True,0.5,-65.03,0.267,8.042,0.056,1.904,1.45,0.21,-0.451,0.355,[0.1   0.05  0.005 0.2   0.   ],False,True,False,False,False,False
0.5,-65,1,--,4,True,0.5,-64.88,0.252,8.451,0.053,2.062,2.705,0.211,-0.45,0.418,[0.1   0.05  0.068 0.2   0.   ],False,True,False,False,False,False
0.5,-65,2,--,4,True,0.5,-64.77,0.27,7.884,0.057,1.649,2.537,0.213,-0.452,0.381,[0.1   0.05  0.031 0.2   0.   ],False,True,False,False,False,False
0.5,-65,3,--,4,True,0.5,-65.03,0.262,8.178,0.055,1.939,1.999,0.21,-0.451,0.489,[0.1   0.05  0.139 0.2   0.   ],False,True,False,False,False,False
0.5,-65,4,--,4,True,0.5,-64.98,0.252,8.504,0.053,1.784,4.094,0.211,-0.452,0.446,[0.1   0.05  0.096 0.2   0.   ],False,True,False,False,False,False
0.5,-60,0,--,4,False,0.5,-59.63,0.292,5.856,0.073,1.772,2.499,0.252,-0.43,0.976,[0.081 0.05  0.195 0.65  0.   ],True,False,False,False,False,False
0.5,-60,1,--,4,True,0.5,-60.04,0.285,6.09,0.071,1.607,2.197,0.249,-0.432,0.527,[0.078 0.05  0.198 0.2   0.   ],False,True,False,False,False,False
0.5,-60,2,--,4,True,0.5,-59.98,0.265,6.526,0.066,2.436,1.224,0.249,-0.431,0.35,[0.1  0.05 0.   0.2  0.  ],False,True,False,False,False,False
