vz_d,vx_d,trial
4.00,0.00,0
4.00,0.00,3
4.00,0.00,5
4.00,0.25,2
4.00,0.25,4
4.00,0.25,5
4.00,0.50,0
4.00,0.50,2
4.00,0.50,3
4.00,0.75,0
4.00,0.75,1
4.00,0.75,3
4.00,0.75,4
4.00,1.00,1
4.00,1.00,3
4.00,1.00,4
4.00,1.25,1
4.00,1.25,4
4.00,1.50,1
4.00,1.50,4
4.00,1.75,0
4.00,1.75,1
4.00,1.75,5
4.00,2.00,1
4.00,2.00,2
4.00,2.00,3
4.00,2.00,5
4.00,2.25,0
4.00,2.25,1
4.00,2.25,2
4.00,2.50,4
4.00,2.75,4
4.00,2.75,5
3.75,0.00,0
3.75,0.00,1
3.75,0.00,4
3.75,0.00,5
3.75,0.25,0
3.75,0.25,1
3.75,0.25,3
3.75,0.50,0
3.75,0.50,1
3.75,0.50,2
3.75,0.50,3
3.75,0.50,4
3.75,0.75,2
3.75,0.75,3
3.75,0.75,5
3.75,1.00,2
3.75,1.00,4
3.75,1.00,5
3.75,1.25,0
3.75,1.25,3
3.75,1.50,0
3.75,1.50,2
3.75,1.50,4
3.75,1.75,2
3.75,1.75,4
3.75,2.00,1
3.75,2.00,4
3.75,2.00,5
3.75,2.50,4
3.75,2.75,1
3.50,0.00,0
3.50,0.00,4
3.50,0.25,2
3.50,0.25,3
3.50,0.25,4
3.50,0.25,5
3.50,0.50,0
3.50,0.50,1
3.50,0.50,2
3.50,0.50,3
3.50,0.50,4
3.50,0.50,5
3.50,0.75,1
3.50,0.75,4
3.50,0.75,5
3.50,1.00,3
3.50,1.00,4
3.50,1.25,0
3.50,1.25,2
3.50,1.25,3
3.50,1.25,5
3.50,1.50,0
3.50,1.50,2
3.50,1.75,0
3.50,1.75,1
3.50,1.75,4
3.50,1.75,5
3.50,2.00,0
3.50,2.00,1
3.50,2.25,0
3.50,2.25,4
3.50,2.50,4
3.50,2.50,5
3.50,2.75,1
3.50,2.75,2
3.25,0.00,0
3.25,0.00,1
3.25,0.00,4
3.25,0.00,5
3.25,0.25,1
3.25,0.25,3
3.25,0.25,4
3.25,0.25,5
3.25,0.50,0
3.25,0.75,2
3.25,0.75,4
3.25,0.75,5
3.25,1.00,0
3.25,1.00,1
3.25,1.00,4
3.25,1.25,4
3.25,1.25,5
3.25,1.50,0
3.25,1.50,3
3.25,1.75,0
3.25,1.75,1
3.25,1.75,3
3.25,2.00,0
3.25,2.00,1
3.25,2.00,3
3.25,2.00,4
3.25,2.00,5
3.25,2.25,1
3.25,2.25,2
3.25,2.25,3
3.25,2.50,2
3.25,2.50,3
3.25,2.50,4
3.25,2.75,0
3.25,2.75,1
3.25,2.75,4
3.00,0.00,0
3.00,0.00,1
3.00,0.00,2
3.00,0.00,3
3.00,0.25,3
3.00,0.25,4
3.00,0.25,5
3.00,0.50,0
3.00,0.50,1
3.00,0.50,2
3.00,0.50,3
3.00,0.50,4
3.00,0.50,5
3.00,0.75,0
3.00,0.75,1
3.00,0.75,2
3.00,0.75,3
3.00,0.75,4
3.00,0.75,5
3.00,1.00,0
3.00,1.00,1
3.00,1.00,2
3.00,1.00,3
3.00,1.00,4
3.00,1.00,5
3.00,1.25,1
3.00,1.25,4
3.00,1.25,5
3.00,1.50,0
3.00,1.50,1
3.00,1.50,3
3.00,1.50,5
3.00,1.75,1
3.00,1.75,4
3.00,2.00,1
3.00,2.25,0
3.00,2.25,1
3.00,2.25,2
3.00,2.25,3
3.00,2.75,0
3.00,2.75,4
3.00,2.75,5
2.75,0.00,0
2.75,0.00,2
2.75,0.00,3
2.75,0.00,4
2.75,0.00,5
2.75,0.25,0
2.75,0.25,1
2.75,0.25,2
2.75,0.25,3
2.75,0.25,4
2.75,0.25,5
2.75,0.50,0
2.75,0.50,1
2.75,0.50,2
2.75,0.50,3
2.75,0.50,4
2.75,0.75,0
2.75,0.75,1
2.75,0.75,4
2.75,0.75,5
2.75,1.00,0
2.75,1.00,1
2.75,1.00,4
2.75,1.25,0
2.75,1.25,1
2.75,1.25,5
2.75,1.50,1
2.75,1.50,4
2.75,1.50,5
2.75,1.75,0
2.75,1.75,3
2.75,1.75,5
2.75,2.00,3
2.75,2.00,4
2.75,2.00,5
2.75,2.25,0
2.75,2.25,5
2.75,2.50,0
2.75,2.50,1
2.75,2.50,2
2.75,2.50,3
2.50,0.00,0
2.50,0.00,2
2.50,0.00,4
2.50,0.00,5
2.50,0.50,3
2.50,0.50,4
2.50,0.50,5
2.50,0.75,4
2.50,0.75,5
2.50,1.00,0
2.50,1.00,1
2.50,1.00,2
2.50,1.00,3
2.50,1.00,4
2.50,1.25,0
2.50,1.25,3
2.50,1.25,4
2.50,1.25,5
2.50,1.50,1
2.50,1.50,2
2.50,1.50,4
2.50,1.50,5
2.50,1.75,3
2.50,1.75,5
2.50,2.00,1
2.50,2.00,3
2.50,2.00,5
2.50,2.25,4
2.50,2.50,0
2.50,2.75,1
2.50,2.75,3
2.25,0.00,0
2.25,0.00,3
2.25,0.00,5
2.25,0.75,3
2.25,1.00,3
2.25,1.50,0
2.25,1.50,1
2.25,1.75,0
2.25,1.75,1
2.25,2.00,3
2.25,2.00,4
2.25,2.25,3
2.25,2.50,0
2.25,2.50,4
2.25,2.50,5
2.25,2.75,4
2.00,0.00,0
2.00,0.00,1
2.00,0.00,2
2.00,0.00,3
2.00,0.00,4
2.00,0.00,5
2.00,0.50,0
2.00,0.75,0
2.00,1.25,4
2.00,1.50,5
2.00,1.75,0
2.00,1.75,3
2.00,2.25,0
2.00,2.25,4
2.00,2.50,0
2.00,2.75,3
2.00,2.75,4
2.00,2.75,5
1.75,0.00,5
1.75,0.50,0
1.75,1.25,0
1.75,1.25,3
1.75,1.50,3
1.75,1.50,4
1.75,1.75,5
1.75,2.00,1
1.75,2.00,3
1.75,2.25,0
1.75,2.50,0
1.75,2.50,1
1.75,2.50,4
1.75,2.75,1
1.75,2.75,4
1.75,2.75,5
1.50,0.00,0
1.50,0.00,1
1.50,0.00,2
1.50,0.00,3
1.50,0.00,4
1.50,0.00,5
1.50,0.75,1
1.50,1.00,0
1.50,1.25,3
1.50,1.75,0
1.50,1.75,1
1.50,2.00,4
1.50,2.25,0
1.50,2.25,2
1.50,2.25,5
1.50,2.50,0
1.50,2.50,5
1.50,2.75,0
1.50,2.75,1
1.50,2.75,2
1.50,2.75,4
1.50,2.75,5
nan,nan,nan
