Vel_d,Phi_d,Trial_num,LR_4Leg,LR_2Leg,Vel_flip,Phi_flip,Tau_flip_mean,OFy_flip_mean,D_ceil_flip_mean,My_mean,Vz_flip_mean,Vx_flip_mean,Mu,Sigma
1.5,30,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,[3.466 5.831],[1.524 0.945]
1.5,33.75,1,0.35,0.1,1.44,23.09,0.237,-10.0381,0.1313,-7.6703,0.5636,1.3217,[4.533 4.412],[1.149 1.572]
1.5,37.5,2,0.5,0,1.44,28.98,0.2257,-8.1311,0.1548,-7.8045,0.6961,1.257,[5.203 4.117],[0.43  1.282]
1.5,41.25,3,0.7,0.05,1.41,33.39,0.2234,-6.819,0.1721,-7.8133,0.7756,1.1768,[4.522 3.898],[0.832 1.352]
1.5,45,4,0.75,0,1.40,38.10,0.2226,-5.7452,0.1917,-7.8525,0.8661,1.1045,[4.411 5.612],[0.667 1.067]
1.5,48.75,5,0.75,0,1.37,40.58,0.2248,-5.2139,0.1993,-7.8427,0.8906,1.0399,[4.505 4.633],[1.   0.76]
1.5,52.5,6,0.4,0.25,1.38,43.39,0.2248,-4.7206,0.212,-7.885,0.9498,1.0046,[3.738 3.356],[1.541 2.506]
1.5,56.25,7,0.25,0.6,1.33,48.15,0.2258,-3.952,0.2236,-7.95,0.9912,0.8878,[3.719 4.612],[1.806 0.631]
1.5,60,8,0.05,0.6,1.29,52.70,0.226,-3.347,0.232,-7.973,1.024,0.78,[4.714 4.387],[1.165 1.501]
1.5,67.5,9,0.05,0.75,1.33,62.92,0.237,-2.125,0.281,-7.131,1.185,0.606,[3.824 4.615],[1.209 2.029]
1.5,71.25,10,0.05,0.7,1.27,67.06,0.228,-1.844,0.268,-7.979,1.174,0.497,[4.241 4.148],[1.174 0.873]
1.5,75,11,0,0.6,nan,nan,nan,nan,nan,nan,nan,nan,[3.746 4.229],[1.266 1.418]
1.5,78.75,12,0,0.55,nan,nan,nan,nan,nan,nan,nan,nan,[3.075 4.853],[2.051 1.296]
