V_mag,V_angle,Plane_Angle,Trial_num,--,Pad_Connections,BodyContact,ForelegContact,HindlegContact,--,a_Trg_trg,a_Rot_trg,Vel_mag_B_O_trg,Vel_angle_B_O_trg,Vel_mag_B_P_trg,Vel_angle_B_P_trg,Tau_CR_trg,Tau_trg,Theta_x_trg,D_perp_CR_trg,D_perp_trg,--,Phi_B_O_impact,Phi_B_P_impact,Omega_B_O_impact,Vel_B_P_impact_x,Vel_B_P_impact_z,Impact_Magnitude,Force_Impact_x,Force_Impact_y,Force_Impact_z,--,reward,reward_vals,NN_Output_trg,a_Rot_scale,--,4_Leg_NBC,4_Leg_BC,2_Leg_NBC,2_Leg_BC,0_Leg_NBC,0_Leg_BC
1.5,10,0,0,--,4,False,True,False,--,0.538,-93.211,1.5,10.0,1.5,10.0,0.241,1.254,4.523,0.063,0.327,--,-135.349,135.349,-19.196,0.213,-0.182,nan,nan,nan,nan,--,0.933,[0.999 0.634 1.    0.992 0.753 0.877 1.   ],[ 0.535 -0.888  0.009  0.093],[-100    0],--,1,0,0,0,0,0
1.5,10,0,1,--,4,False,True,False,--,0.505,-94.549,1.5,10.0,1.5,10.0,0.248,1.261,4.498,0.065,0.328,--,-136.291,136.291,-19.396,0.205,-0.178,nan,nan,nan,nan,--,0.933,[0.998 0.613 1.    0.99  0.746 0.89  1.   ],[ 0.497 -0.865  0.011  0.106],[-100    0],--,1,0,0,0,0,0
1.5,10,0,2,--,4,False,True,False,--,0.538,-94.243,1.5,10.0,1.5,10.0,0.238,1.251,4.534,0.062,0.326,--,-134.7,134.7,-19.305,0.213,-0.166,nan,nan,nan,nan,--,0.933,[0.999 0.645 1.    0.996 0.758 0.868 1.   ],[ 0.54  -0.886  0.009  0.091],[-100    0],--,1,0,0,0,0,0
1.5,10,0,3,--,4,False,True,False,--,0.513,-93.394,1.5,10.0,1.5,10.0,0.245,1.258,4.508,0.064,0.328,--,-135.67,135.67,-19.238,0.212,-0.188,nan,nan,nan,nan,--,0.933,[1.    0.621 1.    0.99  0.75  0.881 1.   ],[ 0.519 -0.882  0.009  0.098],[-100    0],--,1,0,0,0,0,0
1.5,10,0,4,--,4,False,True,False,--,0.538,-93.976,1.5,10.0,1.5,10.0,0.241,1.254,4.523,0.063,0.327,--,-134.292,134.292,-19.248,0.206,-0.149,nan,nan,nan,nan,--,0.933,[0.998 0.634 1.    0.999 0.761 0.862 1.   ],[ 0.535 -0.888  0.009  0.093],[-100    0],--,1,0,0,0,0,0
1.5,15,0,0,--,4,False,True,False,--,0.527,-95.166,1.5,15.0,1.5,15.0,0.242,0.922,4.047,0.094,0.358,--,-132.73,132.73,-19.359,0.164,0.028,nan,nan,nan,nan,--,0.91,[0.998 0.63  1.    0.867 0.772 0.84  1.   ],[ 0.536 -0.886  0.009  0.091],[-100    0],--,1,0,0,0,0,0
1.5,15,0,1,--,4,False,True,False,--,0.519,-94.086,1.5,15.0,1.5,15.0,0.246,0.925,4.033,0.095,0.359,--,-135.603,135.603,-19.299,0.176,-0.038,nan,nan,nan,nan,--,0.93,[1.    0.62  1.    0.976 0.751 0.88  1.   ],[ 0.527 -0.884  0.009  0.094],[-100    0],--,1,0,0,0,0,0
1.5,15,0,2,--,4,False,True,False,--,0.527,-94.598,1.5,15.0,1.5,15.0,0.246,0.925,4.033,0.095,0.359,--,-133.116,133.116,-19.337,0.149,0.034,nan,nan,nan,nan,--,0.908,[0.998 0.619 1.    0.851 0.769 0.845 1.   ],[ 0.525 -0.883  0.009  0.095],[-100    0],--,1,0,0,0,0,0
1.5,15,0,3,--,4,False,True,False,--,0.534,-93.943,1.5,15.0,1.5,15.0,0.246,0.926,4.032,0.095,0.359,--,-133.332,133.332,-19.232,0.159,0.017,nan,nan,nan,nan,--,0.914,[0.999 0.619 1.    0.892 0.768 0.848 1.   ],[ 0.525 -0.883  0.009  0.095],[-100    0],--,1,0,0,0,0,0
1.5,15,0,4,--,4,False,True,False,--,0.523,-94.834,1.5,15.0,1.5,15.0,0.247,0.926,4.029,0.096,0.36,--,-132.388,132.388,-19.303,0.155,0.045,nan,nan,nan,nan,--,0.903,[0.998 0.617 1.    0.825 0.775 0.835 1.   ],[ 0.519 -0.879  0.009  0.097],[-100    0],--,1,0,0,0,0,0
1.5,20,0,0,--,4,False,True,False,--,0.51,-93.805,1.5,20.0,1.5,20.0,0.249,0.763,3.601,0.128,0.391,--,-133.223,133.223,-19.212,0.109,0.156,nan,nan,nan,nan,--,0.855,[1.    0.61  1.    0.522 0.769 0.847 1.   ],[ 0.513 -0.87   0.01   0.097],[-100    0],--,1,0,0,0,0,0
1.5,20,0,1,--,4,False,True,False,--,0.534,-94.259,1.5,20.0,1.5,20.0,0.245,0.76,3.617,0.126,0.39,--,-132.796,132.796,-19.281,0.106,0.166,nan,nan,nan,nan,--,0.851,[0.999 0.621 1.    0.499 0.772 0.841 1.   ],[ 0.534 -0.884  0.009  0.09 ],[-100    0],--,1,0,0,0,0,0
1.5,20,0,2,--,4,False,True,False,--,0.545,-94.356,1.5,20.0,1.5,20.0,0.246,0.76,3.613,0.126,0.39,--,-132.909,132.909,-19.299,0.107,0.163,nan,nan,nan,nan,--,0.852,[0.998 0.618 1.    0.505 0.771 0.842 1.   ],[ 0.533 -0.884  0.009  0.091],[-100    0],--,1,0,0,0,0,0
1.5,20,0,3,--,4,False,True,False,--,0.503,-92.102,1.5,20.0,1.5,20.0,0.25,0.764,3.596,0.128,0.392,--,-135.173,135.173,-19.08,0.115,0.101,nan,nan,nan,nan,--,0.878,[0.999 0.607 1.    0.657 0.754 0.874 1.   ],[ 0.504 -0.863  0.01   0.1  ],[-100    0],--,1,0,0,0,0,0
1.5,20,0,4,--,4,False,True,False,--,0.528,-94.239,1.5,20.0,1.5,20.0,0.243,0.757,3.628,0.125,0.388,--,-131.633,131.633,-19.247,0.108,0.181,nan,nan,nan,nan,--,0.848,[0.998 0.628 1.    0.491 0.78  0.825 1.   ],[ 0.538 -0.882  0.009  0.089],[-100    0],--,1,0,0,0,0,0
1.5,25,0,0,--,4,False,True,False,--,0.509,-92.912,1.5,25.0,1.5,25.0,0.249,0.666,3.222,0.158,0.422,--,-136.261,136.261,-19.179,0.081,0.194,nan,nan,nan,nan,--,0.851,[0.999 0.609 1.    0.481 0.746 0.889 1.   ],[ 0.519 -0.87   0.01   0.093],[-100    0],--,1,0,0,0,0,0
1.5,25,0,1,--,4,False,True,False,--,0.502,-92.903,1.5,25.0,1.5,25.0,0.251,0.667,3.214,0.159,0.423,--,-136.213,136.213,-19.174,0.072,0.209,nan,nan,nan,nan,--,0.849,[0.999 0.604 1.    0.471 0.746 0.889 1.   ],[ 0.505 -0.859  0.01   0.098],[-100    0],--,1,0,0,0,0,0
