V_mag,V_angle,Plane_Angle,Trial_num,--,Pad_Connections,BodyContact,ForelegContact,HindlegContact,--,a_Trg_trg,a_Rot_trg,Vel_mag_B_O_trg,Vel_angle_B_O_trg,Vel_mag_B_P_trg,Vel_angle_B_P_trg,Tau_CR_trg,Tau_trg,Theta_x_trg,D_perp_CR_trg,D_perp_trg,--,Phi_B_O_impact,Phi_B_P_impact,Omega_B_O_impact,Vel_B_P_impact_x,Vel_B_P_impact_z,Impact_Magnitude,Force_Impact_x,Force_Impact_y,Force_Impact_z,--,reward,reward_vals,NN_Output_trg,a_Rot_scale,--,4_Leg_NBC,4_Leg_BC,2_Leg_NBC,2_Leg_BC,0_Leg_NBC,0_Leg_BC
1.6,15,0,0,--,4,False,True,False,--,0.506,-97.352,1.6,15.0,1.6,15.0,0.166,0.669,5.582,0.069,0.277,--,-134.271,134.271,-19.599,0.545,-0.346,nan,nan,nan,nan,--,0.911,[0.999 0.923 0.97  0.987 0.668 0.871 1.   ],[ 0.524 -0.953  0.012  0.075],[-100    0],--,1,0,0,0,0,0
1.6,15,0,1,--,4,False,True,False,--,0.517,-97.675,1.6,15.0,1.6,15.0,0.17,0.672,5.551,0.07,0.278,--,-135.834,135.834,-19.689,0.543,-0.363,nan,nan,nan,nan,--,0.918,[0.999 0.906 1.    0.981 0.655 0.892 1.   ],[ 0.512 -0.956  0.014  0.087],[-100    0],--,1,0,0,0,0,0
1.6,15,0,2,--,4,False,True,False,--,0.536,-98.052,1.6,15.0,1.6,15.0,0.166,0.669,5.581,0.069,0.277,--,-134.029,134.029,-19.643,0.548,-0.337,nan,nan,nan,nan,--,0.911,[0.996 0.922 0.972 0.989 0.67  0.867 1.   ],[ 0.524 -0.953  0.012  0.075],[-100    0],--,1,0,0,0,0,0
1.6,15,0,3,--,4,False,True,False,--,0.524,-97.629,1.6,15.0,1.6,15.0,0.162,0.664,5.62,0.067,0.275,--,-132.396,132.396,-19.599,0.548,-0.326,nan,nan,nan,nan,--,0.899,[0.998 0.944 0.913 0.993 0.683 0.845 1.   ],[ 0.528 -0.947  0.009  0.063],[-100    0],--,1,0,0,0,0,0
1.6,15,0,4,--,4,False,True,False,--,0.522,-97.101,1.6,15.0,1.6,15.0,0.165,0.667,5.595,0.068,0.276,--,-134.953,134.953,-19.566,0.551,-0.363,nan,nan,nan,nan,--,0.912,[0.999 0.93  0.964 0.984 0.662 0.88  1.   ],[ 0.525 -0.951  0.011  0.071],[-100    0],--,1,0,0,0,0,0
1.6,25,0,0,--,4,False,True,False,--,0.509,-96.07,1.6,25.0,1.6,25.0,0.173,0.481,4.461,0.117,0.325,--,-125.824,125.824,-19.276,0.474,-0.025,nan,nan,nan,nan,--,0.876,[0.997 0.891 0.923 0.953 0.735 0.754 1.   ],[ 0.519 -0.91   0.014  0.062],[-100    0],--,1,0,0,0,0,0
1.6,25,0,1,--,4,False,True,False,--,0.531,-94.736,1.6,25.0,1.6,25.0,0.171,0.478,4.483,0.115,0.323,--,-126.13,126.13,-19.118,0.485,-0.055,nan,nan,nan,nan,--,0.876,[0.999 0.902 0.899 0.966 0.733 0.758 1.   ],[ 0.521 -0.904  0.012  0.057],[-100    0],--,1,0,0,0,0,0
1.6,25,0,2,--,4,False,True,False,--,0.529,-96.244,1.6,25.0,1.6,25.0,0.17,0.478,4.489,0.115,0.323,--,-124.859,124.859,-19.213,0.482,-0.013,nan,nan,nan,nan,--,0.868,[0.997 0.905 0.891 0.944 0.743 0.741 1.   ],[ 0.521 -0.903  0.012  0.056],[-100    0],--,1,0,0,0,0,0
1.6,25,0,3,--,4,False,True,False,--,0.507,-96.014,1.6,25.0,1.6,25.0,0.174,0.482,4.451,0.118,0.326,--,-126.796,126.796,-19.293,0.475,-0.04,nan,nan,nan,nan,--,0.883,[0.998 0.887 0.941 0.963 0.728 0.768 1.   ],[ 0.508 -0.907  0.015  0.066],[-100    0],--,1,0,0,0,0,0
1.6,25,0,4,--,4,False,True,False,--,0.531,-95.052,1.6,25.0,1.6,25.0,0.17,0.478,4.491,0.115,0.323,--,-125.494,125.494,-19.153,0.483,-0.043,nan,nan,nan,nan,--,0.872,[0.999 0.906 0.888 0.959 0.738 0.75  1.   ],[ 0.521 -0.902  0.012  0.056],[-100    0],--,1,0,0,0,0,0
