V_mag,V_angle,Plane_Angle,Trial_num,--,Pad_Connections,BodyContact,ForelegContact,HindlegContact,--,a_Trg_trg,a_Rot_trg,Vel_mag_B_O_trg,Vel_angle_B_O_trg,Vel_mag_B_P_trg,Vel_angle_B_P_trg,Tau_CR_trg,Tau_trg,Theta_x_trg,D_perp_CR_trg,D_perp_trg,--,Phi_B_O_impact,Phi_B_P_impact,Omega_B_O_impact,Vel_B_P_impact_x,Vel_B_P_impact_z,Impact_Magnitude,Force_Impact_x,Force_Impact_y,Force_Impact_z,--,reward,reward_vals,NN_Output_trg,a_Rot_scale,--,4_Leg_NBC,4_Leg_BC,2_Leg_NBC,2_Leg_BC,0_Leg_NBC,0_Leg_BC
1.6,10,0,0,--,0,False,False,False,--,0.536,-99.928,1.6,10.0,1.6,10.0,0.131,0.683,8.3,0.036,0.19,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.03,[0.854 1.    0.    0.    0.    0.    0.   ],[ 0.539 -0.998  0.009  0.575],[-100    0],--,0,0,0,0,1,0
1.6,10,0,1,--,0,False,False,False,--,0.523,-99.929,1.6,10.0,1.6,10.0,0.135,0.687,8.259,0.037,0.191,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.03,[0.85 1.   0.   0.   0.   0.   0.  ],[ 0.504 -0.996  0.012  0.565],[-100    0],--,0,0,0,0,1,0
1.6,10,0,2,--,0,False,False,False,--,0.523,-99.952,1.6,10.0,1.6,10.0,0.133,0.685,8.28,0.037,0.19,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.03,[0.851 1.    0.    0.    0.    0.    0.   ],[ 0.523 -0.997  0.011  0.57 ],[-100    0],--,0,0,0,0,1,0
1.6,10,0,3,--,0,False,False,False,--,0.547,-99.602,1.6,10.0,1.6,10.0,0.13,0.682,8.311,0.036,0.19,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.03,[0.851 1.    0.    0.    0.    0.    0.   ],[ 0.543 -0.998  0.009  0.583],[-100    0],--,0,0,0,0,1,0
1.6,10,0,4,--,0,False,False,False,--,0.515,-99.734,1.6,10.0,1.6,10.0,0.133,0.685,8.282,0.037,0.19,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.03,[0.849 1.    0.    0.    0.    0.    0.   ],[ 0.524 -0.997  0.01   0.571],[-100    0],--,0,0,0,0,1,0
1.6,15,0,0,--,0,False,False,False,--,0.555,-99.989,1.6,15.0,1.6,15.0,0.131,0.502,7.438,0.054,0.208,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.031,[0.915 1.    0.    0.    0.    0.    0.   ],[ 0.545 -0.999  0.008  0.606],[-100    0],--,0,0,0,0,1,0
1.6,15,0,1,--,0,False,False,False,--,0.526,-99.984,1.6,15.0,1.6,15.0,0.136,0.507,7.363,0.056,0.21,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.031,[0.906 1.    0.    0.    0.    0.    0.   ],[ 0.52  -0.997  0.011  0.567],[-100    0],--,0,0,0,0,1,0
1.6,15,0,2,--,0,False,False,False,--,0.551,-99.781,1.6,15.0,1.6,15.0,0.132,0.502,7.432,0.055,0.208,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.031,[0.913 1.    0.    0.    0.    0.    0.   ],[ 0.544 -0.999  0.009  0.602],[-100    0],--,0,0,0,0,1,0
1.6,15,0,3,--,0,False,False,False,--,0.525,-99.622,1.6,15.0,1.6,15.0,0.136,0.506,7.375,0.056,0.21,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.031,[0.903 1.    0.    0.    0.    0.    0.   ],[ 0.528 -0.997  0.01   0.569],[-100    0],--,0,0,0,0,1,0
1.6,15,0,4,--,0,False,False,False,--,0.535,-99.878,1.6,15.0,1.6,15.0,0.133,0.504,7.408,0.055,0.209,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.031,[0.909 1.    0.    0.    0.    0.    0.   ],[ 0.541 -0.998  0.009  0.585],[-100    0],--,0,0,0,0,1,0
