V_mag,V_angle,Plane_Angle,Trial_num,--,Pad_Connections,BodyContact,ForelegContact,HindlegContact,--,a_Trg_trg,a_Rot_trg,Vel_mag_B_O_trg,Vel_angle_B_O_trg,Vel_mag_B_P_trg,Vel_angle_B_P_trg,Tau_CR_trg,Tau_trg,Theta_x_trg,D_perp_CR_trg,D_perp_trg,--,Phi_B_O_impact,Phi_B_P_impact,Omega_B_O_impact,Vel_B_P_impact_x,Vel_B_P_impact_z,Impact_Magnitude,Force_Impact_x,Force_Impact_y,Force_Impact_z,--,reward,reward_vals,NN_Output_trg,a_Rot_scale,--,4_Leg_NBC,4_Leg_BC,2_Leg_NBC,2_Leg_BC,0_Leg_NBC,0_Leg_BC
1.5,10,0,0,--,0,False,False,False,--,0.529,-99.74,1.5,10.0,1.5,10.0,0.089,0.678,8.364,0.023,0.177,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.031,[0.893 1.    0.    0.    0.    0.    0.   ],[ 0.515 -0.995  0.017  0.334],[-100    0],--,0,0,0,0,1,0
1.5,10,0,1,--,0,False,False,False,--,0.542,-99.787,1.5,10.0,1.5,10.0,0.089,0.678,8.36,0.023,0.177,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.03,[0.889 1.    0.    0.    0.    0.    0.   ],[ 0.514 -0.995  0.018  0.336],[-100    0],--,0,0,0,0,1,0
1.5,10,0,2,--,0,False,False,False,--,0.524,-99.96,1.5,10.0,1.5,10.0,0.087,0.676,8.393,0.023,0.176,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.031,[0.894 1.    0.    0.    0.    0.    0.   ],[ 0.521 -0.996  0.016  0.326],[-100    0],--,0,0,0,0,1,0
1.5,10,0,3,--,0,False,False,False,--,0.501,-99.538,1.5,10.0,1.5,10.0,0.105,0.694,8.168,0.027,0.181,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.03,[0.87 1.   0.   0.   0.   0.   0.  ],[ 0.476 -0.995  0.021  0.508],[-100    0],--,0,0,0,0,1,0
1.5,10,0,4,--,0,False,False,False,--,0.508,-99.486,1.5,10.0,1.5,10.0,0.089,0.678,8.366,0.023,0.177,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.03,[0.888 1.    0.    0.    0.    0.    0.   ],[ 0.516 -0.995  0.017  0.334],[-100    0],--,0,0,0,0,1,0
1.5,15,0,0,--,0,True,False,False,--,0.503,-99.683,1.5,15.0,1.5,15.0,0.096,0.492,7.592,0.037,0.191,--,-70.135,-70.135,-15.426,0.985,-0.026,nan,nan,nan,nan,--,0.097,[0.638 1.    0.    0.    0.    0.436 0.   ],[ 0.513 -0.997  0.015  0.368],[-100    0],--,0,0,0,0,0,1
1.5,15,0,1,--,0,True,False,False,--,0.505,-99.941,1.5,15.0,1.5,15.0,0.101,0.496,7.517,0.039,0.193,--,-72.137,-72.137,-15.671,0.968,-0.038,nan,nan,nan,nan,--,0.097,[0.649 1.    0.    0.    0.    0.439 0.   ],[ 0.503 -0.997  0.015  0.417],[-100    0],--,0,0,0,0,0,1
1.5,15,0,2,--,0,True,False,False,--,0.521,-99.938,1.5,15.0,1.5,15.0,0.093,0.488,7.646,0.036,0.19,--,-68.62,-68.62,-15.274,0.996,-0.008,nan,nan,nan,nan,--,0.096,[0.632 1.    0.    0.    0.    0.434 0.   ],[ 0.521 -0.997  0.015  0.337],[-100    0],--,0,0,0,0,0,1
1.5,15,0,3,--,0,True,False,False,--,0.511,-99.704,1.5,15.0,1.5,15.0,0.099,0.494,7.557,0.038,0.192,--,-71.071,-71.071,-15.534,0.976,-0.029,nan,nan,nan,nan,--,0.097,[0.644 1.    0.    0.    0.    0.437 0.   ],[ 0.508 -0.997  0.015  0.39 ],[-100    0],--,0,0,0,0,0,1
1.5,15,0,4,--,0,True,False,False,--,0.526,-99.902,1.5,15.0,1.5,15.0,0.102,0.497,7.511,0.04,0.193,--,-72.136,-72.136,-15.668,0.966,-0.035,nan,nan,nan,nan,--,0.097,[0.65  1.    0.    0.    0.    0.439 0.   ],[ 0.502 -0.997  0.016  0.422],[-100    0],--,0,0,0,0,0,1
