V_mag,V_angle,Plane_Angle,Trial_num,--,Pad_Connections,BodyContact,ForelegContact,HindlegContact,--,a_Trg_trg,a_Rot_trg,Vel_mag_B_O_trg,Vel_angle_B_O_trg,Vel_mag_B_P_trg,Vel_angle_B_P_trg,Tau_CR_trg,Tau_trg,Theta_x_trg,D_perp_CR_trg,D_perp_trg,--,Phi_B_O_impact,Phi_B_P_impact,Omega_B_O_impact,Vel_B_P_impact_x,Vel_B_P_impact_z,Impact_Magnitude,Force_Impact_x,Force_Impact_y,Force_Impact_z,--,reward,reward_vals,NN_Output_trg,a_Rot_scale,--,4_Leg_NBC,4_Leg_BC,2_Leg_NBC,2_Leg_BC,0_Leg_NBC,0_Leg_BC
1.5,10,0,0,--,4,False,True,False,--,0.505,-99.993,1.5,10.0,1.5,10.0,0.112,0.816,6.951,0.029,0.213,--,-114.065,114.065,-19.211,0.625,-0.408,nan,nan,nan,nan,--,0.858,[0.999 1.    0.789 0.97  0.614 0.75  1.   ],[ 0.505 -1.     0.     0.019],[-100    0],--,1,0,0,0,0,0
1.5,10,0,1,--,4,False,True,False,--,0.568,-99.994,1.5,10.0,1.5,10.0,0.106,0.81,7.001,0.028,0.211,--,-110.787,110.787,-19.056,0.637,-0.373,nan,nan,nan,nan,--,0.849,[0.999 1.    0.725 0.985 0.641 0.713 1.   ],[ 0.568 -1.     0.     0.019],[-100    0],--,1,0,0,0,0,0
1.5,10,0,2,--,4,False,True,False,--,0.543,-99.994,1.5,10.0,1.5,10.0,0.108,0.812,6.983,0.028,0.212,--,-111.881,111.881,-19.11,0.632,-0.383,nan,nan,nan,nan,--,0.852,[0.997 1.    0.747 0.981 0.632 0.725 1.   ],[ 0.543 -1.     0.     0.019],[-100    0],--,1,0,0,0,0,0
1.5,10,0,3,--,4,False,True,False,--,0.564,-99.995,1.5,10.0,1.5,10.0,0.107,0.81,6.998,0.028,0.211,--,-110.782,110.782,-19.056,0.637,-0.373,nan,nan,nan,nan,--,0.849,[0.999 1.    0.727 0.985 0.641 0.713 1.   ],[ 0.564 -1.     0.     0.019],[-100    0],--,1,0,0,0,0,0
1.5,10,0,4,--,4,False,True,False,--,0.545,-99.994,1.5,10.0,1.5,10.0,0.108,0.812,6.984,0.028,0.212,--,-111.869,111.869,-19.109,0.633,-0.384,nan,nan,nan,nan,--,0.852,[0.998 1.    0.746 0.981 0.632 0.725 1.   ],[ 0.545 -1.     0.     0.019],[-100    0],--,1,0,0,0,0,0
1.5,15,0,0,--,4,False,True,False,--,0.522,-99.981,1.5,15.0,1.5,15.0,0.112,0.585,6.385,0.044,0.227,--,-100.031,100.031,-18.416,0.664,-0.134,nan,nan,nan,nan,--,0.835,[0.997 1.    0.677 0.981 0.728 0.591 1.   ],[ 0.522 -1.     0.     0.015],[-100    0],--,1,0,0,0,0,0
1.5,15,0,1,--,4,False,True,False,--,0.501,-99.995,1.5,15.0,1.5,15.0,0.122,0.594,6.281,0.047,0.231,--,-102.168,102.168,-18.563,0.651,-0.156,nan,nan,nan,nan,--,0.848,[1.    1.    0.744 0.99  0.712 0.615 1.   ],[ 0.501 -1.     0.     0.019],[-100    0],--,1,0,0,0,0,0
1.5,15,0,2,--,4,False,True,False,--,0.508,-99.991,1.5,15.0,1.5,15.0,0.119,0.591,6.318,0.046,0.229,--,-101.099,101.099,-18.491,0.658,-0.145,nan,nan,nan,nan,--,0.843,[1.    1.    0.717 0.986 0.72  0.603 1.   ],[ 0.508 -1.     0.     0.017],[-100    0],--,1,0,0,0,0,0
1.5,15,0,3,--,4,False,True,False,--,0.504,-99.993,1.5,15.0,1.5,15.0,0.121,0.593,6.294,0.047,0.23,--,-102.177,102.177,-18.564,0.65,-0.154,nan,nan,nan,nan,--,0.847,[0.998 1.    0.738 0.99  0.711 0.615 1.   ],[ 0.503 -1.     0.     0.018],[-100    0],--,1,0,0,0,0,0
1.5,15,0,4,--,4,False,True,False,--,0.505,-99.993,1.5,15.0,1.5,15.0,0.12,0.592,6.3,0.047,0.23,--,-102.171,102.171,-18.563,0.65,-0.153,nan,nan,nan,nan,--,0.847,[0.998 1.    0.734 0.99  0.712 0.615 1.   ],[ 0.505 -1.     0.     0.018],[-100    0],--,1,0,0,0,0,0
