V_mag,V_angle,Plane_Angle,Trial_num,--,Pad_Connections,BodyContact,ForelegContact,HindlegContact,--,a_Trg_trg,a_Rot_trg,Vel_mag_B_O_trg,Vel_angle_B_O_trg,Vel_mag_B_P_trg,Vel_angle_B_P_trg,Tau_CR_trg,Tau_trg,Theta_x_trg,D_perp_CR_trg,D_perp_trg,--,Phi_B_O_impact,Phi_B_P_impact,Omega_B_O_impact,Vel_B_P_impact_x,Vel_B_P_impact_z,Impact_Magnitude,Force_Impact_x,Force_Impact_y,Force_Impact_z,--,reward,reward_vals,NN_Output_trg,a_Rot_scale,--,4_Leg_NBC,4_Leg_BC,2_Leg_NBC,2_Leg_BC,0_Leg_NBC,0_Leg_BC
1.5,10,0,0,--,4,False,True,False,--,0.502,-100.0,1.5,10.0,1.5,10.0,0.07,0.774,7.33,0.018,0.202,--,-99.993,99.993,-18.413,0.693,-0.26,nan,nan,nan,nan,--,0.807,[0.999 1.    0.488 0.997 0.729 0.59  1.   ],[ 0.502 -1.     0.     7.389],[-100    0],--,1,0,0,0,0,0
1.5,10,0,1,--,4,False,True,False,--,0.505,-100.0,1.5,10.0,1.5,10.0,0.065,0.769,7.379,0.017,0.2,--,-100.061,100.061,-18.421,0.694,-0.265,nan,nan,nan,nan,--,0.804,[0.998 1.    0.47  0.997 0.728 0.591 1.   ],[ 0.505 -1.     0.     7.389],[-100    0],--,1,0,0,0,0,0
1.5,10,0,2,--,4,False,True,False,--,0.502,-100.0,1.5,10.0,1.5,10.0,0.07,0.774,7.33,0.018,0.202,--,-102.106,102.106,-18.557,0.689,-0.299,nan,nan,nan,nan,--,0.81,[0.998 1.    0.499 1.    0.712 0.614 1.   ],[ 0.502 -1.     0.     7.389],[-100    0],--,1,0,0,0,0,0
1.5,10,0,3,--,4,False,True,False,--,0.505,-100.0,1.5,10.0,1.5,10.0,0.065,0.768,7.381,0.017,0.2,--,-99.906,99.906,-18.404,0.7,-0.271,nan,nan,nan,nan,--,0.804,[1.    1.    0.468 0.997 0.729 0.589 1.   ],[ 0.505 -1.     0.     7.389],[-100    0],--,1,0,0,0,0,0
1.5,10,0,4,--,4,False,True,False,--,0.503,-100.0,1.5,10.0,1.5,10.0,0.069,0.772,7.343,0.018,0.201,--,-100.035,100.035,-18.418,0.69,-0.256,nan,nan,nan,nan,--,0.806,[0.998 1.    0.484 0.996 0.728 0.591 1.   ],[ 0.503 -1.     0.     7.389],[-100    0],--,1,0,0,0,0,0
1.5,15,0,0,--,4,False,True,False,--,0.502,-100.0,1.5,15.0,1.5,15.0,0.085,0.557,6.701,0.033,0.216,--,-93.781,93.781,-17.926,0.714,-0.082,nan,nan,nan,nan,--,0.8,[1.    1.    0.518 0.946 0.775 0.52  1.   ],[ 0.502 -1.     0.     7.389],[-100    0],--,1,0,0,0,0,0
1.5,15,0,1,--,4,False,True,False,--,0.502,-100.0,1.5,15.0,1.5,15.0,0.085,0.558,6.694,0.033,0.216,--,-93.732,93.732,-17.921,0.716,-0.086,nan,nan,nan,nan,--,0.8,[0.999 1.    0.52  0.947 0.776 0.519 1.   ],[ 0.502 -1.     0.     7.389],[-100    0],--,1,0,0,0,0,0
1.5,15,0,2,--,4,False,True,False,--,0.506,-100.0,1.5,15.0,1.5,15.0,0.079,0.551,6.768,0.031,0.214,--,-93.702,93.702,-17.918,0.722,-0.096,nan,nan,nan,nan,--,0.797,[0.997 1.    0.496 0.95  0.776 0.519 1.   ],[ 0.506 -1.     0.     7.389],[-100    0],--,1,0,0,0,0,0
1.5,15,0,3,--,4,False,True,False,--,0.504,-100.0,1.5,15.0,1.5,15.0,0.082,0.554,6.74,0.032,0.215,--,-94.508,94.508,-17.982,0.719,-0.108,nan,nan,nan,nan,--,0.8,[0.998 1.    0.508 0.956 0.77  0.528 1.   ],[ 0.504 -1.     0.     7.389],[-100    0],--,1,0,0,0,0,0
1.5,15,0,4,--,4,False,True,False,--,0.502,-100.0,1.5,15.0,1.5,15.0,0.086,0.558,6.685,0.033,0.217,--,-94.56,94.56,-17.987,0.715,-0.1,nan,nan,nan,nan,--,0.803,[0.999 1.    0.526 0.954 0.77  0.528 1.   ],[ 0.502 -1.     0.     7.389],[-100    0],--,1,0,0,0,0,0
1.5,20,0,0,--,0,True,False,False,--,0.502,-100.0,1.5,20.0,1.5,20.0,0.099,0.456,6.019,0.051,0.234,--,-78.987,-78.987,-16.439,0.805,0.181,nan,nan,nan,nan,--,0.107,[0.884 1.    0.    0.    0.    0.476 0.   ],[ 0.502 -1.     0.     6.257],[-100    0],--,0,0,0,0,0,1
1.5,20,0,1,--,0,True,False,False,--,0.502,-100.0,1.5,20.0,1.5,20.0,0.099,0.456,6.027,0.051,0.234,--,-78.032,-78.032,-16.337,0.813,0.191,nan,nan,nan,nan,--,0.107,[0.876 1.    0.    0.    0.    0.475 0.   ],[ 0.502 -1.     0.     6.317],[-100    0],--,0,0,0,0,0,1
1.5,20,0,2,--,0,True,False,False,--,0.503,-100.0,1.5,20.0,1.5,20.0,0.097,0.454,6.048,0.05,0.233,--,-77.107,-77.107,-16.238,0.82,0.202,nan,nan,nan,nan,--,0.106,[0.87  1.    0.    0.    0.    0.473 0.   ],[ 0.503 -1.     0.     6.472],[-100    0],--,0,0,0,0,0,1
1.5,20,0,3,--,0,True,False,False,--,0.502,-100.0,1.5,20.0,1.5,20.0,0.099,0.457,6.018,0.051,0.234,--,-79.92,-79.92,-16.538,0.799,0.165,nan,nan,nan,nan,--,0.108,[0.891 1.    0.    0.    0.    0.478 0.   ],[ 0.502 -1.     0.     6.247],[-100    0],--,0,0,0,0,0,1
1.5,20,0,4,--,0,True,False,False,--,0.503,-100.0,1.5,20.0,1.5,20.0,0.098,0.456,6.031,0.05,0.234,--,-79.764,-79.764,-16.519,0.804,0.16,nan,nan,nan,nan,--,0.108,[0.89  1.    0.    0.    0.    0.478 0.   ],[ 0.503 -1.     0.     6.345],[-100    0],--,0,0,0,0,0,1
1.5,25,0,0,--,0,True,False,False,--,0.504,-100.0,1.5,25.0,1.5,25.0,0.113,0.402,5.333,0.072,0.255,--,-78.889,-78.889,-16.427,0.762,0.288,nan,nan,nan,nan,--,0.107,[0.885 1.    0.    0.    0.    0.476 0.   ],[ 0.504 -1.     0.     2.075],[-100    0],--,0,0,0,0,0,1
1.5,25,0,1,--,0,True,False,False,--,0.503,-100.0,1.5,25.0,1.5,25.0,0.113,0.402,5.331,0.072,0.255,--,-78.789,-78.789,-16.415,0.766,0.282,nan,nan,nan,nan,--,0.107,[0.881 1.    0.    0.    0.    0.476 0.   ],[ 0.504 -1.     0.     2.068],[-100    0],--,0,0,0,0,0,1
1.5,25,0,2,--,0,True,False,False,--,0.502,-100.0,1.5,25.0,1.5,25.0,0.116,0.405,5.293,0.074,0.257,--,-79.723,-79.723,-16.515,0.752,0.288,nan,nan,nan,nan,--,0.108,[0.891 1.    0.    0.    0.    0.478 0.   ],[ 0.502 -1.     0.     1.946],[-100    0],--,0,0,0,0,0,1
1.5,25,0,3,--,0,True,False,False,--,0.504,-100.0,1.5,25.0,1.5,25.0,0.113,0.402,5.331,0.072,0.255,--,-78.856,-78.856,-16.423,0.763,0.286,nan,nan,nan,nan,--,0.107,[0.883 1.    0.    0.    0.    0.476 0.   ],[ 0.503 -1.     0.     2.067],[-100    0],--,0,0,0,0,0,1
1.5,25,0,4,--,0,True,False,False,--,0.506,-100.0,1.5,25.0,1.5,25.0,0.109,0.398,5.386,0.069,0.252,--,-76.009,-76.009,-16.117,0.792,0.304,nan,nan,nan,nan,--,0.106,[0.858 1.    0.    0.    0.    0.471 0.   ],[ 0.506 -1.     0.     2.258],[-100    0],--,0,0,0,0,0,1
