V_mag,V_angle,Plane_Angle,Trial_num,--,Pad_Connections,BodyContact,ForelegContact,HindlegContact,--,a_Trg_trg,a_Rot_trg,Vel_mag_B_O_trg,Vel_angle_B_O_trg,Vel_mag_B_P_trg,Vel_angle_B_P_trg,Tau_CR_trg,Tau_trg,Theta_x_trg,D_perp_CR_trg,D_perp_trg,--,Phi_B_O_impact,Phi_B_P_impact,Omega_B_O_impact,Vel_B_P_impact_x,Vel_B_P_impact_z,Impact_Magnitude,Force_Impact_x,Force_Impact_y,Force_Impact_z,--,reward,reward_vals,NN_Output_trg,a_Rot_scale,--,4_Leg_NBC,4_Leg_BC,2_Leg_NBC,2_Leg_BC,0_Leg_NBC,0_Leg_BC
0.5,10,0,0,--,0,False,False,False,--,1.0,-0.049,0.5,10.0,0.5,10.0,0.535,1.438,3.944,0.046,0.125,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.009,[0.384 0.146 0.    0.    0.    0.    0.   ],[1.    0.999 0.001 0.019],[-90   0],--,0,0,0,0,1,0
0.5,10,0,1,--,0,False,False,False,--,1.0,-0.122,0.5,10.0,0.5,10.0,0.509,1.412,4.015,0.044,0.123,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.009,[0.389 0.166 0.    0.    0.    0.    0.   ],[1.    0.998 0.001 0.02 ],[-90   0],--,0,0,0,0,1,0
0.5,10,0,2,--,0,False,False,False,--,1.0,-0.086,0.5,10.0,0.5,10.0,0.517,1.42,3.994,0.045,0.123,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.009,[0.387 0.16  0.    0.    0.    0.    0.   ],[1.    0.998 0.001 0.019],[-90   0],--,0,0,0,0,1,0
0.5,10,0,3,--,0,False,False,False,--,1.0,-0.028,0.5,10.0,0.5,10.0,0.551,1.455,3.899,0.048,0.126,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.008,[0.382 0.134 0.    0.    0.    0.    0.   ],[1.    0.999 0.001 0.018],[-90   0],--,0,0,0,0,1,0
0.5,10,0,4,--,0,False,False,False,--,1.0,-0.135,0.5,10.0,0.5,10.0,0.503,1.406,4.033,0.044,0.122,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.009,[0.39  0.171 0.    0.    0.    0.    0.   ],[1.    0.997 0.001 0.02 ],[-90   0],--,0,0,0,0,1,0
0.5,15,0,0,--,0,False,False,False,--,1.0,-0.055,0.5,15.0,0.5,15.0,0.54,1.146,3.257,0.07,0.148,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.008,[0.346 0.142 0.    0.    0.    0.    0.   ],[1.    0.999 0.001 0.019],[-90   0],--,0,0,0,0,1,0
0.5,15,0,1,--,0,False,False,False,--,1.0,-0.077,0.5,15.0,0.5,15.0,0.525,1.131,3.299,0.068,0.146,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.008,[0.35  0.153 0.    0.    0.    0.    0.   ],[1.    0.998 0.001 0.019],[-90   0],--,0,0,0,0,1,0
0.5,15,0,2,--,0,False,False,False,--,1.0,-0.07,0.5,15.0,0.5,15.0,0.53,1.136,3.284,0.069,0.147,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.008,[0.348 0.149 0.    0.    0.    0.    0.   ],[1.    0.998 0.001 0.019],[-90   0],--,0,0,0,0,1,0
0.5,15,0,3,--,0,False,False,False,--,1.0,-0.105,0.5,15.0,0.5,15.0,0.515,1.121,3.33,0.067,0.145,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.008,[0.352 0.161 0.    0.    0.    0.    0.   ],[1.    0.997 0.001 0.02 ],[-90   0],--,0,0,0,0,1,0
0.5,15,0,4,--,0,False,False,False,--,1.0,-0.044,0.5,15.0,0.5,15.0,0.545,1.151,3.241,0.071,0.149,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.008,[0.345 0.138 0.    0.    0.    0.    0.   ],[1.    0.999 0.001 0.019],[-90   0],--,0,0,0,0,1,0
0.5,20,0,0,--,0,False,False,False,--,1.0,-0.09,0.5,20.0,0.5,20.0,0.529,0.987,2.783,0.09,0.169,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.008,[0.317 0.151 0.    0.    0.    0.    0.   ],[1.    0.998 0.001 0.019],[-90   0],--,0,0,0,0,1,0
0.5,20,0,1,--,0,False,False,False,--,1.0,-0.08,0.5,20.0,0.5,20.0,0.532,0.991,2.774,0.091,0.169,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.007,[0.316 0.148 0.    0.    0.    0.    0.   ],[1.    0.998 0.001 0.019],[-90   0],--,0,0,0,0,1,0
0.5,20,0,2,--,0,False,False,False,--,1.0,-0.083,0.5,20.0,0.5,20.0,0.531,0.99,2.777,0.091,0.169,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.008,[0.317 0.149 0.    0.    0.    0.    0.   ],[1.    0.998 0.001 0.019],[-90   0],--,0,0,0,0,1,0
0.5,20,0,3,--,0,False,False,False,--,1.0,-0.061,0.5,20.0,0.5,20.0,0.54,0.999,2.751,0.092,0.171,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.007,[0.314 0.142 0.    0.    0.    0.    0.   ],[1.    0.999 0.001 0.019],[-90   0],--,0,0,0,0,1,0
