Vel_d,Phi_d,Trial_num,--,Pad_Connections,Body_Contact,Vel_flip,Phi_flip,Tau_tr,Theta_x_tr,D_perp_tr,Eul_y_Impact,Policy_tr,Policy_action,Vx_tr,Vz_tr,reward,reward_vals,--,4_Leg_NBC,4_Leg_BC,2_Leg_NBC,2_Leg_BC,0_Leg_NBC,0_Leg_BC
0.5,0,0,--,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,[0. 0. 0. 0. 0.],--,0,0,0,0,1,0
0.5,0,1,--,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,[0. 0. 0. 0. 0.],--,0,0,0,0,1,0
0.5,0,2,--,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,[0. 0. 0. 0. 0.],--,0,0,0,0,1,0
0.5,0,3,--,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,[0. 0. 0. 0. 0.],--,0,0,0,0,1,0
0.5,0,4,--,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,[0. 0. 0. 0. 0.],--,0,0,0,0,1,0
0.5,5,0,--,0,False,0.5,5.16,3.75,2.954,0.168,0.0,2.605,7.409,0.498,0.045,0.022,[0.002 0.021 0.    0.    0.   ],--,0,0,0,0,1,0
0.5,5,1,--,0,False,0.5,5.16,3.765,2.943,0.169,0.0,3.8,7.916,0.498,0.045,0.023,[0.002 0.021 0.    0.    0.   ],--,0,0,0,0,1,0
0.5,5,2,--,0,False,0.5,5.16,3.825,2.895,0.172,0.0,3.413,7.771,0.498,0.045,0.022,[0.002 0.021 0.    0.    0.   ],--,0,0,0,0,1,0
0.5,5,3,--,0,False,0.5,5.16,3.153,2.884,0.173,0.0,3.223,6.37,0.498,0.045,0.022,[0.002 0.02  0.    0.    0.   ],--,0,0,0,0,1,0
0.5,5,4,--,0,False,0.5,5.17,3.869,2.885,0.172,0.0,3.181,7.501,0.497,0.045,0.022,[0.002 0.02  0.    0.    0.   ],--,0,0,0,0,1,0
0.5,10,0,--,0,False,0.5,9.91,1.843,3.098,0.159,0.0,1.991,6.478,0.492,0.086,0.026,[0.004 0.022 0.    0.    0.   ],--,0,0,0,0,1,0
0.5,10,1,--,0,False,0.5,10.23,1.912,2.89,0.171,0.0,2.417,7.377,0.493,0.089,0.025,[0.004 0.021 0.    0.    0.   ],--,0,0,0,0,1,0
0.5,10,2,--,0,False,0.5,10.14,1.945,2.879,0.171,0.0,2.217,6.558,0.492,0.088,0.024,[0.004 0.021 0.    0.    0.   ],--,0,0,0,0,1,0
0.5,10,3,--,0,False,0.5,10.16,1.909,2.935,0.167,0.0,2.289,7.882,0.491,0.088,0.026,[0.004 0.022 0.    0.    0.   ],--,0,0,0,0,1,0
0.5,10,4,--,0,False,0.5,10.1,1.874,2.983,0.166,0.0,2.151,7.853,0.494,0.088,0.027,[0.004 0.023 0.    0.    0.   ],--,0,0,0,0,1,0
0.5,15,0,--,0,True,0.5,15.3,0.263,13.938,0.035,0.0,2.807,7.985,0.486,0.133,0.15,[0.1  0.05 0.   0.   0.  ],--,0,0,0,0,0,1
0.5,15,1,--,0,True,0.51,15.25,0.266,13.747,0.035,0.0,2.114,7.856,0.488,0.133,0.15,[0.1  0.05 0.   0.   0.  ],--,0,0,0,0,0,1
