V_mag,V_angle,Plane_Angle,Trial_num,--,Pad_Connections,BodyContact,ForelegContact,HindlegContact,--,a_Trg_trg,a_Rot_trg,Vel_mag_B_O_trg,Vel_angle_B_O_trg,Vel_mag_B_P_trg,Vel_angle_B_P_trg,Tau_CR_trg,Tau_trg,Theta_x_trg,D_perp_CR_trg,D_perp_trg,--,Phi_B_O_impact,Phi_B_P_impact,Omega_B_O_impact,Vel_B_P_impact_x,Vel_B_P_impact_z,Impact_Magnitude,Force_Impact_x,Force_Impact_y,Force_Impact_z,--,reward,reward_vals,NN_Output_trg,a_Rot_scale,--,4_Leg_NBC,4_Leg_BC,2_Leg_NBC,2_Leg_BC,0_Leg_NBC,0_Leg_BC
1.5,10,0,0,--,0,False,False,False,--,0.53,-100.0,1.5,10.0,1.5,10.0,0.192,1.017,5.576,0.05,0.265,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.099,[0.972 0.809 0.    0.    0.    0.    0.   ],[ 0.519 -1.     0.01   1.414],[-100    0],--,0,0,0,0,1,0
1.5,10,0,1,--,0,False,False,False,--,0.516,-99.977,1.5,10.0,1.5,10.0,0.192,1.017,5.579,0.05,0.265,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.099,[0.972 0.811 0.    0.    0.    0.    0.   ],[ 0.52  -1.     0.01   1.407],[-100    0],--,0,0,0,0,1,0
1.5,10,0,2,--,0,False,False,False,--,0.52,-100.0,1.5,10.0,1.5,10.0,0.189,1.014,5.595,0.049,0.264,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.1,[0.976 0.823 0.    0.    0.    0.    0.   ],[ 0.529 -1.     0.01   1.364],[-100    0],--,0,0,0,0,1,0
1.5,10,0,3,--,0,False,False,False,--,0.518,-99.999,1.5,10.0,1.5,10.0,0.194,1.018,5.57,0.05,0.265,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.099,[0.97  0.804 0.    0.    0.    0.    0.   ],[ 0.516 -1.     0.01   1.432],[-100    0],--,0,0,0,0,1,0
1.5,10,0,4,--,0,False,False,False,--,0.501,-99.874,1.5,10.0,1.5,10.0,0.2,1.024,5.537,0.052,0.267,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.097,[0.962 0.78  0.    0.    0.    0.    0.   ],[ 0.499 -1.     0.011  1.525],[-100    0],--,0,0,0,0,1,0
1.5,15,0,0,--,4,False,True,False,--,0.507,-100.0,1.5,15.0,1.5,15.0,0.196,0.749,4.98,0.076,0.291,--,-152.102,152.102,-20.218,0.38,-0.459,nan,nan,nan,nan,--,0.926,[1.    0.794 1.    0.897 0.611 0.963 1.   ],[ 0.519 -1.     0.011  1.356],[-100    0],--,1,0,0,0,0,0
1.5,15,0,1,--,4,False,True,False,--,0.516,-99.558,1.5,15.0,1.5,15.0,0.196,0.75,4.978,0.076,0.291,--,-153.857,153.857,-20.24,0.378,-0.485,nan,nan,nan,nan,--,0.919,[1.    0.793 1.    0.877 0.596 0.949 1.   ],[ 0.519 -1.     0.011  1.36 ],[-100    0],--,1,0,0,0,0,0
1.5,15,0,2,--,4,False,True,False,--,0.527,-100.0,1.5,15.0,1.5,15.0,0.198,0.751,4.967,0.077,0.292,--,-153.261,153.261,-20.235,0.38,-0.47,nan,nan,nan,nan,--,0.921,[0.999 0.787 1.    0.886 0.601 0.954 1.   ],[ 0.513 -1.     0.011  1.386],[-100    0],--,1,0,0,0,0,0
1.5,15,0,3,--,4,False,True,False,--,0.53,-99.992,1.5,15.0,1.5,15.0,0.193,0.746,5.0,0.075,0.29,--,-149.775,149.775,-20.181,0.382,-0.436,nan,nan,nan,nan,--,0.934,[0.998 0.806 1.    0.917 0.631 0.98  1.   ],[ 0.528 -1.     0.011  1.313],[-100    0],--,1,0,0,0,0,0
1.5,15,0,4,--,4,False,True,False,--,0.523,-100.0,1.5,15.0,1.5,15.0,0.193,0.746,5.0,0.075,0.29,--,-149.789,149.789,-20.183,0.382,-0.436,nan,nan,nan,nan,--,0.934,[0.998 0.806 1.    0.916 0.631 0.98  1.   ],[ 0.529 -1.     0.011  1.311],[-100    0],--,1,0,0,0,0,0
1.5,20,0,0,--,4,False,True,False,--,0.511,-99.99,1.5,20.0,1.5,20.0,0.202,0.62,4.428,0.103,0.318,--,-146.31,146.31,-20.124,0.346,-0.277,nan,nan,nan,nan,--,0.943,[0.999 0.772 1.    0.97  0.66  0.986 1.   ],[ 0.518 -1.     0.011  1.316],[-100    0],--,1,0,0,0,0,0
1.5,20,0,1,--,4,False,True,False,--,0.501,-100.0,1.5,20.0,1.5,20.0,0.212,0.631,4.356,0.109,0.324,--,-154.42,154.42,-20.251,0.339,-0.356,nan,nan,nan,nan,--,0.917,[0.998 0.733 1.    0.905 0.591 0.945 1.   ],[ 0.481 -1.     0.012  1.444],[-100    0],--,1,0,0,0,0,0
1.5,20,0,2,--,4,False,True,False,--,0.507,-99.999,1.5,20.0,1.5,20.0,0.208,0.627,4.383,0.107,0.322,--,-150.944,150.944,-20.201,0.342,-0.322,nan,nan,nan,nan,--,0.93,[0.999 0.748 1.    0.936 0.621 0.972 1.   ],[ 0.496 -1.     0.012  1.4  ],[-100    0],--,1,0,0,0,0,0
1.5,20,0,3,--,4,False,True,False,--,0.525,-100.0,1.5,20.0,1.5,20.0,0.198,0.617,4.452,0.102,0.317,--,-145.173,145.173,-20.106,0.347,-0.265,nan,nan,nan,nan,--,0.942,[0.997 0.785 1.    0.977 0.669 0.969 1.   ],[ 0.528 -1.     0.011  1.269],[-100    0],--,1,0,0,0,0,0
1.5,20,0,4,--,4,False,True,False,--,0.507,-99.993,1.5,20.0,1.5,20.0,0.204,0.623,4.41,0.105,0.32,--,-148.623,148.623,-20.163,0.344,-0.3,nan,nan,nan,nan,--,0.939,[0.999 0.762 1.    0.954 0.64  0.989 1.   ],[ 0.51  -1.     0.011  1.353],[-100    0],--,1,0,0,0,0,0
1.5,25,0,0,--,4,False,True,False,--,0.54,-99.998,1.5,25.0,1.5,25.0,0.202,0.541,3.962,0.128,0.343,--,-142.871,142.871,-20.063,0.3,-0.121,nan,nan,nan,nan,--,0.938,[0.999 0.77  1.    1.    0.688 0.934 1.   ],[ 0.53  -1.     0.011  1.219],[-100    0],--,1,0,0,0,0,0
