V_mag,V_angle,Plane_Angle,Trial_num,--,Pad_Connections,BodyContact,ForelegContact,HindlegContact,--,a_Trg_trg,a_Rot_trg,Vel_mag_B_O_trg,Vel_angle_B_O_trg,Vel_mag_B_P_trg,Vel_angle_B_P_trg,Tau_CR_trg,Tau_trg,Theta_x_trg,D_perp_CR_trg,D_perp_trg,--,Phi_B_O_impact,Phi_B_P_impact,Omega_B_O_impact,Vel_B_P_impact_x,Vel_B_P_impact_z,Impact_Magnitude,Force_Impact_x,Force_Impact_y,Force_Impact_z,--,reward,reward_vals,NN_Output_trg,a_Rot_scale,--,4_Leg_NBC,4_Leg_BC,2_Leg_NBC,2_Leg_BC,0_Leg_NBC,0_Leg_BC
1.5,10,0,0,--,0,False,False,False,--,0.501,-98.639,1.5,10.0,1.5,10.0,0.214,1.039,5.46,0.056,0.271,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.092,[0.931 0.726 0.    0.    0.    0.    0.   ],[ 0.513 -0.949  0.03   0.387],[-100    0],--,0,0,0,0,1,0
1.5,10,0,1,--,0,False,False,False,--,0.582,-99.555,1.5,10.0,1.5,10.0,0.206,1.031,5.5,0.054,0.269,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.095,[0.95  0.754 0.    0.    0.    0.    0.   ],[ 0.573 -0.963  0.025  0.369],[-100    0],--,0,0,0,0,1,0
1.5,10,0,2,--,0,False,False,False,--,0.619,-98.338,1.5,10.0,1.5,10.0,0.206,1.03,5.504,0.054,0.268,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.094,[0.938 0.757 0.    0.    0.    0.    0.   ],[ 0.578 -0.964  0.025  0.368],[-100    0],--,0,0,0,0,1,0
1.5,10,0,3,--,0,False,False,False,--,0.5,-98.406,1.5,10.0,1.5,10.0,0.219,1.043,5.435,0.057,0.272,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.091,[0.923 0.709 0.    0.    0.    0.    0.   ],[ 0.473 -0.937  0.034  0.399],[-100    0],--,0,0,0,0,1,0
1.5,10,0,4,--,0,False,False,False,--,0.505,-96.958,1.5,10.0,1.5,10.0,0.212,1.037,5.469,0.055,0.27,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.091,[0.914 0.732 0.    0.    0.    0.    0.   ],[ 0.527 -0.952  0.029  0.383],[-100    0],--,0,0,0,0,1,0
1.5,15,0,0,--,0,False,False,False,--,0.551,-97.858,1.5,15.0,1.5,15.0,0.213,0.767,4.869,0.083,0.298,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.093,[0.951 0.729 0.    0.    0.    0.    0.   ],[ 0.561 -0.963  0.025  0.39 ],[-100    0],--,0,0,0,0,1,0
1.5,15,0,1,--,0,False,False,False,--,0.535,-97.409,1.5,15.0,1.5,15.0,0.215,0.768,4.857,0.083,0.298,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.093,[0.943 0.723 0.    0.    0.    0.    0.   ],[ 0.547 -0.961  0.026  0.394],[-100    0],--,0,0,0,0,1,0
1.5,15,0,2,--,0,False,False,False,--,0.507,-98.874,1.5,15.0,1.5,15.0,0.224,0.778,4.799,0.087,0.302,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.091,[0.942 0.689 0.    0.    0.    0.    0.   ],[ 0.471 -0.942  0.033  0.419],[-100    0],--,0,0,0,0,1,0
1.5,15,0,3,--,0,False,False,False,--,0.596,-94.565,1.5,15.0,1.5,15.0,0.208,0.761,4.902,0.081,0.296,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.093,[0.919 0.748 0.    0.    0.    0.    0.   ],[ 0.599 -0.971  0.022  0.377],[-100    0],--,0,0,0,0,1,0
1.5,15,0,4,--,0,False,False,False,--,0.574,-97.812,1.5,15.0,1.5,15.0,0.21,0.763,4.891,0.081,0.296,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.094,[0.957 0.742 0.    0.    0.    0.    0.   ],[ 0.586 -0.968  0.023  0.381],[-100    0],--,0,0,0,0,1,0
1.5,20,0,0,--,0,False,False,False,--,0.534,-97.54,1.5,20.0,1.5,20.0,0.222,0.641,4.289,0.114,0.329,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.092,[0.954 0.698 0.    0.    0.    0.    0.   ],[ 0.533 -0.961  0.027  0.418],[-100    0],--,0,0,0,0,1,0
1.5,20,0,1,--,0,False,False,False,--,0.551,-98.2,1.5,20.0,1.5,20.0,0.219,0.638,4.309,0.112,0.327,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.093,[0.97  0.709 0.    0.    0.    0.    0.   ],[ 0.556 -0.965  0.025  0.41 ],[-100    0],--,0,0,0,0,1,0
1.5,20,0,2,--,0,False,False,False,--,0.536,-97.415,1.5,20.0,1.5,20.0,0.222,0.64,4.291,0.114,0.328,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.092,[0.954 0.699 0.    0.    0.    0.    0.   ],[ 0.536 -0.962  0.026  0.417],[-100    0],--,0,0,0,0,1,0
1.5,20,0,3,--,0,False,False,False,--,0.602,-99.299,1.5,20.0,1.5,20.0,0.214,0.633,4.343,0.11,0.325,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.096,[0.994 0.726 0.    0.    0.    0.    0.   ],[ 0.592 -0.972  0.022  0.397],[-100    0],--,0,0,0,0,1,0
1.5,20,0,4,--,0,False,False,False,--,0.537,-98.233,1.5,20.0,1.5,20.0,0.224,0.642,4.277,0.115,0.33,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.092,[0.958 0.692 0.    0.    0.    0.    0.   ],[ 0.52  -0.958  0.028  0.423],[-100    0],--,0,0,0,0,1,0
1.5,25,0,0,--,0,False,False,False,--,0.521,-96.879,1.5,25.0,1.5,25.0,0.229,0.567,3.779,0.145,0.36,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.09,[0.948 0.675 0.    0.    0.    0.    0.   ],[ 0.519 -0.961  0.027  0.443],[-100    0],--,0,0,0,0,1,0
1.5,25,0,1,--,0,False,False,False,--,0.538,-99.204,1.5,25.0,1.5,25.0,0.226,0.565,3.797,0.143,0.358,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.093,[0.983 0.684 0.    0.    0.    0.    0.   ],[ 0.538 -0.965  0.025  0.436],[-100    0],--,0,0,0,0,1,0
1.5,25,0,2,--,0,False,False,False,--,0.507,-98.347,1.5,25.0,1.5,25.0,0.23,0.569,3.769,0.146,0.361,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.091,[0.961 0.67  0.    0.    0.    0.    0.   ],[ 0.506 -0.959  0.028  0.448],[-100    0],--,0,0,0,0,1,0
1.5,25,0,3,--,0,False,False,False,--,0.572,-96.789,1.5,25.0,1.5,25.0,0.222,0.561,3.821,0.141,0.356,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.092,[0.966 0.696 0.    0.    0.    0.    0.   ],[ 0.565 -0.97   0.023  0.425],[-100    0],--,0,0,0,0,1,0
1.5,25,0,4,--,0,False,False,False,--,0.568,-99.063,1.5,25.0,1.5,25.0,0.225,0.564,3.803,0.143,0.358,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.093,[0.984 0.687 0.    0.    0.    0.    0.   ],[ 0.545 -0.966  0.025  0.433],[-100    0],--,0,0,0,0,1,0
1.5,30,0,0,--,0,False,False,False,--,0.571,-95.129,1.5,30.0,1.5,30.0,0.229,0.515,3.363,0.171,0.386,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.09,[0.95  0.675 0.    0.    0.    0.    0.   ],[ 0.542 -0.968  0.024  0.452],[-100    0],--,0,0,0,0,1,0
1.5,30,0,1,--,0,False,False,False,--,0.581,-94.191,1.5,30.0,1.5,30.0,0.223,0.51,3.399,0.167,0.382,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.092,[0.961 0.694 0.    0.    0.    0.    0.   ],[ 0.588 -0.975  0.021  0.435],[-100    0],--,0,0,0,0,1,0
1.5,30,0,2,--,0,False,False,False,--,0.584,-99.185,1.5,30.0,1.5,30.0,0.229,0.516,3.357,0.172,0.387,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.092,[0.989 0.672 0.    0.    0.    0.    0.   ],[ 0.535 -0.967  0.025  0.455],[-100    0],--,0,0,0,0,1,0
1.5,30,0,3,--,4,False,True,False,--,0.585,-99.893,1.5,30.0,1.5,30.0,0.223,0.51,3.399,0.167,0.382,--,-151.927,151.927,-20.196,0.232,-0.097,nan,nan,nan,nan,--,0.931,[0.999 0.694 1.    0.993 0.613 0.964 1.   ],[ 0.588 -0.975  0.021  0.434],[-100    0],--,1,0,0,0,0,0
1.5,30,0,4,--,4,False,True,False,--,0.564,-99.632,1.5,30.0,1.5,30.0,0.227,0.513,3.373,0.17,0.385,--,-158.63,158.63,-20.318,0.224,-0.168,nan,nan,nan,nan,--,0.906,[0.999 0.68  1.    0.93  0.555 0.913 1.   ],[ 0.556 -0.97   0.023  0.447],[-100    0],--,1,0,0,0,0,0
1.5,35,0,0,--,0,False,False,False,--,0.566,-95.527,1.5,35.0,1.5,35.0,0.228,0.478,2.991,0.196,0.411,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.092,[0.978 0.677 0.    0.    0.    0.    0.   ],[ 0.556 -0.972  0.023  0.46 ],[-100    0],--,0,0,0,0,1,0
1.5,35,0,1,--,4,False,True,False,--,0.528,-99.098,1.5,35.0,1.5,35.0,0.23,0.479,2.98,0.198,0.412,--,-157.71,157.71,-20.203,0.162,-0.058,nan,nan,nan,nan,--,0.914,[1.    0.672 1.    0.988 0.563 0.92  1.   ],[ 0.541 -0.969  0.024  0.465],[-100    0],--,1,0,0,0,0,0
