V_mag,V_angle,Plane_Angle,Trial_num,--,Pad_Connections,BodyContact,ForelegContact,HindlegContact,--,a_Trg_trg,a_Rot_trg,Vel_mag_B_O_trg,Vel_angle_B_O_trg,Vel_mag_B_P_trg,Vel_angle_B_P_trg,Tau_CR_trg,Tau_trg,Theta_x_trg,D_perp_CR_trg,D_perp_trg,--,Phi_B_O_impact,Phi_B_P_impact,Omega_B_O_impact,Vel_B_P_impact_x,Vel_B_P_impact_z,Impact_Magnitude,Force_Impact_x,Force_Impact_y,Force_Impact_z,--,reward,reward_vals,NN_Output_trg,a_Rot_scale,--,4_Leg_NBC,4_Leg_BC,2_Leg_NBC,2_Leg_BC,0_Leg_NBC,0_Leg_BC
1.5,10,0,0,--,0,False,False,False,--,0.532,-99.276,1.5,10.0,1.5,10.0,0.204,1.029,5.513,0.053,0.268,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.095,[0.95  0.763 0.    0.    0.    0.    0.   ],[ 0.511 -0.98   0.014  0.247],[-100    0],--,0,0,0,0,1,0
1.5,10,0,1,--,0,False,False,False,--,0.502,-99.013,1.5,10.0,1.5,10.0,0.222,1.047,5.419,0.058,0.273,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.09,[0.925 0.698 0.    0.    0.    0.    0.   ],[ 0.508 -0.978  0.015  0.228],[-100    0],--,0,0,0,0,1,0
1.5,10,0,2,--,0,False,False,False,--,0.509,-99.277,1.5,10.0,1.5,10.0,0.217,1.041,5.447,0.056,0.271,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.092,[0.935 0.717 0.    0.    0.    0.    0.   ],[ 0.507 -0.98   0.014  0.236],[-100    0],--,0,0,0,0,1,0
1.5,10,0,3,--,0,False,False,False,--,0.513,-98.565,1.5,10.0,1.5,10.0,0.206,1.03,5.504,0.054,0.268,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.094,[0.94  0.757 0.    0.    0.    0.    0.   ],[ 0.511 -0.98   0.014  0.247],[-100    0],--,0,0,0,0,1,0
1.5,10,0,4,--,0,False,False,False,--,0.506,-98.791,1.5,10.0,1.5,10.0,0.22,1.045,5.429,0.057,0.272,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.091,[0.926 0.705 0.    0.    0.    0.    0.   ],[ 0.507 -0.979  0.014  0.231],[-100    0],--,0,0,0,0,1,0
1.5,15,0,0,--,0,False,False,False,--,0.512,-98.165,1.5,15.0,1.5,15.0,0.224,0.778,4.799,0.087,0.302,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.09,[0.935 0.69  0.    0.    0.    0.    0.   ],[ 0.522 -0.979  0.015  0.256],[-100    0],--,0,0,0,0,1,0
1.5,15,0,1,--,0,False,False,False,--,0.528,-99.276,1.5,15.0,1.5,15.0,0.22,0.773,4.828,0.085,0.3,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.092,[0.955 0.706 0.    0.    0.    0.    0.   ],[ 0.524 -0.982  0.014  0.265],[-100    0],--,0,0,0,0,1,0
1.5,15,0,2,--,0,False,False,False,--,0.525,-98.871,1.5,15.0,1.5,15.0,0.217,0.77,4.845,0.084,0.299,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.093,[0.956 0.716 0.    0.    0.    0.    0.   ],[ 0.524 -0.983  0.013  0.271],[-100    0],--,0,0,0,0,1,0
1.5,15,0,3,--,0,False,False,False,--,0.526,-97.213,1.5,15.0,1.5,15.0,0.223,0.776,4.809,0.086,0.301,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.09,[0.927 0.695 0.    0.    0.    0.    0.   ],[ 0.525 -0.981  0.014  0.259],[-100    0],--,0,0,0,0,1,0
1.5,15,0,4,--,0,False,False,False,--,0.521,-98.347,1.5,15.0,1.5,15.0,0.216,0.769,4.852,0.084,0.299,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.093,[0.952 0.719 0.    0.    0.    0.    0.   ],[ 0.524 -0.984  0.013  0.273],[-100    0],--,0,0,0,0,1,0
