V_mag,V_angle,Plane_Angle,Trial_num,--,Pad_Connections,BodyContact,ForelegContact,HindlegContact,--,a_Trg_trg,a_Rot_trg,Vel_mag_B_O_trg,Vel_angle_B_O_trg,Vel_mag_B_P_trg,Vel_angle_B_P_trg,Tau_CR_trg,Tau_trg,Theta_x_trg,D_perp_CR_trg,D_perp_trg,--,Phi_B_O_impact,Phi_B_P_impact,Omega_B_O_impact,Vel_B_P_impact_x,Vel_B_P_impact_z,Impact_Magnitude,Force_Impact_x,Force_Impact_y,Force_Impact_z,--,reward,reward_vals,NN_Output_trg,a_Rot_scale,--,4_Leg_NBC,4_Leg_BC,2_Leg_NBC,2_Leg_BC,0_Leg_NBC,0_Leg_BC
1.5,10,0,0,--,0,False,False,False,--,0.501,-94.554,1.5,10.0,1.5,10.0,0.197,1.022,5.55,0.051,0.266,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.136,[0.899 0.79  0.    0.    0.    0.    0.   ],[ 0.508 -0.916  0.01   0.162],[-100    0],--,0,0,0,0,1,0
1.5,10,0,1,--,0,False,False,False,--,0.53,-96.931,1.5,10.0,1.5,10.0,0.191,1.016,5.584,0.05,0.265,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.141,[0.936 0.815 0.    0.    0.    0.    0.   ],[ 0.533 -0.928  0.009  0.151],[-100    0],--,0,0,0,0,1,0
1.5,10,0,2,--,0,False,False,False,--,0.539,-53.967,1.5,10.0,1.5,10.0,0.467,1.292,4.39,0.122,0.336,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.036,[0.24  0.205 0.    0.    0.    0.    0.   ],[-0.596  0.899  0.39   1.63 ],[-100    0],--,0,0,0,0,1,0
1.5,10,0,3,--,0,False,False,False,--,0.508,-94.277,1.5,10.0,1.5,10.0,0.199,1.024,5.538,0.052,0.267,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.135,[0.893 0.781 0.    0.    0.    0.    0.   ],[ 0.498 -0.912  0.011  0.167],[-100    0],--,0,0,0,0,1,0
1.5,10,0,4,--,0,False,False,False,--,0.524,-96.584,1.5,10.0,1.5,10.0,0.194,1.019,5.565,0.051,0.265,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.14,[0.927 0.801 0.    0.    0.    0.    0.   ],[ 0.519 -0.922  0.01   0.157],[-100    0],--,0,0,0,0,1,0
1.5,15,0,0,--,0,False,False,False,--,0.514,-97.177,1.5,15.0,1.5,15.0,0.206,0.759,4.918,0.08,0.295,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.141,[0.956 0.758 0.    0.    0.    0.    0.   ],[ 0.51  -0.908  0.011  0.162],[-100    0],--,0,0,0,0,1,0
1.5,15,0,1,--,0,False,False,False,--,0.533,-96.465,1.5,15.0,1.5,15.0,0.201,0.754,4.949,0.078,0.293,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.141,[0.954 0.776 0.    0.    0.    0.    0.   ],[ 0.529 -0.917  0.01   0.153],[-100    0],--,0,0,0,0,1,0
1.5,15,0,2,--,0,False,False,False,--,0.518,-96.613,1.5,15.0,1.5,15.0,0.203,0.757,4.932,0.079,0.294,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.14,[0.951 0.766 0.    0.    0.    0.    0.   ],[ 0.519 -0.912  0.01   0.158],[-100    0],--,0,0,0,0,1,0
1.5,15,0,3,--,0,False,False,False,--,0.504,-97.263,1.5,15.0,1.5,15.0,0.204,0.757,4.927,0.079,0.294,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.141,[0.955 0.763 0.    0.    0.    0.    0.   ],[ 0.516 -0.911  0.01   0.159],[-100    0],--,0,0,0,0,1,0
1.5,15,0,4,--,0,False,False,False,--,0.531,-95.064,1.5,15.0,1.5,15.0,0.197,0.751,4.972,0.077,0.291,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.14,[0.938 0.79  0.    0.    0.    0.    0.   ],[ 0.542 -0.924  0.009  0.147],[-100    0],--,0,0,0,0,1,0
1.5,20,0,0,--,0,False,False,False,--,0.523,-92.352,1.5,20.0,1.5,20.0,0.204,0.622,4.414,0.105,0.319,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.138,[0.929 0.764 0.    0.    0.    0.    0.   ],[ 0.522 -0.905  0.011  0.156],[-100    0],--,0,0,0,0,1,0
