V_mag,V_angle,Plane_Angle,Trial_num,--,Pad_Connections,BodyContact,ForelegContact,HindlegContact,--,a_Trg_trg,a_Rot_trg,Vel_mag_B_O_trg,Vel_angle_B_O_trg,Vel_mag_B_P_trg,Vel_angle_B_P_trg,Tau_CR_trg,Tau_trg,Theta_x_trg,D_perp_CR_trg,D_perp_trg,--,Phi_B_O_impact,Phi_B_P_impact,Omega_B_O_impact,Vel_B_P_impact_x,Vel_B_P_impact_z,Impact_Magnitude,Force_Impact_x,Force_Impact_y,Force_Impact_z,--,reward,reward_vals,NN_Output_trg,a_Rot_scale,--,4_Leg_NBC,4_Leg_BC,2_Leg_NBC,2_Leg_BC,0_Leg_NBC,0_Leg_BC
1.5,15,0,0,--,0,True,False,False,--,nan,nan,nan,nan,nan,nan,inf,inf,nan,nan,nan,--,0.0,0.0,0.0,1.449,0.388,nan,nan,nan,nan,--,0,[0 0 0 0 0 0 0],[nan nan nan nan],[-100    0],--,0,0,0,0,0,1
1.5,15,0,1,--,0,True,False,False,--,nan,nan,nan,nan,nan,nan,inf,inf,nan,nan,nan,--,0.0,0.0,0.0,1.449,0.388,nan,nan,nan,nan,--,0,[0 0 0 0 0 0 0],[nan nan nan nan],[-100    0],--,0,0,0,0,0,1
1.5,15,0,2,--,0,True,False,False,--,nan,nan,nan,nan,nan,nan,inf,inf,nan,nan,nan,--,0.0,0.0,0.0,1.449,0.388,nan,nan,nan,nan,--,0,[0 0 0 0 0 0 0],[nan nan nan nan],[-100    0],--,0,0,0,0,0,1
1.5,15,0,3,--,0,True,False,False,--,nan,nan,nan,nan,nan,nan,inf,inf,nan,nan,nan,--,0.0,0.0,0.0,1.449,0.388,nan,nan,nan,nan,--,0,[0 0 0 0 0 0 0],[nan nan nan nan],[-100    0],--,0,0,0,0,0,1
1.5,15,0,4,--,0,True,False,False,--,nan,nan,nan,nan,nan,nan,inf,inf,nan,nan,nan,--,0.0,0.0,0.0,1.449,0.388,nan,nan,nan,nan,--,0,[0 0 0 0 0 0 0],[nan nan nan nan],[-100    0],--,0,0,0,0,0,1
1.5,20,0,0,--,4,False,True,False,--,0.501,-99.023,1.5,20.0,1.5,20.0,0.172,0.591,4.65,0.088,0.303,--,-136.872,136.872,-19.834,0.37,-0.207,nan,nan,nan,nan,--,0.919,[0.999 0.895 0.931 1.    0.735 0.842 1.   ],[ 0.501 -0.982  0.002  0.123],[-100    0],--,1,0,0,0,0,0
1.5,20,0,1,--,4,False,True,False,--,0.5,-98.835,1.5,20.0,1.5,20.0,0.177,0.596,4.609,0.091,0.306,--,-138.857,138.857,-19.843,0.369,-0.231,nan,nan,nan,nan,--,0.935,[0.999 0.872 0.993 0.997 0.72  0.873 1.   ],[ 0.501 -0.982  0.002  0.126],[-100    0],--,1,0,0,0,0,0
1.5,20,0,2,--,4,False,True,False,--,0.5,-99.228,1.5,20.0,1.5,20.0,0.177,0.595,4.614,0.091,0.305,--,-139.459,139.459,-19.926,0.365,-0.233,nan,nan,nan,nan,--,0.938,[0.998 0.875 1.    0.996 0.715 0.882 1.   ],[ 0.501 -0.982  0.002  0.125],[-100    0],--,1,0,0,0,0,0
1.5,20,0,3,--,4,False,True,False,--,0.502,-99.405,1.5,20.0,1.5,20.0,0.172,0.591,4.651,0.088,0.303,--,-137.404,137.404,-19.911,0.369,-0.213,nan,nan,nan,nan,--,0.922,[0.999 0.896 0.939 1.    0.731 0.851 1.   ],[ 0.501 -0.982  0.002  0.123],[-100    0],--,1,0,0,0,0,0
1.5,20,0,4,--,4,False,True,False,--,0.502,-99.193,1.5,20.0,1.5,20.0,0.158,0.577,4.764,0.081,0.296,--,-133.669,133.669,-19.786,0.379,-0.179,nan,nan,nan,nan,--,0.887,[0.999 0.961 0.803 0.997 0.759 0.794 1.   ],[ 0.501 -0.982  0.002  0.115],[-100    0],--,1,0,0,0,0,0
1.5,25,0,0,--,4,False,True,False,--,0.501,-98.773,1.5,25.0,1.5,25.0,0.186,0.525,4.083,0.118,0.333,--,-138.817,138.817,-19.899,0.32,-0.121,nan,nan,nan,nan,--,0.934,[0.998 0.834 1.    0.998 0.72  0.872 1.   ],[ 0.497 -0.978  0.003  0.137],[-100    0],--,1,0,0,0,0,0
1.5,25,0,1,--,4,False,True,False,--,0.503,-98.143,1.5,25.0,1.5,25.0,0.179,0.518,4.142,0.113,0.328,--,-136.685,136.685,-19.738,0.334,-0.113,nan,nan,nan,nan,--,0.926,[1.    0.865 0.977 0.993 0.737 0.84  1.   ],[ 0.502 -0.979  0.002  0.116],[-100    0],--,1,0,0,0,0,0
1.5,25,0,2,--,4,False,True,False,--,0.503,-99.288,1.5,25.0,1.5,25.0,0.177,0.516,4.159,0.112,0.327,--,-134.88,134.88,-19.827,0.33,-0.074,nan,nan,nan,nan,--,0.914,[0.999 0.875 0.946 0.977 0.75  0.812 1.   ],[ 0.503 -0.979  0.002  0.11 ],[-100    0],--,1,0,0,0,0,0
