V_mag,V_angle,Plane_Angle,Trial_num,--,Pad_Connections,BodyContact,ForelegContact,HindlegContact,--,a_Trg_trg,a_Rot_trg,Vel_mag_B_O_trg,Vel_angle_B_O_trg,Vel_mag_B_P_trg,Vel_angle_B_P_trg,Tau_CR_trg,Tau_trg,Theta_x_trg,D_perp_CR_trg,D_perp_trg,--,Phi_B_O_impact,Phi_B_P_impact,Omega_B_O_impact,Vel_B_P_impact_x,Vel_B_P_impact_z,Impact_Magnitude,Force_Impact_x,Force_Impact_y,Force_Impact_z,--,reward,reward_vals,NN_Output_trg,a_Rot_scale,--,4_Leg_NBC,4_Leg_BC,2_Leg_NBC,2_Leg_BC,0_Leg_NBC,0_Leg_BC
1.5,15,0,0,--,0,False,False,False,--,0.502,-99.586,1.5,15.0,1.5,15.0,0.201,0.754,4.946,0.078,0.293,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.145,[0.993 0.774 0.    0.    0.    0.    0.   ],[ 0.536 -0.996  0.017  0.239],[-100    0],--,0,0,0,0,1,0
1.5,15,0,1,--,0,False,False,False,--,0.524,-99.608,1.5,15.0,1.5,15.0,0.204,0.757,4.929,0.079,0.294,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.144,[0.988 0.764 0.    0.    0.    0.    0.   ],[ 0.529 -0.996  0.017  0.243],[-100    0],--,0,0,0,0,1,0
1.5,15,0,2,--,4,False,True,False,--,0.576,-99.891,1.5,15.0,1.5,15.0,0.2,0.753,4.957,0.077,0.292,--,-154.252,154.252,-20.229,0.379,-0.48,nan,nan,nan,nan,--,0.921,[1.    0.781 1.    0.877 0.593 0.946 1.   ],[ 0.541 -0.997  0.017  0.237],[-100    0],--,1,0,0,0,0,0
1.5,15,0,3,--,0,False,False,False,--,0.521,-99.726,1.5,15.0,1.5,15.0,0.205,0.759,4.919,0.08,0.295,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.144,[0.989 0.758 0.    0.    0.    0.    0.   ],[ 0.524 -0.996  0.017  0.245],[-100    0],--,0,0,0,0,1,0
1.5,15,0,4,--,4,False,True,False,--,0.563,-99.919,1.5,15.0,1.5,15.0,0.196,0.75,4.978,0.076,0.291,--,-150.836,150.836,-20.186,0.38,-0.444,nan,nan,nan,nan,--,0.934,[0.999 0.793 1.    0.908 0.622 0.972 1.   ],[ 0.55  -0.997  0.016  0.233],[-100    0],--,1,0,0,0,0,0
1.5,20,0,0,--,4,False,True,False,--,0.509,-99.816,1.5,20.0,1.5,20.0,0.206,0.625,4.396,0.106,0.321,--,-149.515,149.515,-20.146,0.344,-0.31,nan,nan,nan,nan,--,0.939,[0.999 0.755 1.    0.947 0.633 0.982 1.   ],[ 0.525 -0.995  0.017  0.233],[-100    0],--,1,0,0,0,0,0
1.5,20,0,1,--,4,False,True,False,--,0.53,-99.622,1.5,20.0,1.5,20.0,0.206,0.624,4.401,0.105,0.32,--,-149.345,149.345,-20.185,0.34,-0.313,nan,nan,nan,nan,--,0.939,[0.999 0.757 1.    0.945 0.634 0.984 1.   ],[ 0.527 -0.995  0.017  0.233],[-100    0],--,1,0,0,0,0,0
1.5,20,0,2,--,4,False,True,False,--,0.514,-99.786,1.5,20.0,1.5,20.0,0.206,0.625,4.395,0.106,0.321,--,-149.448,149.448,-20.138,0.345,-0.31,nan,nan,nan,nan,--,0.939,[0.999 0.754 1.    0.948 0.633 0.983 1.   ],[ 0.524 -0.995  0.018  0.233],[-100    0],--,1,0,0,0,0,0
1.5,20,0,3,--,4,False,True,False,--,0.519,-99.64,1.5,20.0,1.5,20.0,0.207,0.625,4.394,0.106,0.321,--,-150.521,150.521,-20.207,0.339,-0.325,nan,nan,nan,nan,--,0.935,[0.998 0.754 1.    0.936 0.624 0.975 1.   ],[ 0.524 -0.995  0.018  0.234],[-100    0],--,1,0,0,0,0,0
1.5,20,0,4,--,4,False,True,False,--,0.541,-99.788,1.5,20.0,1.5,20.0,0.204,0.623,4.41,0.105,0.32,--,-148.289,148.289,-20.12,0.347,-0.3,nan,nan,nan,nan,--,0.943,[0.999 0.762 1.    0.956 0.643 0.992 1.   ],[ 0.531 -0.995  0.017  0.231],[-100    0],--,1,0,0,0,0,0
