V_mag,V_angle,Plane_Angle,Trial_num,--,Pad_Connections,BodyContact,ForelegContact,HindlegContact,--,a_Trg_trg,a_Rot_trg,Vel_mag_B_O_trg,Vel_angle_B_O_trg,Vel_mag_B_P_trg,Vel_angle_B_P_trg,Tau_CR_trg,Tau_trg,Theta_x_trg,D_perp_CR_trg,D_perp_trg,--,Phi_B_O_impact,Phi_B_P_impact,Omega_B_O_impact,Vel_B_P_impact_x,Vel_B_P_impact_z,Impact_Magnitude,Force_Impact_x,Force_Impact_y,Force_Impact_z,--,reward,reward_vals,NN_Output_trg,a_Rot_scale,--,4_Leg_NBC,4_Leg_BC,2_Leg_NBC,2_Leg_BC,0_Leg_NBC,0_Leg_BC
1.6,15,0,0,--,0,False,False,False,--,0.647,-99.334,1.6,15.0,1.6,15.0,0.228,0.747,4.999,0.094,0.309,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.135,[0.947 0.678 0.    0.    0.    0.    0.   ],[ 0.683 -0.984  0.083  0.38 ],[-100    0],--,0,0,0,0,1,0
1.6,15,0,1,--,0,False,False,False,--,0.64,-99.692,1.6,15.0,1.6,15.0,0.237,0.756,4.936,0.098,0.313,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.132,[0.934 0.646 0.    0.    0.    0.    0.   ],[ 0.64  -0.989  0.081  0.423],[-100    0],--,0,0,0,0,1,0
1.6,15,0,2,--,0,False,False,False,--,0.644,-99.537,1.6,15.0,1.6,15.0,0.237,0.756,4.938,0.098,0.313,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.132,[0.934 0.647 0.    0.    0.    0.    0.   ],[ 0.661 -0.989  0.079  0.413],[-100    0],--,0,0,0,0,1,0
1.6,15,0,3,--,0,False,False,False,--,0.504,-97.843,1.6,15.0,1.6,15.0,0.238,0.757,4.93,0.099,0.313,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.13,[0.912 0.643 0.    0.    0.    0.    0.   ],[ 0.527 -0.978  0.095  0.465],[-100    0],--,0,0,0,0,1,0
1.6,25,0,0,--,0,False,False,False,--,0.749,-99.796,1.6,25.0,1.6,25.0,0.24,0.558,3.843,0.162,0.377,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.134,[0.953 0.637 0.    0.    0.    0.    0.   ],[ 0.7   -0.988  0.076  0.394],[-100    0],--,0,0,0,0,1,0
1.6,25,0,1,--,0,False,False,False,--,0.658,-99.408,1.6,25.0,1.6,25.0,0.236,0.554,3.87,0.16,0.375,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.135,[0.96  0.649 0.    0.    0.    0.    0.   ],[ 0.691 -0.986  0.08   0.385],[-100    0],--,0,0,0,0,1,0
1.6,25,0,2,--,0,False,False,False,--,0.704,-99.527,1.6,25.0,1.6,25.0,0.241,0.558,3.84,0.163,0.378,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.134,[0.951 0.635 0.    0.    0.    0.    0.   ],[ 0.701 -0.988  0.076  0.395],[-100    0],--,0,0,0,0,1,0
1.6,25,0,3,--,0,False,False,False,--,0.732,-99.618,1.6,25.0,1.6,25.0,0.236,0.553,3.876,0.159,0.374,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.136,[0.969 0.652 0.    0.    0.    0.    0.   ],[ 0.689 -0.985  0.081  0.383],[-100    0],--,0,0,0,0,1,0
1.6,35,0,0,--,0,False,False,False,--,0.621,-99.048,1.6,35.0,1.6,35.0,0.24,0.474,3.011,0.22,0.435,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.136,[0.972 0.637 0.    0.    0.    0.    0.   ],[ 0.694 -0.984  0.08   0.394],[-100    0],--,0,0,0,0,1,0
1.6,35,0,1,--,0,False,False,False,--,0.603,-99.721,1.6,35.0,1.6,35.0,0.247,0.481,2.968,0.227,0.442,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.132,[0.948 0.615 0.    0.    0.    0.    0.   ],[ 0.548 -0.968  0.094  0.474],[-100    0],--,0,0,0,0,1,0
