V_mag,V_angle,Plane_Angle,Trial_num,--,Pad_Connections,BodyContact,ForelegContact,HindlegContact,--,a_Trg_trg,a_Rot_trg,Vel_mag_B_O_trg,Vel_angle_B_O_trg,Vel_mag_B_P_trg,Vel_angle_B_P_trg,Tau_CR_trg,Tau_trg,Theta_x_trg,D_perp_CR_trg,D_perp_trg,--,Phi_B_O_impact,Phi_B_P_impact,Omega_B_O_impact,Vel_B_P_impact_x,Vel_B_P_impact_z,Impact_Magnitude,Force_Impact_x,Force_Impact_y,Force_Impact_z,--,reward,reward_vals,NN_Output_trg,a_Rot_scale,--,4_Leg_NBC,4_Leg_BC,2_Leg_NBC,2_Leg_BC,0_Leg_NBC,0_Leg_BC
1.6,15,0,0,--,4,False,True,False,--,0.528,-99.112,1.6,15.0,1.6,15.0,0.134,0.653,5.719,0.055,0.27,--,-131.393,131.393,-19.72,0.51,-0.242,nan,nan,nan,nan,--,0.844,[0.997 1.    0.614 0.995 0.776 0.759 1.   ],[ 0.527 -0.989  0.007  0.827],[-100    0],--,1,0,0,0,0,0
1.6,15,0,1,--,4,False,True,False,--,0.507,-98.609,1.6,15.0,1.6,15.0,0.136,0.655,5.697,0.056,0.271,--,-131.879,131.879,-19.713,0.509,-0.257,nan,nan,nan,nan,--,0.848,[1.    1.    0.628 0.997 0.773 0.766 1.   ],[ 0.506 -0.988  0.008  0.906],[-100    0],--,1,0,0,0,0,0
1.6,15,0,2,--,4,False,True,False,--,0.517,-99.773,1.6,15.0,1.6,15.0,0.135,0.653,5.712,0.056,0.271,--,-131.094,131.094,-19.757,0.511,-0.228,nan,nan,nan,nan,--,0.844,[1.    1.    0.619 0.993 0.778 0.754 1.   ],[ 0.521 -0.989  0.007  0.852],[-100    0],--,1,0,0,0,0,0
1.6,15,0,3,--,0,False,False,False,--,0.512,-38.474,1.6,15.0,1.6,15.0,0.136,0.655,5.698,0.056,0.271,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.074,[0.203 1.    0.    0.    0.    0.    0.   ],[ 0.508 -0.988  0.008  0.9  ],[-100    0],--,0,0,0,0,1,0
1.6,25,0,0,--,4,False,True,False,--,0.508,-96.955,1.6,25.0,1.6,25.0,0.156,0.473,4.531,0.105,0.32,--,-128.383,128.383,-19.396,0.439,0.008,nan,nan,nan,nan,--,0.845,[0.998 0.972 0.71  0.897 0.798 0.713 1.   ],[ 0.501 -0.98   0.008  0.606],[-100    0],--,1,0,0,0,0,0
1.6,25,0,1,--,4,False,True,False,--,0.545,-99.892,1.6,25.0,1.6,25.0,0.15,0.468,4.583,0.102,0.316,--,-124.47,124.47,-19.581,0.433,0.102,nan,nan,nan,nan,--,0.817,[0.998 0.999 0.667 0.796 0.824 0.653 1.   ],[ 0.542 -0.985  0.006  0.517],[-100    0],--,1,0,0,0,0,0
1.6,25,0,2,--,4,False,True,False,--,0.532,-99.298,1.6,25.0,1.6,25.0,0.152,0.47,4.563,0.103,0.318,--,-125.954,125.954,-19.592,0.433,0.07,nan,nan,nan,nan,--,0.828,[0.997 0.989 0.685 0.833 0.814 0.676 1.   ],[ 0.527 -0.983  0.007  0.548],[-100    0],--,1,0,0,0,0,0
1.6,25,0,3,--,4,False,True,False,--,0.501,-99.769,1.6,25.0,1.6,25.0,0.156,0.474,4.527,0.105,0.32,--,-126.586,126.586,-19.688,0.426,0.071,nan,nan,nan,nan,--,0.834,[0.999 0.97  0.712 0.836 0.81  0.686 1.   ],[ 0.498 -0.979  0.008  0.613],[-100    0],--,1,0,0,0,0,0
1.6,35,0,0,--,4,False,True,False,--,0.52,-94.646,1.6,35.0,1.6,35.0,0.172,0.406,3.515,0.158,0.373,--,-128.511,128.511,-19.19,0.314,0.197,nan,nan,nan,nan,--,0.842,[0.998 0.895 0.822 0.683 0.797 0.715 1.   ],[ 0.521 -0.973  0.007  0.38 ],[-100    0],--,1,0,0,0,0,0
1.6,35,0,1,--,4,False,True,False,--,0.567,-98.157,1.6,35.0,1.6,35.0,0.167,0.401,3.559,0.154,0.368,--,-124.41,124.41,-19.415,0.306,0.306,nan,nan,nan,nan,--,0.808,[0.997 0.917 0.774 0.539 0.825 0.652 1.   ],[ 0.563 -0.98   0.005  0.31 ],[-100    0],--,1,0,0,0,0,0
