V_mag,V_angle,Plane_Angle,Trial_num,--,Pad_Connections,BodyContact,ForelegContact,HindlegContact,--,a_Trg_trg,a_Rot_trg,Vel_mag_B_O_trg,Vel_angle_B_O_trg,Vel_mag_B_P_trg,Vel_angle_B_P_trg,Tau_CR_trg,Tau_trg,Theta_x_trg,D_perp_CR_trg,D_perp_trg,--,Phi_B_O_impact,Phi_B_P_impact,Omega_B_O_impact,Vel_B_P_impact_x,Vel_B_P_impact_z,Impact_Magnitude,Force_Impact_x,Force_Impact_y,Force_Impact_z,--,reward,reward_vals,NN_Output_trg,a_Rot_scale,--,4_Leg_NBC,4_Leg_BC,2_Leg_NBC,2_Leg_BC,0_Leg_NBC,0_Leg_BC
1.6,15,0,0,--,4,False,True,False,--,0.5,-95.284,1.6,15.0,1.6,15.0,0.122,0.641,5.822,0.051,0.265,--,-132.811,132.811,-19.355,0.529,-0.327,nan,nan,nan,nan,--,0.835,[0.999 1.    0.553 1.    0.766 0.781 1.   ],[ 0.504 -0.937  0.04   0.203],[-100    0],--,1,0,0,0,0,0
1.6,15,0,1,--,4,False,True,False,--,0.625,-97.738,1.6,15.0,1.6,15.0,0.114,0.633,5.895,0.047,0.262,--,-128.365,128.365,-19.468,0.528,-0.235,nan,nan,nan,nan,--,0.812,[0.999 1.    0.501 0.988 0.798 0.713 1.   ],[ 0.618 -0.93   0.039  0.167],[-100    0],--,1,0,0,0,0,0
1.6,15,0,2,--,4,False,True,False,--,0.61,-96.958,1.6,15.0,1.6,15.0,0.115,0.633,5.893,0.047,0.262,--,-129.559,129.559,-19.433,0.53,-0.265,nan,nan,nan,nan,--,0.816,[0.997 1.    0.506 0.994 0.789 0.731 1.   ],[ 0.615 -0.93   0.039  0.168],[-100    0],--,1,0,0,0,0,0
1.6,15,0,3,--,4,False,True,False,--,0.507,-96.95,1.6,15.0,1.6,15.0,0.124,0.643,5.807,0.051,0.266,--,-131.757,131.757,-19.488,0.523,-0.284,nan,nan,nan,nan,--,0.834,[0.997 1.    0.56  0.998 0.774 0.764 1.   ],[ 0.479 -0.939  0.04   0.211],[-100    0],--,1,0,0,0,0,0
1.6,25,0,0,--,4,False,True,False,--,0.553,-96.119,1.6,25.0,1.6,25.0,0.132,0.45,4.768,0.089,0.304,--,-121.817,121.817,-19.12,0.454,0.07,nan,nan,nan,nan,--,0.787,[0.999 1.    0.549 0.809 0.842 0.613 1.   ],[ 0.557 -0.909  0.041  0.159],[-100    0],--,1,0,0,0,0,0
1.6,25,0,1,--,4,False,True,False,--,0.571,-95.082,1.6,25.0,1.6,25.0,0.129,0.447,4.802,0.087,0.302,--,-121.549,121.549,-19.0,0.46,0.055,nan,nan,nan,nan,--,0.783,[0.998 1.    0.531 0.82  0.843 0.609 1.   ],[ 0.59  -0.909  0.041  0.156],[-100    0],--,1,0,0,0,0,0
1.6,25,0,2,--,4,False,True,False,--,0.656,-95.173,1.6,25.0,1.6,25.0,0.129,0.447,4.802,0.087,0.302,--,-121.67,121.67,-19.019,0.46,0.053,nan,nan,nan,nan,--,0.784,[0.999 1.    0.531 0.823 0.843 0.611 1.   ],[ 0.59  -0.909  0.041  0.156],[-100    0],--,1,0,0,0,0,0
1.6,25,0,3,--,4,False,True,False,--,0.598,-94.979,1.6,25.0,1.6,25.0,0.13,0.448,4.787,0.088,0.303,--,-121.381,121.381,-18.976,0.464,0.052,nan,nan,nan,nan,--,0.784,[0.999 1.    0.534 0.822 0.844 0.606 1.   ],[ 0.576 -0.909  0.041  0.157],[-100    0],--,1,0,0,0,0,0
1.6,35,0,0,--,4,False,True,False,--,0.513,-93.951,1.6,35.0,1.6,35.0,0.146,0.38,3.755,0.134,0.349,--,-118.926,118.926,-18.779,0.339,0.3,nan,nan,nan,nan,--,0.762,[0.997 1.    0.613 0.522 0.86  0.569 1.   ],[ 0.539 -0.886  0.044  0.152],[-100    0],--,1,0,0,0,0,0
1.6,35,0,1,--,4,False,True,False,--,0.556,-95.939,1.6,35.0,1.6,35.0,0.145,0.379,3.765,0.133,0.348,--,-118.307,118.307,-18.967,0.327,0.347,nan,nan,nan,nan,--,0.758,[1.    1.    0.614 0.491 0.863 0.559 1.   ],[ 0.549 -0.886  0.044  0.152],[-100    0],--,1,0,0,0,0,0
