V_mag,V_angle,Plane_Angle,Trial_num,--,Pad_Connections,BodyContact,ForelegContact,HindlegContact,--,a_Trg_trg,a_Rot_trg,Vel_mag_B_O_trg,Vel_angle_B_O_trg,Vel_mag_B_P_trg,Vel_angle_B_P_trg,Tau_CR_trg,Tau_trg,Theta_x_trg,D_perp_CR_trg,D_perp_trg,--,Phi_B_O_impact,Phi_B_P_impact,Omega_B_O_impact,Vel_B_P_impact_x,Vel_B_P_impact_z,Impact_Magnitude,Force_Impact_x,Force_Impact_y,Force_Impact_z,--,reward,reward_vals,NN_Output_trg,a_Rot_scale,--,4_Leg_NBC,4_Leg_BC,2_Leg_NBC,2_Leg_BC,0_Leg_NBC,0_Leg_BC
1.5,15,0,0,--,4,False,True,False,--,0.543,-99.976,1.5,15.0,1.5,15.0,0.187,0.74,5.042,0.073,0.287,--,-146.304,146.304,-20.123,0.385,-0.401,nan,nan,nan,nan,--,0.946,[1.    0.832 1.    0.943 0.66  0.986 1.   ],[ 0.518 -1.     0.021  1.067],[-100    0],--,1,0,0,0,0,0
1.5,15,0,1,--,4,False,True,False,--,0.584,-99.997,1.5,15.0,1.5,15.0,0.182,0.735,5.076,0.071,0.285,--,-144.02,144.02,-20.085,0.388,-0.379,nan,nan,nan,nan,--,0.944,[1.    0.853 1.    0.959 0.678 0.951 1.   ],[ 0.589 -1.     0.017  0.992],[-100    0],--,1,0,0,0,0,0
1.5,15,0,2,--,4,False,True,False,--,0.593,-99.981,1.5,15.0,1.5,15.0,0.182,0.735,5.078,0.071,0.285,--,-145.13,145.13,-20.101,0.389,-0.392,nan,nan,nan,nan,--,0.946,[1.    0.854 1.    0.951 0.669 0.968 1.   ],[ 0.592 -1.     0.017  0.989],[-100    0],--,1,0,0,0,0,0
1.5,15,0,3,--,4,False,True,False,--,0.518,-99.998,1.5,15.0,1.5,15.0,0.186,0.739,5.049,0.072,0.287,--,-146.309,146.309,-20.125,0.386,-0.401,nan,nan,nan,nan,--,0.947,[0.998 0.836 1.    0.943 0.66  0.986 1.   ],[ 0.532 -1.     0.02   1.052],[-100    0],--,1,0,0,0,0,0
1.5,15,0,4,--,4,False,True,False,--,0.508,-99.98,1.5,15.0,1.5,15.0,0.188,0.741,5.036,0.073,0.288,--,-147.448,147.448,-20.142,0.385,-0.413,nan,nan,nan,nan,--,0.947,[0.998 0.828 1.    0.935 0.65  0.998 1.   ],[ 0.506 -1.     0.022  1.079],[-100    0],--,1,0,0,0,0,0
1.5,20,0,0,--,4,False,True,False,--,0.561,-99.996,1.5,20.0,1.5,20.0,0.193,0.611,4.495,0.099,0.314,--,-142.856,142.856,-20.062,0.351,-0.244,nan,nan,nan,nan,--,0.942,[0.999 0.808 1.    0.988 0.688 0.934 1.   ],[ 0.548 -1.     0.019  0.947],[-100    0],--,1,0,0,0,0,0
1.5,20,0,1,--,4,False,True,False,--,0.504,-99.982,1.5,20.0,1.5,20.0,0.2,0.618,4.444,0.102,0.317,--,-145.138,145.138,-20.102,0.347,-0.265,nan,nan,nan,nan,--,0.944,[0.999 0.78  1.    0.977 0.669 0.968 1.   ],[ 0.468 -1.     0.026  1.04 ],[-100    0],--,1,0,0,0,0,0
1.5,20,0,2,--,4,False,True,False,--,0.521,-100.0,1.5,20.0,1.5,20.0,0.195,0.614,4.476,0.1,0.315,--,-144.008,144.008,-20.084,0.349,-0.254,nan,nan,nan,nan,--,0.943,[0.999 0.798 1.    0.983 0.679 0.951 1.   ],[ 0.519 -1.     0.021  0.981],[-100    0],--,1,0,0,0,0,0
1.5,20,0,3,--,4,False,True,False,--,0.576,-99.908,1.5,20.0,1.5,20.0,0.189,0.607,4.525,0.097,0.312,--,-140.432,140.432,-19.999,0.353,-0.217,nan,nan,nan,nan,--,0.938,[0.998 0.825 1.    0.996 0.707 0.897 1.   ],[ 0.589 -1.     0.016  0.898],[-100    0],--,1,0,0,0,0,0
1.5,20,0,4,--,4,False,True,False,--,0.625,-99.998,1.5,20.0,1.5,20.0,0.187,0.606,4.535,0.096,0.311,--,-140.593,140.593,-20.02,0.351,-0.217,nan,nan,nan,nan,--,0.938,[0.997 0.831 1.    0.996 0.706 0.899 1.   ],[ 0.603 -1.     0.015  0.882],[-100    0],--,1,0,0,0,0,0
