V_mag,V_angle,Plane_Angle,Trial_num,--,Pad_Connections,BodyContact,ForelegContact,HindlegContact,--,a_Trg_trg,a_Rot_trg,Vel_mag_B_O_trg,Vel_angle_B_O_trg,Vel_mag_B_P_trg,Vel_angle_B_P_trg,Tau_CR_trg,Tau_trg,Theta_x_trg,D_perp_CR_trg,D_perp_trg,--,Phi_B_O_impact,Phi_B_P_impact,Omega_B_O_impact,Vel_B_P_impact_x,Vel_B_P_impact_z,Impact_Magnitude,Force_Impact_x,Force_Impact_y,Force_Impact_z,--,reward,reward_vals,NN_Output_trg,a_Rot_scale,--,4_Leg_NBC,4_Leg_BC,2_Leg_NBC,2_Leg_BC,0_Leg_NBC,0_Leg_BC
1.6,15,0,0,--,4,False,True,False,--,0.517,-92.86,1.6,15.0,1.6,15.0,0.243,0.641,5.826,0.101,0.265,--,-120.478,120.478,-18.578,0.286,0.046,nan,nan,nan,nan,--,0.898,[0.999 0.627 1.    0.876 0.766 0.761 1.   ],[ 0.517 -0.997  0.     0.044],[-93.  93.],--,1,0,0,0,0,0
1.6,15,0,1,--,4,False,True,False,--,0.508,-92.377,1.6,15.0,1.6,15.0,0.251,0.649,5.753,0.104,0.269,--,-123.175,123.175,-18.611,0.28,0.006,nan,nan,nan,nan,--,0.908,[1.    0.602 1.    0.93  0.745 0.795 1.   ],[ 0.508 -0.991  0.     0.035],[-93.  93.],--,1,0,0,0,0,0
1.6,15,0,2,--,4,False,True,False,--,0.511,-92.602,1.6,15.0,1.6,15.0,0.25,0.647,5.77,0.103,0.268,--,-124.109,124.109,-18.626,0.284,-0.015,nan,nan,nan,nan,--,0.912,[1.    0.608 1.    0.951 0.738 0.806 1.   ],[ 0.511 -0.995  0.     0.039],[-93.  93.],--,1,0,0,0,0,0
1.6,15,0,3,--,4,False,True,False,--,0.515,-92.795,1.6,15.0,1.6,15.0,0.245,0.643,5.807,0.102,0.266,--,-123.694,123.694,-18.643,0.293,-0.009,nan,nan,nan,nan,--,0.911,[0.997 0.621 1.    0.945 0.741 0.801 1.   ],[ 0.515 -0.997  0.     0.042],[-93.  93.],--,1,0,0,0,0,0
1.6,25,0,0,--,4,False,True,False,--,0.517,-92.789,1.6,25.0,1.6,25.0,0.235,0.479,4.481,0.159,0.324,--,-120.39,120.39,-18.565,0.21,0.281,nan,nan,nan,nan,--,0.844,[1.    0.653 1.    0.54  0.766 0.76  1.   ],[ 0.518 -0.997  0.     0.043],[-93.  93.],--,1,0,0,0,0,0
1.6,25,0,1,--,4,False,True,False,--,0.512,-92.659,1.6,25.0,1.6,25.0,0.241,0.484,4.427,0.163,0.328,--,-121.276,121.276,-18.576,0.204,0.275,nan,nan,nan,nan,--,0.845,[1.    0.634 1.    0.546 0.76  0.771 1.   ],[ 0.512 -0.994  0.     0.038],[-93.  93.],--,1,0,0,0,0,0
1.6,25,0,2,--,4,False,True,False,--,0.51,-92.464,1.6,25.0,1.6,25.0,0.242,0.485,4.42,0.164,0.328,--,-119.849,119.849,-18.482,0.198,0.31,nan,nan,nan,nan,--,0.837,[1.    0.632 1.    0.5   0.77  0.754 1.   ],[ 0.511 -0.994  0.     0.038],[-93.  93.],--,1,0,0,0,0,0
1.6,25,0,3,--,4,False,True,False,--,0.513,-92.716,1.6,25.0,1.6,25.0,0.239,0.482,4.445,0.162,0.326,--,-120.095,120.095,-18.439,0.2,0.288,nan,nan,nan,nan,--,0.84,[1.    0.641 1.    0.52  0.768 0.757 1.   ],[ 0.514 -0.995  0.     0.04 ],[-93.  93.],--,1,0,0,0,0,0
1.6,35,0,0,--,4,False,True,False,--,0.514,-92.648,1.6,35.0,1.6,35.0,0.235,0.415,3.444,0.216,0.381,--,-118.514,118.514,-18.4,0.072,0.554,nan,nan,nan,nan,--,0.824,[0.998 0.653 1.    0.426 0.78  0.737 1.   ],[ 0.514 -0.994  0.     0.038],[-93.  93.],--,1,0,0,0,0,0
1.6,35,0,1,--,4,False,True,False,--,0.513,-92.589,1.6,35.0,1.6,35.0,0.236,0.415,3.441,0.216,0.381,--,-118.405,118.405,-18.383,0.077,0.549,nan,nan,nan,nan,--,0.824,[1.    0.651 1.    0.427 0.781 0.736 1.   ],[ 0.514 -0.994  0.     0.038],[-93.  93.],--,1,0,0,0,0,0
