V_mag,V_angle,Plane_Angle,Trial_num,--,Pad_Connections,BodyContact,ForelegContact,HindlegContact,--,a_Trg_trg,a_Rot_trg,Vel_mag_B_O_trg,Vel_angle_B_O_trg,Vel_mag_B_P_trg,Vel_angle_B_P_trg,Tau_CR_trg,Tau_trg,Theta_x_trg,D_perp_CR_trg,D_perp_trg,--,Phi_B_O_impact,Phi_B_P_impact,Omega_B_O_impact,Vel_B_P_impact_x,Vel_B_P_impact_z,Impact_Magnitude,Force_Impact_x,Force_Impact_y,Force_Impact_z,--,reward,reward_vals,NN_Output_trg,a_Rot_scale,--,4_Leg_NBC,4_Leg_BC,2_Leg_NBC,2_Leg_BC,0_Leg_NBC,0_Leg_BC
0.5,10,0,0,--,0,False,False,False,--,0.543,-89.749,0.5,10.0,0.5,10.0,0.022,1.328,4.271,0.002,0.115,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.052,[0.734 1.    0.    0.    0.    0.    0.   ],[ 0.541 -0.995  0.008  0.443],[-90   0],--,0,0,0,0,1,0
0.5,10,0,1,--,0,False,False,False,--,0.546,-89.936,0.5,10.0,0.5,10.0,0.018,1.324,4.283,0.002,0.115,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.053,[0.736 1.    0.    0.    0.    0.    0.   ],[ 0.542 -0.995  0.008  0.441],[-90   0],--,0,0,0,0,1,0
0.5,10,0,2,--,0,False,False,False,--,0.542,-89.775,0.5,10.0,0.5,10.0,0.023,1.329,4.268,0.002,0.115,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.052,[0.734 1.    0.    0.    0.    0.    0.   ],[ 0.54  -0.995  0.008  0.444],[-90   0],--,0,0,0,0,1,0
0.5,10,0,3,--,0,False,False,False,--,0.534,-89.89,0.5,10.0,0.5,10.0,0.02,1.326,4.278,0.002,0.115,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.053,[0.736 1.    0.    0.    0.    0.    0.   ],[ 0.541 -0.995  0.008  0.442],[-90   0],--,0,0,0,0,1,0
0.5,10,0,4,--,0,False,False,False,--,0.534,-89.899,0.5,10.0,0.5,10.0,0.025,1.33,4.263,0.002,0.116,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.052,[0.734 1.    0.    0.    0.    0.    0.   ],[ 0.529 -0.995  0.008  0.457],[-90   0],--,0,0,0,0,1,0
0.5,15,0,0,--,0,False,False,False,--,0.507,-89.653,0.5,15.0,0.5,15.0,0.029,0.905,4.125,0.004,0.117,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.054,[0.764 1.    0.    0.    0.    0.    0.   ],[ 0.515 -0.995  0.009  0.471],[-90   0],--,0,0,0,0,1,0
0.5,15,0,1,--,0,False,False,False,--,0.536,-89.633,0.5,15.0,0.5,15.0,0.021,0.897,4.161,0.003,0.116,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.054,[0.768 1.    0.    0.    0.    0.    0.   ],[ 0.541 -0.995  0.008  0.44 ],[-90   0],--,0,0,0,0,1,0
0.5,15,0,2,--,0,False,False,False,--,0.544,-89.957,0.5,15.0,0.5,15.0,0.026,0.902,4.138,0.003,0.117,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.054,[0.768 1.    0.    0.    0.    0.    0.   ],[ 0.535 -0.995  0.008  0.449],[-90   0],--,0,0,0,0,1,0
0.5,15,0,3,--,0,False,False,False,--,0.501,-89.903,0.5,15.0,0.5,15.0,0.029,0.905,4.123,0.004,0.117,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.054,[0.766 1.    0.    0.    0.    0.    0.   ],[ 0.512 -0.995  0.009  0.475],[-90   0],--,0,0,0,0,1,0
0.5,15,0,4,--,0,False,False,False,--,0.522,-89.602,0.5,15.0,0.5,15.0,0.027,0.903,4.132,0.004,0.117,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.054,[0.765 1.    0.    0.    0.    0.    0.   ],[ 0.525 -0.995  0.009  0.459],[-90   0],--,0,0,0,0,1,0
0.5,20,0,0,--,0,False,False,False,--,0.514,-89.759,0.5,20.0,0.5,20.0,0.031,0.694,3.96,0.005,0.119,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.056,[0.798 1.    0.    0.    0.    0.    0.   ],[ 0.518 -0.994  0.009  0.466],[-90   0],--,0,0,0,0,1,0
0.5,20,0,1,--,0,False,False,False,--,0.546,-89.916,0.5,20.0,0.5,20.0,0.027,0.69,3.983,0.005,0.118,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.056,[0.802 1.    0.    0.    0.    0.    0.   ],[ 0.541 -0.995  0.008  0.441],[-90   0],--,0,0,0,0,1,0
0.5,20,0,2,--,0,False,False,False,--,0.528,-89.884,0.5,20.0,0.5,20.0,0.029,0.692,3.972,0.005,0.118,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.056,[0.801 1.    0.    0.    0.    0.    0.   ],[ 0.531 -0.995  0.008  0.451],[-90   0],--,0,0,0,0,1,0
0.5,20,0,3,--,0,False,False,False,--,0.522,-89.87,0.5,20.0,0.5,20.0,0.031,0.694,3.958,0.005,0.119,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.056,[0.799 1.    0.    0.    0.    0.    0.   ],[ 0.516 -0.994  0.009  0.469],[-90   0],--,0,0,0,0,1,0
0.5,20,0,4,--,0,False,False,False,--,0.538,-89.753,0.5,20.0,0.5,20.0,0.026,0.689,3.988,0.004,0.118,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.056,[0.802 1.    0.    0.    0.    0.    0.   ],[ 0.541 -0.995  0.008  0.44 ],[-90   0],--,0,0,0,0,1,0
0.5,25,0,0,--,0,False,False,False,--,0.518,-89.733,0.5,25.0,0.5,25.0,0.033,0.57,3.762,0.007,0.12,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.058,[0.83 1.   0.   0.   0.   0.   0.  ],[ 0.52  -0.994  0.009  0.461],[-90   0],--,0,0,0,0,1,0
0.5,25,0,1,--,0,False,False,False,--,0.54,-89.973,0.5,25.0,0.5,25.0,0.026,0.562,3.813,0.005,0.119,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.058,[0.839 1.    0.    0.    0.    0.    0.   ],[ 0.541 -0.994  0.008  0.436],[-90   0],--,0,0,0,0,1,0
0.5,25,0,2,--,0,False,False,False,--,0.541,-89.655,0.5,25.0,0.5,25.0,0.03,0.567,3.782,0.006,0.12,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.058,[0.832 1.    0.    0.    0.    0.    0.   ],[ 0.539 -0.994  0.008  0.441],[-90   0],--,0,0,0,0,1,0
0.5,25,0,3,--,0,False,False,False,--,0.519,-89.289,0.5,25.0,0.5,25.0,0.034,0.571,3.758,0.007,0.121,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.057,[0.825 1.    0.    0.    0.    0.    0.   ],[ 0.516 -0.994  0.009  0.465],[-90   0],--,0,0,0,0,1,0
0.5,25,0,4,--,0,False,False,False,--,0.506,-89.508,0.5,25.0,0.5,25.0,0.035,0.572,3.752,0.007,0.121,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.057,[0.826 1.    0.    0.    0.    0.    0.   ],[ 0.51  -0.994  0.009  0.472],[-90   0],--,0,0,0,0,1,0
0.5,30,0,0,--,0,False,False,False,--,0.522,-89.794,0.5,30.0,0.5,30.0,0.037,0.49,3.534,0.009,0.123,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.059,[0.861 1.    0.    0.    0.    0.    0.   ],[ 0.522 -0.994  0.009  0.456],[-90   0],--,0,0,0,0,1,0
0.5,30,0,1,--,0,False,False,False,--,0.514,-89.302,0.5,30.0,0.5,30.0,0.037,0.491,3.531,0.009,0.123,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.059,[0.856 1.    0.    0.    0.    0.    0.   ],[ 0.52  -0.994  0.009  0.459],[-90   0],--,0,0,0,0,1,0
0.5,30,0,2,--,0,False,False,False,--,0.543,-89.875,0.5,30.0,0.5,30.0,0.031,0.485,3.575,0.008,0.121,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.06,[0.868 1.    0.    0.    0.    0.    0.   ],[ 0.541 -0.994  0.008  0.435],[-90   0],--,0,0,0,0,1,0
0.5,30,0,3,--,0,False,False,False,--,0.54,-89.777,0.5,30.0,0.5,30.0,0.034,0.487,3.554,0.008,0.122,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.059,[0.864 1.    0.    0.    0.    0.    0.   ],[ 0.539 -0.994  0.008  0.438],[-90   0],--,0,0,0,0,1,0
0.5,30,0,4,--,0,False,False,False,--,0.541,-89.604,0.5,30.0,0.5,30.0,0.033,0.486,3.561,0.008,0.122,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.059,[0.863 1.    0.    0.    0.    0.    0.   ],[ 0.541 -0.994  0.008  0.436],[-90   0],--,0,0,0,0,1,0
0.5,35,0,0,--,0,False,False,False,--,0.526,-89.716,0.5,35.0,0.5,35.0,0.04,0.435,3.28,0.011,0.125,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.061,[0.889 1.    0.    0.    0.    0.    0.   ],[ 0.525 -0.993  0.009  0.45 ],[-90   0],--,0,0,0,0,1,0
0.5,35,0,1,--,0,False,False,False,--,0.534,-89.725,0.5,35.0,0.5,35.0,0.037,0.432,3.303,0.011,0.124,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.061,[0.893 1.    0.    0.    0.    0.    0.   ],[ 0.541 -0.994  0.008  0.434],[-90   0],--,0,0,0,0,1,0
