V_mag,V_angle,Plane_Angle,Trial_num,--,Pad_Connections,BodyContact,ForelegContact,HindlegContact,--,a_Trg_trg,a_Rot_trg,Vel_mag_B_O_trg,Vel_angle_B_O_trg,Vel_mag_B_P_trg,Vel_angle_B_P_trg,Tau_CR_trg,Tau_trg,Theta_x_trg,D_perp_CR_trg,D_perp_trg,--,Phi_B_O_impact,Phi_B_P_impact,Omega_B_O_impact,Vel_B_P_impact_x,Vel_B_P_impact_z,Impact_Magnitude,Force_Impact_x,Force_Impact_y,Force_Impact_z,--,reward,reward_vals,NN_Output_trg,a_Rot_scale,--,4_Leg_NBC,4_Leg_BC,2_Leg_NBC,2_Leg_BC,0_Leg_NBC,0_Leg_BC
1.0,10,0,0,--,0,False,False,False,--,0.614,-99.79,1.0,10.0,1.0,10.0,0.061,1.307,4.338,0.011,0.227,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.031,[0.899 1.    0.    0.    0.    0.   ],[ 0.603 -0.996  0.011  0.289],[-100  100],--,0,0,0,0,1,0
1.0,10,0,1,--,0,False,False,False,--,0.618,-99.283,1.0,10.0,1.0,10.0,0.06,1.305,4.344,0.01,0.227,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.031,[0.902 1.    0.    0.    0.    0.   ],[ 0.606 -0.995  0.011  0.277],[-100  100],--,0,0,0,0,1,0
1.0,10,0,2,--,0,False,False,False,--,0.606,-99.557,1.0,10.0,1.0,10.0,0.06,1.306,4.343,0.01,0.227,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.031,[0.901 1.    0.    0.    0.    0.   ],[ 0.606 -0.995  0.011  0.278],[-100  100],--,0,0,0,0,1,0
1.0,10,0,3,--,0,False,False,False,--,0.555,-99.254,1.0,10.0,1.0,10.0,0.063,1.309,4.334,0.011,0.227,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.031,[0.897 1.    0.    0.    0.    0.   ],[ 0.562 -0.996  0.014  0.38 ],[-100  100],--,0,0,0,0,1,0
1.0,10,0,4,--,0,False,False,False,--,0.612,-98.956,1.0,10.0,1.0,10.0,0.055,1.301,4.359,0.01,0.226,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.031,[0.909 1.    0.    0.    0.    0.   ],[ 0.605 -0.994  0.01   0.262],[-100  100],--,0,0,0,0,1,0
1.0,15,0,0,--,4,False,True,False,--,0.595,-99.741,1.0,15.0,1.0,15.0,0.066,0.902,4.136,0.017,0.234,--,-143.585,143.585,-20.017,0.009,-0.649,nan,nan,nan,nan,--,0.878,[0.842 1.    0.673 0.666 0.958 1.   ],[ 0.605 -0.995  0.011  0.275],[-100  100],--,1,0,0,0,0,0
1.0,15,0,1,--,4,False,True,False,--,0.612,-99.553,1.0,15.0,1.0,15.0,0.062,0.898,4.155,0.016,0.232,--,-143.424,143.424,-20.056,0.005,-0.651,nan,nan,nan,nan,--,0.877,[0.851 1.    0.671 0.668 0.956 1.   ],[ 0.604 -0.994  0.011  0.263],[-100  100],--,1,0,0,0,0,0
1.0,15,0,2,--,4,False,True,False,--,0.609,-98.951,1.0,15.0,1.0,15.0,0.062,0.898,4.158,0.016,0.232,--,-144.759,144.759,-19.969,0.011,-0.675,nan,nan,nan,nan,--,0.88,[0.853 1.    0.664 0.657 0.976 1.   ],[ 0.604 -0.994  0.011  0.261],[-100  100],--,1,0,0,0,0,0
1.0,15,0,3,--,4,False,True,False,--,0.582,-99.644,1.0,15.0,1.0,15.0,0.068,0.904,4.129,0.018,0.234,--,-144.718,144.718,-20.097,0.003,-0.663,nan,nan,nan,nan,--,0.879,[0.839 1.    0.659 0.657 0.975 1.   ],[ 0.577 -0.995  0.013  0.334],[-100  100],--,1,0,0,0,0,0
1.0,15,0,4,--,4,False,True,False,--,0.603,-98.938,1.0,15.0,1.0,15.0,0.066,0.902,4.137,0.017,0.233,--,-147.027,147.027,-20.006,0.009,-0.697,nan,nan,nan,nan,--,0.88,[0.843 1.    0.644 0.638 0.995 1.   ],[ 0.605 -0.995  0.011  0.274],[-100  100],--,1,0,0,0,0,0
1.0,20,0,0,--,4,False,True,False,--,0.606,-99.417,1.0,20.0,1.0,20.0,0.072,0.704,3.901,0.025,0.241,--,-132.944,132.944,-19.801,-0.005,-0.465,nan,nan,nan,nan,--,0.637,[0.783 1.    0.746 0.751 0.137 1.   ],[ 0.603 -0.994  0.011  0.265],[-100  100],--,1,0,0,0,0,0
1.0,20,0,1,--,4,False,True,False,--,0.611,-99.272,1.0,20.0,1.0,20.0,0.07,0.702,3.912,0.024,0.24,--,-132.732,132.732,-19.771,-0.003,-0.465,nan,nan,nan,nan,--,0.638,[0.788 1.    0.749 0.752 0.137 1.   ],[ 0.603 -0.994  0.011  0.26 ],[-100  100],--,1,0,0,0,0,0
1.0,20,0,2,--,4,False,True,False,--,0.598,-99.608,1.0,20.0,1.0,20.0,0.068,0.701,3.919,0.023,0.24,--,-132.089,132.089,-19.812,-0.005,-0.453,nan,nan,nan,nan,--,0.639,[0.791 1.    0.752 0.757 0.138 1.   ],[ 0.603 -0.994  0.011  0.257],[-100  100],--,1,0,0,0,0,0
1.0,20,0,3,--,4,False,True,False,--,0.604,-99.126,1.0,20.0,1.0,20.0,0.068,0.701,3.92,0.023,0.24,--,-132.517,132.517,-19.74,-0.001,-0.465,nan,nan,nan,nan,--,0.639,[0.791 1.    0.753 0.754 0.137 1.   ],[ 0.603 -0.994  0.011  0.257],[-100  100],--,1,0,0,0,0,0
1.0,20,0,4,--,4,False,True,False,--,0.596,-99.222,1.0,20.0,1.0,20.0,0.067,0.699,3.928,0.023,0.239,--,-132.658,132.658,-19.76,-0.002,-0.465,nan,nan,nan,nan,--,0.638,[0.796 1.    0.751 0.753 0.137 1.   ],[ 0.602 -0.993  0.011  0.253],[-100  100],--,1,0,0,0,0,0
1.0,25,0,0,--,4,False,True,False,--,0.544,-99.743,1.0,25.0,1.0,25.0,0.084,0.595,3.601,0.035,0.252,--,-127.68,127.68,-19.647,-0.026,-0.323,nan,nan,nan,nan,--,0.646,[0.703 1.    0.756 0.789 0.145 1.   ],[ 0.538 -0.994  0.015  0.395],[-100  100],--,1,0,0,0,0,0
1.0,25,0,1,--,4,False,True,False,--,0.609,-99.456,1.0,25.0,1.0,25.0,0.079,0.591,3.629,0.033,0.25,--,-127.353,127.353,-19.653,-0.028,-0.326,nan,nan,nan,nan,--,0.647,[0.716 1.    0.756 0.791 0.145 1.   ],[ 0.601 -0.994  0.011  0.257],[-100  100],--,1,0,0,0,0,0
1.0,25,0,2,--,4,False,True,False,--,0.601,-99.254,1.0,25.0,1.0,25.0,0.08,0.592,3.625,0.034,0.25,--,-127.068,127.068,-19.611,-0.025,-0.326,nan,nan,nan,nan,--,0.648,[0.714 1.    0.762 0.793 0.146 1.   ],[ 0.601 -0.994  0.011  0.259],[-100  100],--,1,0,0,0,0,0
1.0,25,0,3,--,4,False,True,False,--,0.605,-98.303,1.0,25.0,1.0,25.0,0.075,0.587,3.653,0.032,0.248,--,-128.035,128.035,-19.543,-0.022,-0.353,nan,nan,nan,nan,--,0.646,[0.728 1.    0.76  0.787 0.144 1.   ],[ 0.601 -0.993  0.011  0.249],[-100  100],--,1,0,0,0,0,0
1.0,25,0,4,--,4,False,True,False,--,0.604,-98.728,1.0,25.0,1.0,25.0,0.075,0.587,3.653,0.032,0.248,--,-127.445,127.445,-19.534,-0.02,-0.339,nan,nan,nan,nan,--,0.648,[0.728 1.    0.767 0.791 0.145 1.   ],[ 0.601 -0.993  0.011  0.249],[-100  100],--,1,0,0,0,0,0
