obs,actions,next_obs,dones
0.09988432;0.048221923;0.26502398;-1.0,-0.047955267;0.68964374,0.09788432;0.049041133;0.24770346;-1.0,False
0.09788432;0.049041133;0.24770346;-1.0,0.14172897;0.7515701,0.09588432;0.04988866;0.23038296;-1.0,False
0.09588432;0.04988866;0.23038296;-1.0,-0.1921395;0.99066114,0.09388432;0.050765995;0.21306245;-1.0,False
0.09388432;0.050765995;0.21306245;-1.0,-0.06748456;0.3171815,0.09188432;0.05167474;0.19574195;-1.0,False
0.09188432;0.05167474;0.19574195;-1.0,0.14395495;-0.37691736,0.089884326;0.05261661;0.17842144;-1.0,False
0.089884326;0.05261661;0.17842144;-1.0,-0.1922037;0.3013754,0.08788432;0.053593457;0.16110092;-1.0,False
0.08788432;0.053593457;0.16110092;-1.0,-0.19496386;-0.9107479,0.085884325;0.054607257;0.14378043;-1.0,False
0.085884325;0.054607257;0.14378043;-1.0,-0.015419048;0.9643439,0.08388433;0.05566015;0.12645991;-1.0,False
0.08388433;0.05566015;0.12645991;-1.0,0.056467164;0.20030724,0.081884325;0.056754448;0.109139405;-1.0,False
0.081884325;0.056754448;0.109139405;-1.0,0.04608136;-0.8225844,0.07988433;0.057892635;0.0918189;-1.0,False
0.07988433;0.057892635;0.0918189;-1.0,0.022837814;-0.8613835,0.07788433;0.059077412;0.074498385;-1.0,False
0.07788433;0.059077412;0.074498385;-1.0,0.029477086;-0.42013344,0.07588433;0.06031169;0.05717788;-1.0,False
0.07588433;0.06031169;0.05717788;-1.0,0.1290517;-0.64085156,0.07388433;0.061598644;0.039857373;-1.0,False
0.07388433;0.061598644;0.039857373;-1.0,-0.11074517;0.19400835,0.071884334;0.06294172;0.022536865;-1.0,False
0.071884334;0.06294172;0.022536865;-1.0,-0.036134735;-0.17426558,0.06988433;0.06434467;0.005216356;-1.0,False
0.06988433;0.06434467;0.005216356;-1.0,0.018885536;-0.21909012,0.06788433;0.06581159;-0.012104152;-1.0,False
0.06788433;0.06581159;-0.012104152;-1.0,0.18278135;-0.021461846,0.06588434;0.067346945;-0.02942466;-1.0,False
0.06588434;0.067346945;-0.02942466;-1.0,-0.09515806;0.13866575,0.06388433;0.06895566;-0.04674517;-1.0,False
0.06388433;0.06895566;-0.04674517;-1.0,-0.08396376;0.68926716,0.061884336;0.07064311;-0.06406567;-1.0,False
0.061884336;0.07064311;-0.06406567;-1.0,0.17337489;-0.8275659,0.059884336;0.07241522;-0.081386186;-1.0,False
0.059884336;0.07241522;-0.081386186;-1.0,0.17628215;0.35202205,0.05788434;0.07427852;-0.09870669;-1.0,False
0.05788434;0.07427852;-0.09870669;-1.0,0.12715523;-0.11781403,0.05588434;0.07624025;-0.1160272;-1.0,False
0.05588434;0.07624025;-0.1160272;-1.0,0.020328665;0.2505013,0.05388434;0.0783084;-0.1333477;-1.0,False
0.05388434;0.0783084;-0.1333477;-1.0,0.0237976;-0.9665364,0.051884342;0.08049189;-0.15066822;-1.0,False
0.051884342;0.08049189;-0.15066822;-1.0,-0.13854638;0.10904348,0.04988434;0.08280064;-0.16798872;-1.0,False
0.04988434;0.08280064;-0.16798872;-1.0,0.7110971;-1.0,0.04988434;0.08280064;-0.16798872;-1.0,True
0.10294519;0.047019847;0.29153192;-1.0,0.122811675;-0.5798018,0.10094519;0.047798395;0.2742114;-1.0,False
0.10094519;0.047798395;0.2742114;-1.0,0.10195168;-0.6364874,0.09894519;0.04860316;0.25689092;-1.0,False
0.09894519;0.04860316;0.25689092;-1.0,0.16344903;0.9964374,0.0969452;0.049435485;0.23957041;-1.0,False
0.0969452;0.049435485;0.23957041;-1.0,0.02396698;-0.55989903,0.09494519;0.050296817;0.2222499;-1.0,False
0.09494519;0.050296817;0.2222499;-1.0,-0.10118861;-0.71037966,0.092945196;0.051188692;0.20492938;-1.0,False
0.092945196;0.051188692;0.20492938;-1.0,0.18460585;0.33341858,0.0909452;0.052112773;0.18760888;-1.0,False
0.0909452;0.052112773;0.18760888;-1.0,0.17315683;-0.07307211,0.088945195;0.05307083;0.17028837;-1.0,False
0.088945195;0.05307083;0.17028837;-1.0,-0.03322389;-0.22045119,0.0869452;0.05406477;0.15296787;-1.0,False
0.0869452;0.05406477;0.15296787;-1.0,0.044883925;0.5959289,0.0849452;0.055096652;0.13564736;-1.0,False
0.0849452;0.055096652;0.13564736;-1.0,-0.22992828;-0.41978255,0.0829452;0.05616869;0.11832685;-1.0,False
0.0829452;0.05616869;0.11832685;-1.0,-0.00894848;-0.32193124,0.0809452;0.057283275;0.10100634;-1.0,False
0.0809452;0.057283275;0.10100634;-1.0,-0.052115154;-0.20289892,0.078945205;0.058442988;0.08368583;-1.0,False
0.078945205;0.058442988;0.08368583;-1.0,-0.14164391;-0.03789069,0.0769452;0.05965063;0.066365324;-1.0,False
0.0769452;0.05965063;0.066365324;-1.0,0.17453568;-0.3813369,0.074945204;0.060909234;0.049044814;-1.0,False
0.074945204;0.060909234;0.049044814;-1.0,0.04632603;0.6603128,0.07294521;0.062222093;0.031724308;-1.0,False
0.07294521;0.062222093;0.031724308;-1.0,0.1378418;0.28287742,0.0709452;0.06359279;0.014403799;-1.0,False
0.0709452;0.06359279;0.014403799;-1.0,0.18027139;-0.36747974,0.06894521;0.06502525;-0.002916709;-1.0,False
0.06894521;0.06502525;-0.002916709;-1.0,-0.06587562;-0.5737739,0.06694521;0.06652372;-0.020237217;-1.0,False
0.06694521;0.06652372;-0.020237217;-1.0,-0.18875426;0.10432273,0.064945206;0.06809289;-0.037557725;-1.0,False
0.064945206;0.06809289;-0.037557725;-1.0,0.04735929;-0.077278554,0.06294521;0.06973787;-0.054878235;-1.0,False
0.06294521;0.06973787;-0.054878235;-1.0,-0.13654378;-0.47637954,0.060945213;0.0714643;-0.07219874;-1.0,False
0.060945213;0.0714643;-0.07219874;-1.0,-0.112405784;-0.27591047,0.058945213;0.073278375;-0.08951925;-1.0,False
