obs,actions,next_obs,rewards,dones
0.10438209;0.046475977;0.30397582;-1.0,-0.00021662655;-0.39070505,0.102382086;0.047236472;0.2866553;-1.0,0.0,0
0.102382086;0.047236472;0.2866553;-1.0,0.16934845;0.46668568,0.10038209;0.04802227;0.2693348;-1.0,0.0,0
0.10038209;0.04802227;0.2693348;-1.0,0.1849377;-0.65532804,0.09838209;0.048834655;0.25201428;-1.0,0.0,0
0.09838209;0.048834655;0.25201428;-1.0,0.03174574;0.9599768,0.09638209;0.049675;0.23469378;-1.0,0.0,0
0.09638209;0.049675;0.23469378;-1.0,0.18175218;-0.43720934,0.09438209;0.05054477;0.21737327;-1.0,0.0,0
0.09438209;0.05054477;0.21737327;-1.0,0.068280295;-0.50691766,0.092382096;0.05144554;0.20005277;-1.0,0.0,0
0.092382096;0.05144554;0.20005277;-1.0,-0.15921225;0.78540766,0.09038209;0.052378997;0.18273225;-1.0,0.0,0
0.09038209;0.052378997;0.18273225;-1.0,-0.031516716;0.68470645,0.088382095;0.053346958;0.16541174;-1.0,0.0,0
0.088382095;0.053346958;0.16541174;-1.0,0.09839046;0.7558351,0.0863821;0.054351367;0.14809124;-1.0,0.0,0
0.0863821;0.054351367;0.14809124;-1.0,0.027910536;-0.18144327,0.084382094;0.055394325;0.13077073;-1.0,0.0,0
0.084382094;0.055394325;0.13077073;-1.0,-0.18160714;-0.9698495,0.0823821;0.05647809;0.11345022;-1.0,0.0,0
0.0823821;0.05647809;0.11345022;-1.0,0.17996012;-0.3758905,0.0803821;0.057605114;0.096129715;-1.0,0.0,0
0.0803821;0.057605114;0.096129715;-1.0,0.1965058;-0.8489435,0.0783821;0.05877803;0.07880921;-1.0,0.0,0
0.0783821;0.05877803;0.07880921;-1.0,-0.23605283;-0.029170599,0.0763821;0.0599997;0.0614887;-1.0,0.0,0
0.0763821;0.0599997;0.0614887;-1.0,-0.07194244;0.2341459,0.074382104;0.061273236;0.04416819;-1.0,0.0,0
0.074382104;0.061273236;0.04416819;-1.0,0.034480866;0.69378686,0.0723821;0.062602006;0.026847683;-1.0,0.0,0
0.0723821;0.062602006;0.026847683;-1.0,0.085969776;-0.6114396,0.0703821;0.063989684;0.009527175;-1.0,0.0,0
0.0703821;0.063989684;0.009527175;-1.0,-0.11302884;0.9791036,0.06838211;0.065440275;-0.007793334;-1.0,0.0,0
0.06838211;0.065440275;-0.007793334;-1.0,-0.035986662;0.6983181,0.0663821;0.06695816;-0.025113842;-1.0,0.0,0
0.0663821;0.06695816;-0.025113842;-1.0,-0.11592126;0.5913126,0.064382106;0.068548135;-0.04243435;-1.0,0.0,0
0.064382106;0.068548135;-0.04243435;-1.0,0.16716738;0.81311417,0.062382106;0.070215456;-0.05975486;-1.0,0.0,0
0.062382106;0.070215456;-0.05975486;-1.0,0.14615048;-0.20178328,0.06038211;0.0719659;-0.07707537;-1.0,0.0,0
0.06038211;0.0719659;-0.07707537;-1.0,0.05718295;0.55272996,0.05838211;0.07380587;-0.094395876;-1.0,0.0,0
0.05838211;0.07380587;-0.094395876;-1.0,-0.115778215;0.76868737,0.05638211;0.07574238;-0.11171638;-1.0,0.0,0
0.05638211;0.07574238;-0.11171638;-1.0,0.10382222;0.9833669,0.054382112;0.07778325;-0.12903689;-1.0,0.0,0
0.054382112;0.07778325;-0.12903689;-1.0,0.17306083;-0.2517893,0.05238211;0.07993715;-0.1463574;-1.0,0.0,0
0.05238211;0.07993715;-0.1463574;-1.0,0.011837487;0.9450169,0.05038211;0.08221374;-0.1636779;-1.0,0.0,0
0.05038211;0.08221374;-0.1636779;-1.0,-0.028085336;0.39117688,0.048382115;0.08462379;-0.18099841;-1.0,0.0,0
0.048382115;0.08462379;-0.18099841;-1.0,0.6648843;-1.0,0.048382115;0.08462379;-0.18099841;-1.0,0.8697861192235175,1
0.10212561;0.047335804;0.2844341;-1.0,0.03356582;0.2128396,0.10012561;0.048124935;0.26711363;-1.0,0.0,0
0.10012561;0.048124935;0.26711363;-1.0,0.1667723;-0.5656592,0.098125614;0.048940826;0.24979311;-1.0,0.0,0
0.098125614;0.048940826;0.24979311;-1.0,-0.049011376;-0.46097705,0.09612561;0.04978486;0.2324726;-1.0,0.0,0
0.09612561;0.04978486;0.2324726;-1.0,-0.23022103;0.3327869,0.09412561;0.050658517;0.21515208;-1.0,0.0,0
0.09412561;0.050658517;0.21515208;-1.0,-0.060147718;-0.77436626,0.09212562;0.051563382;0.19783159;-1.0,0.0,0
0.09212562;0.051563382;0.19783159;-1.0,0.0031262506;-0.6892095,0.09012561;0.05250116;0.18051107;-1.0,0.0,0
0.09012561;0.05250116;0.18051107;-1.0,0.004137927;0.73632866,0.08812562;0.053473685;0.16319057;-1.0,0.0,0
0.08812562;0.053473685;0.16319057;-1.0,0.09157374;-0.79765266,0.08612562;0.05448292;0.14587006;-1.0,0.0,0
0.08612562;0.05448292;0.14587006;-1.0,0.14737149;0.83239186,0.084125616;0.055530977;0.12854955;-1.0,0.0,0
0.084125616;0.055530977;0.12854955;-1.0,-0.047062907;-0.6888596,0.08212562;0.05662015;0.11122904;-1.0,0.0,0
0.08212562;0.05662015;0.11122904;-1.0,-0.17322594;-0.49036095,0.08012562;0.057752904;0.09390853;-1.0,0.0,0
0.08012562;0.057752904;0.09390853;-1.0,0.09365133;0.55692744,0.07812562;0.058931906;0.07658803;-1.0,0.0,0
0.07812562;0.058931906;0.07658803;-1.0,0.035078235;0.01995891,0.07612562;0.060160052;0.05926752;-1.0,0.0,0
0.07612562;0.060160052;0.05926752;-1.0,-0.24305885;-0.7232266,0.074125625;0.061440475;0.04194701;-1.0,0.0,0
0.074125625;0.061440475;0.04194701;-1.0,-0.050804198;-0.92194265,0.07212562;0.06277659;0.024626503;-1.0,0.0,0
0.07212562;0.06277659;0.024626503;-1.0,-0.2005923;-0.054780364,0.070125625;0.064172104;0.007305995;-1.0,0.0,0
