V_mag_d,V_angle_d,Plane_Angle,Trial_num,--,Pad_Connections,BodyContact,ForelegContact,HindlegContact,--,NN_Output_trg,a_Trg_trg,a_Rot_trg,Vel_mag_B_O_trg,Vel_angle_B_O_trg,Vel_mag_B_P_trg,Vel_angle_B_P_trg,Tau_CR_trg,Tau_trg,Theta_x_trg,D_perp_CR_trg,--,Phi_B_O_impact,Phi_B_P_impact,Omega_B_O_impact,Vel_B_P_impact_x,Vel_B_P_impact_z,Impact_Magnitude,Force_Impact_x,Force_Impact_y,Force_Impact_z,--,reward,reward_vals
2.5,60,0,0,--,4,False,True,False,--,[ 0.906 -0.816  0.09   0.099],0.912,-92.647,2.5,59.94,2.5,59.94,0.215,0.315,1.835,0.466,--,-104.474,104.474,-17.956,0.519,1.852,406.344,231.324,0.214,334.073,--,0.745,[1.    0.861 0.381 0.926 0.488 1.   ]
2.5,60,0,1,--,4,False,True,False,--,[ 0.966 -0.874  0.085  0.069],0.969,-93.922,2.501,59.949,2.501,59.949,0.211,0.311,1.86,0.457,--,-106.023,106.023,-18.213,0.498,1.864,401.422,236.284,0.234,324.514,--,0.747,[1.    0.896 0.383 0.919 0.49  1.   ]
2.5,60,0,2,--,4,False,True,False,--,[ 0.923 -0.831  0.09   0.094],0.92,-91.765,2.501,59.943,2.501,59.943,0.215,0.315,1.838,0.465,--,-103.343,103.343,-17.773,0.534,1.846,404.762,232.559,0.222,331.283,--,0.745,[1.    0.861 0.379 0.932 0.486 1.   ]
2.5,60,0,3,--,4,False,True,False,--,[ 0.951 -0.86   0.088  0.083],0.962,-94.392,2.5,59.96,2.5,59.96,0.214,0.314,1.844,0.462,--,-106.689,106.689,-18.317,0.476,1.857,407.653,230.959,0.225,335.914,--,0.745,[1.    0.869 0.383 0.916 0.491 1.   ]
2.5,60,0,4,--,4,False,True,False,--,[ 0.638 -0.666  0.096  0.145],0.571,-81.696,2.501,59.981,2.501,59.981,0.218,0.318,1.816,0.472,--,-109.706,109.706,-17.036,0.492,1.565,378.741,214.836,0.197,311.914,--,0.744,[1.    0.835 0.4   0.901 0.495 1.   ]
2.5,60,0,5,--,4,False,True,False,--,[ 0.651 -0.672  0.096  0.143],0.668,-85.285,2.502,59.948,2.502,59.948,0.218,0.318,1.818,0.473,--,-105.012,105.012,-17.287,0.538,1.702,386.843,211.647,0.202,323.81,--,0.744,[1.    0.835 0.388 0.924 0.489 1.   ]
2.5,60,0,6,--,4,False,True,False,--,[ 0.875 -0.791  0.092  0.107],0.812,-89.455,2.5,59.964,2.5,59.964,0.216,0.316,1.831,0.467,--,-110.566,110.566,-17.87,0.463,1.732,402.17,231.957,0.211,328.536,--,0.745,[1.    0.852 0.396 0.896 0.497 1.   ]
2.5,60,0,7,--,4,True,True,False,--,[ 0.97  -0.877  0.085  0.065],0.972,-92.948,2.499,59.954,2.499,59.954,0.21,0.31,1.864,0.455,--,-104.84,104.84,-18.017,0.513,1.855,397.544,236.155,0.236,319.8,--,0.605,[1.    0.905 0.381 0.925 0.488 0.5  ]
2.5,60,0,8,--,4,False,True,False,--,[ 0.951 -0.86   0.088  0.082],0.962,-93.473,2.501,59.93,2.501,59.93,0.214,0.314,1.845,0.463,--,-106.525,106.525,-18.186,0.494,1.85,404.617,231.892,0.231,331.573,--,0.745,[1.    0.869 0.385 0.917 0.491 1.   ]
2.5,60,0,9,--,4,False,True,False,--,[ 0.752 -0.719  0.094  0.129],0.738,-88.254,2.5,59.981,2.5,59.981,0.217,0.317,1.822,0.47,--,-109.056,109.056,-17.924,0.483,1.725,388.658,214.721,0.208,323.959,--,0.744,[1.    0.844 0.394 0.904 0.495 1.   ]
2.5,60,0,10,--,4,True,True,False,--,[ 0.975 -0.882  0.084  0.06 ],0.976,-93.995,2.5,59.977,2.5,59.977,0.209,0.309,1.872,0.452,--,-106.149,106.149,-18.233,0.483,1.855,396.893,238.033,0.236,317.592,--,0.606,[1.    0.914 0.383 0.919 0.49  0.5  ]
2.5,60,0,11,--,4,False,True,False,--,[ 0.735 -0.71   0.095  0.132],0.708,-90.386,2.502,59.936,2.502,59.936,0.218,0.318,1.822,0.471,--,-111.814,111.814,-18.062,0.448,1.739,407.308,228.999,0.216,336.838,--,0.743,[1.    0.835 0.398 0.89  0.499 1.   ]
2.5,60,0,12,--,4,False,True,False,--,[ 0.488 -0.607  0.098  0.162],0.5,-67.931,2.501,59.937,2.501,59.937,0.219,0.319,1.812,0.475,--,-106.374,106.374,-15.563,0.589,1.267,310.189,165.842,0.158,262.133,--,0.746,[1.    0.827 0.412 0.918 0.491 1.   ]
2.5,60,0,13,--,4,False,True,False,--,[ 0.946 -0.854  0.088  0.086],0.946,-92.86,2.502,59.955,2.502,59.955,0.214,0.314,1.842,0.464,--,-104.723,104.723,-17.999,0.516,1.856,405.098,233.957,0.215,330.708,--,0.745,[1.    0.869 0.381 0.925 0.488 1.   ]
2.5,60,0,14,--,4,False,True,False,--,[ 0.966 -0.873  0.085  0.069],0.961,-92.231,2.501,59.933,2.501,59.933,0.211,0.311,1.86,0.457,--,-103.908,103.908,-17.866,0.527,1.85,399.499,236.786,0.23,321.763,--,0.747,[1.    0.896 0.38  0.929 0.487 1.   ]
2.5,60,0,15,--,4,False,True,False,--,[ 0.898 -0.809  0.091  0.102],0.891,-91.942,2.501,59.977,2.501,59.977,0.215,0.315,1.833,0.466,--,-103.602,103.602,-17.814,0.53,1.848,405.658,231.663,0.219,333.003,--,0.745,[1.    0.861 0.379 0.93  0.486 1.   ]
2.5,60,0,16,--,4,False,True,False,--,[ 0.735 -0.71   0.095  0.132],0.682,-78.374,2.501,59.976,2.501,59.976,0.217,0.317,1.821,0.471,--,-104.897,104.897,-16.578,0.563,1.549,359.051,202.112,0.189,296.763,--,0.745,[1.    0.844 0.394 0.925 0.488 1.   ]
2.5,60,0,17,--,4,False,True,False,--,[ 0.886 -0.799  0.091  0.105],0.917,-91.141,2.501,59.955,2.501,59.955,0.216,0.316,1.833,0.467,--,-103.547,103.547,-17.705,0.534,1.833,404.929,231.914,0.216,331.939,--,0.744,[1.    0.852 0.38  0.931 0.486 1.   ]
2.5,60,0,18,--,4,False,True,False,--,[ 0.712 -0.699  0.095  0.135],0.621,-80.79,2.5,59.968,2.5,59.968,0.218,0.318,1.82,0.471,--,-109.533,109.533,-17.178,0.506,1.557,364.312,199.482,0.188,304.844,--,0.744,[1.    0.835 0.401 0.902 0.495 1.   ]
2.5,60,0,19,--,4,False,True,False,--,[ 0.946 -0.855  0.088  0.086],0.922,-93.634,2.502,59.939,2.502,59.939,0.214,0.314,1.843,0.464,--,-105.732,105.732,-18.16,0.503,1.861,408.166,231.198,0.223,336.373,--,0.745,[1.    0.869 0.383 0.921 0.49  1.   ]
2.5,60,0,20,--,4,True,True,False,--,[ 0.975 -0.882  0.084  0.06 ],0.977,-93.995,2.5,59.974,2.5,59.974,0.209,0.309,1.872,0.452,--,-106.072,106.072,-18.226,0.496,1.866,397.018,238.597,0.24,317.325,--,0.606,[1.    0.914 0.383 0.919 0.49  0.5  ]
2.5,60,0,21,--,4,False,True,False,--,[ 0.807 -0.748  0.093  0.121],0.783,-88.811,2.5,59.978,2.5,59.978,0.217,0.317,1.825,0.469,--,-109.664,109.664,-17.733,0.475,1.728,402.95,229.895,0.222,330.933,--,0.744,[1.    0.844 0.395 0.901 0.495 1.   ]
2.5,60,0,22,--,4,True,True,False,--,[ 0.98  -0.888  0.083  0.053],0.979,-94.259,2.502,59.951,2.502,59.951,0.207,0.307,1.883,0.449,--,-106.521,106.521,-18.289,0.491,1.866,397.468,239.925,0.232,316.885,--,0.607,[1.    0.932 0.384 0.917 0.491 0.5  ]
2.5,60,0,23,--,4,False,True,False,--,[ 0.968 -0.875  0.085  0.067],0.967,-94.241,2.501,59.978,2.501,59.978,0.21,0.31,1.862,0.456,--,-107.556,107.556,-18.352,0.479,1.856,401.917,234.358,0.231,326.518,--,0.748,[1.    0.905 0.386 0.912 0.492 1.   ]
2.5,60,0,24,--,4,False,True,False,--,[ 0.803 -0.745  0.093  0.121],0.778,-80.497,2.502,59.942,2.502,59.942,0.217,0.317,1.826,0.47,--,-108.841,108.841,-16.812,0.517,1.556,376.088,216.385,0.209,307.602,--,0.745,[1.    0.844 0.401 0.905 0.494 1.   ]
2.5,60,0,25,--,4,False,True,False,--,[ 0.924 -0.832  0.09   0.094],0.925,-89.94,2.501,59.94,2.501,59.94,0.215,0.315,1.838,0.465,--,-111.264,111.264,-17.974,0.455,1.735,403.905,231.051,0.223,331.292,--,0.745,[1.    0.861 0.397 0.893 0.498 1.   ]
