V_mag_d,V_angle_d,Plane_Angle,Trial_num,--,Pad_Connections,BodyContact,ForelegContact,HindlegContact,--,a_Trg_trg,a_Rot_trg,Vel_mag_B_O_trg,Vel_angle_B_O_trg,Vel_mag_B_P_trg,Vel_angle_B_P_trg,Tau_CR_trg,Tau_trg,Theta_x_trg,D_perp_trg,--,Phi_B_O_impact,Phi_B_P_impact,Omega_B_O_impact,Vel_B_P_impact_x,Vel_B_P_impact_z,Impact_Magnitude,Force_Impact_x,Force_Impact_y,Force_Impact_z,--,reward,reward_vals
2.5,60,0,0,--,0,False,False,False,--,2.043,-93.41,2.5,59.949,0.0,0.0,0.212,0.312,1.853,0.676,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.887 0.382 0.922 0.489 1.   ]
2.5,60,0,1,--,0,False,False,False,--,1.976,-93.142,2.499,59.957,0.0,0.0,0.213,0.313,1.85,0.676,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.878 0.384 0.919 0.49  1.   ]
2.5,60,0,2,--,0,False,False,False,--,1.125,-83.162,2.5,59.961,0.0,0.0,0.217,0.317,1.823,0.686,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.844 0.406 0.884 0.502 1.   ]
2.5,60,0,3,--,0,False,False,False,--,2.103,-93.149,2.501,59.984,0.0,0.0,0.21,0.31,1.862,0.672,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.905 0.384 0.919 0.49  1.   ]
2.5,60,0,4,--,0,False,False,False,--,1.905,-93.564,2.5,59.975,0.0,0.0,0.212,0.312,1.852,0.675,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.887 0.406 0.862 0.557 1.   ]
2.5,60,0,5,--,0,False,False,False,--,0.914,-78.74,2.5,59.977,0.0,0.0,0.217,0.317,1.82,0.687,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.844 0.395 0.922 0.489 1.   ]
2.5,60,0,6,--,0,False,False,False,--,1.23,-89.465,2.502,59.99,0.0,0.0,0.216,0.316,1.829,0.684,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.852 0.398 0.89  0.498 1.   ]
2.5,60,0,7,--,0,False,False,False,--,2.082,-94.94,2.5,59.953,0.0,0.0,0.212,0.312,1.856,0.674,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.887 0.385 0.913 0.492 1.   ]
2.5,60,0,8,--,0,False,False,False,--,2.187,-94.844,2.501,59.975,0.0,0.0,0.21,0.31,1.867,0.67,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.905 0.387 0.908 0.493 0.5  ]
2.5,60,0,9,--,0,False,False,False,--,1.966,-92.308,2.5,59.967,0.0,0.0,0.213,0.313,1.845,0.678,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.878 0.38  0.929 0.487 1.   ]
2.5,60,0,10,--,0,False,False,False,--,0.922,-82.748,2.498,59.932,0.0,0.0,0.218,0.318,1.821,0.687,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.835 0.403 0.892 0.498 1.   ]
2.5,60,0,11,--,0,False,False,False,--,0.73,-83.89,2.501,59.979,0.0,0.0,0.218,0.318,1.815,0.689,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.835 0.405 0.883 0.505 1.   ]
2.5,60,0,12,--,0,False,False,False,--,1.954,-94.298,2.501,59.985,0.0,0.0,0.213,0.313,1.844,0.679,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.878 0.384 0.917 0.491 1.   ]
2.5,60,0,13,--,0,False,False,False,--,1.525,-90.976,2.501,59.99,0.0,0.0,0.215,0.315,1.833,0.683,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.861 0.399 0.886 0.5   1.   ]
2.5,60,0,14,--,0,False,False,False,--,0.601,-74.96,2.499,59.948,0.0,0.0,0.218,0.318,1.818,0.688,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.835 0.407 0.905 0.494 1.   ]
2.5,60,0,15,--,0,False,False,False,--,1.972,-93.549,2.501,59.975,0.0,0.0,0.21,0.31,1.866,0.671,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.905 0.383 0.921 0.489 0.5  ]
2.5,60,0,16,--,0,False,False,False,--,2.014,-93.346,2.5,59.955,0.0,0.0,0.212,0.312,1.856,0.674,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.887 0.408 0.857 0.569 1.   ]
2.5,60,0,17,--,0,False,False,False,--,1.894,-93.595,2.501,59.977,0.0,0.0,0.211,0.311,1.856,0.674,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.896 0.383 0.921 0.49  1.   ]
2.5,60,0,18,--,0,False,False,False,--,1.705,-92.59,2.501,59.969,0.0,0.0,0.215,0.315,1.835,0.682,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.861 0.403 0.87  0.537 1.   ]
2.5,60,0,19,--,0,False,False,False,--,1.99,-94.312,2.5,59.968,0.0,0.0,0.211,0.311,1.861,0.673,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.896 0.409 0.849 0.588 1.   ]
2.5,60,0,20,--,0,False,False,False,--,1.05,-82.352,2.498,59.935,0.0,0.0,0.217,0.317,1.825,0.686,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.844 0.403 0.896 0.497 1.   ]
