V_mag,V_angle,Plane_Angle,Trial_num,--,Pad_Connections,BodyContact,ForelegContact,HindlegContact,--,a_Trg_trg,a_Rot_trg,Vel_mag_B_O_trg,Vel_angle_B_O_trg,Vel_mag_B_P_trg,Vel_angle_B_P_trg,Tau_CR_trg,Tau_trg,Theta_x_trg,D_perp_CR_trg,D_perp_trg,--,Phi_B_O_impact,Phi_B_P_impact,Omega_B_O_impact,Vel_B_P_impact_x,Vel_B_P_impact_z,Impact_Magnitude,Force_Impact_x,Force_Impact_y,Force_Impact_z,--,reward,reward_vals,NN_Output_trg,a_Rot_scale
2.5,60,0,0,--,4,False,True,False,--,0.971,-94.09,2.5,30.0,2.5,30.0,0.211,0.31,1.86,0.456,0.672,--,-133.179,133.179,-19.201,0.337,1.259,nan,nan,nan,nan,--,0.824,[1.    0.9   0.459 0.749 0.804 1.   ],[ 0.967 -0.874  0.085  0.068],[-100    0]
2.5,60,0,1,--,4,False,True,False,--,0.964,-93.781,2.5,30.0,2.5,30.0,0.212,0.312,1.851,0.459,0.675,--,-133.892,133.892,-19.228,0.334,1.245,nan,nan,nan,nan,--,0.825,[1.    0.887 0.461 0.743 0.814 1.   ],[ 0.96  -0.868  0.086  0.075],[-100    0]
2.5,60,0,2,--,4,False,True,False,--,0.947,-92.115,2.5,30.0,2.5,30.0,0.213,0.313,1.843,0.462,0.678,--,-134.725,134.725,-19.075,0.341,1.204,nan,nan,nan,nan,--,0.828,[1.    0.875 0.465 0.737 0.827 1.   ],[ 0.95  -0.859  0.088  0.083],[-100    0]
2.5,60,0,3,--,4,False,True,False,--,0.958,-95.277,2.5,30.0,2.5,30.0,0.213,0.313,1.846,0.461,0.677,--,-134.929,134.929,-19.388,0.326,1.263,nan,nan,nan,nan,--,0.828,[1.    0.88  0.462 0.735 0.83  1.   ],[ 0.956 -0.865  0.087  0.079],[-100    0]
2.5,60,0,4,--,4,False,True,False,--,0.677,-80.902,2.5,30.0,2.5,30.0,0.217,0.317,1.819,0.471,0.687,--,-137.749,137.749,-17.86,0.401,0.935,nan,nan,nan,nan,--,0.839,[1.    0.84  0.494 0.713 0.872 1.   ],[ 0.71  -0.698  0.095  0.135],[-100    0]
2.5,60,0,5,--,4,False,True,False,--,0.918,-92.386,2.5,30.0,2.5,30.0,0.214,0.314,1.837,0.464,0.68,--,-135.06,135.06,-19.066,0.343,1.207,nan,nan,nan,nan,--,0.828,[1.    0.867 0.466 0.734 0.832 1.   ],[ 0.93  -0.837  0.089  0.092],[-100    0]
2.5,60,0,6,--,4,False,True,False,--,0.971,-94.044,2.5,30.0,2.5,30.0,0.211,0.311,1.859,0.456,0.673,--,-133.107,133.107,-19.191,0.338,1.259,nan,nan,nan,nan,--,0.823,[1.    0.899 0.459 0.749 0.803 1.   ],[ 0.967 -0.874  0.085  0.069],[-100    0]
2.5,60,0,7,--,4,False,True,False,--,0.933,-91.062,2.5,30.0,2.5,30.0,0.215,0.315,1.836,0.465,0.681,--,-135.291,135.291,-18.958,0.347,1.178,nan,nan,nan,nan,--,0.829,[1.    0.864 0.469 0.733 0.835 1.   ],[ 0.919 -0.827  0.09   0.095],[-100    0]
2.5,60,0,8,--,4,False,True,False,--,0.897,-91.889,2.5,30.0,2.5,30.0,0.216,0.315,1.83,0.467,0.683,--,-136.542,136.542,-19.072,0.341,1.181,nan,nan,nan,nan,--,0.833,[1.    0.856 0.471 0.723 0.854 1.   ],[ 0.876 -0.792  0.092  0.107],[-100    0]
2.5,60,0,9,--,4,False,True,False,--,0.964,-93.225,2.5,30.0,2.5,30.0,0.21,0.31,1.862,0.455,0.671,--,-131.924,131.924,-19.081,0.343,1.256,nan,nan,nan,nan,--,0.82,[1.    0.904 0.456 0.758 0.785 1.   ],[ 0.969 -0.876  0.085  0.066],[-100    0]
