V_mag_d,V_angle_d,Plane_Angle,Trial_num,--,Pad_Connections,BodyContact,ForelegContact,HindlegContact,--,Policy_Trg_Action_trg,Policy_Rot_Action_trg,Vel_mag_B_O_trg,Vel_angle_B_O_trg,Vel_mag_B_P_trg,Vel_angle_B_P_trg,Tau_CR_trg,Tau_trg,Theta_x_trg,D_perp_trg,--,Phi_B_O_impact,Phi_B_P_impact,Omega_B_O_impact,Vel_B_P_impact_x,Vel_B_P_impact_z,Impact_Magnitude,Force_Impact_x,Force_Impact_y,Force_Impact_z,--,reward,reward_vals
2.5,60,0,0,--,0,False,False,False,--,0.0,-94.169,2.5,59.952,0.0,0.0,0.212,0.312,1.854,0.675,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.887 0.407 0.857 0.569 1.   ]
2.5,60,0,1,--,0,False,False,False,--,0.0,-90.642,2.499,59.958,0.0,0.0,0.216,0.316,1.832,0.683,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.852 0.396 0.894 0.497 1.   ]
2.5,60,0,2,--,0,False,False,False,--,0.0,-92.15,2.495,60.017,0.0,0.0,0.215,0.315,1.83,0.682,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.861 0.379 0.929 0.487 1.   ]
2.5,60,0,3,--,0,False,False,False,--,0.0,-92.795,2.5,59.953,0.0,0.0,0.212,0.312,1.853,0.676,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.887 0.407 0.861 0.561 1.   ]
2.5,60,0,4,--,0,False,False,False,--,0.0,-88.543,2.495,60.146,0.0,0.0,0.216,0.316,1.814,0.685,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.852 0.393 0.903 0.495 1.   ]
2.5,60,0,5,--,0,False,False,False,--,0.0,-93.539,2.496,59.903,0.0,0.0,0.212,0.312,1.855,0.675,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.887 0.383 0.92  0.49  1.   ]
2.5,60,0,6,--,0,False,False,False,--,0.0,-92.033,2.501,60.01,0.0,0.0,0.211,0.311,1.854,0.674,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.896 0.405 0.869 0.539 1.   ]
2.5,60,0,7,--,0,False,False,False,--,0.0,-91.893,2.498,60.016,0.0,0.0,0.214,0.314,1.839,0.679,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.869 0.401 0.878 0.517 1.   ]
2.5,60,0,8,--,0,False,False,False,--,0.0,-92.064,2.505,60.022,0.0,0.0,0.214,0.314,1.837,0.681,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.869 0.404 0.87  0.538 1.   ]
2.5,60,0,9,--,0,False,False,False,--,0.0,-84.185,2.498,59.934,0.0,0.0,0.219,0.319,1.813,0.69,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.827 0.408 0.876 0.521 1.   ]
2.5,60,0,10,--,0,False,False,False,--,0.0,-93.656,2.5,59.985,0.0,0.0,0.21,0.31,1.865,0.67,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.905 0.405 0.862 0.557 0.5  ]
2.5,60,0,11,--,0,False,False,False,--,0.0,-93.135,2.501,60.025,0.0,0.0,0.211,0.311,1.855,0.673,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.896 0.407 0.86  0.562 1.   ]
2.5,60,0,12,--,0,False,False,False,--,0.0,-91.066,2.501,59.957,0.0,0.0,0.215,0.315,1.835,0.682,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.861 0.4   0.883 0.503 1.   ]
2.5,60,0,13,--,0,False,False,False,--,0.0,-93.451,2.499,60.01,0.0,0.0,0.211,0.311,1.854,0.674,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.896 0.382 0.922 0.489 1.   ]
2.5,60,0,14,--,0,False,False,False,--,0.0,-93.485,2.499,59.993,0.0,0.0,0.213,0.313,1.846,0.677,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.878 0.407 0.857 0.57  1.   ]
2.5,60,0,15,--,0,False,False,False,--,0.0,-83.873,2.494,59.942,0.0,0.0,0.219,0.319,1.815,0.688,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.827 0.407 0.88  0.512 1.   ]
2.5,60,0,16,--,0,False,False,False,--,0.0,-86.799,2.5,59.967,0.0,0.0,0.218,0.318,1.818,0.688,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,--,0,[1.    0.835 0.413 0.856 0.571 1.   ]
2.5,60,0,17,--,0,False,False,False,--,0.0,-92.567,2.5,60.006,0.0,0.0,0.215,0.315,1.835,0.681,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.861 0.402 0.872 0.532 1.   ]
2.5,60,0,18,--,0,False,False,False,--,0.0,-87.116,2.499,59.946,0.0,0.0,0.217,0.317,1.826,0.685,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.844 0.416 0.845 0.598 1.   ]
2.5,60,0,19,--,0,False,False,False,--,0.0,-92.244,2.501,60.033,0.0,0.0,0.212,0.312,1.846,0.677,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.887 0.404 0.868 0.541 1.   ]
2.5,60,0,20,--,0,False,False,False,--,0.0,-84.948,2.503,60.01,0.0,0.0,0.218,0.318,1.814,0.69,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.835 0.408 0.874 0.528 1.   ]
2.5,60,0,21,--,0,False,False,False,--,0.0,-89.972,2.496,60.024,0.0,0.0,0.216,0.316,1.825,0.683,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.852 0.399 0.888 0.499 1.   ]
2.5,60,0,22,--,0,False,False,False,--,0.0,-90.422,2.5,59.954,0.0,0.0,0.215,0.315,1.834,0.682,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.861 0.398 0.889 0.499 1.   ]
2.5,60,0,23,--,0,False,False,False,--,0.0,-87.389,2.499,59.94,0.0,0.0,0.215,0.315,1.836,0.682,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.861 0.414 0.849 0.588 1.   ]
2.5,60,0,24,--,0,False,False,False,--,0.0,-88.923,2.498,59.984,0.0,0.0,0.215,0.315,1.833,0.682,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.861 0.397 0.895 0.497 1.   ]
2.5,60,0,25,--,0,False,False,False,--,0.0,-94.566,2.499,59.958,0.0,0.0,0.209,0.309,1.873,0.668,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.914 0.382 0.921 0.49  0.5  ]
2.5,60,0,26,--,0,False,False,False,--,0.0,-92.871,2.497,59.891,0.0,0.0,0.209,0.309,1.877,0.667,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.914 0.381 0.925 0.488 0.5  ]
2.5,60,0,27,--,0,False,False,False,--,0.0,-93.705,2.498,59.969,0.0,0.0,0.21,0.31,1.862,0.671,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.905 0.383 0.921 0.49  0.5  ]
2.5,60,0,28,--,0,False,False,False,--,0.0,-93.522,2.5,59.971,0.0,0.0,0.215,0.315,1.836,0.681,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.861 0.383 0.921 0.489 1.   ]
2.5,60,0,29,--,0,False,False,False,--,0.0,-92.832,2.496,60.034,0.0,0.0,0.21,0.31,1.859,0.671,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.905 0.38  0.927 0.488 0.5  ]
2.5,60,0,30,--,0,False,False,False,--,0.0,-92.101,2.489,60.052,0.0,0.0,0.216,0.316,1.822,0.682,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.852 0.381 0.926 0.488 1.   ]
