V_mag,V_angle,Plane_Angle,Trial_num,--,Pad_Connections,BodyContact,ForelegContact,HindlegContact,--,a_Trg_trg,a_Rot_trg,Vel_mag_B_O_trg,Vel_angle_B_O_trg,Vel_mag_B_P_trg,Vel_angle_B_P_trg,Tau_CR_trg,Tau_trg,Theta_x_trg,D_perp_CR_trg,D_perp_trg,--,Phi_B_O_impact,Phi_B_P_impact,Omega_B_O_impact,Vel_B_P_impact_x,Vel_B_P_impact_z,Impact_Magnitude,Force_Impact_x,Force_Impact_y,Force_Impact_z,--,reward,reward_vals,NN_Output_trg,a_Rot_scale,--,4_Leg_NBC,4_Leg_BC,2_Leg_NBC,2_Leg_BC,0_Leg_NBC,0_Leg_BC
0.5,10,45,0,--,0,False,False,False,--,0.547,-89.998,0.5,-35.0,0.5,10.0,0.066,2.462,2.303,0.006,0.214,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.058,[0.847 1.    0.    0.    0.    0.    0.   ],[ 0.547 -1.     0.     0.002],[-90   0],--,0,0,0,0,1,0
0.5,10,45,1,--,0,False,False,False,--,0.544,-89.997,0.5,-35.0,0.5,10.0,0.069,2.465,2.3,0.006,0.214,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.058,[0.846 1.    0.    0.    0.    0.    0.   ],[ 0.544 -1.     0.     0.002],[-90   0],--,0,0,0,0,1,0
0.5,10,45,2,--,0,False,False,False,--,0.516,-89.99,0.5,-35.0,0.5,10.0,0.074,2.47,2.296,0.006,0.214,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.058,[0.844 1.    0.    0.    0.    0.    0.   ],[ 0.516 -1.     0.     0.002],[-90   0],--,0,0,0,0,1,0
0.5,10,45,3,--,0,False,False,False,--,0.547,-89.998,0.5,-35.0,0.5,10.0,0.066,2.463,2.302,0.006,0.214,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.058,[0.847 1.    0.    0.    0.    0.    0.   ],[ 0.547 -1.     0.     0.002],[-90   0],--,0,0,0,0,1,0
0.5,10,45,4,--,0,False,False,False,--,0.547,-89.998,0.5,-35.0,0.5,10.0,0.067,2.463,2.302,0.006,0.214,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.058,[0.847 1.    0.    0.    0.    0.    0.   ],[ 0.547 -1.     0.     0.002],[-90   0],--,0,0,0,0,1,0
0.5,15,45,0,--,0,False,False,False,--,0.517,-89.993,0.5,-30.0,0.5,15.0,0.077,1.685,2.215,0.01,0.218,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.06,[0.867 1.    0.    0.    0.    0.    0.   ],[ 0.517 -1.     0.     0.003],[-90   0],--,0,0,0,0,1,0
0.5,15,45,1,--,0,False,False,False,--,0.541,-89.997,0.5,-30.0,0.5,15.0,0.073,1.681,2.22,0.009,0.218,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.06,[0.869 1.    0.    0.    0.    0.    0.   ],[ 0.541 -1.     0.     0.002],[-90   0],--,0,0,0,0,1,0
0.5,15,45,2,--,0,False,False,False,--,0.539,-89.996,0.5,-30.0,0.5,15.0,0.075,1.683,2.217,0.01,0.218,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.06,[0.868 1.    0.    0.    0.    0.    0.   ],[ 0.539 -1.     0.     0.003],[-90   0],--,0,0,0,0,1,0
0.5,15,45,3,--,0,False,False,False,--,0.541,-89.997,0.5,-30.0,0.5,15.0,0.073,1.681,2.22,0.009,0.218,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.06,[0.869 1.    0.    0.    0.    0.    0.   ],[ 0.541 -1.     0.     0.002],[-90   0],--,0,0,0,0,1,0
0.5,15,45,4,--,0,False,False,False,--,0.538,-89.996,0.5,-30.0,0.5,15.0,0.075,1.683,2.217,0.01,0.218,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.06,[0.868 1.    0.    0.    0.    0.    0.   ],[ 0.538 -1.     0.     0.003],[-90   0],--,0,0,0,0,1,0
0.5,20,45,0,--,0,False,False,False,--,0.541,-89.998,0.5,-25.0,0.5,20.0,0.075,1.292,2.127,0.013,0.221,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.061,[0.893 1.    0.    0.    0.    0.    0.   ],[ 0.541 -1.     0.     0.003],[-90   0],--,0,0,0,0,1,0
0.5,20,45,1,--,0,False,False,False,--,0.518,-89.995,0.5,-25.0,0.5,20.0,0.081,1.298,2.117,0.014,0.222,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.061,[0.888 1.    0.    0.    0.    0.    0.   ],[ 0.518 -1.     0.     0.003],[-90   0],--,0,0,0,0,1,0
0.5,20,45,2,--,0,False,False,False,--,0.538,-89.998,0.5,-25.0,0.5,20.0,0.078,1.294,2.123,0.013,0.221,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.061,[0.891 1.    0.    0.    0.    0.    0.   ],[ 0.538 -1.     0.     0.003],[-90   0],--,0,0,0,0,1,0
0.5,20,45,3,--,0,False,False,False,--,0.514,-89.994,0.5,-25.0,0.5,20.0,0.081,1.298,2.117,0.014,0.222,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.061,[0.888 1.    0.    0.    0.    0.    0.   ],[ 0.514 -1.     0.     0.003],[-90   0],--,0,0,0,0,1,0
0.5,20,45,4,--,0,False,False,False,--,0.538,-89.997,0.5,-25.0,0.5,20.0,0.078,1.295,2.122,0.013,0.221,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.061,[0.89 1.   0.   0.   0.   0.   0.  ],[ 0.538 -1.     0.     0.003],[-90   0],--,0,0,0,0,1,0
0.5,25,45,0,--,0,False,False,False,--,0.511,-89.996,0.5,-20.0,0.5,25.0,0.086,1.07,2.003,0.018,0.226,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.062,[0.907 1.    0.    0.    0.    0.    0.   ],[ 0.511 -1.     0.     0.004],[-90   0],--,0,0,0,0,1,0
0.5,25,45,1,--,0,False,False,False,--,0.534,-89.998,0.5,-20.0,0.5,25.0,0.083,1.068,2.008,0.018,0.226,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.062,[0.909 1.    0.    0.    0.    0.    0.   ],[ 0.534 -1.     0.     0.003],[-90   0],--,0,0,0,0,1,0
