V_mag,V_angle,Plane_Angle,Trial_num,--,Pad_Connections,BodyContact,ForelegContact,HindlegContact,--,a_Trg_trg,a_Rot_trg,Vel_mag_B_O_trg,Vel_angle_B_O_trg,Vel_mag_B_P_trg,Vel_angle_B_P_trg,Tau_CR_trg,Tau_trg,Theta_x_trg,D_perp_CR_trg,D_perp_trg,--,Phi_B_O_impact,Phi_B_P_impact,Omega_B_O_impact,Vel_B_P_impact_x,Vel_B_P_impact_z,Impact_Magnitude,Force_Impact_x,Force_Impact_y,Force_Impact_z,--,reward,reward_vals,NN_Output_trg,a_Rot_scale,--,4_Leg_NBC,4_Leg_BC,2_Leg_NBC,2_Leg_BC,0_Leg_NBC,0_Leg_BC
1.6,15,0,0,--,4,False,True,False,--,0.516,-98.625,1.6,15.0,1.6,15.0,0.137,0.639,5.838,0.057,0.265,--,-122.596,122.596,-19.417,0.561,-0.198,nan,nan,nan,nan,--,0.838,[0.999 1.    0.666 0.989 0.76  0.71  1.   ],[ 0.507 -0.974  0.031  0.424],[-100    0],--,1,0,0,0,0,0
1.6,15,0,1,--,4,False,True,False,--,0.525,-97.088,1.6,15.0,1.6,15.0,0.148,0.651,5.734,0.061,0.27,--,-128.314,128.314,-19.401,0.558,-0.286,nan,nan,nan,nan,--,0.871,[1.    1.    0.775 1.    0.716 0.789 1.   ],[ 0.495 -0.976  0.032  0.42 ],[-100    0],--,1,0,0,0,0,0
1.6,15,0,2,--,4,False,True,False,--,0.505,-98.99,1.6,15.0,1.6,15.0,0.175,0.678,5.507,0.073,0.281,--,-134.259,134.259,-19.749,0.538,-0.316,nan,nan,nan,nan,--,0.915,[0.999 0.881 1.    0.991 0.668 0.87  1.   ],[ 0.466 -0.98   0.032  0.409],[-100    0],--,1,0,0,0,0,0
1.6,15,0,3,--,4,False,True,False,--,0.514,-99.195,1.6,15.0,1.6,15.0,0.137,0.639,5.84,0.057,0.265,--,-122.187,122.187,-19.436,0.564,-0.188,nan,nan,nan,nan,--,0.836,[1.    1.    0.664 0.987 0.763 0.704 1.   ],[ 0.507 -0.974  0.031  0.425],[-100    0],--,1,0,0,0,0,0
1.6,15,0,4,--,4,False,True,False,--,0.523,-97.424,1.6,15.0,1.6,15.0,0.126,0.628,5.938,0.052,0.26,--,-122.088,122.088,-19.262,0.573,-0.218,nan,nan,nan,nan,--,0.828,[0.996 1.    0.601 0.991 0.763 0.703 1.   ],[ 0.518 -0.972  0.031  0.429],[-100    0],--,1,0,0,0,0,0
1.6,25,0,0,--,4,False,True,False,--,0.513,-99.343,1.6,25.0,1.6,25.0,0.182,0.49,4.379,0.123,0.331,--,-126.847,126.847,-19.608,0.456,0.026,nan,nan,nan,nan,--,0.886,[1.    0.852 1.    0.932 0.727 0.768 1.   ],[ 0.511 -0.973  0.024  0.283],[-100    0],--,1,0,0,0,0,0
1.6,25,0,1,--,4,False,True,False,--,0.521,-99.219,1.6,25.0,1.6,25.0,0.175,0.483,4.44,0.118,0.327,--,-124.424,124.424,-19.512,0.464,0.05,nan,nan,nan,nan,--,0.869,[0.999 0.881 0.945 0.907 0.746 0.735 1.   ],[ 0.535 -0.97   0.022  0.274],[-100    0],--,1,0,0,0,0,0
1.6,25,0,2,--,4,False,True,False,--,0.513,-98.907,1.6,25.0,1.6,25.0,0.185,0.492,4.356,0.125,0.333,--,-127.425,127.425,-19.616,0.452,0.014,nan,nan,nan,nan,--,0.889,[0.998 0.841 1.    0.94  0.723 0.776 1.   ],[ 0.501 -0.975  0.024  0.287],[-100    0],--,1,0,0,0,0,0
1.6,25,0,3,--,4,False,True,False,--,0.538,-98.971,1.6,25.0,1.6,25.0,0.182,0.49,4.375,0.123,0.331,--,-126.401,126.401,-19.596,0.455,0.024,nan,nan,nan,nan,--,0.885,[1.    0.85  1.    0.931 0.731 0.762 1.   ],[ 0.51  -0.974  0.024  0.284],[-100    0],--,1,0,0,0,0,0
1.6,25,0,4,--,4,False,True,False,--,0.54,-98.261,1.6,25.0,1.6,25.0,0.181,0.489,4.388,0.122,0.33,--,-127.603,127.603,-19.511,0.462,-0.002,nan,nan,nan,nan,--,0.891,[0.998 0.857 1.    0.949 0.721 0.779 1.   ],[ 0.515 -0.973  0.023  0.282],[-100    0],--,1,0,0,0,0,0
