V_mag,V_angle,Plane_Angle,Trial_num,--,Pad_Connections,BodyContact,ForelegContact,HindlegContact,--,a_Trg_trg,a_Rot_trg,Vel_mag_B_O_trg,Vel_angle_B_O_trg,Vel_mag_B_P_trg,Vel_angle_B_P_trg,Tau_CR_trg,Tau_trg,Theta_x_trg,D_perp_CR_trg,D_perp_trg,--,Phi_B_O_impact,Phi_B_P_impact,Omega_B_O_impact,Vel_B_P_impact_x,Vel_B_P_impact_z,Impact_Magnitude,Force_Impact_x,Force_Impact_y,Force_Impact_z,--,reward,reward_vals,NN_Output_trg,a_Rot_scale,--,4_Leg_NBC,4_Leg_BC,2_Leg_NBC,2_Leg_BC,0_Leg_NBC,0_Leg_BC
0.5,10,0,0,--,0,False,False,False,--,0.523,-89.997,0.5,10.0,0.5,10.0,0.082,1.709,3.318,0.007,0.148,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.058,[0.847 1.    0.    0.    0.    0.    0.   ],[ 0.523 -1.     0.     0.036],[-90   0],--,0,0,0,0,1,0
0.5,10,0,1,--,0,False,False,False,--,0.505,-89.998,0.5,10.0,0.5,10.0,0.09,1.717,3.304,0.008,0.149,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.058,[0.844 1.    0.    0.    0.    0.    0.   ],[ 0.505 -1.     0.     0.044],[-90   0],--,0,0,0,0,1,0
0.5,10,0,2,--,0,False,False,False,--,0.51,-89.998,0.5,10.0,0.5,10.0,0.088,1.715,3.307,0.008,0.149,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.058,[0.844 1.    0.    0.    0.    0.    0.   ],[ 0.509 -1.     0.     0.042],[-90   0],--,0,0,0,0,1,0
0.5,10,0,3,--,0,False,False,False,--,0.502,-89.998,0.5,10.0,0.5,10.0,0.091,1.718,3.301,0.008,0.149,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.058,[0.843 1.    0.    0.    0.    0.    0.   ],[ 0.502 -1.     0.     0.046],[-90   0],--,0,0,0,0,1,0
0.5,10,0,4,--,0,False,False,False,--,0.513,-89.998,0.5,10.0,0.5,10.0,0.086,1.713,3.31,0.007,0.149,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.058,[0.845 1.    0.    0.    0.    0.    0.   ],[ 0.513 -1.     0.     0.04 ],[-90   0],--,0,0,0,0,1,0
0.5,15,0,0,--,0,False,False,False,--,0.51,-89.998,0.5,15.0,0.5,15.0,0.091,1.182,3.156,0.012,0.153,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.06,[0.874 1.    0.    0.    0.    0.    0.   ],[ 0.51  -1.     0.     0.041],[-90   0],--,0,0,0,0,1,0
0.5,15,0,1,--,0,False,False,False,--,0.513,-89.998,0.5,15.0,0.5,15.0,0.09,1.181,3.159,0.012,0.153,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.06,[0.875 1.    0.    0.    0.    0.    0.   ],[ 0.513 -1.     0.     0.04 ],[-90   0],--,0,0,0,0,1,0
0.5,15,0,2,--,0,False,False,False,--,0.504,-89.998,0.5,15.0,0.5,15.0,0.094,1.185,3.149,0.012,0.153,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.06,[0.873 1.    0.    0.    0.    0.    0.   ],[ 0.504 -1.     0.     0.044],[-90   0],--,0,0,0,0,1,0
0.5,15,0,3,--,0,False,False,False,--,0.51,-89.998,0.5,15.0,0.5,15.0,0.091,1.182,3.156,0.012,0.153,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.06,[0.874 1.    0.    0.    0.    0.    0.   ],[ 0.51  -1.     0.     0.041],[-90   0],--,0,0,0,0,1,0
0.5,15,0,4,--,0,False,False,False,--,0.506,-89.998,0.5,15.0,0.5,15.0,0.092,1.184,3.152,0.012,0.153,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.06,[0.873 1.    0.    0.    0.    0.    0.   ],[ 0.506 -1.     0.     0.043],[-90   0],--,0,0,0,0,1,0
