V_mag,V_angle,Plane_Angle,Trial_num,--,Pad_Connections,BodyContact,ForelegContact,HindlegContact,--,a_Trg_trg,a_Rot_trg,Vel_mag_B_O_trg,Vel_angle_B_O_trg,Vel_mag_B_P_trg,Vel_angle_B_P_trg,Tau_CR_trg,Tau_trg,Theta_x_trg,D_perp_CR_trg,D_perp_trg,--,Phi_B_O_impact,Phi_B_P_impact,Omega_B_O_impact,Vel_B_P_impact_x,Vel_B_P_impact_z,Impact_Magnitude,Force_Impact_x,Force_Impact_y,Force_Impact_z,--,reward,reward_vals,NN_Output_trg,a_Rot_scale,--,4_Leg_NBC,4_Leg_BC,2_Leg_NBC,2_Leg_BC,0_Leg_NBC,0_Leg_BC
1.5,10,0,0,--,4,False,True,False,--,0.527,-99.953,1.502,10.246,1.502,10.246,0.213,0.992,5.576,0.057,0.265,--,-114.212,114.212,-19.019,0.555,0.055,435.069,348.923,4.151,259.847,--,0.877,[0.99  0.73  1.    0.852 0.819 0.594 1.   ],[ 0.529 -0.999  0.005  0.231],[-100    0],--,1,0,0,0,0,0
1.5,10,0,1,--,4,False,True,False,--,0.527,-99.896,1.496,10.518,1.496,10.518,0.215,0.977,5.514,0.059,0.267,--,-114.858,114.858,-19.127,0.537,0.068,431.305,344.14,2.051,259.976,--,0.798,[0.985 0.723 0.512 0.846 0.815 0.603 1.   ],[ 0.529 -0.998  0.005  0.23 ],[-100    0],--,1,0,0,0,0,0
1.5,10,0,2,--,4,False,True,False,--,0.527,-99.918,1.494,10.658,1.494,10.658,0.216,0.969,5.482,0.06,0.268,--,-114.414,114.414,-19.061,0.539,0.073,430.413,343.97,2.384,258.717,--,0.781,[0.985 0.719 0.417 0.84  0.818 0.597 1.   ],[ 0.528 -0.998  0.005  0.229],[-100    0],--,1,0,0,0,0,0
1.5,20,0,0,--,4,False,True,False,--,0.529,-99.902,1.496,19.984,1.496,19.984,0.214,0.621,4.43,0.109,0.317,--,-114.79,114.79,-19.126,0.482,0.295,390.781,295.417,2.981,255.793,--,0.848,[0.99  0.726 1.    0.666 0.815 0.602 1.   ],[ 0.53  -0.999  0.005  0.229],[-100    0],--,1,0,0,0,0,0
1.5,20,0,1,--,4,False,True,False,--,0.532,-99.866,1.501,20.11,1.501,20.11,0.217,0.62,4.408,0.112,0.32,--,-116.025,116.025,-19.185,0.467,0.293,387.435,292.641,3.396,253.881,--,0.85,[0.99  0.715 1.    0.671 0.807 0.619 1.   ],[ 0.53  -0.998  0.005  0.228],[-100    0],--,1,0,0,0,0,0
1.5,20,0,2,--,4,False,True,False,--,0.531,-99.945,1.498,20.234,1.498,20.234,0.219,0.621,4.372,0.113,0.322,--,-114.602,114.602,-19.084,0.472,0.317,381.02,288.412,1.904,248.981,--,0.844,[0.985 0.708 1.    0.645 0.817 0.6   1.   ],[ 0.529 -0.998  0.005  0.228],[-100    0],--,1,0,0,0,0,0
1.5,30,0,0,--,4,False,True,False,--,0.531,-99.692,1.497,30.099,1.497,30.099,0.219,0.496,3.475,0.165,0.373,--,-113.167,113.167,-18.855,0.377,0.553,333.472,254.632,2.42,215.314,--,0.816,[0.995 0.708 1.    0.482 0.826 0.58  1.   ],[ 0.53  -0.996  0.005  0.184],[-100    0],--,1,0,0,0,0,0
1.5,30,0,1,--,4,False,True,False,--,0.531,-99.711,1.503,30.078,1.503,30.078,0.218,0.494,3.492,0.164,0.372,--,-113.967,113.967,-18.979,0.377,0.544,329.543,251.24,3.356,213.227,--,0.817,[0.99  0.712 1.    0.486 0.821 0.591 1.   ],[ 0.531 -0.996  0.005  0.187],[-100    0],--,1,0,0,0,0,0
1.5,30,0,2,--,4,False,True,False,--,0.533,-99.893,1.496,30.021,1.496,30.021,0.218,0.496,3.491,0.163,0.371,--,-115.149,115.149,-19.171,0.356,0.545,329.787,253.238,2.734,211.24,--,0.819,[0.99  0.712 1.    0.485 0.813 0.607 1.   ],[ 0.531 -0.997  0.005  0.188],[-100    0],--,1,0,0,0,0,0
1.5,40,0,0,--,4,False,True,False,--,0.526,-98.684,1.495,39.978,1.495,39.978,0.231,0.447,2.667,0.221,0.43,--,-113.251,113.251,-18.876,0.237,0.746,264.99,214.022,1.927,156.238,--,0.808,[0.99  0.667 1.    0.436 0.826 0.581 1.   ],[ 0.526 -0.976  0.007  0.123],[-100    0],--,1,0,0,0,0,0
