V_mag,V_angle,Plane_Angle,Trial_num,--,Pad_Connections,BodyContact,ForelegContact,HindlegContact,--,a_Trg_trg,a_Rot_trg,Vel_mag_B_O_trg,Vel_angle_B_O_trg,Vel_mag_B_P_trg,Vel_angle_B_P_trg,Tau_CR_trg,Tau_trg,Theta_x_trg,D_perp_CR_trg,D_perp_trg,--,Phi_B_O_impact,Phi_B_P_impact,Omega_B_O_impact,Vel_B_P_impact_x,Vel_B_P_impact_z,Impact_Magnitude,Force_Impact_x,Force_Impact_y,Force_Impact_z,--,reward,reward_vals,NN_Output_trg,a_Rot_scale,--,4_Leg_NBC,4_Leg_BC,2_Leg_NBC,2_Leg_BC,0_Leg_NBC,0_Leg_BC
0.5,10,0,0,--,0,False,False,False,--,0.517,-89.95,0.5,10.0,0.5,10.0,0.073,2.47,2.296,0.006,0.214,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.058,[0.845 1.    0.    0.    0.    0.    0.   ],[ 0.515 -0.999  0.002  0.157],[-90   0],--,0,0,0,0,1,0
0.5,10,0,1,--,0,False,False,False,--,0.505,-89.972,0.5,10.0,0.5,10.0,0.077,2.474,2.293,0.007,0.215,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.058,[0.843 1.    0.    0.    0.    0.    0.   ],[ 0.507 -0.999  0.002  0.212],[-90   0],--,0,0,0,0,1,0
0.5,10,0,2,--,0,False,False,False,--,0.515,-89.96,0.5,10.0,0.5,10.0,0.074,2.471,2.295,0.006,0.215,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.058,[0.844 1.    0.    0.    0.    0.    0.   ],[ 0.513 -0.999  0.002  0.169],[-90   0],--,0,0,0,0,1,0
0.5,10,0,3,--,0,False,False,False,--,0.516,-89.968,0.5,10.0,0.5,10.0,0.074,2.471,2.295,0.006,0.215,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.058,[0.844 1.    0.    0.    0.    0.    0.   ],[ 0.513 -0.999  0.002  0.169],[-90   0],--,0,0,0,0,1,0
0.5,10,0,4,--,0,False,False,False,--,0.514,-89.967,0.5,10.0,0.5,10.0,0.075,2.472,2.295,0.007,0.215,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.058,[0.844 1.    0.    0.    0.    0.    0.   ],[ 0.511 -0.999  0.002  0.182],[-90   0],--,0,0,0,0,1,0
0.5,15,0,0,--,0,False,False,False,--,0.511,-89.929,0.5,15.0,0.5,15.0,0.077,1.685,2.215,0.01,0.218,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.06,[0.876 1.    0.    0.    0.    0.    0.   ],[ 0.511 -0.999  0.002  0.174],[-90   0],--,0,0,0,0,1,0
0.5,15,0,1,--,0,False,False,False,--,0.5,-89.99,0.5,15.0,0.5,15.0,0.084,1.692,2.206,0.011,0.219,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.06,[0.873 1.    0.    0.    0.    0.    0.   ],[ 0.5   -1.     0.002  0.273],[-90   0],--,0,0,0,0,1,0
0.5,15,0,2,--,0,False,False,False,--,0.504,-89.979,0.5,15.0,0.5,15.0,0.081,1.689,2.21,0.01,0.219,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.06,[0.875 1.    0.    0.    0.    0.    0.   ],[ 0.505 -0.999  0.002  0.221],[-90   0],--,0,0,0,0,1,0
0.5,15,0,3,--,0,False,False,False,--,0.503,-89.978,0.5,15.0,0.5,15.0,0.083,1.691,2.207,0.011,0.219,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.06,[0.874 1.    0.    0.    0.    0.    0.   ],[ 0.501 -1.     0.002  0.261],[-90   0],--,0,0,0,0,1,0
0.5,15,0,4,--,0,False,False,False,--,0.513,-89.971,0.5,15.0,0.5,15.0,0.077,1.685,2.215,0.01,0.218,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.06,[0.877 1.    0.    0.    0.    0.    0.   ],[ 0.512 -0.999  0.002  0.168],[-90   0],--,0,0,0,0,1,0
0.5,20,0,0,--,0,False,False,False,--,0.512,-89.939,0.5,20.0,0.5,20.0,0.077,1.294,2.123,0.013,0.221,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.062,[0.91 1.   0.   0.   0.   0.   0.  ],[ 0.515 -0.999  0.002  0.142],[-90   0],--,0,0,0,0,1,0
0.5,20,0,1,--,0,False,False,False,--,0.516,-89.952,0.5,20.0,0.5,20.0,0.078,1.295,2.122,0.013,0.221,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.062,[0.91 1.   0.   0.   0.   0.   0.  ],[ 0.514 -0.999  0.002  0.15 ],[-90   0],--,0,0,0,0,1,0
0.5,20,0,2,--,0,False,False,False,--,0.516,-89.916,0.5,20.0,0.5,20.0,0.076,1.293,2.125,0.013,0.221,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.062,[0.911 1.    0.    0.    0.    0.    0.   ],[ 0.517 -0.999  0.002  0.134],[-90   0],--,0,0,0,0,1,0
0.5,20,0,3,--,0,False,False,False,--,0.517,-89.944,0.5,20.0,0.5,20.0,0.078,1.295,2.122,0.013,0.221,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.062,[0.91 1.   0.   0.   0.   0.   0.  ],[ 0.514 -0.999  0.002  0.149],[-90   0],--,0,0,0,0,1,0
0.5,20,0,4,--,0,False,False,False,--,0.507,-89.971,0.5,20.0,0.5,20.0,0.084,1.3,2.113,0.014,0.222,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.062,[0.906 1.    0.    0.    0.    0.    0.   ],[ 0.504 -0.999  0.002  0.217],[-90   0],--,0,0,0,0,1,0
0.5,25,0,0,--,0,False,False,False,--,0.503,-89.933,0.5,25.0,0.5,25.0,0.085,1.07,2.004,0.018,0.226,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.063,[0.936 1.    0.    0.    0.    0.    0.   ],[ 0.506 -0.999  0.002  0.196],[-90   0],--,0,0,0,0,1,0
0.5,25,0,1,--,0,False,False,False,--,0.503,-89.981,0.5,25.0,0.5,25.0,0.087,1.071,2.002,0.018,0.226,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.063,[0.936 1.    0.    0.    0.    0.    0.   ],[ 0.503 -0.999  0.002  0.213],[-90   0],--,0,0,0,0,1,0
0.5,25,0,2,--,0,False,False,False,--,0.5,-89.96,0.5,25.0,0.5,25.0,0.087,1.072,2.001,0.018,0.226,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.063,[0.935 1.    0.    0.    0.    0.    0.   ],[ 0.503 -0.999  0.002  0.217],[-90   0],--,0,0,0,0,1,0
0.5,25,0,3,--,0,False,False,False,--,0.512,-89.937,0.5,25.0,0.5,25.0,0.082,1.067,2.01,0.017,0.225,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.063,[0.94 1.   0.   0.   0.   0.   0.  ],[ 0.511 -0.999  0.002  0.159],[-90   0],--,0,0,0,0,1,0
0.5,25,0,4,--,0,False,False,False,--,0.506,-89.964,0.5,25.0,0.5,25.0,0.085,1.07,2.004,0.018,0.226,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.063,[0.937 1.    0.    0.    0.    0.    0.   ],[ 0.505 -0.999  0.002  0.199],[-90   0],--,0,0,0,0,1,0
0.5,30,0,0,--,0,False,False,False,--,0.506,-89.963,0.5,30.0,0.5,30.0,0.088,0.92,1.882,0.022,0.23,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.065,[0.966 1.    0.    0.    0.    0.    0.   ],[ 0.505 -0.999  0.002  0.185],[-90   0],--,0,0,0,0,1,0
0.5,30,0,1,--,0,False,False,False,--,0.504,-89.971,0.5,30.0,0.5,30.0,0.089,0.921,1.88,0.022,0.23,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.065,[0.965 1.    0.    0.    0.    0.    0.   ],[ 0.504 -0.999  0.002  0.197],[-90   0],--,0,0,0,0,1,0
0.5,30,0,2,--,0,False,False,False,--,0.509,-89.903,0.5,30.0,0.5,30.0,0.085,0.917,1.889,0.021,0.229,--,nan,nan,nan,nan,nan,nan,nan,nan,nan,--,0.065,[0.969 1.    0.    0.    0.    0.    0.   ],[ 0.51  -0.999  0.002  0.152],[-90   0],--,0,0,0,0,1,0
