Vel_d,Phi_d,Trial_num,LR_4Leg,Vel_trg,Phi_trg,Tau_trg_mean,Theta_x_trg_mean,D_ceil_trg_mean,My_mean,Vz_trg_mean,Vx_trg_mean,Mu,Sigma
1.5,30.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[1.586 2.648],[0.07  0.201]
1.5,30.0,1,0.33,1.441,21.063,0.25,-10.575,0.127,-8.645,0.518,1.345,[2.505 8.624],[0.039 0.032]
1.5,30.0,2,0.39,1.435,21.668,0.243,-10.553,0.126,-8.556,0.53,1.334,[2.467 8.78 ],[0.001 0.235]
1.5,33.75,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[1.887 6.425],[0.001 0.047]
1.5,33.75,1,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[1.837 6.829],[0.004 0.045]
1.5,33.75,2,0.44,1.429,26.063,0.229,-9.03,0.142,-7.886,0.628,1.284,[2.322 7.887],[0.009 0.033]
1.5,37.5,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[1.916 7.405],[0.004 0.069]
1.5,37.5,1,0.56,1.429,29.561,0.234,-7.628,0.162,-8.64,0.705,1.243,[2.375 8.675],[0.001 0.149]
1.5,37.5,2,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[1.899 4.259],[0.006 0.075]
1.5,41.25,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.055 6.603],[0.018 0.248]
1.5,41.25,1,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[1.879 6.221],[0.001 0.156]
1.5,41.25,2,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[1.857 6.089],[0.006 0.386]
1.5,45.0,0,0.67,1.46,40.529,0.213,-5.497,0.201,-7.678,0.949,1.11,[2.16  7.675],[0.019 0.022]
1.5,45.0,1,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[1.961 7.417],[0.04 0.01]
1.5,45.0,2,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[1.905 6.397],[0.042 0.141]
1.5,48.75,1,0.67,1.404,42.979,0.218,-4.946,0.208,-8.457,0.957,1.027,[2.225 8.456],[0.033 0.023]
1.5,48.75,2,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[1.859 4.199],[0.011 0.033]
1.5,52.5,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[1.864 7.872],[0.    0.035]
1.5,52.5,1,0.39,1.421,47.737,0.212,-4.316,0.222,-7.523,1.052,0.956,[2.152 7.526],[0.003 0.049]
1.5,52.5,2,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.061 4.992],[0.041 0.032]
1.5,56.25,0,0.72,1.403,52.003,0.216,-3.614,0.239,-7.667,1.106,0.864,[2.196 7.658],[0.001 0.104]
1.5,56.25,1,0.72,1.425,52.181,0.213,-3.652,0.239,-8.946,1.126,0.874,[2.169 8.804],[0.003 0.352]
1.5,56.25,2,0.78,1.406,51.989,0.211,-3.74,0.232,-8.427,1.108,0.866,[2.146 8.371],[0.037 0.327]
1.5,60.0,0,0.94,1.411,56.242,0.219,-3.064,0.256,-9.239,1.173,0.784,[2.222 9.229],[0.014 0.049]
1.5,60.0,1,0.0,1.312,54.213,0.183,-3.937,0.195,-2.906,1.064,0.767,[1.858 3.064],[0.002 0.094]
1.5,60.0,2,0.72,1.413,56.4,0.216,-3.082,0.253,-7.342,1.177,0.782,[2.205 7.334],[0.001 0.139]
1.5,63.75,1,0.56,1.38,59.998,0.212,-2.736,0.252,-6.6,1.195,0.69,[2.165 6.591],[0.023 0.029]
1.5,63.75,2,0.67,1.395,60.77,0.217,-2.577,0.263,-7.069,1.217,0.681,[2.207 7.038],[0.001 0.139]
1.5,67.5,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.013 5.687],[0.005 0.078]
1.5,67.5,1,0.67,1.379,64.494,0.214,-2.252,0.264,-7.484,1.245,0.594,[2.177 7.607],[0.    0.337]
1.5,67.5,2,0.56,1.376,64.105,0.218,-2.237,0.269,-7.435,1.238,0.601,[2.214 7.417],[0.038 0.393]
1.5,71.25,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[1.995 4.11 ],[0.019 1.061]
1.5,71.25,1,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[1.82  9.289],[0.004 0.046]
1.5,71.25,2,0.72,1.37,68.812,0.215,-1.808,0.274,-8.504,1.277,0.495,[2.201 8.007],[0.043 0.744]
1.5,75.0,0,1.0,1.406,73.64,0.222,-1.315,0.3,-8.702,1.349,0.396,[2.257 8.706],[0.019 0.048]
1.5,75.0,1,0.78,1.379,72.919,0.217,-1.415,0.286,-6.725,1.318,0.405,[2.204 6.722],[0.028 0.026]
1.5,75.0,2,0.17,1.312,72.297,0.22,-1.455,0.274,-5.161,1.25,0.399,[2.203 5.163],[0.105 0.018]
1.5,78.75,0,0.72,1.37,77.312,0.219,-1.028,0.292,-6.502,1.337,0.301,[2.225 6.547],[0.03  0.136]
1.5,78.75,1,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[1.942 3.515],[0.039 0.03 ]
1.5,78.75,2,0.39,1.373,77.209,0.208,-1.099,0.277,-8.583,1.339,0.304,[2.112 8.489],[0.025 0.27 ]
1.5,82.5,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[1.899 6.693],[0.011 0.1  ]
1.5,82.5,1,0.17,1.359,81.792,0.207,-0.696,0.279,-7.303,1.345,0.194,[2.099 7.312],[0.008 0.023]
1.5,82.5,2,0.56,1.384,81.688,0.211,-0.692,0.289,-8.308,1.369,0.2,[2.153 8.31 ],[0.019 0.022]
1.5,86.25,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[1.468 5.708],[0.012 0.029]
1.5,86.25,1,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[1.384 3.454],[0.001 0.055]
1.5,86.25,2,0.83,1.407,85.967,0.222,-0.318,0.311,-8.32,1.404,0.099,[2.285 8.298],[0.035 0.157]
1.5,90.0,0,0.83,1.394,90.0,0.219,0.0,0.305,-6.788,1.394,0.0,[2.231 6.794],[0.005 0.077]
1.5,90.0,1,0.72,1.39,90.0,0.211,-0.0,0.293,-8.162,1.39,0.0,[2.163 8.232],[0.015 0.401]
1.5,90.0,2,0.56,1.373,90.0,0.224,0.0,0.306,-7.225,1.373,0.0,[2.276 7.191],[0.011 0.03 ]
1.6,30.0,0,0.11,1.524,22.695,0.232,-10.469,0.134,-8.526,0.588,1.406,[2.31  8.507],[0.02  0.038]
1.6,30.0,1,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[1.885 7.35 ],[0.165 0.013]
1.6,30.0,2,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[1.492 3.527],[0.005 0.28 ]
1.6,33.75,1,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[1.953 5.187],[0.052 0.107]
1.6,33.75,2,0.06,1.554,28.066,0.224,-8.537,0.16,-8.944,0.731,1.371,[2.253 8.944],[0.042 0.02 ]
1.6,37.5,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[1.951 5.334],[0.008 0.08 ]
1.6,37.5,1,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[1.923 4.923],[0.025 0.104]
1.6,37.5,2,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[1.708 4.387],[0.008 0.046]
1.6,41.25,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[1.847 4.168],[0.004 0.063]
1.6,41.25,1,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[1.888 4.52 ],[0.002 0.163]
1.6,41.25,2,0.39,1.554,36.494,0.215,-6.307,0.198,-8.149,0.924,1.249,[2.179 8.208],[0.    0.253]
1.6,45.0,1,0.39,1.515,39.994,0.212,-5.667,0.205,-6.482,0.974,1.161,[2.154 6.448],[0.018 0.107]
1.6,45.0,2,0.56,1.55,40.605,0.213,-5.506,0.213,-8.087,1.009,1.177,[2.165 8.066],[0.014 0.179]
1.6,48.75,0,0.72,1.532,44.524,0.217,-4.697,0.232,-8.924,1.074,1.092,[2.206 8.949],[0.003 0.382]
1.6,48.75,1,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[1.899 4.189],[0.063 0.117]
1.6,48.75,2,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.057 1.258],[0.03 0.02]
1.6,52.5,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[1.934 8.442],[0.048 0.038]
1.6,52.5,1,0.72,1.518,48.125,0.222,-4.039,0.25,-7.848,1.13,1.013,[2.272 7.848],[0.038 0.034]
1.6,52.5,2,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.052 4.609],[0.    0.166]
1.6,56.25,0,0.83,1.518,52.443,0.217,-3.531,0.262,-8.025,1.203,0.925,[2.212 8.044],[0.006 0.041]
1.6,56.25,1,0.5,1.494,51.933,0.212,-3.71,0.249,-7.626,1.176,0.921,[2.16  7.611],[0.001 0.168]
1.6,56.25,2,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.212 4.187],[0.009 0.027]
1.6,60.0,0,0.72,1.495,56.289,0.209,-3.22,0.258,-8.103,1.244,0.83,[2.123 8.122],[0.01  0.204]
1.6,60.0,1,0.33,1.508,56.605,0.209,-3.174,0.261,-6.992,1.259,0.83,[2.11  6.986],[0.02  0.041]
1.6,60.0,2,0.67,1.484,56.235,0.214,-3.148,0.263,-6.831,1.234,0.825,[2.167 6.82 ],[0.027 0.058]
1.6,63.75,1,0.78,1.513,61.063,0.218,-2.534,0.288,-6.038,1.324,0.732,[2.225 6.028],[0.007 0.031]
1.6,63.75,2,0.56,1.49,60.494,0.212,-2.679,0.274,-6.752,1.297,0.734,[2.158 6.741],[0.012 0.027]
1.6,67.5,0,0.56,1.479,64.7,0.221,-2.136,0.295,-7.553,1.337,0.632,[2.253 7.563],[0.039 0.067]
1.6,67.5,1,0.78,1.505,65.121,0.219,-2.112,0.298,-7.945,1.365,0.633,[2.221 7.947],[0.    0.236]
1.6,67.5,2,0.83,1.493,64.911,0.216,-2.173,0.291,-7.976,1.352,0.633,[2.204 8.078],[0.017 0.298]
1.6,71.25,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[1.969 2.974],[0.006 0.04 ]
1.6,71.25,1,0.67,1.517,69.391,0.223,-1.682,0.316,-9.004,1.42,0.534,[2.266 9.212],[0.005 1.231]
1.6,71.25,2,0.83,1.486,68.893,0.215,-1.798,0.297,-7.373,1.386,0.535,[2.19  7.373],[0.002 0.032]
1.6,75.0,0,0.56,1.465,73.099,0.208,-1.469,0.291,-9.101,1.402,0.426,[2.128 8.93 ],[0.009 0.585]
1.6,75.0,1,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.048 5.209],[0.008 0.038]
1.6,75.0,2,0.61,1.488,73.404,0.228,-1.303,0.325,-8.434,1.426,0.425,[2.334 8.438],[0.001 0.041]
1.6,78.75,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[1.966 5.255],[0.    0.169]
