Vel_d,Phi_d,Trial_num,LR_4Leg,Vel_trg,Phi_trg,Tau_trg_mean,Theta_x_trg_mean,D_ceil_trg_mean,My_mean,Vz_trg_mean,Vx_trg_mean,Mu,Sigma
1.5,30.0,0,0.0,,,,,,,,,[1.701 4.783],[0.04  0.558]
1.5,30.0,1,0.0,,,,,,,,,[2.142 6.279],[0.047 0.015]
1.5,30.0,2,0.0,,,,,,,,,[1.897 4.858],[0.054 0.044]
1.5,33.75,0,0.0,,,,,,,,,[1.925 5.051],[0.005 0.047]
1.5,33.75,1,0.0,,,,,,,,,[1.905 6.801],[0.002 0.281]
1.5,33.75,2,0.0,,,,,,,,,[2.056 8.02 ],[0.05  0.815]
1.5,37.5,0,0.0,,,,,,,,,[1.949 5.298],[0.007 0.034]
1.5,37.5,1,0.0,1.485,33.69,0.181,8.483,0.146,-6.856,0.824,1.236,[1.875 6.659],[0.018 0.556]
1.5,37.5,2,0.0,,,,,,,,,[1.028 4.029],[0.021 0.003]
1.5,41.25,0,0.0,,,,,,,,,[1.889 5.078],[0.042 0.098]
1.5,41.25,1,0.0,1.479,36.893,0.17,8.035,0.148,-6.825,0.888,1.183,[1.749 6.851],[0.02  0.033]
1.5,41.25,2,0.0,,,,,,,,,[2.051 6.392],[0.029 0.065]
1.5,45.0,0,0.0,1.451,40.751,0.181,6.512,0.169,-7.493,0.947,1.099,[1.86  7.491],[0.008 0.024]
1.5,45.0,1,0.0,,,,,,,,,[2.073 6.852],[0.011 0.025]
1.5,45.0,2,0.0,1.484,41.284,0.19,6.221,0.181,-7.766,0.979,1.115,[1.983 7.13 ],[0.   0.47]
1.5,48.75,0,0.33,1.48,45.192,0.218,4.604,0.227,-7.695,1.05,1.043,[2.214 7.666],[0.015 0.04 ]
1.5,48.75,1,0.0,1.463,44.751,0.197,5.226,0.201,-7.717,1.03,1.039,[2.016 7.899],[0.006 0.685]
1.5,48.75,2,0.0,1.419,45.314,0.183,5.429,0.184,-5.132,1.009,0.998,[1.885 5.161],[0.003 0.128]
1.5,52.5,0,0.0,,,,,,,,,[2.065 6.65 ],[0.008 0.088]
1.5,52.5,1,0.0,,,,,,,,,[2.239 4.52 ],[0.007 0.089]
1.5,52.5,2,0.56,1.447,48.613,0.218,4.104,0.234,-8.206,1.086,0.957,[2.231 8.183],[0.003 0.194]
1.5,56.25,0,0.0,1.413,53.373,0.202,3.676,0.229,-5.517,1.134,0.843,[2.1  5.53],[0.009 0.04 ]
1.5,56.25,1,0.78,1.449,53.502,0.214,3.468,0.249,-9.147,1.165,0.862,[2.205 9.164],[0.018 0.479]
1.5,56.25,2,0.06,1.415,53.94,0.208,3.478,0.238,-7.93,1.144,0.833,[2.141 7.842],[0.014 0.192]
1.5,60.0,0,0.0,1.407,56.863,0.19,3.435,0.224,-3.098,1.178,0.769,[2.008 3.44 ],[0.004 0.303]
1.5,60.0,1,0.0,1.423,56.12,0.191,3.537,0.224,-6.134,1.181,0.793,[1.991 6.447],[0.002 0.367]
1.5,60.0,2,0.06,1.454,58.496,0.206,3.024,0.254,-3.246,1.24,0.76,[2.098 3.26 ],[0.04  0.022]
1.5,63.75,0,0.33,1.44,61.228,0.217,2.55,0.272,-9.694,1.262,0.693,[2.217 9.698],[0.012 0.043]
1.5,63.75,1,0.0,1.406,61.448,0.187,2.904,0.231,-8.049,1.235,0.672,[1.93  8.121],[0.014 0.237]
1.5,63.75,2,0.22,1.484,61.587,0.214,2.56,0.278,-9.389,1.305,0.706,[2.196 9.5  ],[0.014 0.493]
1.5,67.5,0,0.0,1.397,65.654,0.199,2.269,0.254,-4.879,1.273,0.576,[2.036 4.889],[0.009 0.145]
1.5,67.5,1,0.17,1.498,66.721,0.216,1.982,0.297,-7.008,1.376,0.592,[2.19  7.037],[0.022 0.583]
1.5,67.5,2,0.22,1.457,64.596,0.221,2.18,0.289,-6.756,1.316,0.625,[2.244 6.776],[0.021 0.049]
