k_ep,k_run,t,Policy_Trigger,Policy_Action,mu,sigma,policy,x,y,z,vx,vy,vz,qx,qy,qz,qw,wx,wy,wz,eul_x,eul_y,eul_z,flip_flag,impact_flag,Tau_est,Theta_y_est,Theta_x_est,Tau,Theta_y,Theta_x,D_ceil,F_thrust,Mx,My,Mz,M1_thrust,M2_thrust,M3_thrust,M4_thrust,M1_pwm,M2_pwm,M3_pwm,M4_pwm,x_d.x,x_d.y,x_d.z,v_d.x,v_d.y,v_d.z,a_d.x,a_d.y,a_d.z,Volts,Error
0,0,963.675,-1.366,0.000,--,--,--,0.070,-0.012,1.057,2.012,0.035,0.093,-0.011,0.073,-0.018,0.997,0.040,-1.350,-0.144,-1.115,8.393,-2.149,False,False,0.000,0.000,0.000,15.669,-0.036,1.959,1.022,0.520,-0.074,1.850,0.251,12.639,13.642,15.000,10.795,65534,65534,65534,60500,0.296,0.000,1.038,1.915,0.000,0.290,0.000,0.000,3.000,3.500,--
0,0,963.695,-1.366,0.000,--,--,--,0.111,-0.012,1.060,2.031,0.037,0.156,-0.011,0.061,-0.019,0.998,0.190,-1.550,-0.183,-1.132,6.960,-2.293,False,False,0.000,0.000,0.000,8.321,-0.036,1.982,1.021,0.520,-0.283,2.258,0.298,12.513,13.597,15.000,10.498,64042,65534,65534,58732,0.334,0.000,1.044,1.915,0.000,0.350,0.000,0.000,3.000,3.500,--
0,0,963.715,-1.366,0.000,--,--,--,0.152,-0.013,1.063,2.044,0.036,0.227,-0.008,0.046,-0.021,0.999,0.520,-1.730,-0.183,-0.842,5.218,-2.420,False,False,0.000,0.000,0.000,5.312,-0.037,2.003,1.016,0.526,-0.891,2.604,0.308,11.843,13.410,15.000,10.657,61870,65534,65534,58870,0.372,0.000,1.052,1.915,0.000,0.410,0.000,0.000,3.000,3.500,--
0,0,963.734,-1.366,0.000,--,--,--,0.195,-0.013,1.068,2.051,0.037,0.296,-0.004,0.029,-0.024,0.999,0.850,-1.840,-0.169,-0.397,3.322,-2.709,False,False,0.000,0.000,0.000,3.878,-0.036,2.024,1.013,0.524,-1.470,2.920,0.305,11.192,13.251,15.000,10.975,59442,64534,65534,58868,0.411,0.000,1.060,1.915,0.000,0.470,0.000,0.000,3.000,3.500,--
0,0,963.754,-1.366,0.000,--,--,--,0.236,-0.013,1.075,2.044,0.031,0.376,0.004,0.011,-0.026,1.000,1.100,-1.820,-0.221,0.510,1.282,-3.008,False,False,0.000,0.000,0.000,3.003,-0.035,2.035,1.008,0.522,-1.975,3.041,0.372,10.925,12.621,15.000,10.947,58274,62546,65534,58332,0.449,0.000,1.070,1.915,0.000,0.530,0.000,0.000,3.000,3.500,--
0,0,963.774,-1.366,0.000,--,--,--,0.277,-0.013,1.083,2.033,0.025,0.455,0.012,-0.006,-0.029,0.999,1.140,-1.720,-0.258,1.410,-0.593,-3.338,False,False,0.000,0.000,0.000,2.405,-0.028,2.04,1.000,0.519,-2.137,3.029,0.425,10.943,12.182,15.000,10.782,57646,60770,65534,57220,0.487,0.000,1.082,1.915,0.000,0.590,0.000,0.000,3.000,3.500,--
0,0,963.794,-1.366,0.000,--,--,--,0.318,-0.014,1.092,2.007,0.014,0.53,0.022,-0.021,-0.032,0.999,1.040,-1.490,-0.242,2.465,-2.301,-3.699,False,False,0.000,0.000,0.000,2.008,-0.018,2.04,0.992,0.515,-2.070,2.825,0.425,11.057,11.980,15.000,10.795,57610,59928,65534,56924,0.526,0.000,1.094,1.915,0.000,0.650,0.000,0.000,3.000,3.500,--
0,0,963.813,-1.366,0.000,--,--,--,0.359,-0.015,1.104,1.976,-0.005,0.609,0.032,-0.033,-0.033,0.998,0.720,-1.110,-0.198,3.525,-3.690,-3.924,False,False,0.000,0.000,0.000,1.730,-0.004,2.031,0.981,0.508,-1.654,2.362,0.393,11.057,11.980,15.000,10.795,58476,59624,65534,56802,0.526,0.000,1.094,1.915,0.000,0.650,0.000,0.000,3.000,3.500,--
0,0,963.813,-1.366,0.000,--,--,--,0.359,-0.015,1.104,1.976,-0.005,0.609,0.032,-0.033,-0.033,0.998,0.720,-1.110,-0.156,3.525,-3.690,-3.924,False,False,0.000,0.000,0.000,1.730,-0.004,2.031,0.969,0.500,-1.312,1.865,0.363,11.765,11.695,15.000,10.827,59060,58888,65534,56684,0.602,0.000,1.122,1.915,0.000,0.770,0.000,0.000,3.000,3.500,--
0,0,963.855,-1.366,0.000,--,--,--,0.437,-0.019,1.131,1.884,-0.055,0.759,0.040,-0.051,-0.039,0.997,0.120,-0.650,-0.164,4.377,-5.700,-4.668,False,False,0.000,0.000,0.000,1.249,0.056,1.988,0.948,0.498,-0.857,1.965,0.375,12.028,12.013,15.000,10.274,59816,59780,65534,55312,0.644,0.000,1.140,1.915,0.000,0.836,0.000,0.000,3.000,3.500,--
0,0,963.855,-1.366,0.000,--,--,--,0.437,-0.019,1.131,1.884,-0.055,0.759,0.040,-0.051,-0.039,0.997,0.120,-0.650,-0.134,4.377,-5.700,-4.668,False,False,0.000,0.000,0.000,1.249,0.056,1.988,0.940,0.487,-0.391,1.876,0.348,12.070,12.142,15.000,9.812,60146,60322,65534,54240,0.679,0.000,1.156,1.915,0.000,0.890,0.000,0.000,3.000,3.500,--
0,0,963.892,-1.366,0.000,--,--,--,0.510,-0.026,1.164,1.774,-0.119,0.899,0.039,-0.061,-0.043,0.996,-0.560,0.010,-0.039,4.145,-6.806,-5.176,False,False,0.000,0.000,0.000,1.017,0.129,1.94,0.915,0.485,0.101,1.187,0.253,12.563,12.339,14.266,10.316,61446,60912,65298,55748,0.721,0.000,1.176,1.915,0.000,0.956,0.000,0.000,3.000,3.500,--
0,0,963.920,-1.366,0.000,--,--,--,0.562,-0.033,1.193,1.686,-0.164,1.007,0.030,-0.062,-0.044,0.997,-0.900,0.240,0.013,3.176,-7.004,-5.282,False,False,0.000,0.000,0.000,0.922,0.169,1.913,0.896,0.478,0.409,0.946,0.194,12.344,12.589,13.229,10.324,61588,61298,63536,55880,0.755,0.000,1.194,1.915,0.000,1.010,0.000,0.000,3.000,3.500,--
0,0,963.920,-1.366,0.000,--,--,--,0.562,-0.033,1.193,1.686,-0.164,1.007,0.030,-0.062,-0.044,0.997,-0.900,0.240,-0.014,3.176,-7.004,-5.282,False,False,0.000,0.000,0.000,0.922,0.169,1.913,0.886,0.474,0.651,0.952,0.215,12.679,12.330,13.367,9.768,62264,61584,63364,55068,0.775,0.000,1.204,1.915,0.000,1.040,0.000,0.000,3.000,3.500,--
0,0,963.953,-1.366,0.000,--,--,--,0.612,-0.042,1.225,1.601,-0.195,1.11,0.018,-0.058,-0.046,0.997,-1.160,0.580,0.040,1.759,-6.590,-5.345,False,False,0.000,0.000,0.000,0.802,0.221,1.88,0.853,0.471,0.960,0.649,0.148,12.880,12.676,12.391,10.151,62428,61950,61274,55508,0.832,0.000,1.239,1.915,0.000,1.136,0.000,0.000,3.000,3.500,--
