k_ep,k_run,t,Policy_Trigger,Policy_Action,mu,sigma,policy,x,y,z,vx,vy,vz,qx,qy,qz,qw,wx,wy,wz,eul_x,eul_y,eul_z,flip_flag,impact_flag,Tau_est,Theta_y_est,Theta_x_est,Tau,Theta_y_est,Theta_x_est,D_ceil,F_thrust,Mx,My,Mz,M1_thrust,M2_thrust,M3_thrust,M4_thrust,M1_pwm,M2_pwm,M3_pwm,M4_pwm,x_d.x,x_d.y,x_d.z,v_d.x,v_d.y,v_d.z,a_d.x,a_d.y,a_d.z,Volts,Error
0,0,24.079,-1.366,0.000,--,--,--,0.093,0.093,0.973,1.519,-0.407,0.078,0.047,0.083,-0.032,0.995,0.270,-0.420,0.020,5.685,9.699,-3.183,False,False,0.000,0.000,0.000,18.114,0.365,-1.360,1.106,0.513,-1.244,1.443,0.055,11.259,12.890,15.000,12.641,53552,57594,61636,56920,0.382,0.000,0.954,1.723,0.000,0.210,0.000,0.000,2.500,3.500,--
0,0,24.099,-1.366,0.000,--,--,--,0.140,0.086,0.976,1.560,-0.425,0.145,0.051,0.076,-0.033,0.995,0.270,-0.650,0.009,6.151,8.926,-3.343,False,False,0.000,0.000,0.000,9.145,0.380,-1.400,1.104,0.513,-1.256,1.705,0.070,11.061,13.159,15.000,12.453,53218,57922,61636,56404,0.434,0.000,0.962,1.723,0.000,0.285,0.000,0.000,2.500,3.500,--
0,0,24.119,-1.366,0.000,--,--,--,0.158,0.088,0.978,1.577,-0.419,0.174,0.053,0.073,-0.033,0.995,0.230,-0.670,0.015,6.300,8.612,-3.348,False,False,0.000,0.000,0.000,7.567,0.376,-1.418,1.101,0.510,-1.111,1.709,0.066,11.079,13.208,15.000,12.269,53074,57820,61418,55798,0.469,0.000,0.968,1.723,0.000,0.335,0.000,0.000,2.500,3.500,--
0,0,24.139,-1.366,0.000,--,--,--,0.191,0.085,0.982,1.600,-0.428,0.236,0.054,0.066,-0.033,0.996,0.110,-0.640,0.005,6.436,7.822,-3.381,False,False,0.000,0.000,0.000,5.370,0.384,-1.446,1.097,0.506,-1.009,1.687,0.078,11.115,13.113,15.000,12.047,52784,57214,60986,54918,0.503,0.000,0.975,1.723,0.000,0.385,0.000,0.000,2.500,3.500,--
0,0,24.158,-1.366,0.000,--,--,--,0.225,0.082,0.988,1.622,-0.437,0.300,0.055,0.061,-0.033,0.996,0.020,-0.630,0.018,6.575,7.192,-3.406,False,False,0.000,0.000,0.000,4.094,0.394,-1.473,1.091,0.500,-0.903,1.617,0.067,11.051,13.035,15.000,11.914,52356,56752,60666,54332,0.537,0.000,0.984,1.723,0.000,0.435,0.000,0.000,2.500,3.500,--
0,0,24.178,-1.366,0.000,--,--,--,0.259,0.079,0.995,1.641,-0.446,0.368,0.055,0.054,-0.033,0.996,-0.060,-0.520,0.016,6.552,6.398,-3.452,False,False,0.000,0.000,0.000,3.248,0.405,-1.500,1.084,0.495,-0.821,1.482,0.068,11.109,12.867,14.721,11.828,52310,56204,59924,53954,0.572,0.000,0.993,1.723,0.000,0.485,0.000,0.000,2.500,3.500,--
0,0,24.198,-1.366,0.000,--,--,--,0.294,0.076,1.003,1.657,-0.455,0.434,0.055,0.048,-0.033,0.997,-0.100,-0.500,0.004,6.533,5.763,-3.488,False,False,0.000,0.000,0.000,2.707,0.415,-1.527,1.076,0.489,-0.744,1.357,0.079,11.158,12.630,14.454,11.667,51972,55220,58894,53130,0.606,0.000,1.003,1.723,0.000,0.535,0.000,0.000,2.500,3.500,--
0,0,24.218,-1.366,0.000,--,--,--,0.328,0.069,1.012,1.669,-0.473,0.499,0.054,0.044,-0.033,0.997,-0.120,-0.470,0.006,6.359,5.282,-3.523,False,False,0.000,0.000,0.000,2.294,0.428,-1.554,1.067,0.485,-0.700,1.384,0.075,11.052,12.596,14.320,11.523,51372,54770,58234,52442,0.641,0.000,1.014,1.723,0.000,0.585,0.000,0.000,2.500,3.500,--
0,0,24.248,-1.366,0.000,--,--,--,0.381,0.064,1.028,1.685,-0.483,0.593,0.051,0.039,-0.033,0.997,-0.200,-0.410,0.023,6.022,4.637,-3.571,False,False,0.000,0.000,0.000,1.881,0.446,-1.594,1.057,0.480,-0.745,1.332,0.053,10.839,12.485,14.096,11.562,50702,54350,57604,52350,0.675,0.000,1.026,1.723,0.000,0.635,0.000,0.000,2.500,3.500,--
0,0,24.258,-1.366,0.000,--,--,--,0.399,0.062,1.034,1.690,-0.485,0.623,0.051,0.036,-0.033,0.997,-0.210,-0.420,0.031,6.012,4.320,-3.587,False,False,0.000,0.000,0.000,1.773,0.450,-1.608,1.045,0.477,-0.691,1.386,0.045,10.726,12.521,13.983,11.430,50010,53964,56896,51614,0.710,0.000,1.040,1.723,0.000,0.685,0.000,0.000,2.500,3.500,--
0,0,24.280,-1.366,0.000,--,--,--,0.435,0.058,1.047,1.697,-0.489,0.683,0.048,0.033,-0.032,0.998,-0.260,-0.380,0.042,5.678,3.984,-3.457,False,False,0.000,0.000,0.000,1.590,0.458,-1.636,1.032,0.475,-0.600,1.333,0.039,10.807,12.427,13.874,11.415,49830,53700,56234,51232,0.727,0.000,1.047,1.723,0.000,0.710,0.000,0.000,2.500,3.500,--
0,0,24.300,-1.366,0.000,--,--,--,0.471,0.055,1.062,1.703,-0.493,0.739,0.047,0.029,-0.032,0.998,-0.300,-0.450,0.029,5.505,3.503,-3.485,False,False,0.000,0.000,0.000,1.376,0.483,-1.674,1.010,0.476,-0.595,1.387,0.048,10.799,12.577,13.907,11.334,49758,53626,56272,50968,0.782,0.000,1.071,1.723,0.000,0.790,0.000,0.000,2.500,3.500,--
0,0,24.320,-1.366,0.000,--,--,--,0.508,0.054,1.077,1.711,-0.484,0.792,0.044,0.026,-0.032,0.998,-0.280,-0.430,0.013,5.178,3.176,-3.509,False,False,0.000,0.000,0.000,1.318,0.487,-1.688,1.002,0.473,-0.589,1.382,0.069,10.794,12.392,13.886,11.147,49662,53154,56138,50464,0.813,0.000,1.085,1.723,0.000,0.835,0.000,0.000,2.500,3.500,--
0,0,24.340,-1.366,0.000,--,--,--,0.545,0.050,1.094,1.713,-0.484,0.843,0.042,0.022,-0.030,0.998,-0.240,-0.420,-0.009,4.841,2.684,-3.380,False,False,0.000,0.000,0.000,1.215,0.486,-1.723,0.985,0.472,-0.644,1.437,0.092,10.804,12.293,14.067,11.047,49602,52858,56390,50156,0.848,0.000,1.102,1.723,0.000,0.885,0.000,0.000,2.500,3.500,--
0,0,24.361,-1.366,0.000,--,--,--,0.580,0.044,1.111,1.709,-0.490,0.894,0.039,0.018,-0.030,0.999,-0.180,-0.400,-0.004,4.509,2.198,-3.406,False,False,0.000,0.000,0.000,1.124,0.492,-1.755,0.968,0.472,-0.728,1.418,0.086,10.732,12.150,14.132,11.143,49380,52710,56400,50362,0.865,0.000,1.111,1.723,0.000,0.910,0.000,0.000,2.500,3.500,--
0,0,24.380,-1.366,0.000,--,--,--,0.616,0.040,1.130,1.707,-0.485,0.943,0.037,0.014,-0.030,0.999,-0.180,-0.420,0.028,4.336,1.717,-3.427,False,False,0.000,0.000,0.000,1.042,0.496,-1.787,0.949,0.473,-0.785,1.473,0.058,10.639,12.299,14.115,11.166,48990,53010,56414,50688,0.899,0.000,1.130,1.723,0.000,0.960,0.000,0.000,2.500,3.500,--
0,0,24.401,-1.366,0.000,--,--,--,0.654,0.040,1.150,1.706,-0.470,0.988,0.036,0.011,-0.030,0.999,-0.160,-0.380,0.023,4.168,1.395,-3.441,False,False,0.000,0.000,0.000,0.972,0.501,-1.819,0.929,0.475,-0.829,1.478,0.059,10.724,12.322,14.107,11.220,49112,53134,56688,50944,0.934,0.000,1.150,1.723,0.000,1.010,0.000,0.000,2.500,3.500,--
0,0,24.421,-1.366,0.000,--,--,--,0.690,0.036,1.170,1.702,-0.466,1.031,0.035,0.007,-0.029,0.999,-0.120,-0.340,0.036,3.993,0.909,-3.301,False,False,0.000,0.000,0.000,0.910,0.508,-1.854,0.909,0.477,-0.855,1.260,0.047,10.786,12.287,14.209,11.341,49572,53056,56520,51698,0.968,0.000,1.171,1.723,0.000,1.060,0.000,0.000,2.500,3.500,--
