k_ep,k_run,t,Policy_Trigger,Policy_Action,mu,sigma,policy,x,y,z,vx,vy,vz,qx,qy,qz,qw,wx,wy,wz,eul_x,eul_y,eul_z,flip_flag,impact_flag,Tau_est,Theta_y_est,Theta_x_est,Tau,Theta_y,Theta_x,D_ceil,F_thrust,Mx,My,Mz,M1_thrust,M2_thrust,M3_thrust,M4_thrust,M1_pwm,M2_pwm,M3_pwm,M4_pwm,x_d.x,x_d.y,x_d.z,v_d.x,v_d.y,v_d.z,a_d.x,a_d.y,a_d.z,Volts,Error
0,0,287.676,-1.366,0.000,--,--,--,-0.421,-0.007,1.155,2.513,0.128,0.11,-0.030,0.097,-0.017,0.995,0.140,-0.660,-0.025,-3.290,11.060,-2.231,False,False,0.000,0.000,0.000,11.115,-0.134,2.704,0.926,0.526,0.054,1.380,0.148,12.997,13.940,15.000,11.691,64064,65534,65534,60854,-0.092,0.000,1.129,2.598,0.000,0.263,0.000,0.000,3.000,3.500,--
0,0,287.695,-1.366,0.000,--,--,--,-0.371,-0.007,1.157,2.535,0.127,0.17,-0.029,0.090,-0.017,0.995,0.230,-0.940,-0.062,-3.147,10.266,-2.194,False,False,0.000,0.000,0.000,6.760,-0.134,2.735,0.924,0.531,-0.077,1.827,0.186,12.775,14.104,15.000,11.358,64044,65534,65534,60472,-0.040,0.000,1.135,2.598,0.000,0.323,0.000,0.000,3.000,3.500,--
0,0,287.714,-1.366,0.000,--,--,--,-0.320,-0.008,1.160,2.557,0.127,0.233,-0.026,0.082,-0.018,0.996,0.440,-1.270,-0.116,-2.836,9.314,-2.300,False,False,0.000,0.000,0.000,4.625,-0.136,2.766,0.920,0.534,-0.565,2.648,0.243,12.080,14.322,15.000,11.066,61470,65534,65534,58568,0.012,0.000,1.142,2.598,0.000,0.383,0.000,0.000,3.000,3.500,--
0,0,287.725,-1.366,0.000,--,--,--,-0.294,-0.008,1.163,2.566,0.128,0.269,-0.025,0.076,-0.018,0.997,0.560,-1.450,-0.147,-2.691,8.680,-2.272,False,False,0.000,0.000,0.000,3.942,-0.139,2.783,0.916,0.531,-0.861,3.126,0.277,11.545,14.215,15.000,10.794,59700,65534,65534,57232,0.064,0.000,1.150,2.598,0.000,0.443,0.000,0.000,3.000,3.500,--
0,0,287.753,-1.366,0.000,--,--,--,-0.210,-0.006,1.173,2.586,0.132,0.401,-0.017,0.054,-0.019,0.998,0.750,-1.560,-0.189,-1.781,6.153,-2.319,False,False,0.000,0.000,0.000,2.633,-0.147,2.831,0.911,0.519,-1.190,3.242,0.322,11.196,14.079,15.000,10.720,57734,63548,65534,55624,0.116,0.000,1.160,2.598,0.000,0.503,0.000,0.000,3.000,3.500,--
0,0,287.774,-1.366,0.000,--,--,--,-0.155,-0.006,1.182,2.588,0.129,0.491,-0.008,0.040,-0.022,0.999,0.860,-1.340,-0.155,-0.849,4.582,-2.573,False,False,0.000,0.000,0.000,2.046,-0.147,2.864,0.906,0.517,-1.221,3.106,0.291,11.105,13.528,15.000,10.310,57146,63056,65534,55850,0.142,0.000,1.165,2.598,0.000,0.533,0.000,0.000,3.000,3.500,--
0,0,287.783,-1.366,0.000,--,--,--,-0.128,-0.006,1.187,2.587,0.125,0.536,-0.004,0.033,-0.024,0.999,0.810,-1.170,-0.141,-0.386,3.798,-2.710,False,False,0.000,0.000,0.000,1.828,-0.145,2.883,0.892,0.499,-1.441,2.428,0.281,10.887,12.693,15.000,10.605,56204,59864,65534,56036,0.220,0.000,1.182,2.598,0.000,0.623,0.000,0.000,3.000,3.500,--
0,0,287.814,-1.366,0.000,--,--,--,-0.071,-0.006,1.199,2.579,0.11,0.63,0.003,0.024,-0.025,0.999,0.640,-0.590,-0.140,0.385,2.706,-2.846,False,False,0.000,0.000,0.000,1.396,-0.130,2.929,0.886,0.491,-1.341,2.184,0.280,10.918,12.032,15.000,10.709,55956,58700,65228,55418,0.272,0.000,1.195,2.598,0.000,0.683,0.000,0.000,3.000,3.500,--
0,0,287.826,-1.366,0.000,--,--,--,-0.046,-0.005,1.206,2.57,0.106,0.674,0.007,0.019,-0.025,0.999,0.520,-0.450,-0.066,0.849,2.242,-2.839,False,False,0.000,0.000,0.000,1.296,-0.122,2.942,0.866,0.476,-0.641,1.404,0.201,11.136,11.800,15.000,10.727,56660,57970,63868,55010,0.298,0.000,1.202,2.598,0.000,0.713,0.000,0.000,3.000,3.500,--
0,0,287.855,-1.366,0.000,--,--,--,0.032,-0.007,1.228,2.536,0.076,0.806,0.012,0.014,-0.028,0.999,-0.140,0.070,-0.028,1.473,1.627,-3.151,False,False,0.000,0.000,0.000,1.058,-0.096,2.981,0.859,0.471,-0.447,1.161,0.160,11.413,11.911,13.934,10.790,56666,57866,62408,55110,0.376,0.000,1.225,2.598,0.000,0.803,0.000,0.000,3.000,3.500,--
