k_ep,k_run,t,Policy_Trigger,Policy_Action,mu,sigma,policy,x,y,z,vx,vy,vz,qx,qy,qz,qw,wx,wy,wz,eul_x,eul_y,eul_z,flip_flag,impact_flag,Tau_est,Theta_y_est,Theta_x_est,Tau,Theta_y,Theta_x,D_ceil,F_thrust,Mx,My,Mz,M1_thrust,M2_thrust,M3_thrust,M4_thrust,M1_pwm,M2_pwm,M3_pwm,M4_pwm,x_d.x,x_d.y,x_d.z,v_d.x,v_d.y,v_d.z,a_d.x,a_d.y,a_d.z,Volts,Error


0,0,1152.730,0.000,0.000,--,--,--,0.430,0.007,1.708,0.512,0.019,0.024,0.004,0.065,-0.025,0.998,-0.130,-0.290,0.012,0.661,7.477,-2.817,False,False,0.000,0.000,0.000,15.190,-0.052,-1.377,0.371,0.348,0.043,0.265,0.126,9.480,8.367,9.696,7.981,48046,46298,48976,44864,0.509,0.000,1.702,0.544,0.000,0.000,1.000,0.000,0.000,3.500,--
0,0,1153.513,0.000,0.000,--,--,--,1.112,-0.034,1.716,0.999,0.121,0.024,-0.030,0.065,-0.024,0.997,0.240,0.350,0.059,-3.309,7.379,-2.916,False,False,0.000,0.000,0.000,15.040,-0.335,-2.748,0.364,0.477,-0.091,-0.233,0.109,13.077,11.688,12.855,12.345,55744,52964,55270,54096,1.238,0.000,1.702,1.299,0.000,0.074,0.000,0.000,3.000,3.500,--
0,0,1153.526,0.000,0.000,--,--,--,1.123,-0.033,1.716,1.011,0.123,0.033,-0.030,0.066,-0.024,0.997,0.270,0.240,0.019,-3.305,7.538,-2.921,False,False,0.000,0.000,0.000,11.011,-0.341,-2.783,0.363,0.505,-0.201,-0.082,0.146,13.379,12.175,13.652,12.548,60562,57556,60960,58572,1.264,0.000,1.705,1.299,0.000,0.134,0.000,0.000,3.000,3.500,--
0,0,1153.555,0.000,0.000,--,--,--,1.157,-0.031,1.718,1.049,0.132,0.078,-0.026,0.068,-0.024,0.997,0.270,-0.160,0.017,-2.826,7.709,-2.893,False,False,0.000,0.000,0.000,4.632,-0.368,-2.901,0.362,0.516,-0.201,0.173,0.148,13.519,12.770,14.379,12.482,62342,60178,63622,60278,1.290,0.000,1.708,1.299,0.000,0.194,0.000,0.000,3.000,3.500,--
0,0,1153.565,0.000,0.000,--,--,--,1.169,-0.030,1.718,1.063,0.135,0.100,-0.025,0.068,-0.024,0.997,0.260,-0.270,-0.007,-2.668,7.713,-2.883,False,False,0.000,0.000,0.000,3.577,-0.375,-2.946,0.361,0.524,-0.155,0.630,0.172,13.461,13.351,14.761,12.424,63782,62788,65534,61026,1.316,0.000,1.712,1.299,0.000,0.254,0.000,0.000,3.000,3.500,--
0,0,1153.594,0.000,0.000,--,--,--,1.205,-0.028,1.722,1.106,0.140,0.191,-0.022,0.062,-0.025,0.998,0.250,-0.600,-0.060,-2.357,7.082,-3.006,False,False,0.000,0.000,0.000,1.863,-0.393,-3.100,0.358,0.528,0.007,0.975,0.224,13.572,13.353,15.000,11.844,64518,63780,65534,60092,1.342,0.000,1.718,1.299,0.000,0.314,0.000,0.000,3.000,3.500,--
0,0,1153.613,0.000,0.000,--,--,--,1.229,-0.026,1.727,1.133,0.142,0.267,-0.019,0.057,-0.025,0.998,0.380,-0.680,-0.104,-2.057,6.455,-2.975,False,False,0.000,0.000,0.000,1.317,-0.403,-3.214,0.355,0.527,-0.265,1.170,0.271,13.394,13.080,15.000,11.761,63930,63010,65534,59570,1.368,0.000,1.725,1.299,0.000,0.374,0.000,0.000,3.000,3.500,--
0,0,1153.633,0.000,0.000,--,--,--,1.254,-0.025,1.732,1.159,0.141,0.350,-0.015,0.050,-0.026,0.998,0.540,-0.810,-0.116,-1.594,5.670,-3.096,False,False,0.000,0.000,0.000,0.991,-0.408,-3.340,0.350,0.523,-0.499,1.359,0.285,13.285,13.080,15.000,11.632,62472,61952,65534,58684,1.381,0.000,1.729,1.299,0.000,0.404,0.000,0.000,3.000,3.500,--
