k_ep,k_run,t,Policy_Trigger,Policy_Action,mu,sigma,policy,x,y,z,vx,vy,vz,qx,qy,qz,qw,wx,wy,wz,eul_x,eul_y,eul_z,flip_flag,impact_flag,Tau_est,Theta_y_est,Theta_x_est,Tau,Theta_y_est,Theta_x_est,D_ceil,F_thrust,Mx,My,Mz,M1_thrust,M2_thrust,M3_thrust,M4_thrust,M1_pwm,M2_pwm,M3_pwm,M4_pwm,x_d.x,x_d.y,x_d.z,v_d.x,v_d.y,v_d.z,a_d.x,a_d.y,a_d.z,Volts,Error
0,0,227.287,-1.366,0.000,--,--,--,1.906,-0.005,0.451,0.132,-0.049,0.157,-0.001,0.011,-0.024,1.000,-0.230,-0.070,-0.027,-0.129,1.266,-2.698,False,False,0.000,0.000,0.000,13.509,0.027,-0.082,1.626,0.541,0.317,-0.330,0.168,14.701,12.796,13.686,12.814,63894,59804,61764,59844,1.882,0.000,0.464,0.000,0.000,0.328,0.000,0.000,3.500,3.500,--
0,0,227.316,-1.366,0.000,--,--,--,1.910,-0.006,0.457,0.138,-0.048,0.277,-0.004,0.010,-0.025,1.000,-0.160,-0.210,-0.060,-0.448,1.099,-2.859,False,False,0.000,0.000,0.000,6.882,0.028,-0.085,1.622,0.540,0.367,-0.183,0.203,14.771,12.805,13.908,12.515,63918,59712,62122,59056,1.882,0.000,0.471,0.000,0.000,0.398,0.000,0.000,3.500,3.500,--
0,0,227.346,-1.366,0.000,--,--,--,1.914,-0.006,0.467,0.147,-0.052,0.405,-0.006,0.007,-0.025,1.000,-0.090,-0.280,-0.021,-0.615,0.778,-2.859,False,False,0.000,0.000,0.000,4.478,0.029,-0.090,1.619,0.538,0.306,-0.174,0.165,14.664,12.738,14.006,12.591,63480,59976,61902,59506,1.882,0.000,0.479,0.000,0.000,0.461,0.000,0.000,3.500,3.500,--
0,0,227.366,-1.366,0.000,--,--,--,1.916,-0.006,0.476,0.150,-0.052,0.494,-0.007,0.006,-0.025,1.000,-0.070,-0.290,-0.029,-0.778,0.615,-2.859,False,False,0.000,0.000,0.000,3.574,0.031,-0.093,1.608,0.532,0.223,-0.136,0.176,14.473,12.785,13.955,12.578,63260,59684,62086,59372,1.882,0.000,0.489,0.000,0.000,0.531,0.000,0.000,3.500,3.500,--
0,0,227.377,-1.366,0.000,--,--,--,1.918,-0.007,0.481,0.152,-0.053,0.544,-0.007,0.004,-0.025,1.000,-0.090,-0.350,-0.034,-0.782,0.456,-2.858,False,False,0.000,0.000,0.000,3.242,0.031,-0.095,1.598,0.523,0.267,-0.248,0.182,14.503,12.610,13.695,12.578,63016,58946,61326,58874,1.882,0.000,0.500,0.000,0.000,0.602,0.000,0.000,3.500,3.500,--
0,0,227.398,-1.366,0.000,--,--,--,1.920,-0.007,0.492,0.153,-0.051,0.643,-0.008,0.001,-0.026,1.000,-0.120,-0.260,0.000,-0.948,0.134,-3.014,False,False,0.000,0.000,0.000,2.685,0.031,-0.097,1.587,0.514,0.373,-0.273,0.147,14.062,12.533,13.145,12.324,62468,58896,60308,58538,1.882,0.000,0.513,0.000,0.000,0.672,0.000,0.000,3.500,3.500,--
0,0,227.417,-1.366,0.000,--,--,--,1.923,-0.007,0.505,0.153,-0.049,0.738,-0.010,-0.001,-0.026,1.000,-0.150,-0.180,-0.003,-1.115,-0.188,-3.011,False,False,0.000,0.000,0.000,2.132,0.030,-0.098,1.574,0.508,0.446,-0.239,0.151,13.922,12.400,12.794,12.151,61738,58232,59448,57492,1.882,0.000,0.527,0.000,0.000,0.742,0.000,0.000,3.500,3.500,--
0,0,227.427,-1.366,0.000,--,--,--,1.924,-0.007,0.512,0.148,-0.045,0.782,-0.010,-0.001,-0.026,1.000,-0.180,-0.220,-0.022,-1.115,-0.188,-3.011,False,False,0.000,0.000,0.000,2.132,0.030,-0.098,1.559,0.498,0.501,-0.245,0.169,13.867,12.120,12.567,11.808,60818,56972,58330,56046,1.882,0.000,0.543,0.000,0.000,0.812,0.000,0.000,3.500,3.500,--
0,0,227.455,-1.366,0.000,--,--,--,1.928,-0.008,0.537,0.142,-0.043,0.924,-0.012,-0.004,-0.026,1.000,-0.180,-0.190,-0.010,-1.441,-0.514,-3.007,False,False,0.000,0.000,0.000,1.768,0.027,-0.094,1.542,0.490,0.546,-0.237,0.158,13.636,11.948,12.496,11.443,60036,56390,57404,55270,1.882,0.000,0.560,0.000,0.000,0.882,0.000,0.000,3.500,3.500,--
0,0,227.482,-1.366,0.000,--,--,--,1.931,-0.008,0.566,0.134,-0.034,1.051,-0.015,-0.008,-0.026,1.000,-0.130,-0.220,-0.006,-1.771,-0.998,-2.998,False,False,0.000,0.000,0.000,1.509,0.023,-0.090,1.523,0.485,0.437,-0.208,0.153,13.753,11.909,12.712,11.326,59058,55590,56890,54758,1.882,0.000,0.570,0.000,0.000,0.924,0.000,0.000,3.500,3.500,--
