k_ep,k_run,t,Policy_Trigger,Policy_Action,mu,sigma,policy,x,y,z,vx,vy,vz,qx,qy,qz,qw,wx,wy,wz,eul_x,eul_y,eul_z,flip_flag,impact_flag,Tau_est,Theta_y_est,Theta_x_est,Tau,Theta_y,Theta_x,D_ceil,F_thrust,Mx,My,Mz,M1_thrust,M2_thrust,M3_thrust,M4_thrust,M1_pwm,M2_pwm,M3_pwm,M4_pwm,x_d.x,x_d.y,x_d.z,v_d.x,v_d.y,v_d.z,a_d.x,a_d.y,a_d.z,Volts,Error
0,0,176.673,-1.366,0.000,--,--,--,-0.352,0.025,0.798,2.191,0.003,0.102,-0.025,0.082,-0.007,0.996,-0.010,-0.910,-0.064,-2.781,9.344,-1.023,False,False,0.000,0.000,0.000,12.644,-0.003,1.714,1.282,0.464,0.208,1.235,0.112,11.541,12.436,13.214,10.060,58496,60958,62346,55224,-0.108,0.000,0.775,2.106,0.000,0.218,0.000,0.000,2.500,3.500,--
0,0,176.693,-1.366,0.000,--,--,--,-0.309,0.025,0.801,2.204,0.017,0.151,-0.026,0.073,-0.007,0.997,-0.020,-0.940,-0.034,-2.947,8.389,-1.011,False,False,0.000,0.000,0.000,10.164,-0.007,1.719,1.278,0.469,0.357,1.346,0.083,11.527,12.744,13.132,10.116,59616,63092,63390,56306,-0.065,0.000,0.780,2.106,0.000,0.268,0.000,0.000,2.500,3.500,--
0,0,176.713,-1.366,0.000,--,--,--,-0.268,0.024,0.805,2.208,0.032,0.212,-0.029,0.064,-0.006,0.998,-0.130,-0.810,-0.052,-3.284,7.278,-0.845,False,False,0.000,0.000,0.000,6.126,-0.025,1.738,1.276,0.469,0.460,1.252,0.101,11.740,12.776,12.788,9.984,60182,62918,63186,56062,-0.023,0.000,0.786,2.106,0.000,0.318,0.000,0.000,2.500,3.500,--
0,0,176.733,-1.366,0.000,--,--,--,-0.225,0.025,0.811,2.205,0.051,0.29,-0.033,0.054,-0.006,0.998,-0.200,-0.660,-0.056,-3.767,6.163,-0.838,False,False,0.000,0.000,0.000,5.164,-0.030,1.74,1.271,0.460,0.704,1.020,0.106,11.855,12.505,12.199,9.830,60504,62248,61712,55250,0.019,0.000,0.793,2.106,0.000,0.368,0.000,0.000,2.500,3.500,--
0,0,176.752,-1.366,0.000,--,--,--,-0.185,0.026,0.820,2.177,0.091,0.392,-0.040,0.040,-0.003,0.998,-0.210,-0.370,-0.039,-4.583,4.583,-0.501,False,False,0.000,0.000,0.000,3.212,-0.073,1.729,1.259,0.433,1.046,0.838,0.097,11.662,11.893,11.346,9.130,58780,60022,57960,52128,0.057,0.000,0.800,2.106,0.000,0.413,0.000,0.000,2.500,3.500,--
0,0,176.772,-1.366,0.000,--,--,--,-0.145,0.027,0.830,2.149,0.116,0.481,-0.046,0.030,-0.003,0.998,-0.050,-0.220,-0.046,-5.223,3.471,-0.476,False,False,0.000,0.000,0.000,2.595,-0.094,1.72,1.249,0.420,0.795,0.743,0.117,11.709,11.347,11.407,8.658,56794,57294,56590,50794,0.082,0.000,0.805,2.106,0.000,0.443,0.000,0.000,2.500,3.500,--
0,0,176.802,-1.366,0.000,--,--,--,-0.084,0.028,0.845,2.118,0.142,0.585,-0.046,0.026,-0.003,0.999,0.210,-0.050,-0.017,-5.225,2.996,-0.454,False,False,0.000,0.000,0.000,2.238,-0.109,1.717,1.239,0.413,0.479,0.668,0.101,10.854,10.847,11.073,9.012,53586,54106,54314,49414,0.145,0.000,0.819,2.106,0.000,0.518,0.000,0.000,2.500,3.500,--
0,0,176.813,-1.366,0.000,--,--,--,-0.064,0.029,0.851,2.104,0.149,0.621,-0.043,0.025,-0.004,0.999,0.400,-0.030,-0.094,-4.904,2.832,-0.598,False,False,0.000,0.000,0.000,1.977,-0.122,1.714,1.234,0.409,0.281,0.655,0.184,10.464,10.212,11.173,8.950,53814,52576,55228,48606,0.183,0.000,0.829,2.106,0.000,0.563,0.000,0.000,2.500,3.500,--
0,0,176.834,-1.366,0.000,--,--,--,-0.026,0.027,0.865,2.066,0.092,0.696,-0.001,0.019,0.015,1.000,0.570,0.090,-0.081,-0.192,2.223,1.741,False,False,0.000,0.000,0.000,1.744,-0.077,1.702,1.221,0.403,-0.582,0.734,0.030,8.994,10.197,10.949,10.132,48638,50992,53794,50384,0.225,0.000,0.841,2.106,0.000,0.613,0.000,0.000,2.500,3.500,--
0,0,176.853,-1.366,0.000,--,--,--,0.013,0.017,0.878,2.063,-0.11,0.697,0.100,0.018,0.060,0.993,0.540,0.100,-0.169,11.374,1.378,6.994,False,False,0.000,0.000,0.000,1.860,0.169,1.741,1.201,0.404,-1.995,0.641,-0.288,6.853,10.423,11.005,12.583,41146,50856,52666,55720,0.272,0.000,0.855,2.106,0.000,0.668,0.000,0.000,2.500,3.500,--
