k_ep,k_run,t,Policy_Trigger,Policy_Action,mu,sigma,policy,x,y,z,vx,vy,vz,qx,qy,qz,qw,wx,wy,wz,eul_x,eul_y,eul_z,flip_flag,impact_flag,Tau_est,Theta_y_est,Theta_x_est,Tau,Theta_y_est,Theta_x_est,D_ceil,F_thrust,Mx,My,Mz,M1_thrust,M2_thrust,M3_thrust,M4_thrust,M1_pwm,M2_pwm,M3_pwm,M4_pwm,x_d.x,x_d.y,x_d.z,v_d.x,v_d.y,v_d.z,a_d.x,a_d.y,a_d.z,Volts,Error
0,0,578.952,-1.366,0.000,--,--,--,0.244,-0.005,0.466,1.246,-0.058,0.106,0.001,0.071,-0.021,0.997,-0.190,-0.450,-0.158,0.326,8.102,-2.362,False,False,0.000,0.000,0.000,19.100,0.032,-0.765,1.613,0.521,0.091,1.264,0.258,13.431,13.280,15.000,11.154,64826,64474,65534,59224,0.415,0.000,0.450,1.375,0.000,0.308,0.000,0.000,3.000,3.500,--
0,0,578.989,-1.366,0.000,--,--,--,0.296,-0.009,0.474,1.294,-0.065,0.238,0.000,0.061,-0.022,0.998,0.130,-0.760,-0.158,0.155,6.986,-2.533,False,False,0.000,0.000,0.000,8.054,0.041,-0.799,1.613,0.521,0.091,1.264,0.258,13.076,13.303,15.000,11.773,64826,64474,65534,59224,0.429,0.000,0.454,1.375,0.000,0.338,0.000,0.000,3.000,3.500,--
0,0,578.989,-1.366,0.000,--,--,--,0.296,-0.009,0.474,1.294,-0.065,0.238,0.000,0.061,-0.022,0.998,0.130,-0.760,-0.135,0.155,6.986,-2.533,False,False,0.000,0.000,0.000,8.054,0.041,-0.799,1.605,0.516,-0.559,1.212,0.253,12.812,12.622,15.000,11.595,62878,62426,65534,59900,0.470,0.000,0.465,1.375,0.000,0.428,0.000,0.000,3.000,3.500,--
0,0,579.025,-1.366,0.000,--,--,--,0.350,-0.013,0.488,1.333,-0.081,0.408,0.004,0.048,-0.026,0.998,0.290,-0.940,-0.182,0.622,5.570,-2.987,False,False,0.000,0.000,0.000,4.340,0.049,-0.833,1.595,0.504,-0.812,1.757,0.311,12.410,11.977,15.000,11.447,60406,60846,65534,57122,0.498,0.000,0.474,1.375,0.000,0.488,0.000,0.000,3.000,3.500,--
0,0,579.025,-1.366,0.000,--,--,--,0.350,-0.013,0.488,1.333,-0.081,0.408,0.004,0.048,-0.026,0.998,0.290,-0.940,-0.182,0.622,5.570,-2.987,False,False,0.000,0.000,0.000,4.340,0.049,-0.833,1.595,0.504,-0.812,1.757,0.311,12.129,12.311,15.000,10.829,60406,60846,65534,57122,0.512,0.000,0.479,1.375,0.000,0.518,0.000,0.000,3.000,3.500,--
0,0,579.065,-1.366,0.000,--,--,--,0.405,-0.018,0.509,1.353,-0.089,0.581,0.008,0.033,-0.029,0.999,0.230,-0.670,-0.097,1.063,3.839,-3.297,False,False,0.000,0.000,0.000,2.927,0.053,-0.858,1.576,0.487,-0.804,1.372,0.248,12.272,11.723,15.000,10.380,58100,58352,65352,56140,0.553,0.000,0.496,1.375,0.000,0.608,0.000,0.000,3.000,3.500,--
0,0,579.074,-1.366,0.000,--,--,--,0.419,-0.019,0.515,1.355,-0.094,0.626,0.010,0.030,-0.030,0.999,-0.080,-0.620,-0.113,1.217,3.528,-3.453,False,False,0.000,0.000,0.000,2.696,0.056,-0.863,1.564,0.480,-0.317,1.156,0.270,12.205,11.790,14.514,10.473,58998,58010,64104,54700,0.597,0.000,0.517,1.375,0.000,0.704,0.000,0.000,3.000,3.500,--
0,0,579.074,-1.366,0.000,--,--,--,0.419,-0.019,0.515,1.355,-0.094,0.626,0.010,0.030,-0.030,0.999,-0.080,-0.620,-0.088,1.217,3.528,-3.453,False,False,0.000,0.000,0.000,2.696,0.056,-0.863,1.550,0.469,0.310,0.692,0.251,12.705,11.718,13.303,10.145,59932,57622,61272,53626,0.622,0.000,0.531,1.375,0.000,0.758,0.000,0.000,3.000,3.500,--
0,0,579.124,-1.366,0.000,--,--,--,0.487,-0.025,0.552,1.355,-0.108,0.824,0.001,0.022,-0.033,0.999,-0.770,-0.070,-0.126,0.243,2.547,-3.802,False,False,0.000,0.000,0.000,1.945,0.068,-0.884,1.535,0.469,0.916,0.508,0.294,12.705,11.718,13.303,10.145,61460,57746,60046,52004,0.622,0.000,0.531,1.375,0.000,0.758,0.000,0.000,3.000,3.500,--
0,0,579.143,-1.366,0.000,--,--,--,0.514,-0.029,0.570,1.347,-0.121,0.900,-0.006,0.022,-0.035,0.999,-0.860,-0.050,-0.089,-0.547,2.520,-3.978,False,False,0.000,0.000,0.000,1.753,0.077,-0.890,1.518,0.463,1.033,0.356,0.261,13.090,11.809,11.961,10.207,61092,57468,58718,51892,0.663,0.000,0.555,1.375,0.000,0.848,0.000,0.000,3.000,3.500,--
0,0,579.163,-1.366,0.000,--,--,--,0.541,-0.032,0.589,1.339,-0.119,0.969,-0.014,0.022,-0.035,0.999,-0.800,0.050,-0.094,-1.500,2.487,-3.999,False,False,0.000,0.000,0.000,1.601,0.080,-0.896,1.499,0.460,0.876,0.337,0.271,13.273,11.564,12.429,9.661,60416,56510,58532,51624,0.707,0.000,0.583,1.375,0.000,0.944,0.000,0.000,3.000,3.500,--
0,0,579.182,-1.366,0.000,--,--,--,0.568,-0.035,0.610,1.332,-0.123,1.033,-0.019,0.022,-0.035,0.999,-0.480,-0.060,0.045,-2.136,2.464,-4.013,False,False,0.000,0.000,0.000,1.474,0.083,-0.904,1.489,0.454,0.869,0.582,0.131,13.273,11.564,12.429,9.661,58142,57744,57100,52086,0.707,0.000,0.583,1.375,0.000,0.944,0.000,0.000,3.000,3.500,--
