k_ep,k_run,t,Policy_Trigger,Policy_Action,mu,sigma,policy,x,y,z,vx,vy,vz,qx,qy,qz,qw,wx,wy,wz,eul_x,eul_y,eul_z,flip_flag,impact_flag,Tau_est,Theta_y_est,Theta_x_est,Tau,Theta_y,Theta_x,D_ceil,F_thrust,Mx,My,Mz,M1_thrust,M2_thrust,M3_thrust,M4_thrust,M1_pwm,M2_pwm,M3_pwm,M4_pwm,x_d.x,x_d.y,x_d.z,v_d.x,v_d.y,v_d.z,a_d.x,a_d.y,a_d.z,Volts,Error
0,0,705.816,-1.366,0.000,--,--,--,0.235,-0.016,1.051,2.106,0.110,0.096,-0.015,0.083,-0.024,0.996,-0.150,-1.280,-0.114,-1.516,9.491,-2.831,False,False,0.000,0.000,0.000,10.674,-0.108,-2.049,1.028,0.531,0.351,1.539,0.253,13.509,13.915,15.000,11.125,62296,63006,65228,56096,0.464,0.000,1.033,1.915,0.000,0.302,0.000,0.000,3.000,3.500,--
0,0,705.835,-1.366,0.000,--,--,--,0.278,-0.015,1.054,2.127,0.106,0.169,-0.017,0.071,-0.024,0.997,-0.090,-1.240,-0.140,-1.709,8.055,-2.823,False,False,0.000,0.000,0.000,6.064,-0.104,-2.074,1.025,0.532,0.256,1.479,0.282,13.592,13.817,15.000,11.037,62270,62242,64984,55884,0.521,0.000,1.043,1.915,0.000,0.392,0.000,0.000,3.000,3.500,--
0,0,705.854,-1.366,0.000,--,--,--,0.321,-0.016,1.057,2.144,0.103,0.250,-0.018,0.061,-0.025,0.998,-0.050,-1.160,-0.134,-1.886,6.936,-2.974,False,False,0.000,0.000,0.000,4.039,-0.105,-2.098,1.021,0.530,0.126,1.466,0.281,13.444,13.639,15.000,11.161,61594,61556,64500,55766,0.559,0.000,1.052,1.915,0.000,0.452,0.000,0.000,3.000,3.500,--
0,0,705.874,-1.366,0.000,--,--,--,0.365,-0.015,1.063,2.152,0.103,0.343,-0.018,0.050,-0.026,0.998,0.140,-1.060,-0.099,-1.911,5.662,-3.112,False,False,0.000,0.000,0.000,2.961,-0.103,-2.118,1.019,0.528,-0.033,1.246,0.248,12.860,12.767,15.000,11.331,61352,61144,64500,56766,0.598,0.000,1.061,1.915,0.000,0.512,0.000,0.000,3.000,3.500,--
0,0,705.892,-1.366,0.000,--,--,--,0.408,-0.015,1.070,2.156,0.101,0.438,-0.015,0.040,-0.026,0.999,0.280,-0.900,-0.087,-1.624,4.558,-3.080,False,False,0.000,0.000,0.000,2.301,-0.102,-2.137,1.009,0.518,-0.407,0.993,0.245,12.748,12.303,14.766,11.393,59866,58830,63790,56710,0.640,0.000,1.073,1.915,0.000,0.578,0.000,0.000,3.000,3.500,--
0,0,705.915,-1.366,0.000,--,--,--,0.452,-0.016,1.080,2.152,0.096,0.535,-0.014,0.032,-0.028,0.999,0.230,-0.720,-0.030,-1.486,3.608,-3.220,False,False,0.000,0.000,0.000,1.861,-0.100,-2.153,0.999,0.508,-0.296,0.769,0.196,12.725,12.056,14.265,11.119,59042,58124,62556,56422,0.678,0.000,1.085,1.915,0.000,0.638,0.000,0.000,3.000,3.500,--
0,0,705.927,-1.366,0.000,--,--,--,0.473,-0.016,1.085,2.149,0.097,0.584,-0.014,0.029,-0.029,0.999,0.140,-0.730,-0.082,-1.490,3.288,-3.375,False,False,0.000,0.000,0.000,1.697,-0.101,-2.161,0.994,0.504,-0.226,0.793,0.250,12.666,11.917,13.788,10.791,59344,57516,62690,55432,0.716,0.000,1.099,1.915,0.000,0.698,0.000,0.000,3.000,3.500,--
0,0,705.954,-1.366,0.000,--,--,--,0.538,-0.015,1.104,2.131,0.095,0.726,-0.012,0.019,-0.030,0.999,-0.070,-0.550,-0.079,-1.361,2.180,-3.516,False,False,0.000,0.000,0.000,1.342,-0.098,-2.186,0.975,0.489,0.152,0.679,0.258,12.624,11.731,13.409,10.380,58808,56454,60548,53354,0.755,0.000,1.113,1.915,0.000,0.758,0.000,0.000,3.000,3.500,--
0,0,705.972,-1.366,0.000,--,--,--,0.581,-0.016,1.119,2.114,0.087,0.816,-0.014,0.014,-0.032,0.999,-0.140,-0.620,-0.080,-1.537,1.537,-3.669,False,False,0.000,0.000,0.000,1.174,-0.095,-2.202,0.960,0.480,0.251,0.808,0.266,12.439,11.531,13.266,9.983,57888,55830,59732,51838,0.793,0.000,1.129,1.915,0.000,0.818,0.000,0.000,3.000,3.500,--
0,0,705.982,-1.366,0.000,--,--,--,0.602,-0.015,1.127,2.104,0.088,0.860,-0.015,0.011,-0.032,0.999,-0.120,-0.590,-0.052,-1.706,1.215,-3.666,False,False,0.000,0.000,0.000,1.107,-0.094,-2.211,0.943,0.473,0.271,0.897,0.245,12.217,11.455,13.300,9.568,56672,55314,58756,50918,0.831,0.000,1.146,1.915,0.000,0.878,0.000,0.000,3.000,3.500,--
0,0,706.011,-1.366,0.000,--,--,--,0.665,-0.016,1.154,2.069,0.085,0.977,-0.017,0.001,-0.033,0.999,-0.110,-0.620,-0.060,-1.901,0.095,-3.808,False,False,0.000,0.000,0.000,0.947,-0.093,-2.236,0.925,0.466,0.218,1.085,0.258,11.882,11.652,12.963,9.696,55438,54488,58310,49562,0.850,0.000,1.155,1.915,0.000,0.908,0.000,0.000,3.000,3.500,--
