k_ep,k_run,t,Policy_Trigger,Policy_Action,mu,sigma,policy,x,y,z,vx,vy,vz,qx,qy,qz,qw,wx,wy,wz,eul_x,eul_y,eul_z,flip_flag,impact_flag,Tau_est,Theta_y_est,Theta_x_est,Tau,Theta_y_est,Theta_x_est,D_ceil,F_thrust,Mx,My,Mz,M1_thrust,M2_thrust,M3_thrust,M4_thrust,M1_pwm,M2_pwm,M3_pwm,M4_pwm,x_d.x,x_d.y,x_d.z,v_d.x,v_d.y,v_d.z,a_d.x,a_d.y,a_d.z,Volts,Error
0,0,21.434,-1.366,0.000,--,--,--,-0.674,-0.007,0.382,1.954,-0.069,0.088,-0.010,0.090,0.001,0.996,0.010,-1.180,-0.062,-1.120,10.322,0.058,False,False,0.000,0.000,0.000,19.206,0.040,-1.152,1.696,0.458,0.088,1.433,0.263,11.723,11.796,13.832,9.409,55060,55228,59636,49284,-0.417,0.000,0.368,1.767,0.000,0.248,0.000,0.000,2.000,3.500,--
0,0,21.457,-1.366,0.000,--,--,--,-0.635,-0.009,0.384,1.974,-0.071,0.131,-0.011,0.080,-0.000,0.997,-0.090,-1.160,-0.078,-1.264,9.206,-0.102,False,False,0.000,0.000,0.000,12.906,0.041,-1.165,1.693,0.460,0.275,1.441,0.285,12.001,11.906,13.830,9.214,55996,55778,59954,49012,-0.382,0.000,0.373,1.767,0.000,0.288,0.000,0.000,2.000,3.500,--
0,0,21.478,-1.366,0.000,--,--,--,-0.596,-0.010,0.387,1.988,-0.071,0.178,-0.011,0.069,-0.001,0.998,-0.210,-1.080,-0.046,-1.255,7.933,-0.246,False,False,0.000,0.000,0.000,9.488,0.041,-1.175,1.690,0.460,0.361,1.228,0.257,12.001,11.906,13.830,9.214,56694,56236,59674,49984,-0.382,0.000,0.373,1.767,0.000,0.288,0.000,0.000,2.000,3.500,--
0,0,21.497,-1.366,0.000,--,--,--,-0.557,-0.011,0.392,1.995,-0.068,0.233,-0.014,0.058,-0.001,0.998,-0.280,-0.980,-0.047,-1.574,6.661,-0.250,False,False,0.000,0.000,0.000,7.217,0.039,-1.183,1.685,0.457,0.363,0.960,0.258,12.428,11.724,13.385,9.314,56968,55522,59028,50284,-0.329,0.000,0.383,1.767,0.000,0.348,0.000,0.000,2.000,3.500,--
0,0,21.517,-1.366,0.000,--,--,--,-0.518,-0.012,0.397,1.995,-0.062,0.297,-0.017,0.048,-0.001,0.999,-0.240,-0.880,-0.034,-1.893,5.549,-0.251,False,False,0.000,0.000,0.000,5.660,0.036,-1.187,1.679,0.452,0.342,0.855,0.243,12.240,11.617,13.085,9.421,56484,54938,58268,50196,-0.294,0.000,0.390,1.767,0.000,0.388,0.000,0.000,2.000,3.500,--
0,0,21.536,-1.366,0.000,--,--,--,-0.479,-0.013,0.404,1.991,-0.055,0.360,-0.018,0.040,-0.000,0.999,-0.100,-0.790,-0.001,-2.060,4.599,-0.083,False,False,0.000,0.000,0.000,4.648,0.032,-1.189,1.672,0.446,0.222,0.850,0.213,11.767,11.336,12.752,9.654,55458,54450,57668,50214,-0.241,0.000,0.403,1.767,0.000,0.448,0.000,0.000,2.000,3.500,--
0,0,21.556,-1.366,0.000,--,--,--,-0.440,-0.014,0.411,1.983,-0.050,0.427,-0.019,0.032,-0.001,0.999,0.000,-0.640,0.002,-2.214,3.644,-0.229,False,False,0.000,0.000,0.000,3.904,0.029,-1.189,1.663,0.438,0.167,0.868,0.215,11.507,11.089,12.608,9.465,54464,53476,56944,49348,-0.205,0.000,0.412,1.767,0.000,0.488,0.000,0.000,2.000,3.500,--
0,0,21.575,-1.366,0.000,--,--,--,-0.402,-0.015,0.421,1.967,-0.041,0.496,-0.021,0.024,-0.001,1.000,0.070,-0.510,-0.037,-2.374,2.692,-0.214,False,False,0.000,0.000,0.000,3.342,0.024,-1.187,1.658,0.432,0.007,0.587,0.256,11.248,10.549,12.590,9.273,54560,51708,56600,49294,-0.170,0.000,0.422,1.767,0.000,0.528,0.000,0.000,2.000,3.500,--
0,0,21.594,-1.366,0.000,--,--,--,-0.365,-0.016,0.432,1.947,-0.035,0.561,-0.021,0.017,-0.001,1.000,0.130,-0.540,-0.071,-2.376,1.899,-0.198,False,False,0.000,0.000,0.000,2.933,0.020,-1.183,1.647,0.423,-0.066,0.760,0.292,11.363,10.143,12.658,9.052,53646,50682,56548,47786,-0.152,0.000,0.428,1.767,0.000,0.548,0.000,0.000,2.000,3.500,--
0,0,21.612,-1.366,0.000,--,--,--,-0.327,-0.016,0.444,1.923,-0.024,0.622,-0.021,0.010,-0.003,1.000,0.060,-0.480,0.003,-2.376,1.103,-0.340,False,False,0.000,0.000,0.000,2.626,0.014,-1.177,1.628,0.412,0.159,0.745,0.220,10.959,10.311,11.879,8.891,51958,50392,54066,46674,-0.099,0.000,0.445,1.767,0.000,0.608,0.000,0.000,2.000,3.500,--
0,0,21.633,-1.366,0.000,--,--,--,-0.290,-0.016,0.457,1.898,-0.011,0.677,-0.021,0.006,-0.001,1.000,0.010,-0.400,-0.006,-2.378,0.631,-0.172,False,False,0.000,0.000,0.000,2.394,0.006,-1.171,1.615,0.407,0.192,0.667,0.230,10.952,10.097,11.697,8.748,51672,49602,53380,46032,-0.064,0.000,0.458,1.767,0.000,0.648,0.000,0.000,2.000,3.500,--
0,0,21.655,-1.366,0.000,--,--,--,-0.254,-0.017,0.471,1.874,-0.004,0.727,-0.021,0.000,-0.001,1.000,0.000,-0.300,0.016,-2.379,-0.003,-0.159,False,False,0.000,0.000,0.000,2.209,0.002,-1.166,1.600,0.402,0.290,0.718,0.210,10.784,10.179,11.457,8.596,50922,49464,52474,45290,-0.029,0.000,0.471,1.767,0.000,0.688,0.000,0.000,2.000,3.500,--
0,0,21.676,-1.366,0.000,--,--,--,-0.218,-0.017,0.486,1.843,0.004,0.772,-0.022,-0.004,-0.001,1.000,-0.030,-0.190,0.018,-2.538,-0.479,-0.148,False,False,0.000,0.000,0.000,2.061,-0.003,-1.158,1.593,0.400,0.348,0.673,0.207,10.876,9.999,11.444,8.353,50808,49224,51984,45000,0.007,0.000,0.485,1.767,0.000,0.728,0.000,0.000,2.000,3.500,--
0,0,21.694,-1.366,0.000,--,--,--,-0.182,-0.016,0.502,1.811,0.016,0.813,-0.024,-0.007,-0.000,1.000,0.050,-0.130,0.010,-2.696,-0.793,0.019,False,False,0.000,0.000,0.000,1.938,-0.011,-1.149,1.568,0.397,0.266,0.698,0.216,10.776,9.953,11.430,8.394,50362,48692,51924,44676,0.025,0.000,0.493,1.767,0.000,0.748,0.000,0.000,2.000,3.500,--
0,0,21.716,-1.366,0.000,--,--,--,-0.147,-0.016,0.519,1.780,0.023,0.847,-0.024,-0.010,-0.000,1.000,0.140,-0.090,-0.007,-2.696,-1.110,0.026,False,False,0.000,0.000,0.000,1.840,-0.016,-1.141,1.552,0.398,0.117,0.724,0.236,10.710,9.811,11.688,8.355,50254,48262,52436,44740,0.060,0.000,0.508,1.767,0.000,0.788,0.000,0.000,2.000,3.500,--
0,0,21.735,-1.366,0.000,--,--,--,-0.113,-0.016,0.536,1.747,0.029,0.881,-0.022,-0.012,0.000,1.000,0.220,0.060,0.000,-2.537,-1.427,0.032,False,False,0.000,0.000,0.000,1.751,-0.020,-1.133,1.534,0.398,0.028,0.780,0.235,10.536,9.821,11.716,8.553,49988,48236,52692,44860,0.113,0.000,0.533,1.767,0.000,0.848,0.000,0.000,2.000,3.500,--
0,0,21.755,-1.366,0.000,--,--,--,-0.079,-0.015,0.554,1.713,0.037,0.913,-0.021,-0.014,0.000,1.000,0.270,0.060,-0.031,-2.378,-1.585,0.033,False,False,0.000,0.000,0.000,1.670,-0.025,-1.124,1.516,0.401,-0.113,0.713,0.267,10.684,9.595,11.979,8.654,50512,47826,53450,45296,0.148,0.000,0.550,1.767,0.000,0.888,0.000,0.000,2.000,3.500,--
0,0,21.775,-1.366,0.000,--,--,--,-0.046,-0.015,0.572,1.681,0.044,0.937,-0.018,-0.015,0.001,1.000,0.240,0.140,-0.030,-2.059,-1.741,0.190,False,False,0.000,0.000,0.000,1.607,-0.030,-1.116,1.502,0.434,0.574,-0.098,0.264,12.682,10.344,11.628,9.595,55138,49868,52858,47988,0.184,0.000,0.568,1.767,0.000,0.928,0.000,0.000,2.000,3.500,--
0,0,21.795,-1.366,0.000,--,--,--,-0.013,-0.014,0.591,1.642,0.037,0.972,-0.012,-0.018,0.001,1.000,0.280,0.270,-0.030,-1.424,-2.059,0.184,False,False,0.000,0.000,0.000,1.530,-0.025,-1.104,1.488,0.404,-0.100,0.749,0.263,10.734,9.735,12.065,8.715,50892,48432,53914,45704,0.201,0.000,0.577,1.767,0.000,0.948,0.000,0.000,2.000,3.500,--
0,0,21.804,-1.366,0.000,--,--,--,-0.003,-0.022,0.605,1.530,-0.092,1.036,0.019,-0.042,-0.003,0.999,0.230,0.310,-0.064,2.205,-4.751,-0.409,False,False,0.000,0.000,0.000,1.422,0.062,-1.038,1.454,0.383,-0.623,1.222,0.248,9.000,9.229,12.108,8.459,47166,46826,54006,44204,0.237,0.000,0.597,1.767,0.000,0.988,0.000,0.000,2.000,3.500,--
0,0,21.833,-1.366,0.000,--,--,--,0.045,-0.023,0.634,1.505,-0.084,1.048,0.018,-0.032,-0.004,0.999,0.050,0.500,-0.087,2.045,-3.639,-0.541,False,False,0.000,0.000,0.000,1.378,0.058,-1.042,1.435,0.403,-0.163,0.815,0.286,10.693,9.605,12.225,8.581,50360,47688,53798,44938,0.290,0.000,0.627,1.767,0.000,1.048,0.000,0.000,2.000,3.500,--
0,0,21.856,-1.366,0.000,--,--,--,0.076,-0.023,0.653,1.489,-0.082,1.053,0.015,-0.024,-0.006,1.000,-0.230,0.620,-0.046,1.729,-2.686,-0.675,False,False,0.000,0.000,0.000,1.353,0.056,-1.045,1.416,0.420,0.393,0.209,0.253,11.902,10.137,11.613,9.192,53650,49530,53006,47092,0.325,0.000,0.649,1.767,0.000,1.088,0.000,0.000,2.000,3.500,--
0,0,21.878,-1.366,0.000,--,--,--,0.108,-0.024,0.673,1.476,-0.080,1.060,0.010,-0.015,-0.006,1.000,-0.480,0.730,-0.067,1.100,-1.738,-0.651,False,False,0.000,0.000,0.000,1.326,0.056,-1.050,1.396,0.437,0.670,0.129,0.284,12.116,10.704,11.765,9.139,55856,51024,54018,47846,0.343,0.000,0.660,1.767,0.000,1.108,0.000,0.000,2.000,3.500,--
0,0,21.897,-1.366,0.000,--,--,--,0.153,-0.025,0.704,1.455,-0.085,1.080,0.001,-0.001,-0.007,1.000,-0.500,0.810,-0.075,0.157,-0.157,-0.793,False,False,0.000,0.000,0.000,1.295,0.057,-1.056,1.375,0.454,0.689,0.270,0.302,12.829,11.005,11.985,9.661,57806,53184,56398,49396,0.378,0.000,0.682,1.767,0.000,1.148,0.000,0.000,2.000,3.500,--
0,0,21.917,-1.366,0.000,--,--,--,0.169,-0.025,0.714,1.456,-0.079,1.083,-0.003,0.004,-0.007,1.000,-0.490,0.720,-0.049,-0.314,0.474,-0.794,False,False,0.000,0.000,0.000,1.259,0.057,-1.067,1.355,0.469,0.567,0.390,0.287,13.133,11.619,12.247,10.140,59254,55306,58656,51574,0.413,0.000,0.706,1.767,0.000,1.188,0.000,0.000,2.000,3.500,--
0,0,21.937,-1.366,0.000,--,--,--,0.200,-0.025,0.735,1.453,-0.073,1.104,-0.008,0.012,-0.007,1.000,-0.280,0.500,-0.043,-0.942,1.421,-0.805,False,False,0.000,0.000,0.000,1.217,0.053,-1.082,1.333,0.481,0.263,0.546,0.289,13.156,11.769,13.330,10.288,59276,55852,60216,52754,0.449,0.000,0.730,1.767,0.000,1.228,0.000,0.000,2.000,3.500,--
0,0,21.957,-1.366,0.000,--,--,--,0.231,-0.026,0.757,1.454,-0.067,1.132,-0.011,0.019,-0.007,1.000,-0.150,0.430,-0.099,-1.253,2.211,-0.817,False,False,0.000,0.000,0.000,1.168,0.050,-1.100,1.311,0.492,0.025,0.611,0.354,13.096,12.097,13.757,10.689,59896,55512,61792,53078,0.484,0.000,0.755,1.767,0.000,1.268,0.000,0.000,2.000,3.500,--
0,0,21.975,-1.366,0.000,--,--,--,0.262,-0.026,0.779,1.460,-0.059,1.163,-0.014,0.025,-0.007,1.000,0.010,0.360,0.001,-1.566,2.844,-0.832,False,False,0.000,0.000,0.000,1.117,0.045,-1.123,1.289,0.499,0.004,0.662,0.262,13.300,12.175,14.331,11.129,59164,56694,61306,54246,0.537,0.000,0.794,1.767,0.000,1.328,0.000,0.000,2.000,3.500,--
0,0,21.995,-1.366,0.000,--,--,--,0.293,-0.026,0.802,1.468,-0.044,1.204,-0.015,0.030,-0.008,0.999,0.120,0.330,-0.019,-1.715,3.475,-1.004,False,False,0.000,0.000,0.000,1.061,0.033,-1.149,1.265,0.502,0.089,0.740,0.289,13.485,12.256,14.507,10.954,59558,56878,61660,53822,0.573,0.000,0.821,1.767,0.000,1.368,0.000,0.000,2.000,3.500,--
0,0,22.015,-1.366,0.000,--,--,--,0.324,-0.026,0.826,1.473,-0.037,1.257,-0.015,0.035,-0.008,0.999,0.030,0.430,-0.039,-1.711,3.951,-1.011,False,False,0.000,0.000,0.000,0.997,0.029,-1.176,1.241,0.502,0.250,0.698,0.319,13.778,12.240,14.482,10.752,60062,56738,61498,53228,0.608,0.000,0.849,1.767,0.000,1.408,0.000,0.000,2.000,3.500,--
