Vel_d,Phi_d,Trial_num,LR_4Leg,Vel_trg,Phi_trg,Tau_trg_mean,Theta_x_trg_mean,D_ceil_trg_mean,My_mean,Vz_trg_mean,Vx_trg_mean,Mu,Sigma
1.5,30.0,0,0.0,,,,,,,,,[0.784 4.181],[0.351 0.266]
1.5,33.75,0,0.0,,,,,,,,,[0.146 5.703],[0.058 0.703]
1.5,37.5,0,0.39,1.46,31.556,0.227,7.108,0.174,-8.104,0.764,1.244,[0.435 7.02 ],[0.202 0.345]
1.5,41.25,0,0.72,1.438,35.658,0.227,6.104,0.19,-7.909,0.838,1.168,[0.733 3.83 ],[0.134 1.355]
1.5,45.0,0,0.89,1.454,40.285,0.227,5.115,0.215,-7.478,0.94,1.109,[0.591 5.692],[0.347 0.536]
1.5,48.75,0,0.89,1.438,44.183,0.224,4.536,0.225,-7.246,1.002,1.031,[0.724 2.078],[0.2   0.846]
1.5,52.5,0,0.17,1.441,46.322,0.224,4.162,0.235,-6.991,1.042,0.995,[0.368 6.246],[0.196 0.189]
1.5,56.25,0,0.0,,,,,,,,,[0.685 4.256],[0.162 0.814]
1.5,60.0,0,0.0,,,,,,,,,[0.031 3.945],[0.013 2.615]
1.5,63.75,0,0.0,,,,,,,,,[0.21  4.054],[0.036 0.031]
1.5,67.5,0,0.0,,,,,,,,,[0.419 7.714],[0.07  1.113]
1.5,71.25,0,0.0,,,,,,,,,[0.471 5.519],[0.316 0.546]
1.5,75.0,0,0.0,,,,,,,,,[0.443 7.11 ],[0.247 1.027]
1.5,78.75,0,0.0,,,,,,,,,[1.054 3.74 ],[0.482 1.991]
1.5,82.5,0,0.0,,,,,,,,,[0.404 2.959],[0.186 1.17 ]
1.5,86.25,0,0.0,,,,,,,,,[0.356 5.459],[0.092 0.673]
1.5,90.0,0,0.0,,,,,,,,,[0.563 6.656],[0.56  0.359]
1.6,30.0,0,0.0,,,,,,,,,[1.673 6.507],[1.245 1.242]
1.6,33.75,0,0.11,1.607,28.878,0.228,7.634,0.182,-8.01,0.776,1.407,[0.792 2.61 ],[0.254 0.343]
1.6,37.5,0,0.61,1.553,32.084,0.228,6.939,0.188,-7.999,0.825,1.316,[0.359 7.453],[0.26  1.327]
1.6,41.25,0,0.89,1.565,36.584,0.228,5.818,0.214,-7.714,0.933,1.257,[0.692 6.81 ],[0.73  0.526]
1.6,45.0,0,0.89,1.545,40.38,0.228,5.073,0.23,-7.403,1.001,1.177,[0.269 6.16 ],[0.142 0.969]
1.6,48.75,0,0.94,1.531,44.444,0.225,4.466,0.242,-7.156,1.072,1.093,[0.247 2.527],[0.071 0.207]
1.6,52.5,0,0.61,1.528,48.423,0.221,3.962,0.253,-6.933,1.143,1.014,[0.867 5.562],[0.631 0.543]
1.6,56.25,0,0.0,,,,,,,,,[1.213 8.339],[0.388 0.992]
1.6,60.0,0,0.0,,,,,,,,,[0.688 5.953],[0.305 0.746]
1.6,63.75,0,0.0,,,,,,,,,[0.468 5.914],[0.346 1.06 ]
1.6,67.5,0,0.0,,,,,,,,,[0.665 6.65 ],[0.267 1.033]
1.6,71.25,0,0.0,,,,,,,,,[0.726 3.187],[0.426 1.008]
1.6,75.0,0,0.0,,,,,,,,,[0.784 4.981],[0.185 1.729]
1.6,78.75,0,0.0,,,,,,,,,[0.792 2.357],[0.354 1.267]
1.6,82.5,0,0.0,,,,,,,,,[0.219 6.432],[0.048 0.804]
1.6,86.25,0,0.0,,,,,,,,,[0.299 5.748],[0.072 0.949]
1.6,90.0,0,0.0,,,,,,,,,[0.029 7.311],[0.193 0.801]
1.7,30.0,0,0.0,,,,,,,,,[1.019 8.642],[0.474 0.982]
1.7,33.75,0,0.17,1.721,28.68,0.225,7.864,0.189,-8.149,0.826,1.51,[1.372 7.321],[0.515 0.437]
1.7,37.5,0,0.72,1.674,32.608,0.228,6.821,0.206,-7.871,0.902,1.41,[0.421 2.061],[0.127 1.454]
1.7,41.25,0,0.83,1.65,36.571,0.228,5.825,0.226,-7.657,0.983,1.325,[0.654 4.839],[0.167 0.443]
1.7,45.0,0,0.78,1.659,40.354,0.227,5.145,0.244,-7.457,1.074,1.264,[1.389 4.711],[0.519 0.039]
1.7,48.75,0,0.83,1.629,44.652,0.226,4.416,0.26,-7.054,1.145,1.159,[0.313 6.573],[0.39  0.734]
1.7,52.5,0,0.78,1.611,48.901,0.222,3.907,0.269,-6.879,1.214,1.059,[0.471 4.812],[0.221 0.923]
1.7,56.25,0,0.33,1.638,52.738,0.218,3.423,0.286,-6.624,1.304,0.992,[0.407 6.57 ],[0.171 1.942]
1.7,60.0,0,0.11,1.618,56.212,0.218,3.023,0.294,-6.289,1.345,0.9,[0.62  4.225],[0.201 0.128]
1.7,63.75,0,0.0,,,,,,,,,[0.884 5.333],[0.497 3.172]
1.7,67.5,0,0.0,,,,,,,,,[0.259 8.48 ],[0.159 1.17 ]
1.7,71.25,0,0.0,,,,,,,,,[1.054 7.556],[0.471 2.147]
1.7,75.0,0,0.0,,,,,,,,,[0.881 3.835],[0.199 1.043]
1.7,78.75,0,0.0,,,,,,,,,[0.215 3.848],[0.527 1.757]
