Vel_d,Phi_d,Trial_num,LR_4Leg,Vel_trg,Phi_trg,Tau_trg_mean,Theta_x_trg_mean,D_ceil_trg_mean,My_mean,Vz_trg_mean,Vx_trg_mean,Mu,Sigma
1.5,30.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[1.451 6.107],[0.049 0.309]
1.5,30.0,1,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.078 5.15 ],[0.003 0.422]
1.5,30.0,2,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.297 7.29 ],[0.023 0.042]
1.5,33.75,0,0.0,1.462,28.423,0.161,-11.653,0.11,-9.227,0.696,1.286,[1.681 9.396],[0.019 0.305]
1.5,33.75,1,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.227 9.133],[0.003 0.136]
1.5,33.75,2,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.379 8.405],[0.002 0.096]
1.5,37.5,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[1.943 6.005],[0.01  0.043]
1.5,37.5,2,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.098 3.69 ],[0.082 0.358]
1.5,41.25,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.127 8.955],[0.003 0.125]
1.5,41.25,1,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.216 8.256],[0.012 0.02 ]
1.5,41.25,2,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.231 6.144],[0.011 0.28 ]
1.5,45.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.188 7.226],[0.02  0.011]
1.5,45.0,1,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.19  5.707],[0.025 0.187]
1.5,45.0,2,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.053 5.654],[0.003 0.017]
1.5,48.75,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.191 8.722],[0.01  0.035]
1.5,48.75,1,0.0,1.449,44.469,0.192,-5.348,0.194,-5.541,1.015,1.034,[1.981 5.519],[0.028 0.028]
1.5,48.75,2,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.199 7.873],[0.026 0.113]
1.5,52.5,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.128 4.491],[0.003 0.076]
1.5,52.5,1,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.207 6.863],[0.003 0.02 ]
1.5,52.5,2,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.212 5.152],[0.006 0.084]
1.5,56.25,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.019 7.466],[0.012 0.037]
1.5,56.25,1,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.11  3.921],[0.01  0.041]
1.5,56.25,2,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.189 6.858],[0.019 0.019]
1.5,60.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[1.153 3.821],[0.01  0.044]
1.5,60.0,1,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.284 5.045],[0.045 0.025]
1.5,60.0,2,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.242 6.718],[0.017 0.046]
1.5,63.75,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.257 8.173],[0.019 0.089]
1.5,63.75,1,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.311 5.071],[0.024 0.15 ]
1.5,63.75,2,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.294 8.233],[0.001 0.078]
1.5,67.5,0,0.0,1.407,64.855,0.199,-2.371,0.253,-2.684,1.274,0.598,[2.03  2.694],[0.003 0.044]
1.5,67.5,1,0.0,1.406,64.601,0.212,-2.221,0.27,-3.424,1.27,0.603,[2.192 3.478],[0.012 0.047]
1.5,67.5,2,0.11,1.547,66.899,0.222,-1.871,0.315,-4.032,1.423,0.607,[2.227 3.986],[0.006 0.338]
1.5,71.25,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.22  7.564],[0.002 0.159]
1.5,71.25,1,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.234 9.345],[0.029 0.033]
1.5,71.25,2,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.191 8.371],[0.009 0.223]
1.5,75.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.082 5.003],[0.027 0.023]
1.5,75.0,1,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.162 4.795],[0.044 0.069]
1.5,75.0,2,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.204 8.141],[0.009 0.366]
1.5,78.75,0,0.0,1.391,77.203,0.204,-1.119,0.276,-6.702,1.356,0.308,[0.293 0.914],[0.003 0.044]
1.5,78.75,1,0.0,1.382,77.12,0.174,-1.328,0.235,-2.837,1.347,0.308,[1.815 2.756],[0.021 0.138]
1.5,78.75,2,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.249 6.619],[0.037 0.027]
1.5,82.5,0,0.06,1.516,82.228,0.235,-0.565,0.352,-5.984,1.502,0.205,[2.358 6.167],[0.004 0.155]
1.5,82.5,1,0.0,1.374,81.374,0.18,-0.847,0.245,-1.304,1.358,0.206,[1.858 1.298],[0.001 0.059]
1.5,82.5,2,0.06,1.384,81.688,0.232,-0.625,0.318,-4.377,1.369,0.2,[2.363 4.405],[0.014 0.05 ]
1.5,86.25,0,0.0,1.369,85.852,0.146,-0.497,0.2,-4.23,1.365,0.099,[1.486 4.21 ],[0.018 0.024]
1.5,86.25,1,0.06,1.51,86.128,0.22,-0.302,0.33,-2.231,1.507,0.102,[2.248 5.197],[0.    0.849]
1.5,86.25,2,0.06,1.565,86.447,0.238,-0.264,0.37,-7.349,1.562,0.097,[2.387 7.291],[0.007 0.534]
1.5,90.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.045 6.021],[0.006 0.046]
1.5,90.0,1,0.06,1.376,90.125,0.22,0.009,0.302,-3.552,1.376,-0.003,[2.28  3.585],[0.001 0.09 ]
1.5,90.0,2,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.355 5.803],[0.01  0.158]
1.6,30.0,0,0.0,1.631,24.758,0.167,-13.651,0.109,-8.774,0.683,1.481,[1.724 8.883],[0.001 0.164]
1.6,30.0,1,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.381 9.485],[0.002 0.032]
1.6,30.0,2,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.226 1.501],[0.012 0.038]
1.6,33.75,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[1.717 7.508],[0.003 0.048]
1.6,33.75,1,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.047 5.078],[0.001 0.035]
1.6,33.75,2,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.113 5.773],[0.037 0.019]
1.6,37.5,0,0.0,1.571,32.284,0.148,-10.92,0.122,-8.222,0.839,1.328,[1.534 7.838],[0.001 0.442]
1.6,37.5,1,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.239 6.776],[0.02  0.046]
1.6,37.5,2,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.134 5.165],[0.009 0.037]
1.6,41.25,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[1.914 3.464],[0.029 0.042]
1.6,41.25,1,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.235 8.86 ],[0.001 0.328]
1.6,41.25,2,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.213 5.995],[0.006 0.076]
1.6,45.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.238 7.954],[0.015 0.017]
1.6,45.0,1,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.17 5.4 ],[0.005 0.039]
1.6,48.75,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[1.908 7.535],[0.013 0.031]
1.6,48.75,1,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.21  8.703],[0.015 0.264]
1.6,48.75,2,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.317 7.046],[0.083 0.008]
1.6,52.5,0,0.0,1.51,48.678,0.179,-4.929,0.202,-8.095,1.134,0.997,[1.842 8.102],[0.015 0.043]
1.6,52.5,1,0.0,1.533,48.093,0.196,-4.641,0.222,-6.216,1.141,1.024,[2.021 6.756],[0.002 0.514]
1.6,52.5,2,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.321 8.166],[0.001 0.048]
1.6,56.25,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[1.198 3.62 ],[0.104 0.092]
1.6,56.25,1,0.0,1.513,52.085,0.208,-3.721,0.249,-5.867,1.194,0.93,[2.144 5.977],[0.004 0.142]
1.6,56.25,2,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.212 8.652],[0.011 0.048]
1.6,60.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[1.871 4.807],[0.02  0.025]
1.6,60.0,2,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.375 5.282],[0.03  0.024]
1.6,63.75,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.101 3.895],[0.004 0.031]
1.6,63.75,1,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.2   7.049],[0.001 1.237]
1.6,63.75,2,0.06,1.606,63.371,0.241,-2.049,0.347,-7.947,1.436,0.72,[2.326 7.832],[0.048 0.632]
1.6,67.5,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.289 8.591],[0.018 0.298]
1.6,67.5,1,0.0,1.511,65.437,0.205,-2.234,0.281,-7.12,1.374,0.628,[2.173 7.141],[0.036 0.036]
1.6,67.5,2,0.0,1.564,66.287,0.218,-2.002,0.312,-6.099,1.432,0.629,[2.264 6.268],[0.004 0.191]
1.6,71.25,0,0.0,1.517,69.019,0.21,-1.814,0.298,-3.489,1.416,0.543,[2.14  3.478],[0.02  0.049]
1.6,71.25,2,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.283 7.891],[0.04  0.026]
1.6,75.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.291 8.56 ],[0.001 0.117]
1.6,75.0,1,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.305 4.883],[0.004 0.03 ]
1.6,75.0,2,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.375 5.078],[0.046 0.03 ]
1.6,78.75,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.3   5.201],[0.    0.967]
1.6,78.75,1,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.162 8.823],[0.017 0.047]
1.6,78.75,2,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.286 9.189],[0.002 0.178]
1.6,82.5,0,0.0,1.597,82.047,0.222,-0.613,0.351,-3.38,1.582,0.221,[2.3   3.378],[0.004 0.021]
1.6,82.5,1,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.255 7.292],[0.018 0.265]
1.6,82.5,2,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.307 8.454],[0.002 0.064]
1.6,86.25,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.264 8.578],[0.039 0.036]
1.6,86.25,1,0.06,0.708,85.545,0.11,-0.176,0.154,-4.204,0.706,0.055,[2.335 4.227],[0.037 0.021]
1.6,86.25,2,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.273 5.78 ],[0.009 0.133]
1.6,90.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.385 6.029],[0.003 0.074]
1.6,90.0,1,0.0,1.458,89.882,0.132,-0.021,0.192,-4.341,1.458,0.003,[1.324 4.289],[0.047 0.039]
1.6,90.0,2,0.06,1.617,90.106,0.241,0.002,0.39,-9.438,1.617,-0.003,[2.441 9.029],[0.015 0.273]
1.7,30.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[0.992 3.184],[0.017 0.037]
1.7,30.0,1,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.248 8.103],[0.047 0.046]
1.7,30.0,2,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.004 4.615],[0.087 0.031]
1.7,33.75,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[1.919 4.194],[0.022 0.121]
1.7,33.75,1,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[1.533 4.67 ],[0.025 0.288]
1.7,33.75,2,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.333 7.822],[0.001 0.034]
1.7,37.5,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.241 5.593],[0.027 0.071]
1.7,37.5,1,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.065 5.653],[0.001 0.017]
1.7,37.5,2,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.16  7.883],[0.007 0.061]
1.7,41.25,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.13  5.314],[0.002 0.034]
1.7,41.25,1,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.181 6.232],[0.014 0.085]
1.7,41.25,2,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.158 7.851],[0.    0.082]
1.7,45.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.168 6.477],[0.046 0.05 ]
1.7,45.0,1,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.256 8.9  ],[0.024 0.781]
1.7,48.75,0,0.0,1.573,45.721,0.18,-5.396,0.203,-8.385,1.126,1.098,[1.873 7.985],[0.001 0.273]
1.7,48.75,1,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.187 7.181],[0.001 0.085]
1.7,48.75,2,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.135 9.353],[0.037 0.144]
1.7,52.5,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.211 7.717],[0.011 0.144]
1.7,52.5,1,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.126 9.81 ],[0.016 0.026]
1.7,52.5,2,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.245 8.717],[0.003 0.044]
1.7,56.25,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.184 8.459],[0.022 0.265]
1.7,56.25,1,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.161 5.489],[0.001 0.204]
1.7,56.25,2,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.27  8.342],[0.005 0.031]
1.7,60.0,0,0.0,1.609,56.666,0.191,-3.478,0.256,-5.325,1.344,0.884,[1.961 5.281],[0.046 0.123]
1.7,60.0,1,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.268 7.094],[0.006 0.437]
1.7,60.0,2,0.0,1.587,56.931,0.105,-6.253,0.139,-7.036,1.33,0.866,[1.064 7.038],[0.026 0.047]
1.7,63.75,1,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.29  6.196],[0.007 0.033]
1.7,63.75,2,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.187 8.305],[0.032 0.069]
1.7,67.5,1,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.326 7.237],[0.023 0.038]
1.7,67.5,2,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.208 8.544],[0.005 0.046]
1.7,71.25,0,0.0,1.585,69.347,0.189,-1.997,0.28,-5.405,1.483,0.559,[1.942 5.403],[0.005 0.034]
1.7,71.25,2,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.169 9.27 ],[0.01  0.063]
1.7,75.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.368 5.069],[0.028 0.701]
1.7,75.0,1,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.234 7.071],[0.007 0.269]
1.7,75.0,2,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.228 4.209],[0.009 0.027]
1.7,78.75,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.327 7.211],[0.006 0.16 ]
1.7,78.75,1,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.209 9.577],[0.012 0.081]
1.7,78.75,2,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.341 4.733],[0.046 0.058]
1.7,82.5,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.344 5.995],[0.003 0.177]
1.7,82.5,1,0.11,1.76,82.326,0.238,-0.541,0.414,-9.368,1.744,0.235,[2.402 9.467],[0.007 0.341]
1.7,82.5,2,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.383 4.628],[0.035 0.261]
1.7,86.25,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.28  6.787],[0.001 0.147]
1.7,86.25,1,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.307 6.964],[0.013 0.182]
1.7,86.25,2,0.0,1.584,85.765,0.214,-0.346,0.338,-3.742,1.58,0.117,[2.183 3.776],[0.02  0.049]
1.7,90.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[1.826 7.856],[0.011 0.646]
1.7,90.0,1,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.341 6.696],[0.008 0.386]
