Vel_d,Phi_d,Trial_num,LR_4Leg,Vel_flip,Phi_flip,Tau_flip_mean,OFy_flip_mean,D_ceil_flip_mean,My_mean,Vz_flip_mean,Vx_flip_mean,Mu,Sigma
1.5,30.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.005 5.452],[0.01  0.078]
1.5,30.0,1,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.285 8.994],[0.036 0.014]
1.5,33.75,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[1.674 3.224],[0.015 0.012]
1.5,33.75,1,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[1.982 5.792],[0.032 0.022]
1.5,33.75,2,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[1.842 5.356],[0.006 0.027]
1.5,37.5,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[1.75  4.009],[0.08  0.006]
1.5,37.5,1,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.128 7.783],[0.011 0.44 ]
1.5,37.5,2,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[1.927 6.069],[0.002 0.017]
1.5,41.25,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[1.939 6.39 ],[0.021 0.015]
1.5,41.25,1,0.72,1.394,31.147,0.236,-6.97,0.17,-7.714,0.721,1.193,[2.414 7.704],[0.003 0.112]
1.5,41.25,2,0.94,1.395,30.978,0.228,-7.302,0.163,-7.475,0.718,1.196,[2.331 7.464],[0.006 0.052]
1.5,45.0,1,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[1.906 4.694],[0.002 0.204]
1.5,45.0,2,0.94,1.371,34.989,0.228,-6.232,0.179,-7.769,0.786,1.123,[2.318 7.684],[0.001 0.058]
1.5,48.75,0,0.83,1.353,39.149,0.231,-5.292,0.197,-7.395,0.854,1.049,[2.351 7.542],[0.009 0.572]
1.5,48.75,1,0.94,1.349,39.283,0.222,-5.499,0.189,-6.862,0.854,1.044,[2.252 6.833],[0.022 0.098]
