Vel_d,Phi_d,Trial_num,LR_4Leg,Vel_flip,Phi_flip,Tau_flip_mean,OFy_flip_mean,D_ceil_flip_mean,My_mean,Vz_flip_mean,Vx_flip_mean,Mu,Sigma
1.5,30.0,0,0.0,1.522,24.915,0.218,-9.594,0.142,-8.428,0.641,1.38,[2.187 8.259],[0.002 0.238]
1.5,30.0,1,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.125 7.98 ],[0.009 0.049]
1.5,30.0,2,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[1.93  5.277],[0.002 0.029]
1.5,33.75,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[1.84  4.818],[0.016 0.009]
1.5,33.75,1,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[1.77  3.675],[0.032 0.026]
1.5,33.75,2,0.56,1.483,30.301,0.23,-7.357,0.174,-8.759,0.748,1.28,[2.33  8.735],[0.048 0.1  ]
1.5,37.5,0,0.78,1.536,36.184,0.214,-6.153,0.198,-9.036,0.907,1.24,[2.169 9.032],[0.002 0.054]
1.5,37.5,1,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.094 6.444],[0.001 0.083]
1.5,37.5,2,0.33,1.529,36.278,0.217,-6.116,0.2,-7.593,0.905,1.233,[2.209 7.587],[0.019 0.022]
1.5,41.25,0,0.0,1.427,35.528,0.18,-7.781,0.149,-6.554,0.829,1.161,[1.896 6.533],[0.039 0.048]
1.5,41.25,1,0.22,1.481,37.094,0.213,-6.151,0.191,-8.734,0.893,1.181,[2.219 8.338],[0.139 1.751]
1.5,41.25,2,0.89,1.531,40.151,0.215,-5.331,0.216,-8.055,0.987,1.17,[2.178 8.034],[0.016 0.301]
1.5,45.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[1.717 3.061],[0.002 0.037]
1.5,45.0,1,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[1.548 2.886],[0.002 0.046]
1.5,45.0,2,0.0,1.42,39.057,0.167,-7.444,0.148,-6.861,0.895,1.103,[1.723 6.856],[0.003 0.058]
1.5,48.75,0,0.0,1.412,43.824,0.192,-5.445,0.187,-6.58,0.978,1.019,[1.969 6.493],[0.003 0.234]
1.5,48.75,1,0.0,1.423,43.32,0.182,-5.859,0.176,-7.038,0.976,1.035,[1.868 7.031],[0.001 0.066]
1.5,48.75,2,0.94,1.488,46.934,0.223,-4.136,0.243,-7.588,1.087,1.016,[2.263 7.583],[0.013 0.041]
1.5,52.5,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[1.39  2.419],[0.029 0.009]
1.5,52.5,1,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.355 8.232],[0.003 0.076]
1.5,52.5,2,0.89,1.494,50.813,0.217,-3.673,0.253,-6.535,1.158,0.944,[2.231 6.531],[0.027 0.021]
1.5,56.25,0,0.17,1.439,52.907,0.211,-3.534,0.243,-7.731,1.148,0.868,[2.16 7.73],[0.031 0.031]
1.5,56.25,1,0.11,1.415,53.017,0.216,-3.466,0.244,-8.38,1.13,0.851,[2.198 8.395],[0.021 0.008]
1.5,56.25,2,0.67,1.481,54.26,0.212,-3.349,0.255,-7.089,1.202,0.865,[2.154 7.088],[0.005 0.519]
1.5,60.0,0,0.33,1.443,57.477,0.216,-2.91,0.264,-6.014,1.217,0.776,[2.181 5.927],[0.053 0.25 ]
1.5,60.0,1,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[1.933 4.984],[0.003 0.052]
1.5,60.0,2,0.5,1.32,57.875,0.194,-2.584,0.242,-6.897,1.118,0.702,[2.212 6.88 ],[0.043 0.041]
1.5,63.75,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[1.945 8.581],[0.024 0.04 ]
1.5,63.75,1,0.0,1.408,60.523,0.202,-2.79,0.248,-6.913,1.226,0.693,[2.058 6.999],[0.014 0.158]
1.5,63.75,2,0.5,1.448,61.895,0.212,-2.506,0.27,-9.06,1.277,0.682,[2.166 9.002],[0.001 0.299]
1.5,67.5,0,0.0,1.347,64.025,0.112,-4.357,0.135,-5.273,1.211,0.59,[1.165 5.204],[0.005 0.135]
1.5,67.5,1,0.06,1.402,64.842,0.204,-2.301,0.258,-7.03,1.269,0.596,[2.08  7.029],[0.039 0.016]
1.5,67.5,2,0.5,1.409,70.163,0.198,-1.921,0.441,-7.328,1.325,0.478,[2.212 7.311],[0.037 0.036]
1.5,71.25,0,0.28,1.473,70.077,0.211,-1.697,0.292,-6.201,1.385,0.502,[2.154 5.876],[0.003 0.285]
1.5,71.25,1,0.0,1.385,68.752,0.207,-1.87,0.267,-3.758,1.291,0.502,[2.132 3.769],[0.023 0.036]
1.5,71.25,2,0.0,1.397,69.021,0.207,-1.84,0.27,-7.397,1.304,0.5,[2.114 7.386],[0.001 0.251]
1.5,75.0,0,0.0,1.356,72.795,0.148,-2.105,0.192,-8.191,1.295,0.401,[1.543 8.204],[0.055 0.092]
1.5,75.0,1,0.39,1.483,74.071,0.219,-1.266,0.314,-6.867,1.426,0.407,[2.237 6.606],[0.003 0.945]
1.5,75.0,2,0.11,1.402,73.297,0.222,-1.33,0.299,-5.514,1.343,0.403,[2.295 5.325],[0.002 0.541]
1.5,78.75,0,0.28,1.461,77.59,0.218,-0.982,0.31,-4.078,1.427,0.314,[2.218 4.064],[0.045 0.03 ]
1.5,78.75,1,0.06,1.379,78.161,0.198,-0.894,0.288,-7.304,1.35,0.283,[2.165 7.302],[0.001 0.048]
1.5,78.75,2,0.5,1.458,78.089,0.217,-0.959,0.311,-5.407,1.427,0.301,[2.228 5.399],[0.002 0.09 ]
1.5,82.5,0,0.39,1.467,82.124,0.225,-0.608,0.327,-7.827,1.453,0.201,[2.319 7.823],[0.047 0.027]
1.5,82.5,1,0.0,1.333,81.414,0.135,-1.121,0.178,-5.202,1.318,0.199,[1.402 5.19 ],[0.023 0.048]
1.5,82.5,2,0.44,1.473,82.079,0.22,-0.622,0.321,-6.315,1.459,0.203,[2.235 6.326],[0.01  0.025]
1.5,86.25,0,0.61,1.471,86.142,0.228,-0.294,0.335,-6.853,1.468,0.099,[2.348 6.853],[0.03  0.007]
1.5,86.25,1,0.06,1.474,85.992,0.216,-0.318,0.317,-6.897,1.47,0.103,[2.194 6.868],[0.022 0.123]
1.5,86.25,2,0.56,1.469,86.059,0.228,-0.298,0.333,-6.396,1.466,0.101,[2.328 6.382],[0.007 0.049]
1.5,90.0,0,0.61,1.49,90.077,0.232,0.001,0.345,-7.8,1.49,-0.002,[2.378 7.833],[0.029 0.204]
1.5,90.0,1,0.22,1.495,90.077,0.222,0.002,0.332,-6.206,1.495,-0.002,[2.262 6.215],[0.001 0.186]
1.5,90.0,2,0.22,1.38,88.879,0.211,0.009,0.443,-7.304,1.38,0.027,[2.282 7.192],[0.003 0.421]
1.6,30.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[1.476 4.032],[0.005 0.037]
1.6,30.0,1,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.17  6.719],[0.044 0.013]
1.6,30.0,2,0.78,1.642,29.485,0.221,-7.657,0.185,-8.759,0.808,1.429,[2.24  8.775],[0.011 0.127]
1.6,33.75,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[1.69  5.888],[0.034 0.029]
1.6,33.75,1,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[1.927 6.057],[0.001 0.089]
1.6,33.75,2,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.083 7.829],[0.035 0.884]
1.6,37.5,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[1.591 2.552],[0.021 0.019]
1.6,37.5,1,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[1.83 3.64],[0.001 0.122]
1.6,37.5,2,0.78,1.518,36.183,0.2,-5.839,0.194,-8.092,0.896,1.225,[2.17  8.092],[0.001 0.047]
1.6,41.25,0,0.44,1.622,39.873,0.21,-5.584,0.221,-7.112,1.04,1.245,[2.127 7.158],[0.009 0.858]
1.6,41.25,1,0.89,1.594,38.301,0.203,-5.217,0.338,-7.66,0.988,1.251,[2.19  7.628],[0.006 0.52 ]
1.6,41.25,2,0.0,1.535,35.802,0.18,-7.765,0.16,-9.728,0.898,1.245,[1.841 8.669],[0.067 0.754]
